Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (œ),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,20/12/2022,4750781,351129,CONTRACT OPTIONS LTD,Civil Engineering,1387.88,H.M.Planned,Third Party Supplier,STANDARD,4550,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,20/12/2022,4750608,351130,GLENMAN CORPORATION LTD,HRA portfolio expansion,350320.09,External Fees  Misc.,SUB-CONTRACTOR,STANDARD,8518,ZZZC-Capital
RBC Legal Entity,20/12/2022,4751810,351131,BANNER GROUP LTD,Corporate FM - Office Buildings,1355.94,Stationery  Consumables,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,20/12/2022,4751812,351131,BANNER GROUP LTD,Corporate FM - Office Buildings,40.96,Stationery  Consumables,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,20/12/2022,4751812,351131,BANNER GROUP LTD,Corporate FM - Office Buildings,1417.89,Stationery  Consumables,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,20/12/2022,4752071,351132,SOUTHERN COUNTIES BUILDING SOLUTIONS LTD T/A SCBS LTD,Private Sector Grants,6578.14,Grants (Paid out by RBC),SUB-CONTRACTOR,STANDARD,8500,ZZZC-Capital
RBC Legal Entity,20/12/2022,4751772,351133,EMMA LAULIK-WALTERS,JLT Disbursements,2464.6,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,20/12/2022,4745229,351135,JOIN PSYCHOLOGY,JLT Disbursements,936,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,20/12/2022,4745229,351135,JOIN PSYCHOLOGY,JLT Disbursements,2340,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,20/12/2022,4745229,351135,JOIN PSYCHOLOGY,JLT Disbursements,40,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,20/12/2022,4752133,351136,LOUIS TAYLOR,Strategic Transport & Concessionary Fares,2440,TPP to Others,INDIVIDUAL,STANDARD,4726,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,20/12/2022,4751004,351137,ANNA BICARREGUI,JLT Disbursements,2500,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4751887,351138,REACT SUPPORT SERVICES LTD,Mental Health Community Services,3502.27,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4746484,351139,ANCHOR PIPEWORK LTD,Plaza West,64374.82,Contractors,SUB-CONTRACTOR,STANDARD,8626,ZZZC-Capital
RBC Legal Entity,21/12/2022,4751825,351140,LOVING ANGELS CARE,LD Community Services,696.8,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751827,351140,LOVING ANGELS CARE,LD Community Services,3243.88,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751834,351140,LOVING ANGELS CARE,LD Community Services,9553.8,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751836,351140,LOVING ANGELS CARE,Mental Health Community Services,1319.04,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751843,351140,LOVING ANGELS CARE,LD Community Services,714.22,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751866,351140,LOVING ANGELS CARE,LD Community Services,2756.12,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751872,351140,LOVING ANGELS CARE,LD Community Services,3383.24,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751874,351140,LOVING ANGELS CARE,Mental Health Community Services,1319.04,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751879,351140,LOVING ANGELS CARE,Mental Health Community Services,1319.04,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4745240,351142,ACCESS SYSTEMS (UK) LIMITED T/A ACCESSPAY ,Accountancy,800,Software Licences,SUPPLIER,STANDARD,2200,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4745499,351144,LMG SOCIAL WORK SERVICES LTD,JLT Disbursements,2459.4,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4746194,351144,LMG SOCIAL WORK SERVICES LTD,JLT Disbursements,2041.4,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752209,351147,RICHARD HARWOOD,Legal Services,800,Misc. Legal Expenses,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4747806,351148,THAMES VALLEY POWER WASHING,Parking & Enforcement,1695,Cleaning+Domestic Equipt,Third Party Supplier,STANDARD,4725,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4745164,351149,PROSIS LTD,Network Management,2299.8,TPP to Others,Third Party Supplier,STANDARD,4703,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4751824,351150,ALL CARE (GB) LTD,LD Community Services,1901.88,Purchased Care,Direct Payments,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4745087,351151,NORTH PB LTD,Future ICT operating model,104650,Other  Capitalisation,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,21/12/2022,4746321,351152,NEELO SHRAVAT,JLT Disbursements,900,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4747945,351153,ETERNAL READING HOMECARE,PS Acquired Community Services,2484.72,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4747947,351153,ETERNAL READING HOMECARE,PS Acquired Community Services,552.16,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4747948,351153,ETERNAL READING HOMECARE,PS Acquired Community Services,2484.72,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4749671,351153,ETERNAL READING HOMECARE,PS Acquired Community Services,1360.68,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4749688,351153,ETERNAL READING HOMECARE,PS Acquired Community Services,1124.04,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4749689,351153,ETERNAL READING HOMECARE,PS Acquired Community Services,2484.72,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4749696,351153,ETERNAL READING HOMECARE,PS Acquired Community Services,1331.1,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4746539,351154,MULTEVO LTD,Small Transport Schemes,2490,Contractors,Third Party Supplier,STANDARD,8879,ZZZC-Capital
RBC Legal Entity,21/12/2022,4752223,351157,GTM WOODLEY,DLO Kitchen & Bathroom Trades,300,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752223,351157,GTM WOODLEY,DLO Kitchen & Bathroom Trades,242.16,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752223,351157,GTM WOODLEY,DLO Kitchen & Bathroom Trades,60,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752223,351157,GTM WOODLEY,DLO Kitchen & Bathroom Trades,43.18,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4749793,351196,CARELINE,LD Respite,1238.58,Agency Staff,Third Party Supplier,STANDARD,5064,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4749797,351196,CARELINE,LD Day Services,948,Agency Staff,Third Party Supplier,STANDARD,5055,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4732346,351198,KABA (UK) LTD,DLO Day to Day Trades,475.59,Materials Direct,SUPPLIER,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4747990,351200,BIDVEST FOODSERVICE (BIDFOOD),Town Hall Operations,12,Purchases - Stock Provisions,Third Party Supplier,STANDARD,1210,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4747990,351200,BIDVEST FOODSERVICE (BIDFOOD),Town Hall Operations,971.3,Purchases - Stock Provisions,Third Party Supplier,STANDARD,1210,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4750038,351201,WSP UK LTD,Local Sustainable Transport Fund (LSTF),2391.05,Design Fees,Third Party Supplier,STANDARD,8801,ZZZC-Capital
RBC Legal Entity,21/12/2022,4750041,351201,WSP UK LTD,Strategic Transport & Concessionary Fares,3194,TPP to Others,Third Party Supplier,STANDARD,4726,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752205,351202,HIGGS & CO (PRINTERS) LIMITED,Events & Engagement,605,Advertising - General,SUPPLIER,STANDARD,2080,EAAA-Chief Executive
RBC Legal Entity,21/12/2022,4752023,351206,THE KINGWOOD TRUST,LD Community Services,1731.56,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752024,351206,THE KINGWOOD TRUST,LD Community Services,1623.96,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752025,351206,THE KINGWOOD TRUST,LD Community Services,811.96,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752026,351206,THE KINGWOOD TRUST,PS Acquired Community Services,960.44,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752027,351206,THE KINGWOOD TRUST,LD Community Services,1203.88,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752028,351206,THE KINGWOOD TRUST,LD Community Services,1277.76,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752029,351206,THE KINGWOOD TRUST,LD Community Services,871.36,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4745067,351208,TYCO INTERNATIONAL LTD,Network Management,1500,TPP to Others,SUB-CONTRACTOR,STANDARD,4703,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4745163,351208,TYCO INTERNATIONAL LTD,UTMC / ITS,4220,Contractors,SUB-CONTRACTOR,STANDARD,8850,ZZZC-Capital
RBC Legal Entity,21/12/2022,4752819,351211,EAST SUSSEX COUNTY COUNCIL,Cash Control Account,1933.2,Transfers In,GOVERNMENT,STANDARD,9883,ZZZB-Balance Sheet
RBC Legal Entity,21/12/2022,4745345,351212,OXFORD UNIVERSITY HOSPITALS NHS TRUST,Berkshire West Public Health Hub,736.99,NHS Trusts,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751889,351215,A2 DOMINION GROUP,PS Acquired Community Services,3342.54,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751891,351215,A2 DOMINION GROUP,PS Acquired Community Services,1789.59,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751892,351215,A2 DOMINION GROUP,PS Acquired Community Services,631.04,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751893,351215,A2 DOMINION GROUP,PS Acquired Community Services,1242.36,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751894,351215,A2 DOMINION GROUP,PS Acquired Community Services,2546,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751895,351215,A2 DOMINION GROUP,PS Acquired Community Services,966.28,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751903,351215,A2 DOMINION GROUP,PS Acquired Community Services,961.35,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751913,351215,A2 DOMINION GROUP,PS Acquired Community Services,3337.61,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751915,351215,A2 DOMINION GROUP,PS Acquired Community Services,1794.52,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751916,351215,A2 DOMINION GROUP,PS Acquired Community Services,631.04,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751919,351215,A2 DOMINION GROUP,PS Acquired Community Services,2546,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751920,351215,A2 DOMINION GROUP,PS Acquired Community Services,2816.75,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4751921,351215,A2 DOMINION GROUP,PS Acquired Community Services,1429.75,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4745438,351216,HAGS-SMP LIMITED,Grounds Maintenance,968.2,CPG Maintenance,SUB-CONTRACTOR,STANDARD,1306,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Grounds Maintenance,809.86,Agency Staff,Third Party Supplier,STANDARD,1306,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Grounds Maintenance,583.12,Agency Staff,Third Party Supplier,STANDARD,1306,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Accountancy,2788.7,Agency Staff,Third Party Supplier,STANDARD,2200,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Accountancy,2637.9,Agency Staff,Third Party Supplier,STANDARD,2200,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Accountancy,3200.1,Agency Staff,Third Party Supplier,STANDARD,2200,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Accountancy,2118.5,Agency Staff,Third Party Supplier,STANDARD,2200,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,1820.8,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,2301,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,2176,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,2676,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,2464.25,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,2676,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,2676,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,1940.8,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,IT Management,2806,Agency Staff,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Procurement Services,4368.5,Agency Staff,Third Party Supplier,STANDARD,2402,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Procurement Services,2931,Agency Staff,Third Party Supplier,STANDARD,2402,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Joint Legal Team,1309.44,Agency Staff,Third Party Supplier,STANDARD,2405,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Joint Legal Team,2020.94,Agency Staff,Third Party Supplier,STANDARD,2405,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Joint Legal Team,2703.2,Agency Staff,Third Party Supplier,STANDARD,2405,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Joint Legal Team,1485.28,Agency Staff,Third Party Supplier,STANDARD,2405,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Joint Legal Team,1289.19,Agency Staff,Third Party Supplier,STANDARD,2405,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Joint Legal Team,1027.49,Agency Staff,Third Party Supplier,STANDARD,2405,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Joint Legal Team,1480.36,Agency Staff,Third Party Supplier,STANDARD,2405,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,DLO Day to Day Trades,281.2,Agency Staff,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,DLO Day to Day Trades,720.8,Agency Staff,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Street Cleansing,692.99,Agency Staff,Third Party Supplier,STANDARD,4566,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Street Cleansing,561.6,Agency Staff,Third Party Supplier,STANDARD,4566,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Street Cleansing,560.67,Agency Staff,Third Party Supplier,STANDARD,4566,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Street Cleansing,449.28,Agency Staff,Third Party Supplier,STANDARD,4566,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Street Cleansing,694.18,Agency Staff,Third Party Supplier,STANDARD,4566,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Street Cleansing,538.47,Agency Staff,Third Party Supplier,STANDARD,4566,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Street Cleansing,538.47,Agency Staff,Third Party Supplier,STANDARD,4566,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Street Cleansing,636.23,Agency Staff,Third Party Supplier,STANDARD,4566,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Special Parking Area,1243.46,Agency Staff,Third Party Supplier,STANDARD,4724,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Mental Health Team,1468.53,Agency Staff,Third Party Supplier,STANDARD,5253,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Housing Advice,1409.7,Agency Staff,Third Party Supplier,STANDARD,5820,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Housing Advice,1428.75,Agency Staff,Third Party Supplier,STANDARD,5820,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Public Health Team Costs,1530.6,Agency Staff,Third Party Supplier,STANDARD,2065,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,ASC Operational Management Team,1550.3,Agency Staff,Third Party Supplier,STANDARD,5309,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Commissioning Team,843.52,Agency Staff,Third Party Supplier,STANDARD,3452,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Customer Relations & Information Governance,635.04,Agency Staff,Third Party Supplier,STANDARD,2058,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Customer Relations & Information Governance,626.58,Agency Staff,Third Party Supplier,STANDARD,2058,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,1207.8,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,2260.98,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,2051,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,2049.61,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,2031.3,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,1928.53,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,1659.54,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,1663.2,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Legal Services,2146.46,Agency Staff,Third Party Supplier,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Parking & Enforcement,641.43,Agency Staff,Third Party Supplier,STANDARD,4725,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Exchequer Services,642.17,Agency Staff,Third Party Supplier,STANDARD,2210,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Exchequer Services,767.72,Agency Staff,Third Party Supplier,STANDARD,2210,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Exchequer Services,507.61,Agency Staff,Third Party Supplier,STANDARD,2210,LAAA-Directorate of Resources
RBC Legal Entity,21/12/2022,4752096,351220,REED,Coroner,737.32,Agency Staff,Third Party Supplier,STANDARD,4605,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Adults Quality and Safeguarding Team,852.75,Agency Staff,Third Party Supplier,STANDARD,5158,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Adults Quality and Safeguarding Team,1402.3,Agency Staff,Third Party Supplier,STANDARD,5158,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Adults Quality and Safeguarding Team,852.75,Agency Staff,Third Party Supplier,STANDARD,5158,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Transformation,485.2,Agency Staff,Third Party Supplier,STANDARD,5289,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Transformation,2674.16,Agency Staff,Third Party Supplier,STANDARD,5289,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Transformation,1550.3,Agency Staff,Third Party Supplier,STANDARD,5289,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Transformation,485.2,Agency Staff,Third Party Supplier,STANDARD,5289,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,1091.1,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,590.44,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,599.66,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,590.44,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,590.44,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,478.72,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,756.53,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,590.44,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,10.7,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,21/12/2022,4752096,351220,REED,Refuse Collection,10.86,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
