Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (œ),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,01/12/2022,4739699,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,729.64,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739699,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-209.34,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739700,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,828.24,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739700,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-237.63,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739701,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,621.18,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739701,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-178.22,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739708,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,2484.72,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739708,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-712.89,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739709,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,1863.54,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739709,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-534.67,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739711,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,548.87,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739711,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-157.48,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739712,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,1138.83,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739712,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-326.74,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739713,349705,SURECARE (READING & EAST BERKSHIRE),M&C Acquired Community Services,931.77,Purchased Care,Third Party Supplier,STANDARD,5751,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739713,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-267.33,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739714,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,2632.62,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739714,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-755.32,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739715,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,724.71,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739715,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-207.93,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739718,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,1863.54,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739718,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-534.67,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739720,349705,SURECARE (READING & EAST BERKSHIRE),M&C Acquired Community Services,897.26,Purchased Care,Third Party Supplier,STANDARD,5751,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739720,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-257.43,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739721,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,931.77,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739721,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-267.33,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739722,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,1863.54,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739722,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-534.67,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739723,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,724.71,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739723,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-207.93,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739724,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,2016.37,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739724,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-578.52,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739726,349705,SURECARE (READING & EAST BERKSHIRE),Mental Health Community Services,1012.29,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739726,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-290.44,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739727,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,517.65,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739727,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-148.52,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739728,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,902.19,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739728,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-258.85,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
