1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,FEBRUARY,20/02/24,29/02/24,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 625.00 
2023/24,FEBRUARY,20/12/23,01/02/24,220 SOFT LIMITED,812425,D0208 STOCK SERVICES LIBRARY,400015 BOOKS,271420 INFORMATION COMMUNICATION TECHNOLOGY / ONLINE SERVICES (SERVICE)," £ 1,800.00 "
2023/24,FEBRUARY,02/02/24,08/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 4,356.00 "
2023/24,FEBRUARY,01/02/24,14/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 9,775.00 "
2023/24,FEBRUARY,01/02/24,29/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 40,825.00 "
2023/24,FEBRUARY,03/01/24,06/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 14,662.50 "
2023/24,FEBRUARY,03/01/24,05/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 7,762.50 "
2023/24,FEBRUARY,01/11/23,14/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 22,770.00 "
2023/24,FEBRUARY,09/11/23,05/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 2,280.00 "
2023/24,FEBRUARY,04/04/22,01/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 12,032.00 "
2023/24,FEBRUARY,18/10/23,08/02/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 2,680.00 "
2023/24,FEBRUARY,31/12/23,29/02/24,31TEN CONSULTING LTD,822461,D0561 COMMISSIONING MANAGEMENT TEAM,440040 CONSULTANCY FEES,261200 HUMAN RESOURCES / PROFESSIONAL & ADVISORY SERVICES," £ 32,060.00 "
2023/24,FEBRUARY,15/12/23,26/02/24,33 BEDFORD ROW,800474,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 760.00 
2023/24,FEBRUARY,29/01/24,07/02/24,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 1,523.88 "
2023/24,FEBRUARY,07/02/24,27/02/24,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,707.00 "
2023/24,FEBRUARY,06/12/23,20/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,FEBRUARY,01/12/23,20/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,115.00 "
2023/24,FEBRUARY,16/08/23,20/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 825.00 
2023/24,FEBRUARY,16/08/23,21/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 675.00 
2023/24,FEBRUARY,05/10/22,06/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 925.00 
2023/24,FEBRUARY,07/12/22,06/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,FEBRUARY,28/09/22,06/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 600.00 
2023/24,FEBRUARY,09/08/23,20/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 500.00 
2023/24,FEBRUARY,07/04/22,07/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 475.00 
2023/24,FEBRUARY,07/09/22,06/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 450.00 
2023/24,FEBRUARY,01/07/22,15/02/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 450.00 
2023/24,FEBRUARY,24/01/24,19/02/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 960.00 
2023/24,FEBRUARY,21/02/24,29/02/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 750.00 
2023/24,FEBRUARY,26/01/24,14/02/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 475.00 
2023/24,FEBRUARY,29/01/24,14/02/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 475.00 
2023/24,FEBRUARY,03/01/24,14/02/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 825.00 
2023/24,FEBRUARY,15/12/23,15/02/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 11,700.00 "
2023/24,FEBRUARY,15/12/23,14/02/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 450.00 
2023/24,FEBRUARY,01/11/23,14/02/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 6,840.00 "
2023/24,FEBRUARY,18/12/23,14/02/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 750.00 
2023/24,FEBRUARY,14/12/23,14/02/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 450.00 
2023/24,FEBRUARY,22/09/23,29/02/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 650.00 
2023/24,FEBRUARY,01/02/23,15/02/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 450.00 
2023/24,FEBRUARY,19/01/24,21/02/24,4-5 GRAYS INN SQUARE TPA,812094,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 750.00 
2023/24,FEBRUARY,12/02/24,19/02/24,4I SOLUTIONS LTD                        ,S20294i10837,H0985 RESIDENT'S SAFETY,500005 EXTERNAL CONTRACTORS,100004 LBH  / SUNDRY," £ 3,035.00 "
2023/24,FEBRUARY,06/02/24,13/02/24,A FAIRER CHANCE CIC,826515,H0678 COMMUNITY GANGS TEAM,500005 EXTERNAL CONTRACTORS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / YOUTH SERVICES / CAREER ADVICE SERVICES," £ 1,500.00 "
2023/24,FEBRUARY,23/01/24,02/02/24,ABBEY CARE COMPLEX,820656,D0824 SUPPORT WITH MEMORY & COGNITIO,520045 NURSING CARE,321017 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL CARE (SERVICE)," £ 10,244.16 "
2023/24,FEBRUARY,23/01/24,02/02/24,ABBEY CARE COMPLEX,820656,D0824 SUPPORT WITH MEMORY & COGNITIO,520215 FREE NURSING CARE,321017 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL CARE (SERVICE), £ 878.84 
2023/24,FEBRUARY,23/01/24,02/02/24,ABBEY CARE COMPLEX,820656,D0824 SUPPORT WITH MEMORY & COGNITIO,920180 CRAG INCOME,321017 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL CARE (SERVICE), £ 493.71 
2023/24,FEBRUARY,23/01/24,02/02/24,ABBEY CARE COMPLEX,820656,D0822 PHYSICAL SUPPORT,520045 NURSING CARE,321017 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL CARE (SERVICE)," £ 3,709.08 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACCEDO CARE LIMITED,825922,D0825 LEARNING DISABILITY SUPPORT,520070 SUPPORTED LIVING,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / INDEPENDENT SUPPORTED LIVING," £ 15,507.80 "
2023/24,FEBRUARY,03/11/23,06/02/24,ACCESS FURTHER EDUCATION LTD,818454,F6314 COLLEGE/FE 16+ SEN,500005 EXTERNAL CONTRACTORS,179999 EDUCATION / NOT ELSEWHERE CLASSIFIED," £ 2,714.14 "
2023/24,FEBRUARY,01/02/24,26/02/24,ACCESS TO SPORTS PROJECT,733326,F7423 HOL. ACTIVITY & FOOD PROGRAMME,440040 CONSULTANCY FEES,291400 ARTS & LEISURE SERVICES / SPORT & FITNESS," £ 3,100.00 "
2023/24,FEBRUARY,31/01/24,08/02/24,ACCESS UK LTD,822705,F7416 CONTINGENCY,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE, £ 953.42 
2023/24,FEBRUARY,07/02/24,13/02/24,ACCESS UK LTD,822705,F7416 CONTINGENCY,440040 CONSULTANCY FEES,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 2,500.00 "
2023/24,FEBRUARY,07/02/24,28/02/24,ACCESS UK LTD,822705,D0512 MGMNT & ADMIN SUPPORT TEAM,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 2,927.43 "
2023/24,FEBRUARY,29/01/24,28/02/24,ACCESS UK LTD,822705,D0512 MGMNT & ADMIN SUPPORT TEAM,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE, £ 886.59 
2023/24,FEBRUARY,18/01/24,05/02/24,ACCESS UK LTD,822705,F7200 EARLY YEARS MANAGEMENT,470010 SUBSCRIPTIONS,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE, £ 607.58 
2023/24,FEBRUARY,01/10/23,06/02/24,ACCESS UK LTD,822705,N2002 INTERNAL LEGAL SERVICES,430025 COMPUTER LICENCE COSTS,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 5,453.51 "
2023/24,FEBRUARY,01/12/23,06/02/24,ACCESS UK LTD,822705,N2002 INTERNAL LEGAL SERVICES,430025 COMPUTER LICENCE COSTS,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 5,376.70 "
2023/24,FEBRUARY,01/11/23,06/02/24,ACCESS UK LTD,822705,N2002 INTERNAL LEGAL SERVICES,430025 COMPUTER LICENCE COSTS,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 5,376.70 "
2023/24,FEBRUARY,08/11/23,01/02/24,ACCESS UK LTD,822705,D0512 MGMNT & ADMIN SUPPORT TEAM,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 2,673.44 "
2023/24,FEBRUARY,07/01/24,28/02/24,ACCESS UK LTD,822705,D0512 MGMNT & ADMIN SUPPORT TEAM,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 2,927.43 "
2023/24,FEBRUARY,07/10/23,01/02/24,ACCESS UK LTD,822705,D0512 MGMNT & ADMIN SUPPORT TEAM,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 5,346.88 "
2023/24,FEBRUARY,07/08/23,01/02/24,ACCESS UK LTD,822705,D0512 MGMNT & ADMIN SUPPORT TEAM,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 2,673.44 "
2023/24,FEBRUARY,01/02/24,13/02/24,ACE PAINTERS AND DECORATORS,826514,D0057 DIVSIONAL SUPPORT,500005 EXTERNAL CONTRACTORS,BUILDING CONSTRUCTION MATERIALS / PAINT & FINISHING," £ 1,450.00 "
2023/24,FEBRUARY,08/02/24,16/02/24,ACE PAINTERS AND DECORATORS,826514,D0057 DIVSIONAL SUPPORT,500005 EXTERNAL CONTRACTORS,BUILDING CONSTRUCTION MATERIALS / PAINT & FINISHING," £ 1,450.00 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACER HEALTHCARE OPERATIONS LTD,825365,D0822 PHYSICAL SUPPORT,520045 NURSING CARE,HEALTHCARE / PUBLIC HEALTH / NOT ELSEWHERE CLASSIFIED," £ 3,900.00 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACER HEALTHCARE OPERATIONS LTD,825365,D0822 PHYSICAL SUPPORT,520215 FREE NURSING CARE,HEALTHCARE / PUBLIC HEALTH / NOT ELSEWHERE CLASSIFIED, £ 878.84 
2023/24,FEBRUARY,23/01/24,02/02/24,ACHIEVE TOGETHER,811168,D0825 LEARNING DISABILITY SUPPORT,520040 RESIDENTIAL CARE,321017 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL CARE (SERVICE)," £ 23,118.08 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACHIEVE TOGETHER,811168,D0825 LEARNING DISABILITY SUPPORT,520070 SUPPORTED LIVING,321017 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL CARE (SERVICE)," £ 3,956.88 "
2023/24,FEBRUARY,22/01/24,23/02/24,ACORN DAY OPPORTUNITIES LTD,819169,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,321115 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CHILDCARE SERVICES (SERVICE)," £ 1,094.94 "
2023/24,FEBRUARY,08/01/24,23/02/24,ACORN DAY OPPORTUNITIES LTD,819169,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,321115 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CHILDCARE SERVICES (SERVICE)," £ 73,361.59 "
2023/24,FEBRUARY,11/12/23,23/02/24,ACORN DAY OPPORTUNITIES LTD,819169,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,321115 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CHILDCARE SERVICES (SERVICE)," £ 2,189.88 "
2023/24,FEBRUARY,06/01/24,23/02/24,ACORN DAY OPPORTUNITIES LTD,819169,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,321115 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CHILDCARE SERVICES (SERVICE)," £ 2,189.88 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0822 PHYSICAL SUPPORT,520045 NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 138,786.40 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0822 PHYSICAL SUPPORT,520215 FREE NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 16,352.71 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0822 PHYSICAL SUPPORT,920210 FREE NURSING CARE INCOME,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 10,955.45 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0822 PHYSICAL SUPPORT,520040 RESIDENTIAL CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 4,978.84 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0824 SUPPORT WITH MEMORY & COGNITIO,520045 NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 66,061.64 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0824 SUPPORT WITH MEMORY & COGNITIO,520215 FREE NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 14,061.44 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0824 SUPPORT WITH MEMORY & COGNITIO,520040 RESIDENTIAL CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 10,971.12 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0829 MENTAL HEALTH SUPPORT (ELFT),520045 NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 12,100.57 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0829 MENTAL HEALTH SUPPORT (ELFT),520215 FREE NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 1,224.10 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0826 MENTAL HEALTH SUPPORT (ASC),520045 NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 8,200.00 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0826 MENTAL HEALTH SUPPORT (ASC),520040 RESIDENTIAL CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 3,001.04 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0826 MENTAL HEALTH SUPPORT (ASC),520215 FREE NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 1,757.68 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0827 ASYLUM SEEKERS SUPPORT,520045 NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE)," £ 4,213.00 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN LODGE,802546,D0827 ASYLUM SEEKERS SUPPORT,520215 FREE NURSING CARE,321018 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / RESIDENTIAL HOMES FOR OLDER PEOPLE (SERVICE), £ 878.84 
2023/24,FEBRUARY,13/11/23,13/02/24,ACORN TRUCK SALES LTD,823858,J1701 FLEET MAINTENANCE,300010 VEHICLE REPAIRS & MAINTENANCE,VEHICLE MANAGEMENT / MAINTENANCE, £ 287.68 
2023/24,FEBRUARY,23/01/24,02/02/24,ACORN VILLAGE COMMUNITY,067090,D0825 LEARNING DISABILITY SUPPORT,520040 RESIDENTIAL CARE,329999 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES  / NOT ELSEWHERE CLASSIFIED," £ 7,846.12 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 1,694.82 "
2023/24,FEBRUARY,07/02/24,13/02/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 1,412.35 "
2023/24,FEBRUARY,06/02/24,13/02/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 1,694.82 "
2023/24,FEBRUARY,06/02/24,09/02/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 1,129.88 "
2023/24,FEBRUARY,12/02/24,19/02/24,ACTION FIRST ASSESSMENTS LTD,825681,D0858 SAFEGUARDING TEAM,500005 EXTERNAL CONTRACTORS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 1,540.00 "
2023/24,FEBRUARY,30/01/24,05/02/24,ACTION FIRST ASSESSMENTS LTD,825681,D0858 SAFEGUARDING TEAM,500005 EXTERNAL CONTRACTORS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 4,450.00 "
2023/24,FEBRUARY,30/01/24,06/02/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 5,931.87 "
2023/24,FEBRUARY,10/01/24,09/02/24,ACTION FIRST ASSESSMENTS LTD,825681,D0858 SAFEGUARDING TEAM,500005 EXTERNAL CONTRACTORS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 5,155.00 "
2023/24,FEBRUARY,23/01/24,02/02/24,ACTIVE LIVES LTD,811367,D0825 LEARNING DISABILITY SUPPORT,520040 RESIDENTIAL CARE,179999 EDUCATION / NOT ELSEWHERE CLASSIFIED, £ 736.84 
2023/24,FEBRUARY,16/02/24,26/02/24,ACUTANCE CONSULTING LIMITED,825384,H0903 DIRECTOR - HRA,500005 EXTERNAL CONTRACTORS,INFORMATION COMMUNICATION TECHNOLOGY / NOT ELSEWHERE CLASSIFIED, £ 800.00 
