1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,JANUARY,22/12/23,05/01/24,ACUTANCE CONSULTING LIMITED,825384,H0903 DIRECTOR - HRA,500005 EXTERNAL CONTRACTORS,INFORMATION COMMUNICATION TECHNOLOGY / NOT ELSEWHERE CLASSIFIED," £ 5,791.25 "
2023/24,JANUARY,03/01/24,16/01/24,ADAM KHAN ARCHITECTS LTD,819884,W8873 DALSTON & HACKNEY TOWN CENTRE,Y50001 ARCHITECTS - EXTERNAL FEES,"391000 WORKS - CONSTRUCTION, REPAIR & MAINTENANCE / ARCHITECT"," £ 10,500.00 "
2023/24,JANUARY,02/01/24,08/01/24,ADLER AND ALLAN LTD,506993,H0351 MILLFIELDS OVERHEAD,200000 REPAIRS & MAINTENANCE,"391111 WORKS - CONSTRUCTION, REPAIR & MAINTENANCE / BUILDINGS / REPAIR & MAINTENANCE"," £ 2,695.76 "
2023/24,JANUARY,02/01/23,08/01/24,ADLER AND ALLAN LTD,506993,H0351 MILLFIELDS OVERHEAD,200000 REPAIRS & MAINTENANCE,"391111 WORKS - CONSTRUCTION, REPAIR & MAINTENANCE / BUILDINGS / REPAIR & MAINTENANCE"," £ 6,468.00 "
2023/24,JANUARY,18/01/24,30/01/24,ADVANCE HOUSING & SUPPORT LIMITED,815049,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,171010 EDUCATION / ADULT & FURTHER EDUCATION SERVICES," £ 5,822.00 "
2023/24,JANUARY,22/12/23,11/01/24,ADVANCE HOUSING & SUPPORT LIMITED,815049,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,171010 EDUCATION / ADULT & FURTHER EDUCATION SERVICES," £ 1,394.00 "
2023/24,JANUARY,01/11/23,30/01/24,ADVANCE HOUSING & SUPPORT LIMITED,815049,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,171010 EDUCATION / ADULT & FURTHER EDUCATION SERVICES," £ 4,510.00 "
2023/24,JANUARY,23/10/23,30/01/24,ADVANCE HOUSING & SUPPORT LIMITED,815049,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,171010 EDUCATION / ADULT & FURTHER EDUCATION SERVICES," £ 1,312.00 "
2023/24,JANUARY,03/01/24,16/01/24,ADVANCED BUILLDING &                    ,S1055Adv10656,X8400 DISABLED FACILITIES GRANT,Y50005 OTHER PROFESSIONAL - EXTERNAL,100004 LBH  / SUNDRY," £ 34,605.26 "
2023/24,JANUARY,17/11/23,03/01/24,ADVANCED BUILLDING &                    ,S1055Adv10656,X8400 DISABLED FACILITIES GRANT,Y50005 OTHER PROFESSIONAL - EXTERNAL,100004 LBH  / SUNDRY," £ 6,885.00 "
2023/24,JANUARY,15/12/23,16/01/24,ADVANCED BUILLDING &                    ,S1055Adv10656,X8409 GENERAL REPAIRS GRANT (GRG),Y50005 OTHER PROFESSIONAL - EXTERNAL,100004 LBH  / SUNDRY," £ 6,007.05 "
2023/24,JANUARY,15/12/23,16/01/24,ADVANCED BUILLDING &                    ,S1055Adv10656,X8400 DISABLED FACILITIES GRANT,Y50005 OTHER PROFESSIONAL - EXTERNAL,100004 LBH  / SUNDRY," £ 1,825.00 "
2023/24,JANUARY,01/12/23,16/01/24,ADVANCED BUILLDING &                    ,S1055Adv10656,X8400 DISABLED FACILITIES GRANT,Y50005 OTHER PROFESSIONAL - EXTERNAL,100004 LBH  / SUNDRY," £ 9,836.88 "
2023/24,JANUARY,10/11/23,03/01/24,ADVANCED BUILLDING &                    ,S1055Adv10656,X8400 DISABLED FACILITIES GRANT,Y50005 OTHER PROFESSIONAL - EXTERNAL,100004 LBH  / SUNDRY," £ 29,237.93 "
2023/24,JANUARY,29/12/23,30/01/24,ADVANCED BUSINESS SOLUTIONS,808927,J0007 FMS CONTRACT,500005 EXTERNAL CONTRACTORS,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 16,817.24 "
2023/24,JANUARY,24/11/23,17/01/24,AECOM LIMITED (FORMERLY FABER MAUNSELL),744769,J6012 EDUCATION PROPERTY,440040 CONSULTANCY FEES,"391100 WORKS - CONSTRUCTION, REPAIR & MAINTENANCE / BUILDINGS"," £ 4,750.00 "
2023/24,JANUARY,24/11/23,17/01/24,AECOM LIMITED (FORMERLY FABER MAUNSELL),744769,H0628 ASSET REVIEW,440105 OTHER PROFESSIONAL FEES,"391100 WORKS - CONSTRUCTION, REPAIR & MAINTENANCE / BUILDINGS"," £ 3,250.00 "
2023/24,JANUARY,22/01/24,30/01/24,AESTIMA LTD,823250,H2905 LEGAL DISREPAIR,440030 LEGAL FEES,LEGAL SERVICES / NOT ELSEWHERE CLASSIFIED, £ 660.00 
2023/24,JANUARY,30/11/23,24/01/24,AESTIMA LTD,823250,N2003 LEGAL EXT RECHARGEABLE WORK,440030 LEGAL FEES,LEGAL SERVICES / NOT ELSEWHERE CLASSIFIED, £ 660.00 
2023/24,JANUARY,08/12/23,17/01/24,AESTIMA LTD,823250,N2003 LEGAL EXT RECHARGEABLE WORK,440030 LEGAL FEES,LEGAL SERVICES / NOT ELSEWHERE CLASSIFIED, £ 715.00 
2023/24,JANUARY,08/12/23,23/01/24,AESTIMA LTD,823250,N2003 LEGAL EXT RECHARGEABLE WORK,440030 LEGAL FEES,LEGAL SERVICES / NOT ELSEWHERE CLASSIFIED, £ 385.00 
2023/24,JANUARY,08/01/24,12/01/24,AFFINITY FOSTERING SERVICES LTD,818174,F0152 PLACEMENTS - FOSTERING,520010 INDEPENDENT FOSTER CARERS,322003 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / FOSTERING (SERVICE)," £ 13,956.11 "
2023/24,JANUARY,10/01/24,30/01/24,AFRO CONSULTANCY SERVICES LTD,821217,D0858 SAFEGUARDING TEAM,500005 EXTERNAL CONTRACTORS,150000 CONSULTANCY," £ 3,000.00 "
2023/24,JANUARY,13/10/23,19/01/24,AGE UK,538036,D0589 HOSPITAL DISCHARGE CONTRACTS,500005 EXTERNAL CONTRACTORS,329999 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES  / NOT ELSEWHERE CLASSIFIED," £ 2,500.00 "
2023/24,JANUARY,27/07/23,30/01/24,AGIITO,822930,D0722 HPS TEMP ACCOM - B & B HGF,220000 RENTS,ARTS & LEISURE SERVICES / EVENTS," £ 4,284.92 "
2023/24,JANUARY,21/07/23,26/01/24,AGIITO,822930,D0722 HPS TEMP ACCOM - B & B HGF,200000 REPAIRS & MAINTENANCE,ARTS & LEISURE SERVICES / EVENTS, £ 552.50 
2023/24,JANUARY,27/04/23,30/01/24,AGIITO,822930,D0722 HPS TEMP ACCOM - B & B HGF,220000 RENTS,ARTS & LEISURE SERVICES / EVENTS," £ 6,739.77 "
2023/24,JANUARY,07/07/23,16/01/24,AGIITO,822930,D0722 HPS TEMP ACCOM - B & B HGF,200000 REPAIRS & MAINTENANCE,ARTS & LEISURE SERVICES / EVENTS," £ 3,420.50 "
2023/24,JANUARY,17/01/24,23/01/24,AGUDAS ISRAEL COMMUNITY SERVICES,814200,F9116 WOODBERRY DOWN CC EXT SERVICES,500005 EXTERNAL CONTRACTORS,321012 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / ADULT / BLACK & MINORITY ETHNIC SERVICES (SERVICE), £ 962.50 
2023/24,JANUARY,01/11/23,23/01/24,AGUDAS ISRAEL HOUSING ASSOCIATION LTD,744616,D0563 SUPPORTING PEOPLE PROGRAMME,520190 SUPPORTING PEOPLE - ACCOMMODAT,250005 HOUSING MANAGEMENT / HOUSING ASSOCIATION SERVICES," £ 28,307.25 "
2023/24,JANUARY,03/12/23,11/01/24,AGUDAS ISRAEL HOUSING ASSOCIATION LTD,744616,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,250005 HOUSING MANAGEMENT / HOUSING ASSOCIATION SERVICES," £ 27,070.63 "
2023/24,JANUARY,03/12/23,11/01/24,AGUDAS ISRAEL HOUSING ASSOCIATION LTD,744616,D0824 SUPPORT WITH MEMORY & COGNITIO,520050 HOME CARE - SPOT CONTRACTS,250005 HOUSING MANAGEMENT / HOUSING ASSOCIATION SERVICES," £ 2,484.72 "
2023/24,JANUARY,03/12/23,11/01/24,AGUDAS ISRAEL HOUSING ASSOCIATION LTD,744616,D0826 MENTAL HEALTH SUPPORT (ASC),520050 HOME CARE - SPOT CONTRACTS,250005 HOUSING MANAGEMENT / HOUSING ASSOCIATION SERVICES," £ 2,267.80 "
2023/24,JANUARY,03/12/23,11/01/24,AGUDAS ISRAEL HOUSING ASSOCIATION LTD,744616,D0829 MENTAL HEALTH SUPPORT (ELFT),520050 HOME CARE - SPOT CONTRACTS,250005 HOUSING MANAGEMENT / HOUSING ASSOCIATION SERVICES," £ 1,577.60 "
2023/24,JANUARY,13/08/23,16/01/24,AGUDAS ISRAEL HOUSING ASSOCIATION LTD,744616,D0829 MENTAL HEALTH SUPPORT (ELFT),520050 HOME CARE - SPOT CONTRACTS,250005 HOUSING MANAGEMENT / HOUSING ASSOCIATION SERVICES, £ 394.40 
2023/24,JANUARY,08/12/23,11/01/24,AID TRAINING AND OPERATIONS LTD,813708,F9105 EYS WORKFORCE & TRAINING,440085 NON-STAFF TRAINING COURSE FEES,261520 HUMAN RESOURCES / TRAINING & CONFERENCES / TRAINING, £ 325.00 
2023/24,JANUARY,08/01/24,12/01/24,AIM HIGH FOSTERING,822730,F0152 PLACEMENTS - FOSTERING,520010 INDEPENDENT FOSTER CARERS,322003 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / FOSTERING (SERVICE)," £ 6,642.86 "
2023/24,JANUARY,19/12/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 400.82 
2023/24,JANUARY,12/12/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 343.56 
2023/24,JANUARY,31/10/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 672.81 
2023/24,JANUARY,22/11/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 257.67 
2023/24,JANUARY,14/11/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 257.67 
2023/24,JANUARY,05/12/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 257.67 
2023/24,JANUARY,05/09/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 601.23 
2023/24,JANUARY,27/12/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 687.12 
2023/24,JANUARY,29/11/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 582.33 
2023/24,JANUARY,10/10/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 257.67 
2023/24,JANUARY,18/10/23,17/01/24,AIRMID STAFFING LIMITED,824980,F0201 DISABLED CHILDREN SERVICE DCS,520050 HOME CARE - SPOT CONTRACTS,HUMAN RESOURCES / RECRUITMENT & ASSESSMENT, £ 257.67 
