1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011541154,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 832.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100012006984,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100011 LBH  / LEAVING CARE, £ 500.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100012005984,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100011 LBH  / LEAVING CARE, £ 570.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011956382,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 540.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011955382,F0151 UNACC ASYLUM SEEKER CHILDREN,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011954382,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 540.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011953382,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011833984,F0150 PLACEMENTS - NON FOSTERING,520070 SUPPORTED LIVING,100011 LBH  / LEAVING CARE, £ 830.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011699825,F0153 THE ADOPTION SERVICE,520015 ADOPTION ALLOWANCES,100021 LBH  / INDIVIDUAL ADOPTERS, £ 541.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011565611,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 542.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011564593,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 569.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011563605,F0153 THE ADOPTION SERVICE,520020 RESI ALLOWC/CHILD ARRANGT ORDR,100021 LBH  / INDIVIDUAL ADOPTERS, £ 677.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011562615,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 635.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011554576,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 751.88 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8124297100011552503,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 420.24 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012129763,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 438.86 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012128763,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 480.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012127763,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 432.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012126763,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 480.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012114663,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 378.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012113663,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012112663,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012111663,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 378.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012088763,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100012087763,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 378.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8114297100011549742,F0153 THE ADOPTION SERVICE,520020 RESI ALLOWC/CHILD ARRANGT ORDR,100021 LBH  / INDIVIDUAL ADOPTERS, £ 984.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100012015072,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100012014072,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 358.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100011764993,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 573.80 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100011661479,F0153 THE ADOPTION SERVICE,520015 ADOPTION ALLOWANCES,100021 LBH  / INDIVIDUAL ADOPTERS, £ 755.48 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100011559112,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 858.12 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100011551112,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 858.12 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100011547113,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 944.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100011544649,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 569.20 
