Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
CORP,NATW02,Nat West One Card Bank (DD),30288898,535.12,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,350.12,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,531.81,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,753.6,2025-02-20 00:00:00,Supplies,External Printing
CORP,NATW02,Nat West One Card Bank (DD),30288898,956,2025-02-20 00:00:00,Supplies,External Printing
CORP,NATW02,Nat West One Card Bank (DD),30288898,250,2025-02-20 00:00:00,Supplies,External Printing
CORP,NATW02,Nat West One Card Bank (DD),30288898,709,2025-02-20 00:00:00,Supplies,External Printing
CORP,NATW02,Nat West One Card Bank (DD),30288898,384.8,2025-02-20 00:00:00,Supplies,IT Equipment Purchases & Maintenance
CORP,NATW02,Nat West One Card Bank (DD),30288898,504,2025-02-20 00:00:00,Supplies,Software Maintenance
CORP,NATW02,Nat West One Card Bank (DD),30288898,320.83,2025-02-20 00:00:00,Supplies,Stationery & Admin Supplies
CORP,NATW02,Nat West One Card Bank (DD),30288898,728.24,2025-02-20 00:00:00,Premises,Electricity
CORP,NCFE01,NCFE-Cache,10940906,2694,2025-01-31 00:00:00,Supplies,Professional Services - Curriculum
CORP,NEOP02,Neopost Ltd - Direct Debit,10931078,19814.78,2024-10-20 00:00:00,Supplies,Stationery & Admin Supplies
CORP,NEOP02,Neopost Ltd - Direct Debit,10937527,18394.55,2024-12-20 00:00:00,Supplies,Stationery & Admin Supplies
CORP,NEOP02,Neopost Ltd - Direct Debit,10942051,9542.57,2025-01-20 00:00:00,Supplies,Stationery & Admin Supplies
CORP,NEOP98,Neopost Ltd (a/c ending 301)/ Quadient Ltd,10941794,608.99,2024-09-19 00:00:00,Supplies,Stationery & Admin Supplies
CORP,NOWM01,NowMedical,10940715,340,2025-01-31 00:00:00,Contractual costs,Contract Payments - Private Contractors
CORP,NPOW01,NPower Ltd,20740736,328.77,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,338.42,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,1708.37,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,870.31,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,324.36,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,918.83,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,334.47,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,923.61,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,925.49,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,253.17,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,673.54,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,511.51,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20740736,385.25,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,406.14,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-630.67,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-664.48,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,324.79,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-686.63,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-664.49,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,272.24,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-817.01,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-686.63,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-774.15,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-664.17,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,335.62,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,335.62,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,324.79,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-813.22,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-774.2,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-749.23,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,10203.31,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,42435.39,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,335.62,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-953.63,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-786.99,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-813.22,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-813.22,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-786.99,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-813.22,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,1881.82,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,2257.6,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-786.99,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741238,-760.76,2024-12-14 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,432.22,2025-01-16 00:00:00,Premises,Electricity
