Service_Label,Service_Code,Service_Division_Label,Service_Division_Code,Organisational_Unit_Label,Organisational_Unit_Code,Merchant_Category,Summary_of_the_purpose_of_the_expenditure,Date,Transaction_Number,Capital_and_Revenue,Supplier_Name,Supplier_ID,Net_Amount
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,Oak lodge & Northlands Bupa Homes – Block Contracts,AQ0080,Private Contractors,Nursing Homes,07/01/2025,3726676,Revenue - General Fund,BUPA Care Services (Commissioning) Ltd,53224,2976.04
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,Oak lodge & Northlands Bupa Homes – Block Contracts,AQ0080,Private Contractors,Nursing Homes,07/01/2025,3726743,Revenue - General Fund,BUPA Care Services (Commissioning) Ltd,53224,225315.71
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,Oak lodge & Northlands Bupa Homes – Block Contracts,AQ0080,Private Contractors,Nursing Homes,07/02/2025,3733801,Revenue - General Fund,BUPA Care Services (Commissioning) Ltd,53224,225315.71
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,Oak lodge & Northlands Bupa Homes – Block Contracts,AQ0080,Private Contractors,Nursing Homes,22/01/2025,3727637,Revenue - General Fund,BUPA Care Services (Commissioning) Ltd,53224,331633.84
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Day Care Commissioning,AQ0110,Services,Purchased Services,21/01/2025,3729221,Revenue - General Fund,SCA Community Care Services,15301,2083.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Day Care Commissioning,AQ0110,Services,Purchased Services,21/01/2025,3729222,Revenue - General Fund,SCA Community Care Services,15301,40285.67
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Domestic Abuse & Sexual Violence,AQ0170,Grants and Subscriptions,Grants & Contributions,21/02/2025,3725693,Revenue - General Fund,Stonewater Ltd,20598,30000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Domestic Abuse & Sexual Violence,AQ0170,Services,Purchased Services,18/03/2025,3740371,Revenue - General Fund,Police & Crime Commissioner for Hampshire (Southern Support &Training),17909,20000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Healthwatch,AQ0130,Services,Purchased Services,13/03/2025,3741570,Revenue - General Fund,SVS - Voluntary Action Centre,21857,11105
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Healthwatch,AQ0130,Services,Purchased Services,17/01/2025,3728932,Revenue - General Fund,SVS - Voluntary Action Centre,21857,11105
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Healthwatch,AQ0130,Services,Purchased Services,17/01/2025,3728934,Revenue - General Fund,SVS - Voluntary Action Centre,21857,11105
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,01/04/2025,3744226,Revenue - General Fund,The Salvation Army Trustee Co Social Fund,17874,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,04/02/2025,3732527,Revenue - General Fund,Society Of St James,17154,2500
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,05/02/2025,3732448,Revenue - General Fund,Society Of St James,17154,5193.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,05/02/2025,3732523,Revenue - General Fund,Society Of St James,17154,7800.49
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,05/02/2025,3732525,Revenue - General Fund,Society Of St James,17154,29047.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,05/02/2025,3732528,Revenue - General Fund,Society Of St James,17154,2500
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,07/02/2025,3733965,Revenue - General Fund,The Salvation Army Trustee Co Social Fund,17874,9062.75
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,10/01/2025,3727796,Revenue - General Fund,The Salvation Army Trustee Co Social Fund,17874,9062.75
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,13/03/2025,3740284,Revenue - General Fund,Society Of St James,17154,7800.49
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,13/03/2025,3740286,Revenue - General Fund,Society Of St James,17154,29047.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,13/03/2025,3740289,Revenue - General Fund,Society Of St James,17154,2500
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,17/01/2025,3728612,Revenue - General Fund,Society Of St James,17154,833.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,18/02/2025,3736253,Revenue - General Fund,Outcome Home,32034,3250
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,21/02/2025,3732526,Revenue - General Fund,Society Of St James,17154,4285.71
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,21/02/2025,3736994,Revenue - General Fund,Two Saints Ltd,13821,16873.01
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,21/02/2025,3737080,Revenue - General Fund,Two Saints Ltd,13821,3175
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,22/01/2025,3729906,Revenue - General Fund,Two Saints Ltd,13821,3175
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,24/02/2025,3736254,Revenue - General Fund,Outcome Home,32034,3250
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,24/02/2025,3737326,Revenue - General Fund,Society Of St James,17154,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,25/03/2025,3743668,Revenue - General Fund,Two Saints Ltd,13821,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,25/03/2025,3744218,Revenue - General Fund,Society Of St James,17154,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,25/03/2025,3744219,Revenue - General Fund,Society Of St James,17154,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,25/03/2025,3744220,Revenue - General Fund,Society Of St James,17154,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,25/03/2025,3744222,Revenue - General Fund,Society Of St James,17154,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,25/03/2025,3744223,Revenue - General Fund,Two Saints Ltd,13821,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,25/03/2025,3744224,Revenue - General Fund,Two Saints Ltd,13821,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,27/01/2025,3730646,Revenue - General Fund,Two Saints Ltd,13821,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,27/01/2025,3730650,Revenue - General Fund,Two Saints Ltd,13821,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,28/03/2025,3745384,Revenue - General Fund,NHS Hampshire and Isle of Wight ICB,19743,17500
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,31/03/2025,3745320,Revenue - General Fund,NHS Hampshire and Isle of Wight ICB,19743,29973.66
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,05/02/2025,3732446,Revenue - General Fund,Society Of St James,17154,12230.4
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,05/02/2025,3732447,Revenue - General Fund,Society Of St James,17154,38562.98
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,05/02/2025,3732551,Revenue - General Fund,Society Of St James,17154,48462.96
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,05/02/2025,3732552,Revenue - General Fund,Society Of St James,17154,13666.25
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,05/02/2025,3733119,Revenue - General Fund,YMCA Fairthorne Group (Residential),21922,21658
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,07/02/2025,3732554,Revenue - General Fund,Society Of St James,17154,17927.52
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,07/02/2025,3733964,Revenue - General Fund,The Salvation Army Trustee Co Social Fund,17874,25911.6
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,10/01/2025,3727495,Revenue - General Fund,Step by Step Partnership Ltd,15089,4250
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,10/01/2025,3727497,Revenue - General Fund,Step by Step Partnership Ltd,15089,3788.73
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,11/01/2025,3727496,Revenue - General Fund,Step by Step Partnership Ltd,15089,2125
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,13/02/2025,3734644,Revenue - General Fund,Step by Step Partnership Ltd,15089,2125
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,13/03/2025,3740276,Revenue - General Fund,Society Of St James,17154,17927.52
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,13/03/2025,3740277,Revenue - General Fund,Society Of St James,17154,12230.4
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,13/03/2025,3740278,Revenue - General Fund,Society Of St James,17154,38562.98
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,13/03/2025,3740282,Revenue - General Fund,Society Of St James,17154,48462.96
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,13/03/2025,3741028,Revenue - General Fund,Step by Step Partnership Ltd,15089,2125
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/01/2025,3728604,Revenue - General Fund,Society Of St James,17154,13666.25
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/01/2025,3728607,Revenue - General Fund,Society Of St James,17154,12230.4
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,20/01/2025,3728606,Revenue - General Fund,Society Of St James,17154,17927.52
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,21/02/2025,3736990,Revenue - General Fund,Two Saints Ltd,13821,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,21/02/2025,3736991,Revenue - General Fund,Two Saints Ltd,13821,9717.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,21/02/2025,3736992,Revenue - General Fund,Two Saints Ltd,13821,17125.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,21/02/2025,3736993,Revenue - General Fund,Two Saints Ltd,13821,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,22/01/2025,3729901,Revenue - General Fund,Two Saints Ltd,13821,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,22/01/2025,3729902,Revenue - General Fund,Two Saints Ltd,13821,9717.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,25/03/2025,3743710,Revenue - General Fund,Two Saints Ltd,13821,30000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,06/01/2025,3725851,Revenue - General Fund,Youth Options,20077,2059.79
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,10/02/2025,3734297,Revenue - General Fund,Youth Options,20077,2059.79
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,10/03/2025,3740455,Revenue - General Fund,Weston Church Youth Project,21568,1833.34
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,11/02/2025,3729245,Revenue - General Fund,SoCo Music Project,15386,750
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,12/02/2025,3734811,Revenue - General Fund,Saints in the Community/Saints Foundation,20116,750
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,13/03/2025,3738422,Revenue - General Fund,City Reach Project,14340,2096.08
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,21/02/2025,3732934,Revenue - General Fund,SoCo Music Project,15386,750
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,22/01/2025,3729244,Revenue - General Fund,SoCo Music Project,15386,3750
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,13/03/2025,3741569,Revenue - General Fund,SVS - Voluntary Action Centre,21857,29745.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,17/01/2025,3728931,Revenue - General Fund,SVS - Voluntary Action Centre,21857,29745.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,17/01/2025,3728933,Revenue - General Fund,SVS - Voluntary Action Centre,21857,29745.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Grants and Subscriptions,Grants & Contributions,18/02/2025,3736477,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,32344.15
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Services,Purchased Services,07/01/2025,3725930,Revenue - General Fund,No Limits,20091,40208.08
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Services,Purchased Services,21/02/2025,3731802,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,186976.75
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Services,Purchased Services,30/01/2025,3731801,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,120120.54
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Supp Substance Misuse Treatment and Recovery Grant,AQ0340,Grants and Subscriptions,Grants & Contributions,07/01/2025,3725913,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,282490
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Supp Substance Misuse Treatment and Recovery Grant,AQ0340,Grants and Subscriptions,Grants & Contributions,18/03/2025,3739747,Revenue - General Fund,No Limits,20091,25715.75
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Resourcing,COMRE,ICU Provider Relationships Staffing,AQ0180,Miscellaneous and Initiative Expenses,Other Expenses,09/01/2025,3727225,Revenue - General Fund,London Borough of Ealing(Ealing Council),28478,21000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Resourcing,COMRE,ICU Provider Relationships Staffing,AQ0180,Miscellaneous and Initiative Expenses,Other Expenses,21/01/2025,3729704,Revenue - General Fund,Oxford Brookes University,46867,500
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Resourcing,COMRE,ICU Provider Relationships Staffing,AQ0180,Miscellaneous and Initiative Expenses,Other Expenses,21/02/2025,3733140,Revenue - General Fund,Hampshire County Council (Main),18625,47058
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Resourcing,COMRE,ICU Provider Relationships Staffing,AQ0180,Services,Purchased Services,28/03/2025,3745329,Revenue - General Fund,NHS Hampshire and Isle of Wight ICB,19743,26836.27
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Advocacy,AQ0190,Services,Purchased Services,13/03/2025,3741468,Revenue - General Fund,The Advocacy People,16381,31474.42
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Advocacy,AQ0190,Services,Purchased Services,27/03/2025,3744683,Revenue - General Fund,The Advocacy People,16381,31474.38
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Miscellaneous and Initiative Expenses,Other Expenses,16/01/2025,3726933,Revenue - General Fund,Communicare in Southampton,17697,8099.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Other LA's,Payments To Other Local Authorities,07/01/2025,3726668,Revenue - General Fund,Hampshire County Council (Main),18625,25900
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Other LA's,Payments To Other Local Authorities,26/02/2025,3726667,Revenue - General Fund,Hampshire County Council (Main),18625,25900
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Peer Support,AQ0230,Services,Purchased Services,26/02/2025,3727611,Revenue - General Fund,Solent Mind,21031,23486
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Rose Road & Way Ahead Respite,AQ0070,Services,Purchased Services,03/01/2025,3726397,Revenue - General Fund,Way Ahead Leisure Pursuits Ltd,20286,21157.04
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Rose Road & Way Ahead Respite,AQ0070,Services,Purchased Services,07/03/2025,3740155,Revenue - General Fund,Way Ahead Leisure Pursuits Ltd,20286,21157.04
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Rose Road & Way Ahead Respite,AQ0070,Services,Purchased Services,21/02/2025,3734102,Revenue - General Fund,Rose Road Association,21033,28460.99
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Rose Road & Way Ahead Respite,AQ0070,Services,Purchased Services,22/01/2025,3727160,Revenue - General Fund,Rose Road Association,21033,28460.99
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Disability Admin Account,AA0310,Services,Purchased Services,05/02/2025,3726849,Revenue - General Fund,Allied Publicity Services (Manchester)  Limited,16146,1497.55
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Disability Admin Account,AA0310,Services,Purchased Services,11/02/2025,3731493,Revenue - General Fund,Valtech Ltd,19317,553.2
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Programme - Pre-Paid Cards,AA0210,Miscellaneous and Initiative Expenses,Other Expenses,05/02/2025,3727304,Revenue - General Fund,Allpay Limited - General Fees,19392,1448.98
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Programme - Pre-Paid Cards,AA0210,Miscellaneous and Initiative Expenses,Other Expenses,13/03/2025,3734884,Revenue - General Fund,Allpay Limited - General Fees,19392,1421.43
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Programme - Pre-Paid Cards,AA0210,Miscellaneous and Initiative Expenses,Other Expenses,31/03/2025,3734883,Revenue - General Fund,Allpay Limited - General Fees,19392,2196.03
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Programme - Pre-Paid Cards,AA0210,Miscellaneous and Initiative Expenses,Other Expenses,31/03/2025,3741168,Revenue - General Fund,Allpay Limited - General Fees,19392,1206.83
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Carer Support Allowances,AA0180,Private Contractors,Private Providers,10/01/2025,17341065,Revenue - General Fund,SUPPLIER NAME REDACTED,46797,-608.1
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Carer Support Allowances,AA0180,Private Contractors,Private Providers,10/02/2025,17349371,Revenue - General Fund,SUPPLIER NAME REDACTED,49124,-850.96
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Carer Support Allowances,AA0180,Private Contractors,Private Providers,10/02/2025,17349375,Revenue - General Fund,SUPPLIER NAME REDACTED,48044,-581.65
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Carer Support Allowances,AA0180,Private Contractors,Private Providers,10/02/2025,17349385,Revenue - General Fund,SUPPLIER NAME REDACTED,48626,-693.51
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Carer Support Allowances,AA0180,Private Contractors,Private Providers,10/03/2025,17357980,Revenue - General Fund,SUPPLIER NAME REDACTED,49399,-856.82
