Service_Label,Service_Code,Service_Division_Label,Service_Division_Code,Organisational_Unit_Label,Organisational_Unit_Code,Merchant_Category,Summary_of_the_purpose_of_the_expenditure,Date,Transaction_Number,Capital_and_Revenue,Supplier_Name,Supplier_ID,Net_Amount
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,24/06/2024,3684348,Revenue - General Fund,Society Of St James,17154,32000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,29/05/2024,3677548,Revenue - General Fund,Society Of St James,17154,5193.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,29/05/2024,3677553,Revenue - General Fund,Society Of St James,17154,29047.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,30/05/2024,3674495,Revenue - General Fund,Two Saints Ltd,13821,16873.01
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,30/05/2024,3674497,Revenue - General Fund,Two Saints Ltd,13821,3333.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,03/06/2024,3676467,Revenue - General Fund,Step by Step Partnership Ltd,15089,2125
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,05/04/2024,3669428,Revenue - General Fund,Society Of St James,17154,18057
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,05/04/2024,3669430,Revenue - General Fund,Society Of St James,17154,12230.4
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,05/04/2024,3669433,Revenue - General Fund,Society Of St James,17154,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,12/04/2024,3670064,Revenue - General Fund,Step by Step Partnership Ltd,15089,2760.78
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,12/06/2024,3677546,Revenue - General Fund,Society Of St James,17154,38562.98
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,12/06/2024,3677549,Revenue - General Fund,Society Of St James,17154,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,15/04/2024,3670098,Revenue - General Fund,Step by Step Partnership Ltd,15089,2125
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,16/05/2024,3674493,Revenue - General Fund,Two Saints Ltd,13821,9717.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/06/2024,3674483,Revenue - General Fund,Two Saints Ltd,13821,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/06/2024,3674485,Revenue - General Fund,Two Saints Ltd,13821,9717.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/06/2024,3676927,Revenue - General Fund,The Salvation Army Trustee Co Social Fund,17874,25911.6
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/06/2024,3678631,Revenue - General Fund,Two Saints Ltd,13821,18768.75
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/06/2024,3678634,Revenue - General Fund,Two Saints Ltd,13821,17125.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/06/2024,3678635,Revenue - General Fund,Two Saints Ltd,13821,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/06/2024,3682772,Revenue - General Fund,Society Of St James,17154,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,17/06/2024,3683331,Revenue - General Fund,Step by Step Partnership Ltd,15089,4250
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,19/06/2024,3682771,Revenue - General Fund,Society Of St James,17154,38562.98
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,30/05/2024,3674482,Revenue - General Fund,Two Saints Ltd,13821,18768.75
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,30/05/2024,3674491,Revenue - General Fund,Two Saints Ltd,13821,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,30/05/2024,3677544,Revenue - General Fund,Society Of St James,17154,17927.52
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Services,Purchased Services,30/05/2024,3678632,Revenue - General Fund,Two Saints Ltd,13821,9828
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,12/06/2024,3676188,Revenue - General Fund,Saints in the Community/Saints Foundation,20116,750
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,15/05/2024,3669230,Revenue - General Fund,Saints in the Community/Saints Foundation,20116,750
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Play and Youth,AQ0240,Services,Purchased Services,19/04/2024,3670523,Revenue - General Fund,Youth Options,20077,2059.79
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Miscellaneous and Initiative Expenses,Other Expenses,10/04/2024,3668927,Revenue - General Fund,SARC,21870,1500
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,02/04/2024,3667205,Revenue - General Fund,SVS - Voluntary Action Centre,21857,29745.83
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,02/04/2024,3667209,Revenue - General Fund,SVS - Voluntary Action Centre,21857,29745.83
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,05/06/2024,3680957,Revenue - General Fund,Southampton Citizens Advice Bureau,18130,58471.9
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,12/06/2024,3682267,Revenue - General Fund,SVS - Voluntary Action Centre,21857,29745.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,14/06/2024,3672099,Revenue - General Fund,SVS - Voluntary Action Centre,21857,29745.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,14/06/2024,3672100,Revenue - General Fund,SVS - Voluntary Action Centre,21857,3855.67
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Southampton Citizens - Residential Care Advice S75,AQ0090,Services,Purchased Services,14/06/2024,3675894,Revenue - General Fund,Southampton Citizens Advice Bureau,18130,58471.9
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Grants and Subscriptions,Grants & Contributions,02/04/2024,3667229,Revenue - General Fund,NHS Hampshire and Isle of Wight ICB,19743,16250
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Grants and Subscriptions,Grants & Contributions,12/04/2024,3670515,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,186035.35
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Grants and Subscriptions,Grants & Contributions,12/04/2024,3670518,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,158311.37
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Grants and Subscriptions,Grants & Contributions,19/04/2024,3670516,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,25312.65
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Services,Purchased Services,11/04/2024,3668587,Revenue - General Fund,No Limits,20091,40206.58
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Services,Purchased Services,19/04/2024,3670514,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,48524.16
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Substance Use,AQ0020,Services,Purchased Services,24/06/2024,3683406,Revenue - General Fund,No Limits,20091,40208.08
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Supp Substance Misuse Treatment and Recovery Grant,AQ0340,Grants and Subscriptions,Grants & Contributions,03/04/2024,3667693,Revenue - General Fund,Alcohol Research UK,52820,5000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Supp Substance Misuse Treatment and Recovery Grant,AQ0340,Grants and Subscriptions,Grants & Contributions,12/06/2024,3680516,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,1932.51
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Supp Substance Misuse Treatment and Recovery Grant,AQ0340,Grants and Subscriptions,Grants & Contributions,15/05/2024,3674698,Revenue - General Fund,Hampshire County Council (Main),18625,812.24
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Supp Substance Misuse Treatment and Recovery Grant,AQ0340,Grants and Subscriptions,Grants & Contributions,19/04/2024,3671622,Revenue - General Fund,No Limits,20091,-17087.62
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Supp Substance Misuse Treatment and Recovery Grant,AQ0340,Grants and Subscriptions,Grants & Contributions,24/06/2024,3680514,Revenue - General Fund,Change Grow Live (CGL) Services Ltd,15040,163565.66
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Advocacy,AQ0190,Services,Purchased Services,29/05/2024,3676890,Revenue - General Fund,The Advocacy People,16381,31474.42
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Learning Disability Housing,AQ0050,Grants and Subscriptions,Grants & Contributions,21/06/2024,3685026,Revenue - General Fund,Southampton Autism Support Service,52670,5392
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Grants and Subscriptions,Grants & Contributions,11/04/2024,3669438,Revenue - General Fund,Society Of St James,17154,2138.92
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Grants and Subscriptions,Grants & Contributions,16/05/2024,3671606,Revenue - General Fund,Outcome Home,32034,32832
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Grants and Subscriptions,Grants & Contributions,30/05/2024,3671607,Revenue - General Fund,Outcome Home,32034,32832
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Miscellaneous and Initiative Expenses,Other Expenses,03/04/2024,3666965,Revenue - General Fund,Communicare in Southampton,17697,26998.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Miscellaneous and Initiative Expenses,Other Expenses,17/05/2024,3677096,Revenue - General Fund,Communicare in Southampton,17697,8999.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Services,Purchased Services,02/04/2024,3667233,Revenue - General Fund,NHS Hampshire and Isle of Wight ICB,19743,99972
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Services,Purchased Services,13/06/2024,3676490,Revenue - General Fund,Home Group Ltd,15313,184756.25
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Mental Health Commissioning - part S75,AQ0040,Services,Purchased Services,26/06/2024,3686438,Revenue - General Fund,Home Group Ltd,15313,-26153.74
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Rose Road & Way Ahead Respite,AQ0070,Services,Purchased Services,15/04/2024,3669020,Revenue - General Fund,Rose Road Association,21033,25920.76
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Whole Life Pathways,COMWL,Rose Road & Way Ahead Respite,AQ0070,Services,Purchased Services,15/04/2024,3669199,Revenue - General Fund,Way Ahead Leisure Pursuits Ltd,20286,20441.59
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Admiral Nursing,AA0190,Services,Purchased Services,10/05/2024,3675803,Revenue - General Fund,NHS Hampshire and Isle of Wight ICB,19743,48919
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Disability Admin Account,AA0310,Services,Purchased Services,07/06/2024,3674558,Revenue - General Fund,Valtech Ltd,19317,534.06
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Disability Admin Account,AA0310,Services,Purchased Services,10/06/2024,3674661,Revenue - General Fund,Allied Publicity Services (Manchester)  Limited,16146,1145.52
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Disability Admin Account,AA0310,Services,Purchased Services,12/06/2024,3680804,Revenue - General Fund,Allied Publicity Services (Manchester)  Limited,16146,671.92
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Disability Admin Account,AA0310,Services,Purchased Services,23/04/2024,3660675,Revenue - General Fund,Allied Publicity Services (Manchester)  Limited,16146,784.4
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Programme - Pre-Paid Cards,AA0210,Miscellaneous and Initiative Expenses,Other Expenses,28/06/2024,3676004,Revenue - General Fund,Allpay Limited - General Fees,19392,962.7
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Adult Programme - Pre-Paid Cards,AA0210,Services,Purchased Services,02/05/2024,3669475,Revenue - General Fund,Allpay Limited - General Fees,19392,947.96
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,Carer Support Allowances,AA0180,Private Contractors,ASC Residential Care Expenditure,03/04/2024,17262609,Revenue - General Fund,Oaklands Rest Home,18630,3278.57
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Direct Payments Expenditure,24/06/2024,17285738,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,1092.6
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Direct Payments Expenditure,26/04/2024,17269514,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,1092.6
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Nursing Home Expenditure,10/04/2024,17264277,Revenue - General Fund,Methodist Homes t/a Hampton Lodge,14456,23921.89
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Nursing Home Expenditure,10/04/2024,17266146,Revenue - General Fund,Pegmar Ltd,18159,4577.53
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Nursing Home Expenditure,10/04/2024,17266324,Revenue - General Fund,Methodist Homes t/a Hampton Lodge,14456,6030.73
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Nursing Home Expenditure,10/05/2024,17273977,Revenue - General Fund,Pegmar Ltd,18159,5314.28
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Nursing Home Expenditure,10/05/2024,17273996,Revenue - General Fund,Pegmar Ltd,18159,4730.11
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Nursing Home Expenditure,10/05/2024,17274107,Revenue - General Fund,Methodist Homes t/a Hampton Lodge,14456,6231.75
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Nursing Home Expenditure,10/06/2024,17282981,Revenue - General Fund,Methodist Homes t/a Hampton Lodge,14456,6030.73
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Nursing Home Expenditure,10/06/2024,17283056,Revenue - General Fund,Waverley Lodge Nursing Home,15310,3939.64
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Residential Care Expenditure,10/04/2024,17264307,Revenue - General Fund,Peartree House,18631,-9833.75
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Residential Care Expenditure,10/04/2024,17265791,Revenue - General Fund,Holmhurst Care Home,15269,3045.6
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Residential Care Expenditure,10/04/2024,17266016,Revenue - General Fund,St Andrews Residential Care Home (T/a Choice Ltd),20799,11141.4
