Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101083596,45224,INSIGHT DIRECT (UK) LIMITED,3591.5
Finance & Resources,Consultancy,Professional Fees,5101083787,45225,VIVID RESOURCING A DIVISION OF G2V,7350
Finance & Resources,Consultancy,Professional Fees,5101083769,45225,LOCAL GOV BI LTD,6039.5
City Development,R&M - Building Works,R&M Technical Support,5101083758,45225,COLT INTERNATIONAL LTD,2449
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101083807,45225,INSIGHT DIRECT (UK) LIMITED,1958.9
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101083844,45226,SEGURO RECRUITMENT LTD,2726
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101083833,45226,SITE SAFE TRAFFIC SOLUTIONS LTD,550
Finance & Resources,Consultancy,Professional Fees,5101083964,45229,VIVID RESOURCING A DIVISION OF G2V,3675
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101084055,45229,QUICK STAY PROPERTY SOLUTIONS,2800
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906054369,45229,****REDACTED PERSONAL INFO****,-1120
Strategy & Change Di,Data Circuits,Communications,5101084141,45230,LONDON GRID FOR LEARNING TRUST,1159.9
Strategy & Change Di,Software (General),Computing,5101084192,45231,SUPPORT REVOLUTION LTD,102782.53
Neighbourhoods,Private Companies,Agency & Contract Services,1906055702,45231,BEDSPACE RESOURCE LTD,83000
Strategy & Change Di,IT Equip&Comm-Maint,Computing,5101084192,45231,SUPPORT REVOLUTION LTD,32000
Neighbourhoods,VoluntaryAssoc.17/18,Agency & Contract Services,5101084177,45231,COMMUNITY SAFE (UK) LTD,2200
Children & Young Peo,Room Hire,Expenses,5101084211,45231,QUICK STAY PROPERTY SOLUTIONS,1575
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,1906056855,45232,BLUEBELL PARK SCHOOL,22947
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,1906056798,45232,LANCASHIRE COUNTY COUNCIL,6252
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059803,45232,MATRIX SCM LTD,5060.5
Neighbourhoods,Agency Admin/Cleric,Professional,1906059830,45232,MATRIX SCM LTD,4540.8
Neighbourhoods,Agency Admin/Cleric,Professional,1906059753,45232,MATRIX SCM LTD,4230.95
Neighbourhoods,Other Computing (Gen,Computing,5101084309,45232,BERRICK COMPUTING,4160
Adult Services & Hea,Agency Admin/Cleric,Professional,1906060005,45232,MATRIX SCM LTD,4158.3
Neighbourhoods,Agency Admin/Cleric,Professional,1906059880,45232,MATRIX SCM LTD,3595.25
Children & Young Peo,Agency Admin/Cleric,Professional,1906059839,45232,MATRIX SCM LTD,3577.7
Neighbourhoods,Agency Admin/Cleric,Professional,1906059998,45232,MATRIX SCM LTD,3408.95
Children & Young Peo,Agency Admin/Cleric,Professional,1906059824,45232,MATRIX SCM LTD,3222.1
Neighbourhoods,Agency Admin/Cleric,Professional,1906059961,45232,MATRIX SCM LTD,3213.98
Strategy & Change Di,Counsel Fees,Professional Fees,1906056852,45232,****REDACTED PERSONAL INFO****,3000
Strategy & Change Di,Agency Admin/Cleric,Professional,1906059828,45232,MATRIX SCM LTD,2897.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906059862,45232,MATRIX SCM LTD,2816.4
Neighbourhoods,Agency Admin/Cleric,Professional,1906059859,45232,MATRIX SCM LTD,2718.65
Children & Young Peo,Agency Admin/Cleric,Professional,1906060014,45232,MATRIX SCM LTD,2694.35
Children & Young Peo,Agency Admin/Cleric,Professional,1906060021,45232,MATRIX SCM LTD,2613.24
City Law & Governanc,Agency Admin/Cleric,Professional,1906059874,45232,MATRIX SCM LTD,2471.35
Neighbourhoods,Agency Admin/Cleric,Professional,1906059861,45232,MATRIX SCM LTD,2395.03
Children & Young Peo,Agency Admin/Cleric,Professional,1906059875,45232,MATRIX SCM LTD,2362.7
Children & Young Peo,Agency Admin/Cleric,Professional,1906059762,45232,MATRIX SCM LTD,2203.32
City Law & Governanc,Agency Admin/Cleric,Professional,1906059892,45232,MATRIX SCM LTD,2189.76
City Law & Governanc,Agency Admin/Cleric,Professional,1906059794,45232,MATRIX SCM LTD,2188.22
City Law & Governanc,Agency Admin/Cleric,Professional,1906059754,45232,MATRIX SCM LTD,2154.56
City Law & Governanc,Agency Admin/Cleric,Professional,1906059785,45232,MATRIX SCM LTD,2154.56
City Law & Governanc,Agency Admin/Cleric,Professional,1906059787,45232,MATRIX SCM LTD,2154.56
City Law & Governanc,Agency Admin/Cleric,Professional,1906059789,45232,MATRIX SCM LTD,2154.56
Children & Young Peo,Agency Admin/Cleric,Professional,1906059853,45232,MATRIX SCM LTD,2146.62
Children & Young Peo,Agency Admin/Cleric,Professional,1906059750,45232,MATRIX SCM LTD,2132.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906059895,45232,MATRIX SCM LTD,2132.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906059942,45232,MATRIX SCM LTD,2130.4
Children & Young Peo,Agency Admin/Cleric,Professional,1906059825,45232,MATRIX SCM LTD,2117.7
Children & Young Peo,Agency Admin/Cleric,Professional,1906059742,45232,MATRIX SCM LTD,2077.14
Neighbourhoods,Agency Admin/Cleric,Professional,1906059752,45232,MATRIX SCM LTD,2066.68
City Law & Governanc,Agency Admin/Cleric,Professional,1906059914,45232,MATRIX SCM LTD,2056.28
City Law & Governanc,Agency Admin/Cleric,Professional,1906059793,45232,MATRIX SCM LTD,2053.57
City Law & Governanc,Agency Admin/Cleric,Professional,1906059792,45232,MATRIX SCM LTD,2019.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906059743,45232,MATRIX SCM LTD,1993.02
Children & Young Peo,Agency Admin/Cleric,Professional,1906059747,45232,MATRIX SCM LTD,1970.62
City Law & Governanc,Agency Admin/Cleric,Professional,1906059791,45232,MATRIX SCM LTD,1952.54
Children & Young Peo,Agency Admin/Cleric,Professional,1906059758,45232,MATRIX SCM LTD,1918.32
Children & Young Peo,Agency Admin/Cleric,Professional,1906059759,45232,MATRIX SCM LTD,1918.32
Children & Young Peo,Agency Admin/Cleric,Professional,1906059760,45232,MATRIX SCM LTD,1918.32
Children & Young Peo,Agency Admin/Cleric,Professional,1906059783,45232,MATRIX SCM LTD,1918.32
Children & Young Peo,Agency Admin/Cleric,Professional,1906059972,45232,MATRIX SCM LTD,1905.05
Neighbourhoods,Agency Admin/Cleric,Professional,1906059772,45232,MATRIX SCM LTD,1866.2
City Law & Governanc,Agency Admin/Cleric,Professional,1906059790,45232,MATRIX SCM LTD,1851.57
Neighbourhoods,Agency Admin/Cleric,Professional,1906059900,45232,MATRIX SCM LTD,1832.95
Children & Young Peo,Agency Admin/Cleric,Professional,1906059908,45232,MATRIX SCM LTD,1831.57
Children & Young Peo,Agency Admin/Cleric,Professional,1906059976,45232,MATRIX SCM LTD,1814.4
City Development,Agency Admin/Cleric,Professional,1906059831,45232,MATRIX SCM LTD,1804.15
City Law & Governanc,Agency Admin/Cleric,Professional,1906059795,45232,MATRIX SCM LTD,1767.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059739,45232,MATRIX SCM LTD,1738.65
Children & Young Peo,Agency Admin/Cleric,Professional,1906060013,45232,MATRIX SCM LTD,1727.6
Children & Young Peo,Agency Admin/Cleric,Professional,1906059909,45232,MATRIX SCM LTD,1722
Children & Young Peo,Agency Admin/Cleric,Professional,1906059782,45232,MATRIX SCM LTD,1719.2
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059935,45232,MATRIX SCM LTD,1711.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906059806,45232,MATRIX SCM LTD,1700.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059749,45232,MATRIX SCM LTD,1677.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059812,45232,MATRIX SCM LTD,1677.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906059745,45232,MATRIX SCM LTD,1670.2
Children & Young Peo,Agency Admin/Cleric,Professional,1906059746,45232,MATRIX SCM LTD,1670.2
Children & Young Peo,Agency Admin/Cleric,Professional,1906060007,45232,MATRIX SCM LTD,1670.2
Children & Young Peo,Agency Admin/Cleric,Professional,1906060026,45232,MATRIX SCM LTD,1669.81
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059822,45232,MATRIX SCM LTD,1668.4
City Development,Agency Admin/Cleric,Professional,1906059771,45232,MATRIX SCM LTD,1662.78
City Development,Agency Admin/Cleric,Professional,1906060023,45232,MATRIX SCM LTD,1662.78
Adult Services & Hea,Agency Admin/Cleric,Professional,1906060034,45232,MATRIX SCM LTD,1660.1
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059863,45232,MATRIX SCM LTD,1657.46
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059866,45232,MATRIX SCM LTD,1652.26
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059833,45232,MATRIX SCM LTD,1650.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059940,45232,MATRIX SCM LTD,1650.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059836,45232,MATRIX SCM LTD,1648.1
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101084278,45232,TEST METER GROUP LTD,1648
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059821,45232,MATRIX SCM LTD,1642.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906059751,45232,MATRIX SCM LTD,1642.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906059810,45232,MATRIX SCM LTD,1642.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059811,45232,MATRIX SCM LTD,1642.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059938,45232,MATRIX SCM LTD,1642.9
Strategy & Change Di,Agency Admin/Cleric,Professional,1906059889,45232,MATRIX SCM LTD,1640.55
Strategy & Change Di,Agency Admin/Cleric,Professional,1906059993,45232,MATRIX SCM LTD,1640.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906059850,45232,MATRIX SCM LTD,1632.75
Children & Young Peo,Agency Admin/Cleric,Professional,1906059756,45232,MATRIX SCM LTD,1631.15
City Development,Agency Admin/Cleric,Professional,1906059877,45232,MATRIX SCM LTD,1628
Children & Young Peo,Agency Admin/Cleric,Professional,1906059887,45232,MATRIX SCM LTD,1627.99
Children & Young Peo,Agency Admin/Cleric,Professional,1906059971,45232,MATRIX SCM LTD,1627.84
Children & Young Peo,Agency Admin/Cleric,Professional,1906059761,45232,MATRIX SCM LTD,1622.01
City Law & Governanc,Agency Admin/Cleric,Professional,1906059786,45232,MATRIX SCM LTD,1615.92
Children & Young Peo,Agency Admin/Cleric,Professional,1906059841,45232,MATRIX SCM LTD,1614.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906059919,45232,MATRIX SCM LTD,1611.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906059931,45232,MATRIX SCM LTD,1598.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906059999,45232,MATRIX SCM LTD,1594.95
Children & Young Peo,Agency Admin/Cleric,Professional,1906059884,45232,MATRIX SCM LTD,1579.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906059885,45232,MATRIX SCM LTD,1579.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906059819,45232,MATRIX SCM LTD,1545.95
Children & Young Peo,Agency Admin/Cleric,Professional,1906059905,45232,MATRIX SCM LTD,1542.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906059906,45232,MATRIX SCM LTD,1542.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906060016,45232,MATRIX SCM LTD,1538.13
Children & Young Peo,Agency Admin/Cleric,Professional,1906059838,45232,MATRIX SCM LTD,1523.3
Children & Young Peo,Agency Admin/Cleric,Professional,1906059991,45232,MATRIX SCM LTD,1517.25
Children & Young Peo,Agency Admin/Cleric,Professional,1906059805,45232,MATRIX SCM LTD,1503.3
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059857,45232,MATRIX SCM LTD,1486.14
Neighbourhoods,Agency Admin/Cleric,Professional,1906059893,45232,MATRIX SCM LTD,1477.2
Children & Young Peo,Agency Admin/Cleric,Professional,1906059851,45232,MATRIX SCM LTD,1463.2
Children & Young Peo,Agency Admin/Cleric,Professional,1906059809,45232,MATRIX SCM LTD,1438.35
Children & Young Peo,Agency Admin/Cleric,Professional,1906059826,45232,MATRIX SCM LTD,1423.3
City Development,Agency Admin/Cleric,Professional,5101084243,45232,ACCOUNTABLE RECRUITMENT LTD,1420.65
City Law & Governanc,Agency Admin/Cleric,Professional,1906059927,45232,MATRIX SCM LTD,1415.4
Children & Young Peo,Agency Admin/Cleric,Professional,1906059837,45232,MATRIX SCM LTD,1399.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906059769,45232,MATRIX SCM LTD,1396.95
City Law & Governanc,Agency Admin/Cleric,Professional,1906059902,45232,MATRIX SCM LTD,1389.15
Children & Young Peo,Agency Admin/Cleric,Professional,1906059832,45232,MATRIX SCM LTD,1375.52
Children & Young Peo,Agency Admin/Cleric,Professional,1906059779,45232,MATRIX SCM LTD,1370.6
Children & Young Peo,Agency Admin/Cleric,Professional,1906060015,45232,MATRIX SCM LTD,1346.1
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059840,45232,MATRIX SCM LTD,1337.1
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059922,45232,MATRIX SCM LTD,1330.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906059979,45232,MATRIX SCM LTD,1328.25
Children & Young Peo,Agency Admin/Cleric,Professional,1906059864,45232,MATRIX SCM LTD,1327.55
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059834,45232,MATRIX SCM LTD,1325.52
Adult Services & Hea,Agency Admin/Cleric,Professional,1906060020,45232,MATRIX SCM LTD,1324.32
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059904,45232,MATRIX SCM LTD,1323.3
Neighbourhoods,Agency Admin/Cleric,Professional,1906059907,45232,MATRIX SCM LTD,1319.5
Neighbourhoods,Agency Admin/Cleric,Professional,1906059925,45232,MATRIX SCM LTD,1319.5
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059817,45232,MATRIX SCM LTD,1311.1
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059978,45232,MATRIX SCM LTD,1310.88
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059807,45232,MATRIX SCM LTD,1310.24
City Development,Agency Admin/Cleric,Professional,1906059996,45232,MATRIX SCM LTD,1309
Adult Services & Hea,Agency Admin/Cleric,Professional,1906060000,45232,MATRIX SCM LTD,1309
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059820,45232,MATRIX SCM LTD,1300.48
Neighbourhoods,Agency Admin/Cleric,Professional,1906059757,45232,MATRIX SCM LTD,1296
Adult Services & Hea,Agency Admin/Cleric,Professional,1906060024,45232,MATRIX SCM LTD,1295
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059835,45232,MATRIX SCM LTD,1291
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059992,45232,MATRIX SCM LTD,1290.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059968,45232,MATRIX SCM LTD,1288.25
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059854,45232,MATRIX SCM LTD,1283.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059955,45232,MATRIX SCM LTD,1276.8
Children & Young Peo,Agency Admin/Cleric,Professional,1906059748,45232,MATRIX SCM LTD,1270.62
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059808,45232,MATRIX SCM LTD,1270.24
Children & Young Peo,Agency Admin/Cleric,Professional,1906059974,45232,MATRIX SCM LTD,1253.64
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059852,45232,MATRIX SCM LTD,1232.19
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059818,45232,MATRIX SCM LTD,1229.02
Children & Young Peo,Agency Admin/Cleric,Professional,1906059802,45232,MATRIX SCM LTD,1212.05
Children & Young Peo,Agency Admin/Cleric,Professional,1906059988,45232,MATRIX SCM LTD,1208.85
Neighbourhoods,Agency Admin/Cleric,Professional,1906059983,45232,MATRIX SCM LTD,1206.4
Children & Young Peo,Agency Admin/Cleric,Professional,1906059799,45232,MATRIX SCM LTD,1204.45
Children & Young Peo,Agency Admin/Cleric,Professional,1906060019,45232,MATRIX SCM LTD,1202.73
Children & Young Peo,Agency Admin/Cleric,Professional,1906059798,45232,MATRIX SCM LTD,1194.45
Strategy & Change Di,Software (General),Computing,5101084230,45232,MOSAIC ONLINE SYSTEMS LTD,1095
City Development,Agency Admin/Cleric,Professional,1906059975,45232,MATRIX SCM LTD,1067
City Development,Agency Admin/Cleric,Professional,1906059740,45232,MATRIX SCM LTD,1058.65
Children & Young Peo,Agency Admin/Cleric,Professional,1906060025,45232,MATRIX SCM LTD,1028.23
Strategy & Change Di,Agency Admin/Cleric,Professional,1906059879,45232,MATRIX SCM LTD,1023.05
Adult Services & Hea,Agency Admin/Cleric,Professional,1906060011,45232,MATRIX SCM LTD,1006.74
City Development,Agency Admin/Cleric,Professional,1906059765,45232,MATRIX SCM LTD,989.1
City Development,Agency Admin/Cleric,Professional,1906059766,45232,MATRIX SCM LTD,989.1
City Development,Agency Admin/Cleric,Professional,1906059767,45232,MATRIX SCM LTD,989.1
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059891,45232,MATRIX SCM LTD,961.52
City Development,Agency Admin/Cleric,Professional,1906059894,45232,MATRIX SCM LTD,956.2
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059829,45232,MATRIX SCM LTD,933.16
Children & Young Peo,Agency Admin/Cleric,Professional,1906059816,45232,MATRIX SCM LTD,927.78
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059981,45232,MATRIX SCM LTD,923.65
Adult Services & Hea,Agency Admin/Cleric,Professional,1906060012,45232,MATRIX SCM LTD,923.65
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059823,45232,MATRIX SCM LTD,923.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059865,45232,MATRIX SCM LTD,917.9
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059768,45232,MATRIX SCM LTD,914.06
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059856,45232,MATRIX SCM LTD,904.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059977,45232,MATRIX SCM LTD,854.46
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059827,45232,MATRIX SCM LTD,840.7
Children & Young Peo,Agency Admin/Cleric,Professional,1906059890,45232,MATRIX SCM LTD,839.58
Neighbourhoods,Agency Admin/Cleric,Professional,1906059881,45232,MATRIX SCM LTD,838.96
City Law & Governanc,Agency Admin/Cleric,Professional,1906059744,45232,MATRIX SCM LTD,833.49
Children & Young Peo,Agency Admin/Cleric,Professional,1906060008,45232,MATRIX SCM LTD,822.93
City Law & Governanc,Agency Admin/Cleric,Professional,1906059855,45232,MATRIX SCM LTD,817.65
Neighbourhoods,Agency Admin/Cleric,Professional,1906059781,45232,MATRIX SCM LTD,816
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059995,45232,MATRIX SCM LTD,810.95
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059982,45232,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059994,45232,MATRIX SCM LTD,803.6
Children & Young Peo,Agency Admin/Cleric,Professional,1906060001,45232,MATRIX SCM LTD,799.05
Children & Young Peo,Agency Admin/Cleric,Professional,1906059860,45232,MATRIX SCM LTD,796.5
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059969,45232,MATRIX SCM LTD,785.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059867,45232,MATRIX SCM LTD,771.76
Children & Young Peo,Agency Admin/Cleric,Professional,1906060009,45232,MATRIX SCM LTD,762.9
City Development,Agency Admin/Cleric,Professional,1906059921,45232,MATRIX SCM LTD,757.25
City Development,Agency Admin/Cleric,Professional,1906059913,45232,MATRIX SCM LTD,757.24
City Development,Agency Admin/Cleric,Professional,1906059911,45232,MATRIX SCM LTD,749.77
City Development,Agency Admin/Cleric,Professional,1906059924,45232,MATRIX SCM LTD,749.77
Children & Young Peo,Agency Admin/Cleric,Professional,1906059770,45232,MATRIX SCM LTD,736.52
City Development,Agency Admin/Cleric,Professional,1906059926,45232,MATRIX SCM LTD,734.82
Neighbourhoods,Agency Admin/Cleric,Professional,1906059776,45232,MATRIX SCM LTD,729.17
Neighbourhoods,Agency Admin/Cleric,Professional,1906059778,45232,MATRIX SCM LTD,729.17
Neighbourhoods,Agency Admin/Cleric,Professional,1906059780,45232,MATRIX SCM LTD,729.17
Neighbourhoods,Agency Admin/Cleric,Professional,1906059848,45232,MATRIX SCM LTD,727.25
Neighbourhoods,Agency Admin/Cleric,Professional,1906059842,45232,MATRIX SCM LTD,725.48
Neighbourhoods,Agency Admin/Cleric,Professional,1906059777,45232,MATRIX SCM LTD,719.74
Neighbourhoods,Agency Admin/Cleric,Professional,1906059845,45232,MATRIX SCM LTD,719.74
Neighbourhoods,Agency Admin/Cleric,Professional,1906059849,45232,MATRIX SCM LTD,719.74
Neighbourhoods,Agency Admin/Cleric,Professional,1906059774,45232,MATRIX SCM LTD,714
Neighbourhoods,Agency Admin/Cleric,Professional,1906059775,45232,MATRIX SCM LTD,714
Children & Young Peo,Agency Admin/Cleric,Professional,1906059755,45232,MATRIX SCM LTD,712.25
Children & Young Peo,Agency Admin/Cleric,Professional,1906059741,45232,MATRIX SCM LTD,710.5
Children & Young Peo,Agency Admin/Cleric,Professional,1906060033,45232,MATRIX SCM LTD,710.5
City Development,Agency Admin/Cleric,Professional,1906059920,45232,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1906059923,45232,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1906059928,45232,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1906059930,45232,MATRIX SCM LTD,704.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906060002,45232,MATRIX SCM LTD,687.94
Children & Young Peo,Agency Admin/Cleric,Professional,1906060006,45232,MATRIX SCM LTD,676.11
Children & Young Peo,Agency Admin/Cleric,Professional,1906059990,45232,MATRIX SCM LTD,675.04
Children & Young Peo,Agency Admin/Cleric,Professional,1906059903,45232,MATRIX SCM LTD,672.58
Children & Young Peo,Agency Admin/Cleric,Professional,1906060010,45232,MATRIX SCM LTD,661.22
Neighbourhoods,Agency Admin/Cleric,Professional,1906059846,45232,MATRIX SCM LTD,659.41
Neighbourhoods,Agency Admin/Cleric,Professional,1906059847,45232,MATRIX SCM LTD,659.41
Neighbourhoods,Agency Admin/Cleric,Professional,1906059948,45232,MATRIX SCM LTD,655.55
Neighbourhoods,Agency Admin/Cleric,Professional,1906059970,45232,MATRIX SCM LTD,654.78
Adult Services & Hea,Agency Admin/Cleric,Professional,1906059965,45232,MATRIX SCM LTD,642.88
City Development,Agency Admin/Cleric,Professional,1906059958,45232,MATRIX SCM LTD,636.89
Neighbourhoods,Agency Admin/Cleric,Professional,1906059804,45232,MATRIX SCM LTD,636.3
Children & Young Peo,Agency Admin/Cleric,Professional,1906059989,45232,MATRIX SCM LTD,627.44
City Development,Agency Admin/Cleric,Professional,1906059813,45232,MATRIX SCM LTD,609.84
City Development,Agency Admin/Cleric,Professional,1906059959,45232,MATRIX SCM LTD,609.56
