Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Neighbourhoods,Agency Admin/Cleric,Professional,1906023928,45204,MATRIX SCM LTD,582.68
Neighbourhoods,Agency Admin/Cleric,Professional,1906023930,45204,MATRIX SCM LTD,727.94
Neighbourhoods,Agency Admin/Cleric,Professional,1906023939,45204,MATRIX SCM LTD,725.48
Neighbourhoods,Agency Admin/Cleric,Professional,1906023942,45204,MATRIX SCM LTD,714
Neighbourhoods,Agency Admin/Cleric,Professional,1906023945,45204,MATRIX SCM LTD,727.94
Neighbourhoods,Agency Admin/Cleric,Professional,1906023951,45204,MATRIX SCM LTD,571.2
Neighbourhoods,Agency Admin/Cleric,Professional,1906023953,45204,MATRIX SCM LTD,714
Neighbourhoods,Agency Admin/Cleric,Professional,1906023992,45204,MATRIX SCM LTD,840.6
Neighbourhoods,Agency Admin/Cleric,Professional,1906023998,45204,MATRIX SCM LTD,719.74
Neighbourhoods,Agency Admin/Cleric,Professional,1906024000,45204,MATRIX SCM LTD,1034.76
Neighbourhoods,Agency Admin/Cleric,Professional,1906024002,45204,MATRIX SCM LTD,722
Neighbourhoods,Agency Admin/Cleric,Professional,1906024005,45204,MATRIX SCM LTD,722
Neighbourhoods,Agency Admin/Cleric,Professional,1906024007,45204,MATRIX SCM LTD,727.25
Neighbourhoods,Agency Admin/Cleric,Professional,1906024008,45204,MATRIX SCM LTD,719.74
Neighbourhoods,Agency Admin/Cleric,Professional,1906024009,45204,MATRIX SCM LTD,719.74
Neighbourhoods,Agency Admin/Cleric,Professional,1906024161,45204,MATRIX SCM LTD,714
Neighbourhoods,Agency Admin/Cleric,Professional,1906024162,45204,MATRIX SCM LTD,729.17
Neighbourhoods,Agency Admin/Cleric,Professional,1906024164,45204,MATRIX SCM LTD,789.14
Neighbourhoods,Agency Admin/Cleric,Professional,1906024181,45204,MATRIX SCM LTD,576.12
Neighbourhoods,Agency Admin/Cleric,Professional,1906024182,45204,MATRIX SCM LTD,725.48
Neighbourhoods,Agency Admin/Cleric,Professional,1906024183,45204,MATRIX SCM LTD,969.51
Neighbourhoods,Agency Admin/Cleric,Professional,1906024184,45204,MATRIX SCM LTD,719.74
Neighbourhoods,Agency Admin/Cleric,Professional,1906024185,45204,MATRIX SCM LTD,729.17
Neighbourhoods,Agency Admin/Cleric,Professional,1906024187,45204,MATRIX SCM LTD,937.68
Neighbourhoods,Agency Admin/Cleric,Professional,1906024190,45204,MATRIX SCM LTD,714
Neighbourhoods,Agency Admin/Cleric,Professional,1906024191,45204,MATRIX SCM LTD,714
Neighbourhoods,Agency Admin/Cleric,Professional,1906024192,45204,MATRIX SCM LTD,1046.24
Neighbourhoods,Agency Admin/Cleric,Professional,1906024196,45204,MATRIX SCM LTD,1151.12
