Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905747684,44995,THE HUMAN SUPPORT GROUP,504
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905747716,44995,THE HUMAN SUPPORT GROUP,504
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905747717,44995,THE HUMAN SUPPORT GROUP,504
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905747666,44995,THE HUMAN SUPPORT GROUP,504
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905747667,44995,THE HUMAN SUPPORT GROUP,504
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905747675,44995,THE HUMAN SUPPORT GROUP,504
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905747676,44995,THE HUMAN SUPPORT GROUP,504
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,1905752989,44998,ST HELENS COLLEGE,34577.17
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,1905753018,44998,GREENBANK PROJECT,29179.59
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905752946,44998,SEFTON MBC,25800
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101060862,44998,TRANSPORT SOLUTIONS GROUP UK LTD,6679.32
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1905752836,44998,DIXONS ACADEMIES TRUST LTD,5400
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905752944,44998,HALTON BOROUGH COUNCIL,4200
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101060864,44998,TRANSPORT SOLUTIONS GROUP UK LTD,3820
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1905752810,44998,OMEGA MULTI ACADEMY TRUST c/o GREAT,3600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905752850,44998,LIGHTHOUSE HARMONIZE EDUCATION TRUS,3000
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905752950,44998,LIGHTHOUSE HARMONIZE EDUCATION TRUS,3000
Children & Young Peo,Other Sch Pays-Acade,Agency & Contract Services,1905752837,44998,DIXONS ACADEMIES TRUST LTD,3000
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905752949,44998,EVERTON FREE SCHOOL,1800
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905752815,44998,ASSESS EDUCATION,1200
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905752951,44998,KEDLESTON (WINGS EDUCATION) LTD,1200
Children & Young Peo,Other Sch Pays-Speci,Agency & Contract Services,1905752953,44998,PROGRESS SCHOOLS  c/o PROGRESS OF,705
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905752943,44998,PLANTATION PRIMARY SCHOOL,600
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101061001,44999,SPEKE TRAINING & EDUCATION CENTRE,31320
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101061000,44999,SPEKE TRAINING & EDUCATION CENTRE,18000
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101061071,44999,KNOTTY ASH COMMUNITY TRANSPORT,15100
Capital Regen,Capital Regen,Misc- General,5101060912,44999,SIGNS DISPLAYS MARKETING t/a SIGN &,13082.7
City Development,Events,General Services Expenses,5101061018,44999,BAY MEDIA LTD,11347.5
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101060970,44999,PROSPERO GROUP LTD,8232
Neighbourhoods,Eqip &Mats-Hire/Rent,General Supplies,1905754640,44999,SOUNDS GOOD RADIO COMMUNICATIONS LT,7839
Neighbourhoods,Medical Fees (Genera,Professional Fees,1905754647,44999,WOOLTON PHYSIOTHERAPY CLINIC LTD,6300
Capital Regen,Capital Regen,Fees,5101060871,44999,EDUCARE AV SERVICES LTD,5667.35
Neighbourhoods,Private Contractors,Agency & Contract Services,5101060908,44999,MERSEYTRAVEL,4765.73
