Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039113,45217,GLENELG SUPPORT LIMITED,2354.54
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039120,45217,GLENELG SUPPORT LIMITED,2290.9
City Development,R&M - Building Works,R&M Technical Support,5101082876,45217,SPIE LIMITED,2200
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039396,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2107.41
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039380,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2043.33
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039681,45217,OPTIONS FOR SUPPORTED LIVING,1996.06
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039854,45217,AUTISM INITIATIVES,1957.91
City Development,R&M - Building Works,R&M Technical Support,5101082875,45217,SPIE LIMITED,1943.7
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039579,45217,NATURAL BREAKS MERSEYSIDE,1888.79
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039037,45217,LOCAL SOLUTIONS,1862.98
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039862,45217,AUTISM INITIATIVES,1862.98
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039895,45217,ALTERNATIVE FUTURES GROUP,1862.98
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039748,45217,BROTHERS OF CHARITY SERVICES MERSEY,1818.5
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039378,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,1805.95
City Development,R&M - Building Works,R&M Technical Support,5101082868,45217,SPIE LIMITED,1805.76
Capital Regen,Capital Regen,Misc- General,5101082965,45217,PERFECT CIRCLE JV LTD,1751.9
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039587,45217,NATURAL BREAKS MERSEYSIDE,1748.92
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039709,45217,OPTIONS FOR SUPPORTED LIVING,1710.9
Adult Services & Hea,Soc.Servs.Clients (G,General Services Exp Social Svs Clients,1906037700,45217,FUNERAL SERVICES LTD - NETHERTON,1706
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039717,45217,BROTHERS OF CHARITY SERVICES MERSEY,1682.86
Adult Services & Hea,Soc.Servs.Clients (G,General Services Exp Social Svs Clients,1906037698,45217,FUNERAL SERVICES LTD - NETHERTON,1653
Adult Services & Hea,Soc.Servs.Clients (G,General Services Exp Social Svs Clients,1906037697,45217,FUNERAL SERVICES LTD - NETHERTON,1648.67
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039558,45217,UNITED RESPONSE SERVICES LTD,1617.07
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039469,45217,NUGENT CARE - CHILDWALL,1615.85
City Development,R&M - Building Works,R&M Technical Support,5101082937,45217,MIKE CAMPBELL ELECTRICAL SERVICES L,1615
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039302,45217,TRANSITION CARE,1596.84
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039846,45217,AUTISM INITIATIVES,1592.12
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039565,45217,NATURAL BREAKS MERSEYSIDE,1587.92
Adult Services & Hea,Soc.Servs.Clients (G,General Services Exp Social Svs Clients,1906037699,45217,FUNERAL SERVICES LTD - NETHERTON,1571
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039700,45217,OPTIONS FOR SUPPORTED LIVING,1558.82
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039090,45217,L'ARCHE LIVERPOOL,1511.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039386,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,1501.8
City Development,R&M - Building Works,R&M Technical Support,5101082870,45217,SPIE LIMITED,1469.31
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039300,45217,TRANSITION CARE,1444.76
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039728,45217,BROTHERS OF CHARITY SERVICES MERSEY,1439.06
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039522,45217,THE FRANCES TAYLOR FOUNDATION LIVER,1427
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039695,45217,OPTIONS FOR SUPPORTED LIVING,1425.76
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039735,45217,BROTHERS OF CHARITY SERVICES MERSEY,1390.78
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039760,45217,BROTHERS OF CHARITY SERVICES MERSEY,1378.23
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039791,45217,BROTHERS OF CHARITY SERVICES MERSEY,1374.89
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039434,45217,CAVALRY HEALTHCARE LTD,1368.72
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039745,45217,BROTHERS OF CHARITY SERVICES MERSEY,1368.72
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039899,45217,NUGENT CARE - IDS PROJECT,1367.15
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039914,45217,NUGENT CARE - IDS PROJECT,1367.15
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039397,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,1359.22
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039850,45217,AUTISM INITIATIVES,1349.71
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039615,45217,MEDILINE SUPPORTED LIVING LTD,1330.7
