Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947860,45147,RICHMOND FELLOWSHIP,683.98
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948263,45147,THE FRANCES TAYLOR FOUNDATION LIVER,683.03
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948125,45147,ACCOMPLISH GROUP LTD - BIRMINGHAM,679.61
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948145,45147,AFFINITY SUPPORTING PEOPLE LTD,676.76
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948166,45147,MENCAP,676.76
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947789,45147,INDEPENDENT LIVING ALLIANCE,665.35
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947978,45147,POTENSIAL LIMITED T/A POTENS,665.35
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948744,45147,LEONARD CHESHIRE NORTH WEST,665.35
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947799,45147,MERSEYCARE JULIE ANN,665.35
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948309,45147,NATURAL BREAKS MERSEYSIDE,665.35
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948738,45147,NUGENT CARE - IDS PROJECT,665.35
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948241,45147,PSS UK,665.1
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948628,45147,WIRRAL AUTISTIC SOCIETY,665.1
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947686,45147,IMAGINE,655.85
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948283,45147,THE FRANCES TAYLOR FOUNDATION LIVER,655.85
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948286,45147,THE FRANCES TAYLOR FOUNDATION LIVER,655.85
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948288,45147,THE FRANCES TAYLOR FOUNDATION LIVER,655.85
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948290,45147,THE FRANCES TAYLOR FOUNDATION LIVER,655.85
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948556,45147,BROTHERS OF CHARITY SERVICES MERSEY,648.25
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947879,45147,JUST ONE RECRUITMENT,648.24
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947672,45147,IMAGINE,646.34
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948448,45147,COMMUNITY INTEGRATED CARE,646.34
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948254,45147,PSS UK,639.88
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947716,45147,IMAGINE,638.74
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947976,45147,POTENSIAL LIMITED T/A POTENS,636.84
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948131,45147,ACCOMPLISH GROUP LTD - BIRMINGHAM,636.84
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948559,45147,BROTHERS OF CHARITY SERVICES MERSEY,636.84
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948116,45147,ACCOMPLISH GROUP LTD - BIRMINGHAM,636.84
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947868,45147,RICHMOND FELLOWSHIP,634.93
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947886,45147,JUST ONE RECRUITMENT,633.98
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947877,45147,JUST ONE RECRUITMENT,633.98
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948072,45147,COOPER NOBLE CARE LTD,633.03
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947746,45147,LOCAL SOLUTIONS,627.33
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948512,45147,OPTIONS FOR SUPPORTED LIVING,627.33
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948600,45147,BROTHERS OF CHARITY SERVICES MERSEY,627.33
City Development,R&M - Building Works,R&M Technical Support,5101076391,45147,WHOLE VENTILATION SERVICES LTD,625
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948269,45147,THE FRANCES TAYLOR FOUNDATION LIVER,623.15
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948270,45147,THE FRANCES TAYLOR FOUNDATION LIVER,623.15
