Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
City Development,R&M - Building Works,R&M Technical Support,5101065604,45043,KNOWSLEY LIFT SERVICES LTD,610
City Development,R&M - Building Works,R&M Technical Support,5101065605,45043,KNOWSLEY LIFT SERVICES LTD,610
Children & Young Peo,Private Contractors,Agency & Contract Services,5101065696,45044,ACTIVE 8 SUPPORT SERVICES,1971.43
Chief Operating Offi,Agency Admin/Cleric,Professional,5101065760,45044,HAYS SPECIALIST RECRUITMENT LTD,1640
Chief Operating Offi,Agency Non Admn/Cler,Other Manual,5101065744,45044,ACCOUNTABLE RECRUITMENT LTD,1515.5
Adult Services & Hea,Travelling Expenses,Use of Public Transport,5101065677,45044,MERSEYTRAVEL,948
Finance & Resources,Misc. Services - Gen,General Services Expenses,1905819948,45048,MARSH LTD,11200
City Development,R&M - Building Works,R&M Technical Support,5101065957,45048,WHOLE VENTILATION SERVICES LTD,3695.47
Capital Regen,Capital Regen,Misc- General,5101065841,45048,BROXAP LTD,3684
Capital Regen,Capital Regen,Misc- General,5101065959,45048,MOTT MACDONALD,2295.93
Neighbourhoods,Rent-LCC Occupy Prem,Rent & Rates etc,1905819931,45048,C P P FUNDCO LTD,2268.63
Chief Operating Offi,IT Equip&Comm-Maint,Computing,5101065818,45048,IMPERIAL CIVIL ENFORCEMENT SOLUTION,1800
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101065829,45048,R&R RECRUITMENT NORTHWEST LTD,960
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101065995,45049,BARNARDOS NORTH WEST,20133.5
Finance & Resources,ProfessionalServices,Professional Fees,5101066002,45049,WORTH TECHNICAL ACCOUNTING SOLUTION,15000
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101066104,45049,NATASHA BE LTD,13071
Capital Regen,Capital Regen,Misc- General,5101066020,45049,PERFECT CIRCLE JV LTD,11188.5
Capital Regen,Capital Regen,Misc- General,5101065998,45049,AMEY OW LTD,7629
Children & Young Peo,Car Parking Charges,Expenses,5101066109,45049,TASKERS DIY,4333.33
Chief Operating Offi,Software (General),Computing,5101065978,45049,LONDON GRID FOR LEARNING TRUST,3295
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101066065,45049,QUICK STAY PROPERTY SOLUTIONS,2025
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101066025,45049,LIVERPOOL STREETSCENE SERVICES LIMI,649.71
City Development,R&M - Building Works,R&M Technical Support,5101066003,45049,KNOWSLEY LIFT SERVICES LTD,610
City Development,R&M - Building Works,R&M Technical Support,5101066077,45049,KNOWSLEY LIFT SERVICES LTD,610
City Development,R&M - Building Works,R&M Technical Support,5101066088,45049,KNOWSLEY LIFT SERVICES LTD,610
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101066032,45049,LIVERPOOL STREETSCENE SERVICES LIMI,603.21
Neighbourhoods,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101066024,45049,LIVERPOOL STREETSCENE SERVICES LIMI,566.53
Capital Regen,Capital Regen,Main contract,5101066020,45049,PERFECT CIRCLE JV LTD,391.61
Chief Operating Offi,Software (General),Computing,1700047360,45049,LONDON GRID FOR LEARNING TRUST,-1200
Neighbourhoods,Private Companies,Agency & Contract Services,1905820779,45050,BEDSPACE RESOURCE LTD,83000
Neighbourhoods,R&M - Environ Works,R&M Technical Support,5101066133,45050,FACULTATIEVE TECHNOLOGIES LTD,32922
City Law & Governanc,Consultancy,Professional Fees,5101066167,45050,PENNA PLC,12537.5
Children & Young Peo,Counsel Fees,Professional Fees,1905821934,45050,****REDACTED PERSONAL INFO****,10000
Adult Services & Hea,Consultancy,Professional Fees,5101066166,45050,PENNA PLC,5900
Chief Operating Offi,Agency Admin/Cleric,Professional,5101066210,45050,HAYS SPECIALIST RECRUITMENT LTD,1600
Chief Operating Offi,Agency Admin/Cleric,Professional,5101066211,45050,HAYS SPECIALIST RECRUITMENT LTD,1600
Chief Operating Offi,Agency Admin/Cleric,Professional,5101066212,45050,HAYS SPECIALIST RECRUITMENT LTD,1600
Adult Services & Hea,Counsel Fees,Professional Fees,1905821933,45050,****REDACTED PERSONAL INFO****,1517.5
City Development,Events,General Services Expenses,5101066176,45050,CHILDWALL TABLE & CHAIR HIRE,1430
City Development,Consultancy,Professional Fees,5101066173,45050,MATS CONSULTANCY LTD,1200
Neighbourhoods,Private Contractors,Agency & Contract Services,5101066239,45051,DOWHIGH LTD,35400
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101066255,45051,INSIGHT DIRECT (UK) LIMITED,12507.23
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101066258,45051,INSIGHT DIRECT (UK) LIMITED,11680
Neighbourhoods,Grants & Subs (Gener,Grants & Subscriptions,1905826420,45051,ALT VALLEY COMMUNITY TRUST,10059.53
Neighbourhoods,Consultancy,Professional Fees,5101066245,45051,CJ FOUNDS ASSOCIATES LTD,10000
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101066287,45051,R&R RECRUITMENT NORTHWEST LTD,10000
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101066285,45051,R&R RECRUITMENT NORTHWEST LTD,8400
City Development,Events,General Services Expenses,5101066308,45051,THE GUIDE LIVERPOOL LTD,7500
Children & Young Peo,Conference (General),Expenses,5101066276,45051,SIGNIS LTD,6800
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101066295,45051,KEYS GROUP (CONSIDERATE CARE),5850
Neighbourhoods,Agency Admin/Cleric,Professional,1905824829,45051,MATRIX SCM LTD,4630.8
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101066257,45051,INSIGHT DIRECT (UK) LIMITED,4629.67
Neighbourhoods,Agency Admin/Cleric,Professional,1905824793,45051,MATRIX SCM LTD,4540.8
Capital Regen,Capital Regen,Misc- General,5101066219,45051,LIVERPOOL STREETSCENE SERVICES LIMI,4475.2
Neighbourhoods,Agency Admin/Cleric,Professional,1905824750,45051,MATRIX SCM LTD,4230.95
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824840,45051,MATRIX SCM LTD,4158.3
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101066286,45051,R&R RECRUITMENT NORTHWEST LTD,4000
Children & Young Peo,Medical Fees (Genera,Professional Fees,5101066215,45051,JAMES LECKEY DESIGN LTD,3618
Neighbourhoods,Agency Admin/Cleric,Professional,1905824830,45051,MATRIX SCM LTD,3595.25
Finance & Resources,Agency Admin/Cleric,Professional,1905824791,45051,MATRIX SCM LTD,3373.3
Neighbourhoods,Agency Admin/Cleric,Professional,1905824759,45051,MATRIX SCM LTD,3339.2
Chief Operating Offi,Agency Admin/Cleric,Professional,1905824794,45051,MATRIX SCM LTD,2897.55
Neighbourhoods,Agency Admin/Cleric,Professional,1905824807,45051,MATRIX SCM LTD,2534.9
City Development,Events,General Services Expenses,5101066333,45051,ADLIB AUDIO LTD,2460
Children & Young Peo,Medical Fees (Genera,Professional Fees,5101066301,45051,SMIRTHWAITE LTD,1979
Neighbourhoods,Agency Admin/Cleric,Professional,1905824755,45051,MATRIX SCM LTD,1849.2
City Development,R&M - Building Works,R&M Technical Support,5101066235,45051,TATTERSALL ELECTRICAL SERVICES,1840
Children & Young Peo,Agency Admin/Cleric,Professional,1905824810,45051,MATRIX SCM LTD,1835.2
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101066273,45051,QUICK STAY PROPERTY SOLUTIONS,1800
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101066260,45051,INSIGHT DIRECT (UK) LIMITED,1799.88
Children & Young Peo,Agency Admin/Cleric,Professional,1905824812,45051,MATRIX SCM LTD,1792
Children & Young Peo,Agency Admin/Cleric,Professional,1905824743,45051,MATRIX SCM LTD,1770.8
Children & Young Peo,Agency Admin/Cleric,Professional,1905824860,45051,MATRIX SCM LTD,1687.35
Chief Operating Offi,Agency Admin/Cleric,Professional,5101066343,45051,HAYS SPECIALIST RECRUITMENT LTD,1640
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101066213,45051,TRANSPORT SOLUTIONS GROUP UK LTD,1631.88
City Development,Agency Admin/Cleric,Professional,1905824818,45051,MATRIX SCM LTD,1594.71
Children & Young Peo,Agency Admin/Cleric,Professional,1905824835,45051,MATRIX SCM LTD,1589.1
Children & Young Peo,Agency Admin/Cleric,Professional,1905824817,45051,MATRIX SCM LTD,1549.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905824790,45051,MATRIX SCM LTD,1546.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905824785,45051,MATRIX SCM LTD,1545.95
Children & Young Peo,Agency Admin/Cleric,Professional,1905824865,45051,MATRIX SCM LTD,1542.1
Children & Young Peo,Agency Admin/Cleric,Professional,1905824778,45051,MATRIX SCM LTD,1542.1
Children & Young Peo,Agency Admin/Cleric,Professional,1905824774,45051,MATRIX SCM LTD,1509.54
Children & Young Peo,Agency Admin/Cleric,Professional,1905824742,45051,MATRIX SCM LTD,1437.6
Children & Young Peo,Agency Admin/Cleric,Professional,1905824808,45051,MATRIX SCM LTD,1428.26
Children & Young Peo,Agency Admin/Cleric,Professional,1905824741,45051,MATRIX SCM LTD,1422.95
Children & Young Peo,Agency Admin/Cleric,Professional,1905824819,45051,MATRIX SCM LTD,1395.9
Children & Young Peo,Agency Admin/Cleric,Professional,1905824740,45051,MATRIX SCM LTD,1394.56
Children & Young Peo,Medical Fees (Genera,Professional Fees,5101066272,45051,SMIRTHWAITE LTD,1389
City Law & Governanc,Agency Admin/Cleric,Professional,1905824862,45051,MATRIX SCM LTD,1374.96
Children & Young Peo,Agency Admin/Cleric,Professional,1905824763,45051,MATRIX SCM LTD,1370.6
City Law & Governanc,Agency Admin/Cleric,Professional,1905824834,45051,MATRIX SCM LTD,1349.48
Children & Young Peo,Agency Admin/Cleric,Professional,1905824779,45051,MATRIX SCM LTD,1339.45
Children & Young Peo,Agency Admin/Cleric,Professional,1905824768,45051,MATRIX SCM LTD,1336.95
Children & Young Peo,Agency Admin/Cleric,Professional,1905824804,45051,MATRIX SCM LTD,1318.2
City Development,Agency Admin/Cleric,Professional,1905824773,45051,MATRIX SCM LTD,1250.86
Children & Young Peo,Agency Admin/Cleric,Professional,1905824737,45051,MATRIX SCM LTD,1240.31
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824795,45051,MATRIX SCM LTD,1225.35
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101066284,45051,R&R RECRUITMENT NORTHWEST LTD,1200
Children & Young Peo,Agency Admin/Cleric,Professional,1905824764,45051,MATRIX SCM LTD,1192.86
Children & Young Peo,Agency Admin/Cleric,Professional,1905824867,45051,MATRIX SCM LTD,1175.3
Children & Young Peo,Agency Admin/Cleric,Professional,1905824805,45051,MATRIX SCM LTD,1147.36
Children & Young Peo,Agency Admin/Cleric,Professional,1905824784,45051,MATRIX SCM LTD,1137.28
Children & Young Peo,Agency Admin/Cleric,Professional,1905824820,45051,MATRIX SCM LTD,1132.2
Neighbourhoods,Private Contractors,Agency & Contract Services,5101066237,45051,ATG ACCESS  LTD,1123.5
Children & Young Peo,Agency Admin/Cleric,Professional,1905824801,45051,MATRIX SCM LTD,1080.86
City Law & Governanc,Agency Admin/Cleric,Professional,1905824814,45051,MATRIX SCM LTD,1072.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824786,45051,MATRIX SCM LTD,1070.4
Children & Young Peo,Agency Admin/Cleric,Professional,1905824806,45051,MATRIX SCM LTD,1047.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824744,45051,MATRIX SCM LTD,1047.2
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824754,45051,MATRIX SCM LTD,1047.2
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824777,45051,MATRIX SCM LTD,1047.2
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824821,45051,MATRIX SCM LTD,1047.2
Children & Young Peo,Agency Admin/Cleric,Professional,1905824752,45051,MATRIX SCM LTD,1031
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824758,45051,MATRIX SCM LTD,1025.2
Chief Operating Offi,Agency Admin/Cleric,Professional,1905824803,45051,MATRIX SCM LTD,1023.05
City Law & Governanc,Agency Admin/Cleric,Professional,1905824866,45051,MATRIX SCM LTD,1003.8
Chief Operating Offi,Agency Admin/Cleric,Professional,1905824748,45051,MATRIX SCM LTD,1003.79
Children & Young Peo,Agency Admin/Cleric,Professional,1905824858,45051,MATRIX SCM LTD,995.15
Neighbourhoods,Library Materials (G,Library Materials,1905826453,45051,ASKEWS AND HOLTS LIBRARY SERVICES L,985.02
Chief Operating Offi,Agency Admin/Cleric,Professional,5101066290,45051,HAYS SPECIALIST RECRUITMENT LTD,984
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824799,45051,MATRIX SCM LTD,981.5
City Development,"Misc Supp, Tool, Equ",General Supplies,5101066229,45051,BLUEPOINT MARINE SERVICES LTD,966.78
Children & Young Peo,Agency Admin/Cleric,Professional,1905824864,45051,MATRIX SCM LTD,963.6
Children & Young Peo,Agency Admin/Cleric,Professional,1905824863,45051,MATRIX SCM LTD,953.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824824,45051,MATRIX SCM LTD,944.16
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824825,45051,MATRIX SCM LTD,944.16
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824813,45051,MATRIX SCM LTD,935
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824809,45051,MATRIX SCM LTD,930.15
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824780,45051,MATRIX SCM LTD,928.5
Children & Young Peo,Agency Admin/Cleric,Professional,1905824800,45051,MATRIX SCM LTD,927.78
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824798,45051,MATRIX SCM LTD,925.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824838,45051,MATRIX SCM LTD,925.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824797,45051,MATRIX SCM LTD,925.4
Children & Young Peo,Agency Admin/Cleric,Professional,1905824767,45051,MATRIX SCM LTD,919.75
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824796,45051,MATRIX SCM LTD,906.52
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824788,45051,MATRIX SCM LTD,906.5
Neighbourhoods,Library Materials (G,Library Materials,1905826431,45051,PETERS LTD,867.02
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824828,45051,MATRIX SCM LTD,864.36
Children & Young Peo,Agency Admin/Cleric,Professional,1905824739,45051,MATRIX SCM LTD,860.67
Children & Young Peo,Agency Admin/Cleric,Professional,1905824869,45051,MATRIX SCM LTD,852.88
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824868,45051,MATRIX SCM LTD,843
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824738,45051,MATRIX SCM LTD,839.42
Children & Young Peo,Agency Admin/Cleric,Professional,1905824776,45051,MATRIX SCM LTD,838.25
Children & Young Peo,Agency Admin/Cleric,Professional,1905824802,45051,MATRIX SCM LTD,837.33
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824765,45051,MATRIX SCM LTD,821.32
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824787,45051,MATRIX SCM LTD,816.27
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824845,45051,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824847,45051,MATRIX SCM LTD,803.6
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824853,45051,MATRIX SCM LTD,803.6
Children & Young Peo,Room Hire,Expenses,5101066297,45051,QUICK STAY PROPERTY SOLUTIONS,800
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824756,45051,MATRIX SCM LTD,793.15
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824789,45051,MATRIX SCM LTD,786.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824854,45051,MATRIX SCM LTD,786.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824861,45051,MATRIX SCM LTD,786.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824839,45051,MATRIX SCM LTD,786.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824856,45051,MATRIX SCM LTD,786.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824843,45051,MATRIX SCM LTD,785.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824823,45051,MATRIX SCM LTD,785.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824848,45051,MATRIX SCM LTD,785.4
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824745,45051,MATRIX SCM LTD,777.6
Children & Young Peo,Agency Admin/Cleric,Professional,1905824837,45051,MATRIX SCM LTD,756.05
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824851,45051,MATRIX SCM LTD,740.32
Adult Services & Hea,Agency Admin/Cleric,Professional,1905824751,45051,MATRIX SCM LTD,740.25
Children & Young Peo,Agency Admin/Cleric,Professional,1905824846,45051,MATRIX SCM LTD,736.2
Children & Young Peo,Agency Admin/Cleric,Professional,1905824836,45051,MATRIX SCM LTD,732.25
Children & Young Peo,Agency Admin/Cleric,Professional,1905824783,45051,MATRIX SCM LTD,713.7
Children & Young Peo,Agency Admin/Cleric,Professional,1905824844,45051,MATRIX SCM LTD,712.25
Neighbourhoods,Library Materials (G,Library Materials,1905826430,45051,PETERS LTD,704.45
City Development,"Misc Supp, Tool, Equ",General Supplies,5101066336,45051,FISHLOCKS FLOWERS LTD,704.16
Children & Young Peo,Agency Admin/Cleric,Professional,1905824842,45051,MATRIX SCM LTD,695.7
City Development,R&M - Building Works,R&M Technical Support,5101066262,45051,ION FACILITIES MANAGEMENT GROUP LTD,670
Children & Young Peo,Agency Admin/Cleric,Professional,1905824857,45051,MATRIX SCM LTD,649.95
Children & Young Peo,Agency Admin/Cleric,Professional,1905824849,45051,MATRIX SCM LTD,634.44
Children & Young Peo,Agency Admin/Cleric,Professional,1905824811,45051,MATRIX SCM LTD,625.92
City Development,Agency Admin/Cleric,Professional,1905824775,45051,MATRIX SCM LTD,602.71
Children & Young Peo,ProfessionalServices,Professional Fees,5101066306,45051,SUPREME LINGUISTIC SERVICES t/a,580.5
