Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45097,6770432,575,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45077,6769749,595,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45078,6769142,620,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45091,6769738,620,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45097,6770567,645,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45076,6768611,685,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45061,6767670,685,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45058,6767978,685,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45041,6766396,735,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45104,6770563,840,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45078,6769233,850,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45030,6766249,890,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,567.28,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45085,30435573,579.04,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45085,30435573,579.04,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Community:Homecare,PS Adults 18-64 Long Term Support - Community:Homecare,Contracted Services,45057,30434140,606.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Community:Homecare,PS Adults 18-64 Long Term Support - Community:Homecare,Contracted Services,45085,30435573,620.4,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,870.14,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1012.44,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,1034,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Short Term Support Other,PS Older People 65+ Other Short Term support,Contracted Services,45057,30434140,1108.25,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Community:Homecare,PS Adults 18-64 Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1134.56,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1134.56,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Community:Homecare,PS Adults 18-64 Long Term Support - Community:Homecare,Contracted Services,45092,30435809,1147.74,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45085,30435573,1158.08,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45085,30435573,1158.08,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,1189.1,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1195.63,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,1240.8,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Community:Homecare,PS Adults 18-64 Long Term Support - Community:Homecare,Contracted Services,45071,30434784,1255.99,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1276.44,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,1302.84,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1357.2,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1397.52,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1397.58,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Community:Supported Living,PS Adults 18-64 Long Term Support - Community:Supported Living,Contracted Services,45099,30436085,1406.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,1426.92,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45085,30435573,1439.4,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45085,30435573,1447.6,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1694.54,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,1701.84,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,2269.12,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,2269.12,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45085,30435573,2316.16,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,2316.16,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,2552.88,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,2552.88,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,2552.88,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Short Term Support Other,PS Older People 65+ Other Short Term support,Contracted Services,45092,30435809,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Short Term Support Other,PS Older People 65+ Other Short Term support,Contracted Services,45057,30434140,2836.4,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,3403.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,3403.92,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,3474.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45057,30434140,3971.2,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45092,30435809,4053.28,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Community:Supported Living,PS Adults 18-64 Long Term Support - Community:Supported Living,Contracted Services,45071,30434784,4846.2,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Short Term Support Other,PS Adults 18-64 Other Short Term support,Contracted Services,45071,30434784,4964.4,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,PS Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45057,30434140,5152.56,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Community:Supported Living,PS Adults 18-64 Long Term Support - Community:Supported Living,Contracted Services,45071,30434784,6619.2,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Other Education and Community Budget,Service strategy and other education functions,Sports Development,Equipment - Purchase,45111,6770166,965,A1 LOO HIRE LTD,
Bracknell Forest Council,00MA,Culture and Heritage,Heritage Museums & Galleries,The Look Out,Equipment - R&M,45104,6770434,1078.75,ABA (CONSTRUCTION) LTD T/A ARD PLAYGROUNDS,
Bracknell Forest Council,00MA,Open Spaces,Community Parks & Open Spaces,Play Areas,R&M - Planned,45055,6767365,1300,ABA (CONSTRUCTION) LTD T/A ARD PLAYGROUNDS,
Bracknell Forest Council,00MA,Culture and Heritage,Heritage Museums & Galleries,The Look Out,Equipment - R&M,45096,6769728,6950,ABA (CONSTRUCTION) LTD T/A ARD PLAYGROUNDS,
Bracknell Forest Council,00MA,Homelessness,Bed/Breakfast Accommodation,Emergency Accomodation,External Agency Services,44984,6769508,560,ABBEY HOUSE HOTEL READING,
Bracknell Forest Council,00MA,Homelessness,Bed/Breakfast Accommodation,Emergency Accomodation,External Agency Services,45095,6769727,4200,ABBEY HOUSE HOTEL READING,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Residential,LD Adults 18-64 Long Term Support - Residential,Contracted Services,45029,30432069,3299.27,ABBEYFIELD LODGE NURSING HOME,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Residential,LD Adults 18-64 Long Term Support - Residential,Contracted Services,45057,30434139,3409.44,ABBEYFIELD LODGE NURSING HOME,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Residential,LD Adults 18-64 Long Term Support - Residential,Contracted Services,45085,30435572,3409.44,ABBEYFIELD LODGE NURSING HOME,
Bracknell Forest Council,00MA,Substance Misuse,Drug misuse in adults,Drug Testing Costs,Equipment - Purchase,45021,6768629,619.87,ABBOTT TOXICOLOGY LTD,
Bracknell Forest Council,00MA,Substance Misuse,Drug misuse in adults,Drug Testing Costs,Equipment - Purchase,45098,6770154,645.75,ABBOTT TOXICOLOGY LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45044,6767205,930,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45076,6768508,1192,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6769318,1860,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45044,6767205,2694.15,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6769318,4938.3,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45044,6767205,22056.85,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6769318,41876.2,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769616,-25690,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769578,-16560,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769584,-14690,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769577,-13830,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769574,-12155,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769582,-10990,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769576,-8810,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769581,-8730,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769570,-8280,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769569,-7300,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769579,-6975,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769571,-4537.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769586,-4460,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769575,-4420,ABEE CARS LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45074,6768954,-3712.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45082,6769310,-3712.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769580,-2555,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769572,-1567.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767212,600,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767210,950,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767210,1260,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767213,1530,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767209,1567.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769572,1567.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768422,1710,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767207,2070,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767210,2250,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768422,2520,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769580,2555,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768421,2555,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768425,3060,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768424,3600,ABEE CARS LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45074,6768954,3712.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45047,6767033,3712.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45082,6769310,3712.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767212,3820,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768419,4140,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769575,4420,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769586,4460,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768422,4500,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767208,4537.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769571,4537.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45077,6768680,5065,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767207,6210,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768420,6975,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769579,6975,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767213,7280,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767206,7300,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769569,7300,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768424,7390,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769570,8280,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769581,8730,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769576,8810,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769582,10990,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768425,11630,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45047,6767211,12155,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769574,12155,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768419,12420,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45077,6769577,13830,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45074,6768418,13830,ABEE CARS LTD,
