Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,1158.08,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,1158.08,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,1178.76,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45281,30445343,1282.16,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Community:Supported Living,PS Adults 18-64 Long Term Support - Community:Supported Living,Contracted Services,45225,30442360,1406.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Community:Supported Living,PS Adults 18-64 Long Term Support - Community:Supported Living,Contracted Services,45253,30443897,1406.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Community:Supported Living,PS Adults 18-64 Long Term Support - Community:Supported Living,Contracted Services,45274,30445039,1406.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,1406.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,1426.89,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,1426.92,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,1426.92,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,1695.76,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,1695.76,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,1695.76,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,2316.16,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,2316.16,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,2316.16,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,2316.16,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,2543.64,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,2564.32,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,2564.32,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,2605.68,A&T CARING SERVICES,
