Payment Date, Description ,Gross Amount, Supplier Name 
24-Aug-23,Payment for Services,"£13,110.00",Wirral MBC
17-Aug-23,Forensic Fees - General,"£13,067.08",Redacted
03-Aug-23,Payment for Services,"£13,000.00",Positive Pathways North West CIC
16-Aug-23,Services & Legal Expenses,"£12,997.00",HM Courts & Tribunals Service
10-Aug-23,Forensic Fees - General,"£12,881.21",Redacted
10-Aug-23,Building Reactive Maintenance,"£12,830.76",Graham Asset Management Ltd
10-Aug-23,Capital Asset Clearing A/c Vehicles,"£12,824.65",Vauxhall Motors Ltd
03-Aug-23,Forensic Fees - General,"£12,702.00",Redacted
03-Aug-23,Rates,"£12,698.00",Liverpool City Council1
31-Aug-23,Rates,"£12,698.00",Liverpool City Council1
24-Aug-23,Diesel,"£12,617.41",Standard Fuel Oils Limited
10-Aug-23,Miscellaneous Contributions,"£12,607.60",PCC For Leicestershire
10-Aug-23,Outsourced Contractors,"£12,600.00",Redacted
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£12,600.00",Switchshop Ltd
03-Aug-23,Uniform and Clothing,"£12,551.22",ilasco Ltd (Keela International Ltd)
10-Aug-23,Services & Legal Expenses,"£12,500.00",Redacted
10-Aug-23,Miscellaneous Contributions,"£12,215.24",PCC For South Yorkshire Police
03-Aug-23,Services & Legal Expenses,"£12,101.40",Redacted
24-Aug-23,Diesel,"£12,087.00",Standard Fuel Oils Limited
10-Aug-23,Rates,"£12,083.00",St Helens MBC
03-Aug-23,Services & Legal Expenses,"£11,826.00",Redacted
10-Aug-23,Consultants Fees,"£11,780.72",Mace Limited
17-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£11,754.00",Redacted
10-Aug-23,Forensic Fees - General,"£11,591.28",Redacted
17-Aug-23,Diesel,"£11,444.40",Standard Fuel Oils Limited
10-Aug-23,Miscellaneous Contributions,"£11,260.37",Police & Crime Commissioner for North Wales
17-Aug-23,Technical Equipment,"£11,178.00",Softcat Plc
31-Aug-23,Rates,"£11,162.00",Warrington Borough Council
10-Aug-23,Consultants Fees,"£11,040.00",HKS IT Consultants Ltd
17-Aug-23,Diesel,"£10,951.13",Standard Fuel Oils Limited
31-Aug-23,Diesel,"£10,947.60",Standard Fuel Oils Limited
10-Aug-23,Consultants Fees,"£10,800.00",Solus Management Limited
10-Aug-23,Forensic Fees - General,"£10,717.24",Redacted
03-Aug-23,Service Charges,"£10,673.86",BAM FM Ltd
17-Aug-23,Forensic Fees - General,"£10,649.76",Redacted
24-Aug-23,Forensic Fees - General,"£10,599.96",Redacted
31-Aug-23,Consultants Fees,"£10,449.53",Organisation Development Limited
31-Aug-23,Miscellaneous Contributions,"£10,395.00",Croxteth Gems Community Association
31-Aug-23,Miscellaneous Contributions,"£10,395.00",Croxteth Gems Community Association
24-Aug-23,Training Course Fees,"£10,390.74",Mayor`s Office for Policing and Crime (MOPC)
10-Aug-23,Breathalyzers,"£10,308.00",Redacted
31-Aug-23,Service Charges,"£10,212.00",Coggin Sustainable Office Solutions Limited
24-Aug-23,Waste Disposal,"£10,197.65",Suez Recycling and Recovery UK Ltd
17-Aug-23,Miscellaneous Contributions,"£10,000.00",Everton in the Community
24-Aug-23,Purchase of Horses,"£10,000.00",Redacted
31-Aug-23,S/W Licences,"£9,907.69",Softcat Plc
24-Aug-23,Vehicle Costs,"£9,847.11",BMC Mechanical LTD
03-Aug-23,Forensic Fees - General,"£9,818.40",Redacted
03-Aug-23,Training Course Fees,"£9,800.00",The Leadership Challenger Ltd
17-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£9,766.80",Dell Corporation Ltd
03-Aug-23,Services & Legal Expenses,"£9,699.19",Redacted
10-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£9,660.00",Pure Audio Visual Limited
10-Aug-23,Comp. Operations,"£9,660.00",Pure Audio Visual Limited
10-Aug-23,Payment for Services,"£9,504.00",GOV TV Ltd t/a GOV Radio
17-Aug-23,Miscellaneous Contributions,"£9,356.35",The PCC for Thames Valley
24-Aug-23,Payment for Services,"£9,232.61",Dutysheet Ltd
24-Aug-23,Equipment Purchases,"£9,127.14",Redacted
03-Aug-23,Rates,"£9,062.00",Liverpool City Council1
31-Aug-23,Rates,"£9,062.00",Liverpool City Council1
03-Aug-23,Training Course Fees,"£9,000.00",The Leadership Challenger Ltd
24-Aug-23,Uniform and Clothing,"£8,985.60",Yaffy Protective Clothing (Part of Mi Hub Ltd)
03-Aug-23,Services & Legal Expenses,"£8,939.97",Redacted
17-Aug-23,Removal of Police Vehicles,"£8,922.00",Automobile Association Developments Limited
10-Aug-23,Consultants Fees,"£8,890.79",Mace Limited
17-Aug-23,Photocopy Charges,"£8,864.52",Xerox (UK) Ltd
03-Aug-23,Rates,"£8,806.00",Liverpool City Council1
31-Aug-23,Rates,"£8,806.00",Liverpool City Council1
31-Aug-23,Vehicle Police Equipment,"£8,781.30",DTec International Ltd
24-Aug-23,Forensic Fees - General,"£8,764.20",Redacted
31-Aug-23,Diesel,"£8,758.08",Standard Fuel Oils Limited
31-Aug-23,Diesel,"£8,758.08",Standard Fuel Oils Limited
24-Aug-23,Forensic Fees - General,"£8,657.24",Redacted
17-Aug-23,Photocopy Charges,"£8,588.93",Xerox (UK) Ltd
17-Aug-23,Forensic Fees - General,"£8,568.60",Redacted
03-Aug-23,Equipment for prisoners,"£8,349.60",Redacted
31-Aug-23,Rates,"£8,294.00",Wirral MBC
31-Aug-23,Forensic Fees - General,"£8,280.62",Redacted
24-Aug-23,Donations,"£8,278.06",Community Foundation for Lancashire and Merseyside (High Sheriff Tst)
24-Aug-23,Capital Asset Clearing A/c Building,"£8,223.60",Mace Limited
31-Aug-23,Services & Legal Expenses,"£8,067.43",Commercial Card
03-Aug-23,Diesel,"£8,014.93",Standard Fuel Oils Limited
24-Aug-23,Services & Legal Expenses,"£8,000.00",Redacted
03-Aug-23,Purchase of Police Dogs,"£7,960.25",The Retired Police Dog Benevolent Fund for Merseyside
10-Aug-23,Payments to Local Authorities,"£7,937.03",Experian Limited
10-Aug-23,Payments to Local Authorities,"£7,937.03",Experian Limited
24-Aug-23,Vehicle Costs,"£7,869.41",BMC Mechanical LTD
03-Aug-23,Miscellaneous Contributions,"£7,760.73",Police and Crime Commissioner For Lancashire
03-Aug-23,Vehicle Costs,"£7,745.02",PJ Automotive Ltd
24-Aug-23,Payment for Services,"£7,742.40",UKAS
31-Aug-23,Rates,"£7,680.00",Wirral MBC
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£7,612.80",Infrasys Ltd
10-Aug-23,Uniform and Clothing,"£7,603.20",Yaffy Protective Clothing (Part of Mi Hub Ltd)
03-Aug-23,Purchase of Police Dogs,"£7,500.00",Redacted
24-Aug-23,Miscellaneous Contributions,"£7,471.58",Nottinghamshire Office of the PCC
24-Aug-23,Uniform and Clothing,"£7,416.00",TCH (UK) Limited
03-Aug-23,Forensic Fees - General,"£7,406.40",Redacted
24-Aug-23,Vehicle Repairs,"£7,380.79",eStar Truck and Van Ltd
24-Aug-23,Uniform and Clothing,"£7,354.36",Try & Lilly Ltd
03-Aug-23,Vehicle Costs,"£7,277.18",A P Fleet Services Ltd
31-Aug-23,Rates,"£7,270.00",Wirral MBC
16-Aug-23,Services & Legal Expenses,"£7,232.00",HM Courts & Tribunals Service
17-Aug-23,Photocopy Charges,"£7,202.71",Xerox (UK) Ltd
03-Aug-23,Furniture Purchases,"£7,176.00",Flexiform Business Furniture Limited
10-Aug-23,Rates,"£7,168.00",St Helens MBC
17-Aug-23,Miscellaneous Contributions,"£7,143.38",Police & Crime Commissioner for Suffolk
03-Aug-23,Airside Liability,"£7,114.24",Arthur J Gallagher Insurance Brokers Ltd
24-Aug-23,Miscellaneous Contributions,"£7,052.37",Nottinghamshire Office of the PCC
03-Aug-23,S/W Licences,"£6,938.93",Iken Business Ltd
10-Aug-23,Uniform and Clothing,"£6,936.00",Business Image Limited
17-Aug-23,Diesel,"£6,732.00",Standard Fuel Oils Limited
31-Aug-23,Services & Legal Expenses,"£6,720.00",Redacted
10-Aug-23,Forensic Fees - General,"£6,712.32",Redacted
17-Aug-23,Diesel,"£6,605.36",Standard Fuel Oils Limited
17-Aug-23,Photocopy Charges,"£6,597.98",Xerox (UK) Ltd
10-Aug-23,Forensic Fees - General,"£6,556.67",Redacted
17-Aug-23,Payment for Services,"£6,528.00",Deakin Associates Ltd
03-Aug-23,S/W Licences,"£6,519.00",TV Licensing
17-Aug-23,Operational Equipment,"£6,518.62",Redacted
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£6,462.00",Redacted
03-Aug-23,Diesel,"£6,417.56",Standard Fuel Oils Limited
10-Aug-23,Rates,"£6,400.00",Sefton MBC (Rates Account) 
17-Aug-23,Miscellaneous Contributions,"£6,332.68",PCC for Gloucestershire
17-Aug-23,Services & Legal Expenses,"£6,240.00",Worldwide Surgical Enterprises Ltd
10-Aug-23,Outsourced Contractors,"£6,220.95",Wirral MBC
31-Aug-23,Outsourced Contractors,"£6,220.95",Wirral MBC
17-Aug-23,Diesel,"£6,160.61",Standard Fuel Oils Limited
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£6,134.40",Contact Left Ltd T/A C L Distribution
10-Aug-23,Waste Disposal,"£6,074.04",Citron Hygiene UK LLtd
24-Aug-23,Diesel,"£6,060.14",Standard Fuel Oils Limited
10-Aug-23,Services & Legal Expenses,"£6,000.00",Toxteth El8te CIC
31-Aug-23,Medical Counselling,"£6,000.00",The Kingsham Consultancy Ltd
17-Aug-23,Photocopy Charges,"£5,940.17",Xerox (UK) Ltd
24-Aug-23,Uniform and Clothing,"£5,805.00",ilasco Ltd (Keela International Ltd)
03-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£5,683.62",CCTV Camera Mounting Solutions (WEC Group Ltd)
10-Aug-23,Forensic Fees - General,"£5,619.64",Redacted
03-Aug-23,Rates,"£5,530.00",Liverpool City Council1
31-Aug-23,Rates,"£5,530.00",Liverpool City Council1
24-Aug-23,Horticultural Maintenance,"£5,456.10",Countrywide Grounds Maintenance Ltd
31-Aug-23,Mechanical Reactive Maintenance,"£5,447.81",Redacted
24-Aug-23,Uniforms,"£5,414.28",Ravenhead Services Limited
24-Aug-23,Diesel,"£5,409.84",Standard Fuel Oils Limited
24-Aug-23,Furniture Purchases,"£5,394.00",Bunkabin Limited
31-Aug-23,Payments to Other Police Authorities,"£5,359.27",GMCA (PCC for Greater Manchester)
24-Aug-23,Vehicle Costs,"£5,358.28",PJ Automotive Ltd
24-Aug-23,Uniforms,"£5,351.87",Ravenhead Services Limited
03-Aug-23,Payment for Services,"£5,316.29",Hays Specialist Recruitment Ltd
03-Aug-23,Premises Insurance,"£5,290.69",Arthur J Gallagher Insurance Brokers Ltd
10-Aug-23,Promotional Advertising,"£5,277.60",Select Business Gifts
24-Aug-23,Uniforms,"£5,269.81",Ravenhead Services Limited
03-Aug-23,Training Course Fees,"£5,259.75",Police and Crime Commissioner For Cheshire
03-Aug-23,Services & Legal Expenses,"£5,248.80",Gallagher Bassett International Ltd
03-Aug-23,Rates,"£5,222.00",Liverpool City Council1
31-Aug-23,Rates,"£5,222.00",Liverpool City Council1
24-Aug-23,Uniforms,"£5,144.69",Ravenhead Services Limited
17-Aug-23,Uniform and Clothing,"£5,128.88",Cooneen At Work Limited
10-Aug-23,Forensic Fees - General,"£5,102.48",Redacted
24-Aug-23,Capital Asset Clearing A/c Intangibles,"£5,100.00",Bluestar Software Ltd
10-Aug-23,Consultants Fees,"£5,091.07",Mace Limited
10-Aug-23,Forensic Fees - General,"£5,088.48",Redacted
24-Aug-23,Vehicle Costs,"£5,041.08",R2U Limited (Accident Repair Centre)
17-Aug-23,Services & Legal Expenses,"£5,002.08",Connect Internet Solutions Ltd
03-Aug-23,Services & Legal Expenses,"£5,000.00",Smartys
03-Aug-23,Services & Legal Expenses,"£5,000.00",Redacted
03-Aug-23,Services & Legal Expenses,"£5,000.00",Friends of Jubilee Park
17-Aug-23,Services & Legal Expenses,"£5,000.00",Together Were Stronger CIC
17-Aug-23,Services & Legal Expenses,"£5,000.00",Nobody Left Behind CIC
24-Aug-23,Services & Legal Expenses,"£5,000.00",St Luke's & St Jude's Church
10-Aug-23,Rates,"£4,992.00",Sefton MBC (Rates Account) 
10-Aug-23,Mechanical Reactive Maintenance,"£4,963.20",BAM FM Ltd
10-Aug-23,Miscellaneous Contributions,"£4,945.28",Police and Crime Commissioner For Derbyshire
24-Aug-23,Rates,"£4,941.00",Knowsley MBC
24-Aug-23,Services & Legal Expenses,"£4,910.00",Apollo Sports Club CIC
24-Aug-23,Postages,"£4,891.66",Royal Mail Group Limited t/a Royal Mail
24-Aug-23,Forensic Fees - General,"£4,818.00",Redacted
24-Aug-23,Police Dogs Vet Fees,"£4,811.05",Rutland House Surgery Limited
24-Aug-23,S/W Licences,"£4,800.00",Lexis Nexis UK
24-Aug-23,Postages,"£4,793.18",Royal Mail Group Limited t/a Royal Mail
24-Aug-23,Postages,"£4,788.11",Royal Mail Group Limited t/a Royal Mail
24-Aug-23,Training Course Fees,"£4,752.00",The ATACC Group Ltd
10-Aug-23,Miscellaneous Contributions,"£4,699.17",PCC For Leicestershire
31-Aug-23,Rates,"£4,685.00",Wirral MBC
17-Aug-23,Equipment for prisoners,"£4,676.28",Redacted
03-Aug-23,Diesel,"£4,674.60",Standard Fuel Oils Limited
24-Aug-23,S/W Licences,"£4,627.14",Oracle Corporation Uk Ltd
10-Aug-23,Uniform and Clothing,"£4,608.00",Michael Lupton Associates Limited
24-Aug-23,Capital Asset Clearing A/c Intangibles,"£4,596.00",Softcat Plc
02-Aug-23,Payment for Services,"£4,540.80",University College Dublin
23-Aug-23,Payment for Services,"£4,540.80",University College Dublin
10-Aug-23,Payment for Services,"£4,514.70",Redacted
