Payment Date, Description ,Gross Amount, Supplier Name 
20-Apr-23, Capital Asset Clearing A/c Vehicles ,"£22,800.00",Peoples Liverpool Limited
27-Apr-23, Payment for Services ,"£22,176.00",Access Bookings Limited
27-Apr-23, Miscellaneous Contributions ,"£22,115.39",Police and Crime Commissioner for Humberside
20-Apr-23, Payment for Services ,"£22,000.00",The Cyrenians Ltd T/A Changing Lives
13-Apr-23, Payment for Services ,"£21,882.00",PCC for Dorset
27-Apr-23, Payment for Services ,"£21,850.37",Causeway Charitable Services
27-Apr-23, H/W Purchases ,"£21,668.40",One Source IT Ltd
27-Apr-23, Capital Asset Clearing A/c Intangibles ,"£21,600.00",Modality Systems Limited
20-Apr-23, Payment for Services ,"£21,507.12",Police and Crime Commissioner For Cheshire
27-Apr-23, Electrical Reactive Maintenance ,"£21,476.40",BAM FM Ltd
27-Apr-23, Electrical Reactive Maintenance ,"£21,404.29",BAM FM Ltd
06-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£21,195.60",Oligen Communications Ltd
27-Apr-23, Payments to Other Police Authorities ,"£21,101.00",Police and Crime Commissioner For Lancashire
13-Apr-23, Payments to Local Authorities ,"£21,000.00",Wirral MBC
06-Apr-23, Forensic Fees - General ,"£20,642.64",Redacted
20-Apr-23, Services & Legal Expenses ,"£20,000.56",Time Matters UK
06-Apr-23, Services & Legal Expenses ,"£20,000.00",Redacted
27-Apr-23, Services & Legal Expenses ,"£20,000.00",HMP Liverpool
06-Apr-23, Forensic Fees - General ,"£19,857.60",Redacted
20-Apr-23, Payments to Other Police Authorities ,"£19,656.55",PCC for South Wales
06-Apr-23, Payment for Services ,"£19,560.00",Road Safety Support Ltd
27-Apr-23, Miscellaneous Contributions ,"£19,490.54",Police and Crime Commissioner for Humberside
20-Apr-23, Building Maintenance Contracts ,"£19,338.11",Graham Asset Management Ltd
20-Apr-23, H/W Purchases ,"£19,278.00",Pure Audio Visual Limited
06-Apr-23, Outsourced Contractors ,"£19,210.80",PS Administration Ltd (T/A XPS Administration)
27-Apr-23, Miscellaneous Contributions ,"£18,464.00",PCC for Dorset
20-Apr-23, Payment for Services ,"£18,319.68",Access Bookings Limited
26-Apr-23, S/W Licences ,"£18,265.50",Redacted
20-Apr-23, Kennelling External Dogs ,"£18,094.56",Redacted
06-Apr-23, Training Course Fees ,"£18,044.40",Redacted
06-Apr-23, Payments to Other Police Authorities ,"£17,572.38",Police and Crime Commissioner For Avon & Somerset
20-Apr-23, Building Reactive Maintenance ,"£17,509.50",Graham Asset Management Ltd
12-Apr-23, Direct Transport Costs ,"£17,265.02",Allstar
27-Apr-23, Electrical Maintenance Contracts ,"£17,177.03",BAM FM Ltd
20-Apr-23, Building Reactive Maintenance ,"£17,139.60",Graham Asset Management Ltd
20-Apr-23, Building Maintenance Contracts ,"£17,098.86",Graham Asset Management Ltd
20-Apr-23, Capital Asset Clearing A/c Intangibles ,"£17,060.00",Simpson Associates Information Services Ltd
