Date,Transaction Number,Directorate,Local Authority Dept,Merchant Category,Summary of Purpose of Expenditure 1,Summary of Purpose of Expenditure 2,Beneficiary,Total
22/02/2024,5412005,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,289.05
22/02/2024,5412050,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,344.40
22/02/2024,5412056,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - SOUTH,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,387.45
22/02/2024,5412070,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - SOUTH,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,430.50
22/02/2024,5412156,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,344.40
22/02/2024,5412167,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - SOUTH,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,325.95
22/02/2024,5412195,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,344.40
22/02/2024,5412267,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,461.25
22/02/2024,5412267,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,387.45
22/02/2024,5412341,"ADULTS, WELLBEING AND CULTURE ",FUTURE OPTIONS                ,PRIVATE CONTRACTORS,HOMECARE - CALDT,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,332.10
29/02/2024,5419777,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,578.10
29/02/2024,5419833,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,319.80
29/02/2024,5419873,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - SOUTH,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,387.45
29/02/2024,5419995,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,387.45
29/02/2024,5420231,"ADULTS, WELLBEING AND CULTURE ",FUTURE OPTIONS                ,PRIVATE CONTRACTORS,HOMECARE - CALDT,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,276.75
29/02/2024,5420299,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - SOUTH,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,344.40
29/02/2024,5420408,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,301.35
29/02/2024,5420460,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,344.40
29/02/2024,5420472,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - SOUTH,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,387.45
29/02/2024,5420505,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - SOUTH,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,430.50
29/02/2024,5420617,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,344.40
29/02/2024,5420627,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - SOUTH,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,350.55
29/02/2024,5420684,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,344.40
29/02/2024,5420785,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,461.25
29/02/2024,5420785,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,PRIVATE CONTRACTORS,HOMECARE - CENTRAL,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,387.45
