Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount Supplier Name,,Payment Date,,
Support,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"9,237.17",PCC for Gloucestershire,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,472.77,Vertu Volvo SW,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Employees,Indirect Employee Expenses,Training - Course Fees,"10,482.93",UNIVERSITY OF THE WEST OF ENGLAND,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,762.95,Scott Dunn Consultants,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,810.00,EDGAR BROTHERS,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Software - Licences,"28,188.00",NEC Software Solutions UK Ltd,03/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Roads Policing,Supplies & Services,Equipment Furniture & Materials,Equipment,"4,227.50",D.tec International Limited,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"17,153.62",SOCOTEC UK Ltd,21/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,783.00,EEF Ltd T/A Make UK,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,"18,563.53",Renault Truck Commercials Ltd,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Courses Fees,575.00,PCC for Durham,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Contribution,Contribution,"17,855.34",The Nelson Trust,28/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,850.00,R J Lifts Group Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Medical Fees,Pathologists reports,"9,963.00",Dr Amanda Jane Jeffery,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,899.00,,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Capital Charges,Capital Charges,Other Plant & Equipment,"46,170.73",CDW Limited,17/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Disused,Supplies & Services,Other Expenses,Courses Fees,864.00,iRed Ltd,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,"1,852.50",College of Policing Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Workshops/Maintenance,Vehicle Workshop,659.31,SAFETY KLEEN UK LTD,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Furniture Purchase,,"10,000.00 Mace Cost Consultancy Limited",28/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,534.80,,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,964.58,Defence Infrastructure Organisation,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Printing,"6,368.71",Xerox (UK) Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Other Plant & Equipment,,659.45 Walker Fire UK Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Revaluation/Stock Take,-96.72,Tailored Image Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,General Waste Costs,634.85,SUEZ Recycling and Recovery UK Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,,"2,250.00 Modis International Limited t/a Akk",07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Other Expenses,Courses Fees,"5,295.00",Demux Video Services Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,"2,067.99",Hays Specialist Recruitment Ltd,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police Inspector - Basic Pay,"11,033.50",PCC for Gloucestershire,17/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment Cleaning & Materials,864.49,Protect Signs,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,474.60,Lewis O'Rourke Limited,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,457.06,Advanced Vehicle Glazing Limited,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Hire,Taxis,33.92,Corporate Support HQ Imprest,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,562.80,PCC for Devon & Cornwall,17/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,523.49,Key Forensic Services Ltd,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police PC - Unsociable Hours,112.11,PCC for Wiltshire,24/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Supplies & Services,Equipment Furniture & Materials,Equipment,,508.00 M. E. Duffell Ltd,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,"Police Sergeant - Basic Pay, OT, NI & Pension","3,729.46",PCC for Dorset,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Grants & Subscriptions,Subscriptions,"10,000.00",Gallagher Bassett International Ltd,14/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Communications & Computing,IT Equip - Consumables,508.50,Data Pro IT Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Software - Licences,"1,776.00",VODAFONE LTD,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,733.00,South Gloucestershire Council,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"1,690.00",Creased Puddle Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"1,320.00",Creased Puddle Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,"3,508.00",,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"2,246.00",Bath & North East Somerset,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Hire,Hired Vehicle Costs,"1,125.00",COUNTY CARS,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"5,105.10",Eurofins Forensics Services Limited,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,"1,687.50",,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Weapon Ancillaries,"1,533.00",GMK Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,176.31,Corporate Support HQ Imprest,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,4.58,Corporate Support Bridgwater Impres,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Communications & Computing,Hardware - R&M,523.29,Telefonica UK Limited,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,615.02",SJ Cook & Sons,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Communications & Computing,Voice & Data,"1,245.00",Telefonica UK Limited,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Subsistence & Conference,Hospitality,59.98,Corporate Support HQ Imprest,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Medical Fees,Pathologists reports,"19,926.00",Dr Amanda Jane Jeffery,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,"2,433.75",Sonic Communications (INT) Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Postage,9.95,Avoira Limited,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,435.00,National Crime Agency,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Services,Capital Charges,Capital Charges,Construction & Conversion Fees,"9,266.66",Corstorphine & Wright,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"27,472.90",PCC for Wiltshire,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"2,164.42",Bristol Diocesan Board of Finance L,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"22,306.50",Swan Advocacy Network,10/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Employees,Police Pay & Allowances,Police PC - OT & Unsociable Hours,"2,168.62",PCC for Gloucestershire,17/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"4,236.48 West Yorkshire Police",14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,703.80,Charles Fellows Supplies Ltd,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,"1,929.00",College of Policing Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,"18,400.00",LION LABORATORIES LTD,24/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,516.00,Somerset Council,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Fabric,"3,710.46",Blue Light Partnership,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"2,164.42",Bristol Diocesan Board of Finance L,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Licences & Orders,560.00,International Compliance Associatio,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,"1,080.00",College of Policing Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police PC - Housing,262.03,PCC for Devon & Cornwall,24/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"1,509.30 My Staff Shop Limited",03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"1,362.95 Walker Fire UK Ltd",07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,"1,731.04",Halls Electrical Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Catering,Catering,51.15,Corporate Support Bridgwater Impres,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,774.54,Compass Services (UK) Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"2,579.17 My Staff Shop Limited",17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"4,083.69",SJ Cook & Sons,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,333.00",Don Ruffles Limited,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,,"2,250.00 Modis International Limited t/a Akk",17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"49,494.00",South Gloucestershire Council,09/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Communications & Computing,IT Equip - Consumables,"15,005.00",Bechtle Ltd,28/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,990.00",Heartsafe AED Locator (EU) Ltd,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Services,Capital Charges,Capital Charges,Construction & Conversion Fees,675.00,Roberts Environmental Services Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"2,925.00",Hays Specialist Recruitment Ltd,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police PC - Basic Pay & NI,"18,147.57",PCC for Dorset,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Supplies & Services,Printing Stationery & Office Exp,Postage,57.01,Corporate Support HQ Imprest,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Communications & Computing,Voice & Data,554.75,Bristol Airport,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,"41,848.51",National Car Parks Ltd,24/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Postage,"3,767.20",Quadient UK Limited,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"22,932.00",Bristol City Council,09/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"1,650.00",SVE Services Limited,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"2,282.00",College of Policing Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,396.06",GOODYEAR TYRES UK LTD,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"2,382.00",North Somerset Council,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"33,678.96",The Green House,14/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"2,090.92",SJ Cook & Sons,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Fees 3rd Party,"2,750.00",,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,682.18,Sportsbikeshop Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,"1,852.50",College of Policing Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Contribution,Contribution,500.00,Black South West Network,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Courses Fees,"1,112.00",College of Policing Ltd,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"1,000.00",Business Forums International Ltd,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired - Cleaning Cells/Vehs,"8,980.00",Sodexo Limited,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"18,611.37",Eurofins Forensics Services Limited,21/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Supplies & Services,Other Expenses,Vet Fees & Supplies,"1,156.92",B & W Equine Group Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,523.00,North Somerset Council,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Supplies & Services,Printing Stationery & Office Exp,Printing,"8,200.00",,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"44,850.00",PCC for Devon & Cornwall,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigations,Supplies & Services,Equipment Furniture & Materials,Equipment,230.42,Corporate Support HQ Imprest,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Staff Overtime,Police Staff - OT,162.53,PCC for Devon & Cornwall,24/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Other Expenses,Legal Fees 3rd Party,"4,500.00",,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Other Expenses,Courses Fees,"2,187.50",College of Policing Ltd,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,"11,550.00",Quadrant Contract Floorings Limited,10/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,494.40,Lewis O'Rourke Limited,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,"1,400.80",Blue Light Partnership,28/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
PCC,Third Party Payments,Other Local Authorities or Forces,Charges - Financial Services,"17,902.50",South West Audit Partnership Ltd,14/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,999.17 My Staff Shop Limited,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,597.15,Telefonica UK Limited,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,500.30,BRISTOL STREET MOTORS,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Network Services,"46,216.26",BRITISH TELECOMMUNICATIONS PLC,24/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"1,609.00",Somerset Council,09/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"38,766.00",Bristol City Council,09/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Employees,Police Pay & Allowances,Police Chief Inspector - Basic Pay,"11,361.00",PCC for Devon & Cornwall,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"2,250.00",,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"11,483.00",PCC for Devon & Cornwall,07/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,589.40,Vehicle Accessories Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,630.70,,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Employees,Police Staff Pay & Allowances,Police Staff - Police Pension,"90,100.00",Somerset Council Pension Fund,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Premises,Rent Rates & Water,Rents,"5,050.00",North Somerset Council,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Contribution,Contribution,"14,279.00",TREBLE 5 TREBLE 1 LTD,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Supplies & Services,Communications & Computing,IT Equip - Consumables,14.69,Corporate Support HQ Imprest,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,634.48,GOODYEAR TYRES UK LTD,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Contribution,Contribution,"21,011.75",The Nelson Trust,03/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Capital Charges,Capital Charges,Construction & Conversion Fees,924.00,Services Design Solution Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - fuel,10.00,Corporate Support HQ Imprest,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"4,321.07",SJ Cook & Sons,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,530.00,Orchid Cellmark Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,"6,250.00",Double Tree by Hilton - Cadbury Hou,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,"1,608.96",Bidfood,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"2,357.52",Hays Specialist Recruitment Ltd,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Staff Pay & Allowances,"Police Staff - Basic Pay, NI & Pension","8,907.15",PCC for Devon & Cornwall,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,906.75 WA Products (UK) Ltd t/a SceneSafe,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,724.85,BRISTOL STREET MOTORS,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
