Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,Payment Date,,
Specialist Operations,Employees,Police Pay & Allowances,Police Inspector - Basic Pay,"15,799.50",PCC for Devon & Cornwall,12/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Employees,Police Staff Overtime,"Police Staff - Basic Pay, OT, NI & Pension","26,586.35",PCC for Devon & Cornwall,26/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,"11,409.08 OEConnection Limited",05/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Transport,Vehicle Allowances,Vehicle mileage allowance,379.94,PCC for Wiltshire,26/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,,-750.00  Creased Puddle Ltd,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,"2,053.68",,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,,"2,856.00 College of Policing Ltd",12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Communications & Computing,Radio/Airwave - Equipment,800.80,Sepura Ltd,23/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"82,446.00",Somerset Council,13/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,885.00,R J Lifts Group Ltd,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Premises,Rent Rates & Water,Rents,"1,125.00",,02/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,541.67,BT PLC,26/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,,"1,110.00 North Somerset Council",13/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Employees,Police Staff Pay & Allowances,Staffing Agency,,"2,357.52 Hays Specialist Recruitment Ltd",23/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,"1,047.12",PCC for Devon & Cornwall,19/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,"1,452.00",Telefonica UK Limited,02/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,25.90,PCC for Dorset,12/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Criminal Justice Arrangements,Supplies & Services,Communications & Computing,Network Services,60.75,EE Limited,26/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,597.00,Protect Signs,09/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,538.82,,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Communications & Computing,Voice & Data,"1,247.43",Telefonica UK Limited,19/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police Sergeant - Basic Pay,"8,583.00",PCC for Wiltshire,30/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Roads Policing,Supplies & Services,Communications & Computing,Software - Purchases (S&M),,"37,516.01 Unify Holding UK 1 Limited",23/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Courses Fees,,559.50 College of Policing Ltd,30/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Cleaning & Domestic Supplies,Cleaning Charges,"1,768.00",Sodexo Limited,12/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Communications & Computing,Network Services,"46,258.19",BRITISH TELECOMMUNICATIONS PLC,26/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,"1,023.76 GOODYEAR TYRES UK LTD",05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Premises,Rent Rates & Water,Rents,"1,125.00",,26/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,750.00,,09/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,682.20,Volkswagen Group UK Ltd Parts,23/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,633.36 GOODYEAR TYRES UK LTD,12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"7,879.88",Level Peaks Associates Limited,12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Overtime,Police PC - OT & Unsociable Hours,321.44,PCC for Dorset,12/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Rent Rates & Water,Rents,"15,012.50",BATH & NORTH EAST SOMERSET COUNCIL,12/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Capital Charges,Capital Charges,Construction & Conversion Fees,,"3,321.90 Coreus Projects Limited",16/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,,"55,889.93 North Somerset Council",30/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Operational Support,Supplies & Services,Other Expenses,Dogs - Food,,509.95 Crown Petfoods Ltd,12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - fuel,,"12,577.18 Certas Energy UK Ltd",09/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,"89,133.28",Sodexo Limited,19/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Criminal Justice Arrangements,Supplies & Services,Equipment Furniture & Materials,Equipment,,"1,990.00 Heartsafe AED Locator (EU) Ltd",26/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,,"1,700.00 Cambridge Centre for Evidence-Based",09/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,,-908.40  Orchid Cellmark Ltd,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Licences & Orders,"7,176.00",,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,845.64,,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Accommodation,"1,665.83",,09/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,"5,224.06",Bidfood,23/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,415.22,BRITISH TELECOMMUNICATIONS PLC,26/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,"1,016.50 MON MOTORS T/A BRISTOL AUDI",12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Hardware - R&M,,"2,946.90 Hays Specialist Recruitment Ltd",12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,,304.00 National Crime Agency,02/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"23,696.00",South Gloucestershire Council,05/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"2,649.81",SJ Cook & Sons,16/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,245.84,PCC for Devon & Cornwall,19/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Fees 3rd Party,"20,000.00",,26/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Equipment Furniture & Materials,Equipment,,597.00 Heartsafe AED Locator (EU) Ltd,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Overtime,Police PC - OT,"15,893.54",PCC for Devon & Cornwall,26/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
PCC,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"4,119.88",,23/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,,540.00 Gresham Office Furniture Limited,16/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Transport,Vehicle Allowances,Travel fares,"17,837.58",,19/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"28,985.00",ACF Teambuilding & Events Ltd,12/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Supplies & Services,Capital Charges,Forensic Science Services,353.31,SOCOTEC UK Ltd,26/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,885.00,R J Lifts Group Ltd,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Supplies & Services,Other Expenses,Licences & Orders,40.50,EE Limited,26/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,"1,519.98 City West Commercials Ltd",23/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Employees,Police Overtime,"Police PC - Basic Pay, OT, NI & Pension","30,829.09",PCC for Devon & Cornwall,26/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Other Expenses,Courses Fees,990.00,In Safe Hands Health & Safety Train,12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Other Expenses,Dogs - Kennel Purchase & Maint,840.00,Top Dog Boarding,19/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,0.10,PEGASUS CATERING LTD,16/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"55,196.00",SOMERSET COUNCIL,12/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,646.08,TLT SOLICITORS,12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Rent Rates & Water,Landlords Service Charge,,918.64 National Crime Agency,12/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,105.70,PCC for Dorset,12/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,Construction & Conversion Fees,"3,937.50",Kendall Kingscott Ltd,30/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,127.58",SJ Cook & Sons,30/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Transport,Vehicle Allowances,Travel fares,,7.50 Corporate Support HQ Imprest,02/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police PC - Basic Pay & NI,"83,684.94",PCC for Gloucestershire,09/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,516.00,Somerset Council,13/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,60.00,PCC for Devon & Cornwall,26/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,916.44 GOODYEAR TYRES UK LTD,30/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"22,000.00",Romac Building Contractors Ltd,23/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Communications & Computing,Hardware - R&M,"13,709.00",BRITISH TELECOMMUNICATIONS PLC,26/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,626.00,Systems Technology Consultants Ltd,26/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police Inspector - Basic Pay,"10,135.00",PCC for Dorset,12/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,,0.39 College of Policing Ltd,30/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,,"15,196.67 Motus Group (UK) t/a Pentagon",23/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,,"1,003.20 Orchid Cellmark Ltd",19/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,740.00,Trimco S W Ltd,09/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Subsistence & Conference,Subsistence,146.20,PCC for Devon & Cornwall,26/09/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Premises,Rent Rates & Water,National Non Domestic Rates,"16,127.00",South Gloucestershire Council,13/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"1,825.00",Xerox (UK) Ltd,09/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,Confidential Waste Costs,"1,323.00",Perrys Recycling Ltd,16/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Equipment Furniture & Materials,Equipment,"11,056.06",Redspeed International Ltd,30/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,,684.28 Onecom Limited,05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,,"2,070.00 Orchid Cellmark Ltd",19/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Supplies & Services,Printing Stationery & Office Exp,Printing,"2,072.00",Xerox (UK) Ltd,26/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,160.00 Cary Uk Ltd",,16/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,"16,875.00",Pyper Property Partnership,12/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,,741.46 WA Products (UK) Ltd t/a SceneSafe,26/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,1.00,The Art Warehouse & Framing Factory,16/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Transport,Vehicle Allowances,Travel fares,"17,557.73",,26/09/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,,"1,207.05 Orchid Cellmark Ltd",05/09/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
