Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,,
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,500.83,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,"15,470.00",Kingsmead of Bath,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Employees,Police Pay & Allowances,Police PC - National Insurance,527.01,PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Investigative Support,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired - Accreditation,"13,440.00",Chartered Society of Forensic Scien,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"13,065.77",Press Commercial Bodyworks,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,629.63,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Postage,15.00,CLIFTON CANVAS DEVELOPMENTS LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"4,500.00",GatenbySanderson Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"2,042.00",PCC for Warwickshire,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,703.50,College of Policing Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Capital Charges,Capital Charges,Other Plant & Equipment,"7,924.00",Cleartone Telecoms Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,950.04,GOODYEAR TYRES UK LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,773.55,Fuchs Lubricants (UK)) Plc,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,"1,394.04",POSTURITE (UK) LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,900.00,Creased Puddle Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Hire,Hired Vehicle Costs,533.40,Scot Group Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"1,693.00",Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,"1,452.00",Telefonica UK Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,General Waste Costs,772.70,SUEZ Recycling and Recovery UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Legal Costs & Services,625.00,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Energy Costs,Gas,867.07,BRITISH GAS,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Overtime,"Police Staff - Basic Pay, OT, NI & Pension","16,767.13",PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Transport,Vehicle Hire,Hired Vehicle Costs,622.44,Enterprise Rent a Car UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Security,"7,999.11",Blue Light Partnership,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Medical Fees,Doctors - call out fees,"-2,794.41",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,863.40,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,887.65,Safen3t Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Communications & Computing,Software - Licences,"74,024.52",,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,544.00,Safen3t Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,0.10,PEGASUS CATERING LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Transport,Vehicle Allowances,Travel fares,-972.40,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"2,801.00",North Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"144,299.67",PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Analyse,Capital Financing,Minimum Revenue Provision,Debt Charges - Interest,"7,583.33",Public Works Loan Board,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,"1,259.26",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Employees,Police Pay & Allowances,"Police Inspector - Basic Pay, NI & Pension","7,521.28",PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"2,039.50",Amplivox Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Transport,Vehicle Allowances,Travel fares,7.50,PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,016.64",Vertu Volvo SW,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"22,932.00",Bristol City Council,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,712.97,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - fuel,"40,088.36",Allstar Business Solutions Ltd,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,629.63,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Postage,"1,131.81",Quadient UK Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,"3,026.40",Bidfood,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,514.00,Cary Uk Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,632.04,Blue Light Partnership,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"1,930.08",Forensic Analytics Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Premises,Rent Rates & Water,Rents,"6,250.00",PSJ Properties Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,635.62,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,,"-2,893.75  Defence Infrastructure Organisation",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Landlords Service Charge,"3,750.00",Avon Fire & Rescue,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,825.00,SVE Services Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,707.88,PCC for Devon & Cornwall,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Energy Costs,Wood Pellets,"5,607.38",AMP Biomass Fuel Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,"1,566.62",Hays Specialist Recruitment Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Hardware - R&M,"2,300.00",Hays Specialist Recruitment Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"1,611.75",Bath & North East Somerset,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"2,037.50",TGS (UK) Ltd T/A TGS Group Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Equipment Furniture & Materials,Equipment,583.60,Corporate Support HQ Imprest,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"53,228.50",North Somerset Council,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"2,065.00",LAVAT Consulting Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,,573.50 Morning Dew Service Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,495.00",Diagnostic Connections Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"1,611.75",Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Indirect Employee Expenses,Reimbursements - Ophthalm,995.00,Specsavers Corporate Eyecare,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,286.90",Vertu Volvo SW,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,629.63,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,"17,313.51",Telefonica UK Limited,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,541.35 Waylands Bristol,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"8,000.00",Talos360 Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,535.00,United Kingdom Accreditation Servic,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Premises,Rent Rates & Water,Rents,"2,500.00",North Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"3,276.00",Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Fabric,"3,514.00",Blue Light Partnership,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"46,286.86",Eurofins Forensics Services Limited,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"9,508.20",The Appropriate Adult Service,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Landlords Service Charge,"1,017.82",Savills (UK) Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,629.63,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"3,500.00",LAVAT Consulting Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,629.63,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Subsistence & Conference,Subsistence,73.41,PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Planned Repair & Maintenance,Grounds Maintenance,531.30,PLANT CARE LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,629.63,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"5,245.99",Eurofins Forensics Services Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,748.50,SVE Services Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,831.54,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,828.63,POSTURITE (UK) LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Printing Stationery & Office Exp,Printing,17.50,Xerox (UK) Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Hardware - R&M,"86,334.54",Specialist Computer Centres,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"1,250.00",Creased Puddle Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,800.00,Creased Puddle Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,835.00,Aquarius Waste Management Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Grounds Maintenance,"1,290.00",Landscape Services South West Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment - Ammunition,"6,160.00",GMK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,959.32,Insight Direct (UK) Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"10,500.00",VOICES,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"82,446.00",Somerset Council,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,Construction & Conversion Fees,"4,000.00",Quattro Design Architects Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Communications & Computing,Software - Purchases (S&M),"18,837.21 WPC Software Ltd",,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,289.00,Blue Light Partnership,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Equipment Furniture & Materials,Equipment Repairs & Maintenance,"1,150.12",Cavendish Nuclear Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,678.80,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Network Services,"47,633.59",BRITISH TELECOMMUNICATIONS PLC,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,760.18,Advanced Vehicle Glazing Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"3,030.00",Avon Armour Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,"2,175.00",CLIFTON CANVAS DEVELOPMENTS LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,199.64",DRIVE VAUXHALL BRISTOL,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,"1,168.44",Charles Fellows Supplies Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,"9,400.00",Police Crime Prevention Initiatives,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"12,850.00",PCC for Hampshire,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,"1,452.00",Telefonica UK Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Workshops/Maintenance,Vehicle Workshop,"1,350.00",Volvo Car UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,630.00,Formation Media Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Premises,Rent Rates & Water,National Non Domestic Rates,"1,480.25",Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"1,150.00",Linguassist Interpreting & Trans,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,760.83,Volkswagen Group UK Ltd Parts,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"13,555.52",Tangible Benefit Limited,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Supplies & Services,Communications & Computing,Hardware - R&M,502.06,Telefonica UK Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,"1,259.26",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"3,185.00",North Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,725.00,G & L Consultancy Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Licences & Orders,"85,745.00",Altia Solutions Ltd,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Analyse,Transport,Vehicle Allowances,Travel fares,"3,499.85",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"12,686.10",SOCOTEC UK Ltd,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Licences & Orders,"3,315.79",Data Pro IT Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,541.67,BT PLC,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,964.57,Defence Infrastructure Organisation,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,"1,795.00",The Knowledge Academy Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Capital Financing,Minimum Revenue Provision,Debt Charges - Principal,"8,954.00",Salix Finance Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,"Police PC - Basic Pay, NI & Pension","41,607.87",PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Roads Policing,Capital Charges,Capital Charges,Other Plant & Equipment,"5,848.00",Cleartone Telecoms Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Vandalism - Repairs General,"9,058.00 WESSEX GLASS CO LTD",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,"1,206.46",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,912.85,GOODYEAR TYRES UK LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"3,074.00",Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"1,925.75",Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Other Expenses,Vet Fees & Supplies,"1,590.71",B & W Equine Group Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,679.05,Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment Repairs & Maintenance,"4,416.89",Kohler Uninterruptible Power Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Medical Fees,Pathologists reports,"1,120.00",Dr Mark Fabian Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Services,Capital Charges,Capital Charges,Construction & Conversion Fees,"4,700.00",Corstorphine & Wright,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"1,200.00",Creased Puddle Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,750.00,Creased Puddle Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Other Expenses,Courses Fees,"1,380.50",College of Policing Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Employees,Police Overtime,Police Sergeant - Basic Pay & OT,"1,209.25",PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,"1,452.00",Telefonica UK Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Licences & Orders,"16,080.00",,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
