Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,Payment Date,,
Support Functions,Supplies & Services,Subsistence & Conference,Hospitality,,576.29 Corporate Support HQ Imprest,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Other Expenses,Dogs - Kennel Purchase & Maint,"1,620.00",Bassett Court Farm Court Kennels,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Staff Overtime,"Police Staff - Basic Pay, OT, NI & Pension","17,212.26",PCC for Dorset,31/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,834.49,Fowlers of Bristol Ltd,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Transport,Vehicle Allowances,Vehicle mileage allowance,373.50,,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Rent Rates & Water,Professional Fees & Consultancy,"218,092.00",PCC for South Wales,24/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,"6,950.00",TEMPLESTOCK LIMITED,10/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,586.80 Cary Uk Ltd,,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Communications & Computing,Furniture Purchase,,"6,970.00 Davies Porter Solutions Limited",31/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Software - Purchases (S&M),"36,465.51",Unify Holding UK 1 Limited,10/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Employees,Police Overtime,Police PC - OT,816.67,PCC for Devon & Cornwall,19/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,516.00,SMSR (Social & Market Strategic Res,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Voice & Data,541.67,BT PLC,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Vehicle mileage allowance,6.00,PCC for Wiltshire,31/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Rent Rates & Water,Professional Fees & Consultancy,"1,215.00",,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,"1,150.00",Akkodis UK Ltd,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,,"12,500.00 Highfield Kennels and Cattery",13/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Communications & Computing,Software - Purchases (S&M),"1,528.00",Vodafone,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Rent Rates & Water,Professional Fees & Consultancy,"1,825.00",Xerox (UK) Ltd,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,077.20 Cary Uk Ltd",,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,,22.70 Corporate Support HQ Imprest,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,605.20 Cary Uk Ltd,,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Professional Fees & Consultancy,Vehicle Conversions,,821.68 Halls Electrical Ltd,31/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Supplies & Services,Other Expenses,Courses Fees,,725.00 National Crime Agency,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,844.62 GOODYEAR TYRES UK LTD,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Standby Payments,"1,400.00",PCC for Devon & Cornwall,13/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"5,439.50 City of London Police",24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,,"3,542.00 Gresham Office Furniture Limited",13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Medical Fees,Drugs & Medical Requisites,,516.65 Midland Pathology Services Ltd,10/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Network Services,101.25,EE Limited,17/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Fees 3rd Party,"2,000.00",,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,760.00 National Crime Agency,03/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Subsistence & Conference,Subsistence,,31.27 Corporate Support HQ Imprest,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,,"1,267.50 Charles Fellows Supplies Ltd",27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,,"98,839.00 North Somerset Council",13/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Premises,Cleaning & Domestic Supplies,Cleaning Charges,424.00,Sodexo Limited,17/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Criminal Justice Arrangements,Employees,Police Pay & Allowances,"Police Inspector - Basic Pay, NI & Pension","16,241.74",PCC for Gloucestershire,13/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,"2,140.00",BATH & NORTH EAST SOMERSET COUNCIL,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Workshops/Maintenance,Vehicle Workshop,691.48,SAFETY KLEEN UK LTD,17/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Capital Charges,General Waste Costs,"1,232.25",SUEZ Recycling and Recovery UK Ltd,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Printing Stationery & Office Exp,Forensic Science Services,"2,335.00",Systems Technology Consultants Ltd,03/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,600.00,Bristol City Council,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Capital Charges,Professional Fees & Consultancy,Vehicle Conversions,"6,772.00 Motus Group (UK)",,19/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,997.31,Listers Toyota Bristol,17/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Grants & Subscriptions,Subscriptions,"1,800.00 CoPaCC Limited",,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,39.18,PCC for Wiltshire,31/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Catering,Catering,978.50,PEGASUS CATERING LTD,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Professional Fees & Consultancy,ICT Equipment Purchase,,"1,170.00 Hays Specialist Recruitment Ltd",19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,"1,350.00",Arco Limited,10/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Employees,Police Staff Pay & Allowances,"Police Staff - Basic Pay, NI & Pension","3,114.37",PCC for Devon & Cornwall,19/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,"1,674.40",Sodexo Limited,03/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,542.00 City West Commercials Ltd,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Employees,Police Pay & Allowances,"Police Sergeant - Basic Pay, NI & Pension","6,597.81",PCC for Wiltshire,19/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Disused,Supplies & Services,Communications & Computing,Software - Licences,,11.13 Corporate Support HQ Imprest,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"44,433.20",South Gloucestershire Council,13/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,"2,476.00",Avon Armour Limited,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"29,617.45",Integral UK Ltd,03/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,"1,035.00",Akkodis UK Ltd,03/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,26.70,PCC for Dorset,27/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Employees,Police Staff Pay & Allowances,Staffing Agency,,"1,375.00 Hays Specialist Recruitment Ltd",24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Communications & Computing,Software - Purchases (S&M),,"418,283.65 Niche Technology UK Ltd",13/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"1,987.00",PCC for Devon & Cornwall,20/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Communications & Computing,Software - Licences,"2,223.36",PHOENIX SOFTWARE LTD,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Professional Fees & Consultancy,Vehicle Conversions,"6,250.00",Toyota (GB) PLC,06/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,510.00,Romac Building Contractors Ltd,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,,40.32 Corporate Support HQ Imprest,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Cleaning & Domestic Supplies,Cleaning Charges,548.24,PCC for Dorset,31/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,759.00",Law Enforcement International Ltd,20/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,15.13,PCC for Dorset,31/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Services,Capital Charges,Capital Charges,Construction & Conversion Fees,"1,395.00",SVE Services Limited,10/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Supplies & Services,Other Expenses,Courses Fees,,152.00 National Crime Agency,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,500.00,,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Subsistence & Conference,Subsistence,88.36,PCC for Devon & Cornwall,19/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,998.50,Sovereign Fire & Security Ltd,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,"10,440.00",,13/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Supplies & Services,Other Expenses,Dogs - Kennel Purchase & Maint,982.00,The Pet Studio,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Other Expenses,Dogs - Kennel Purchase & Maint,"1,700.00",Top Dog Boarding,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Printing Stationery & Office Exp,Forensic Science Services,"2,884.75",Key Forensic Services Ltd,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Employees,Police Staff Pay & Allowances,Staffing Agency,,"1,400.00 Hays Specialist Recruitment Ltd",17/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,520.00",,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,467.50,PCC for Devon & Cornwall,19/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Roads Policing,Supplies & Services,Other Expenses,Courses Fees,,152.00 National Crime Agency,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,193.48,PCC for Wiltshire,19/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Roads Policing,Third Party Payments,Police Pay & Allowances,Contribution,"100,362.60",PCC for Devon & Cornwall,19/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,510.00",Restore Technology,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - fuel,,"5,772.15 Certas Energy UK Ltd",25/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Third Party Payments,Police Pay & Allowances,Contribution,,-462.31  PCC for Devon & Cornwall,20/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,800.80,Sepura Ltd,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Fees 3rd Party,"4,000.00",,10/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"9,260.00",Romac Building Contractors Ltd,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Rent Rates & Water,Equipment - Consumables,"8,284.00",Viking Arms Ltd,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Communications & Computing,IT Equip - Consumables,,14.16 Corporate Support HQ Imprest,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Planned Repair & Maintenance,Security,"1,918.22",PCC for Dorset,31/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - fuel,,35.32 Corporate Support HQ Imprest,10/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Printing Stationery & Office Exp,Forensic Science Services,,685.20 Orchid Cellmark Ltd,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,693.76,Blue Light Partnership,31/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Criminal Justice Arrangements,Employees,Police Overtime,"Police PC - Basic Pay, OT, NI & Pension","18,627.80",PCC for Wiltshire,19/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,516.00,Somerset Council,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Fabric,,"6,804.00 N & S Flooring (Bristol) Ltd",27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Supplies & Services,Other Expenses,Courses Fees,,"2,449.00 College of Policing Ltd",06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Allowances,Travel fares,,45.75 Corporate Support HQ Imprest,10/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Courses Fees,,152.00 National Crime Agency,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,565.00,SVE Services Limited,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,,990.00 Green Spark Environmental Limited,13/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,"11,250.00",SVE Services Limited,06/03/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Supplies & Services,Subsistence & Conference,Subsistence,,48.70 Corporate Support HQ Imprest,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,,"3,827.00 DRA Maintenance Ltd",19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"50,000.00 CARDIFF UNIVERSITY",06/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Supplies & Services,Communications & Computing,Hardware - R&M,"1,130.50",Vodafone Limited,20/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,070.00",ACF Teambuilding & Events Ltd,24/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Supplies & Services,Other Expenses,Licences & Orders,40.50,EE Limited,31/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Catering,Catering,"1,000.00",Sodexo Limited,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,595.06,Listers Toyota Bristol,03/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Professional Fees & Consultancy,Vehicle Conversions,,821.68 Halls Electrical Ltd,31/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,"4,252.50",Arco Limited,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Hardware - Purchases,"4,137.50",VP-AV Ltd,06/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Cleaning & Domestic Supplies,Cleaning Charges,"1,768.00",Sodexo Limited,24/03/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Other Expenses,Licences & Orders,"2,966.08",Espria Limited,27/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Professional Fees & Consultancy,ICT Equipment Purchase,,"2,357.52 Hays Specialist Recruitment Ltd",31/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,,600.00 Data Pro IT Ltd,19/03/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
