Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,Payment Date,,
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,031.60",Cary Uk Ltd,18/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,"20,973.25",SOMERSET COUNCIL,18/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"10,046.00",Bristol City Council,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,632.10,,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Vehicle mileage allowance,18.00,PCC for Wiltshire,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"9,443.84",Eurofins Forensics Services Limited,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,691.74,Volkswagen Group UK Ltd Parts,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"82,446.00",Somerset Council,07/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,,-0.02  Richell Vehicle Conversions Limited,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,"1,190.00",South Yorkshire MCA - Police,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,67.20,PCC for Dorset,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Roads Policing,Supplies & Services,Printing Stationery & Office Exp,Postage,"3,549.24",Quadient UK Limited,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,"1,011.00",Charles Fellows Supplies Ltd,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,511.53,RS COMPONENTS LTD,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"1,639.00",South Gloucestershire Council,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"13,472.00",Systems Technology Consultants Ltd,11/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Analyse,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,600.00",Buddi Ltd,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,678.19,Halls Electrical Ltd,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,"28,862.50",Volvo Car UK Ltd,14/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Roads Policing,Supplies & Services,Printing Stationery & Office Exp,Stationery,"2,750.40",Quadient UK Limited,18/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Supplies & Services,Printing Stationery & Office Exp,Printing,"17,812.00",Xerox (UK) Ltd,18/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Roads Policing,Supplies & Services,Printing Stationery & Office Exp,Postage,"11,034.15",,25/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"2,615.00",College of Policing Ltd,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"1,168.40",Forensic Access Limited,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,892.08,PVL UK Ltd,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Employees,Police Staff Pay & Allowances,Staffing Agency,"2,946.90",Hays Specialist Recruitment Ltd,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"2,632.50",Hays Specialist Recruitment Ltd,11/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,961.23,PCC for Gloucestershire,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"79,900.91",Next Link,07/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"4,078.89 My Staff Shop Limited",07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Network Services,"105,247.53",PHOENIX SOFTWARE LTD,04/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Supplies & Services,Printing Stationery & Office Exp,Printing,756.00,Xerox (UK) Ltd,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,,"1,785.00 Modis International Limited t/a Akk",04/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Insurance,Insurance General,"3,270.66",Arthur J Gallagher Insurance Broker,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Capital Financing,External Interest,Debt Charges - Interest,"64,750.00",Public Works Loan Board,14/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,"45,947.09",Volvo Car UK Ltd,14/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,"1,845.00",,11/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,600.50,First West of England Ltd,11/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Rent Rates & Water,National Non Domestic Rates,"1,876.00",North Somerset Council,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Vehicle mileage allowance,515.70,PCC for Gloucestershire,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Employees,Police Pay & Allowances,Standby Payments,190.00,PCC for Dorset,11/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Analyse,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"44,433.20",South Gloucestershire Council,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Supplies & Services,Other Expenses,Horses - Farrier Costs,525.00,Paul Horner Farrier,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,"10,500.00",North Bristol NHS Trust,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Employees,Police Overtime,"Police PC - OT, NI & Pension","8,861.69",PCC for Devon & Cornwall,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Employees,Police Overtime,Police PC - OT,"3,255.21",PCC for Gloucestershire,28/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Communications & Computing,Software - Licences,"17,940.00",Industrial & Financial Systems IFS,25/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Employees,Police Pay & Allowances,Police PC - Basic Pay & NI,"18,581.35",PCC for Dorset,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Communications & Computing,Network Services,"46,140.28",BRITISH TELECOMMUNICATIONS PLC,14/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Allowances,Travel fares,110.80,PCC for Gloucestershire,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,854.09,Insight Direct (UK) Ltd,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,511.50,Gresham Office Furniture Limited,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Grants & Subscriptions,Subscriptions,75.00,,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Postage,"1,254.00",,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,"2,429.89",Bidfood,11/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,"6,272.00",,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,"3,900.00",King Electrical Contracting Ltd,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Transport,Vehicle Allowances,Travel fares,"21,560.91",,21/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"1,287.31",PCC for Wiltshire,04/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Other Local Authorities or Forces,Agency Payments - OLAs,"10,353.00",SOMERSET COUNCIL,04/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,"18,193.53",Renault Truck Commercials Ltd,28/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"18,375.00",North Somerset Council,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Courses Fees,788.00,PCC for South Wales,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Transport,Vehicle Allowances,Travel fares,10.00,PCC for Gloucestershire,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Cleaning & Domestic Supplies,Clinical Waste Costs,914.54,Citron Hygiene UK Limited,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,"1,299.00",College of Policing Ltd,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Courses Fees,"2,669.00",College of Policing Ltd,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,"1,929.00",College of Policing Ltd,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,585.00,Hilton Bristol,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"3,370.00",Davies Porter Solutions Limited,18/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,-0.73,Tetra Tech Limited,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,520.00,Amplitude Events Ltd,04/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,644.04,GOODYEAR TYRES UK LTD,04/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Security,655.21,Churches Fire Security Ltd,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Subsistence & Conference,Accommodation,"1,218.00",College of Policing Ltd,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,670.16,Serenco (UK) Ltd,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,543.60,GOODYEAR TYRES UK LTD,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police Sergeant - Basic Pay,"26,760.25",PCC for Devon & Cornwall,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"1,440.00",STQ Vantage Limited,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"25,588.26",PCC for North Wales,14/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"2,282.00",College of Policing Ltd,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Employees,Police Overtime,"Police PC - Basic Pay, OT, NI & Pension","36,504.03",PCC for Gloucestershire,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"8,000.00",THE OPEN UNIVERSITY,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Equipment Furniture & Materials,Equipment,597.00,Heartsafe AED Locator (EU) Ltd,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"181,311.73",ORACLE CORPORATION UK LTD,21/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Premises,Rent Rates & Water,National Non Domestic Rates,"17,309.00",Bath & North East Somerset,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"2,357.52",Hays Specialist Recruitment Ltd,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,424.00,DC SMITH,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Catering,Catering,8.90,Corporate Support HQ Imprest,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"2,140.83 My Staff Shop Limited",07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"14,419.88",PCC for Devon & Cornwall,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"2,268.00",Landmarc Support Services Ltd,18/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Overtime,"Police PC - Basic Pay, OT, NI & Pension","22,969.61",PCC for Devon & Cornwall,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Roads Policing,Employees,Police Staff Pay & Allowances,Staffing Agency,"2,946.90",Hays Specialist Recruitment Ltd,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,736.00,Romac Building Contractors Ltd,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,"1,083.13 Walker Fire UK Ltd",14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,,"3,776.22 Wessex Garages (Holdings) Ltd",11/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,General Waste Costs,590.80,SUEZ Recycling and Recovery UK Ltd,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,"Police Sergeant - Basic Pay, NI & Pension","16,698.87",PCC for Devon & Cornwall,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"3,975.73",Tetra Tech Limited,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"3,821.00",Enigma Encoding Co. Ltd,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Other Plant & Equipment,,-659.45  Walker Fire UK Ltd,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,"1,400.00",Village Bournemouth Hotel,11/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,610.00,Safeguard Medical Technologies Ltd,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,670.52,BRISTOL STREET MOTORS,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Staff Overtime,Police Staff - OT,"1,534.56",PCC for Devon & Cornwall,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Criminal Justice Arrangements,Supplies & Services,Clothing Uniforms & Laundry,Laundry & Dry Cleaning,663.38,Elis,04/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Transport,Vehicle Allowances,Travel fares,122.46,PCC for Devon & Cornwall,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Investigations,Supplies & Services,Other Expenses,Commission & Fees,"2,241.00",HM Courts & Tribunal Service,26/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,"2,799.60",Keela International Limited,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,511.50,Gresham Office Furniture Limited,21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Revaluation/Stock Take,"1,302.17",Keela International Limited,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,55.00,Norton Way Mazda,25/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigations,Employees,Police Overtime,"Police Sergeant - Basic Pay, OT, NI & Pension","6,451.77",PCC for Devon & Cornwall,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,624.08",GOODYEAR TYRES UK LTD,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Additions:Non Enhanc Cn&Wk B&I,"2,882.47",ESRI UK Ltd,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Premises,Rent Rates & Water,National Non Domestic Rates,"11,068.09",Bristol City Council,18/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,501.60,Orchid Cellmark Ltd,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"2,434.53",SJ Cook & Sons,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Energy Costs,Gas,"23,473.00",TotalEnergies Gas & Power Limited,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,646.30,KABA LTD,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,,"1,785.00 Modis International Limited t/a Akk",21/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Employees,Police Staff Pay & Allowances,Staffing Agency,"12,103.60",Adecco UK Ltd,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
