Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
36,2024-09-05 00:00:00,0016958449,INV,153.16,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
37,2024-09-09 00:00:00,0030275105,INV,8134.73,G BAKER ROOFING LTD,80144400,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
38,2024-09-09 00:00:00,0030275106,INV,2594.99,ECO MEP,80167300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
39,2024-09-23 00:00:00,0014902447,INV,229801.65,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
40,2024-09-05 00:00:00,0041336361,INV,925,GRANGE TRAVEL COACH HIRE LTD,03942300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
41,2024-09-05 00:00:00,0030275103,INV,13000,SUN PIER HOUSE CIC,03765100,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Expenditure
42,2024-09-05 00:00:00,0016958483,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Expenditure
43,2024-09-23 00:00:00,0019051851,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Expenditure
44,2024-09-30 00:00:00,0041337778,INV,405,BLAKES SECURITIES SYSTEMS LTD.,00048700,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C0500,BldgWorks-Main
45,2024-09-19 00:00:00,0041337089,INV,708.25,BLAKES SECURITIES SYSTEMS LTD.,00048700,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C6000,Capital Budget
46,2024-09-26 00:00:00,0041337623,INV,979,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C6000,Capital Budget
47,2024-09-02 00:00:00,0041333194,INV,459,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
48,2024-09-02 00:00:00,0041333936,INV,499.99,THE GLOW COMPANY UK LTD,02458000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
49,2024-09-02 00:00:00,0041333936,INV,408.89,THE GLOW COMPANY UK LTD,02458000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
