Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
56,2024-05-16 00:00:00,0016954277,INV,468.18,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
57,2024-05-16 00:00:00,0016954278,INV,176.02,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
58,2024-05-16 00:00:00,0016954279,INV,580.14,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
59,2024-05-28 00:00:00,0016954540,INV,7115.46,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
60,2024-05-07 00:00:00,0030274290,INV,15572.28,JASCOM ELECTRICAL CONTRACTORS LTD,80104100,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
61,2024-05-02 00:00:00,0014901814,INV,4178.8,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
62,2024-05-02 00:00:00,0014901814,INV,4446.57,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
63,2024-05-02 00:00:00,0016952462,INV,3007.78,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
64,2024-05-16 00:00:00,0016954276,INV,204.18,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
65,2024-05-16 00:00:00,0016954277,INV,1429.26,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
66,2024-05-16 00:00:00,0016954279,INV,1206.52,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
67,2024-05-28 00:00:00,0016954540,INV,9921.06,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
68,2024-05-02 00:00:00,0016952462,INV,3975.64,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
69,2024-05-02 00:00:00,0014901814,INV,103.94,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
70,2024-05-02 00:00:00,0016952462,INV,16422.52,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
71,2024-05-28 00:00:00,0016954540,INV,540.58,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
72,2024-05-02 00:00:00,0016952462,INV,18047.59,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
73,2024-05-02 00:00:00,0014901814,INV,1505.44,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
74,2024-05-28 00:00:00,0016954540,INV,3756.05,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
75,2024-05-16 00:00:00,0030274385,INV,4980.23,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
76,2024-05-02 00:00:00,0016952462,INV,34.11,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
77,2024-05-02 00:00:00,0014901814,INV,3410.95,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
78,2024-05-28 00:00:00,0016954540,INV,3467.48,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
79,2024-05-02 00:00:00,0014901814,INV,9935.42,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
80,2024-05-02 00:00:00,0016952462,INV,16429.01,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
81,2024-05-28 00:00:00,0016954540,INV,5293.1,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
82,2024-05-28 00:00:00,0016954540,INV,10666.27,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
83,2024-05-02 00:00:00,0041324591,INV,1680,DUNSFOLD ASSOCIATES LTD,03782800,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
84,2024-05-13 00:00:00,0041328420,INV,283.4,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
85,2024-05-02 00:00:00,0014901814,INV,1214,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
86,2024-05-09 00:00:00,0041325445,INV,7881.42,JASCOM ELECTRICAL CONTRACTORS LTD,80104100,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
87,2024-05-28 00:00:00,0041329145,INV,4356.35,JASCOM ELECTRICAL CONTRACTORS LTD,80104100,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
88,2024-05-30 00:00:00,0014901559,CRN,-1360,MJ FIRE SAFETY LTD,14294300,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
89,2024-05-30 00:00:00,0014901559,CRN,-1360,MJ FIRE SAFETY LTD,14294300,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
90,2024-05-13 00:00:00,0041328063,INV,1391,BAILEY PARTNERSHIP (CONSULTANTS) LLP,02743600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
91,2024-05-07 00:00:00,0030274285,INV,35570.83,MAGUIRE BROTHERS,80150500,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
92,2024-05-07 00:00:00,0030274285,INV,-19612.01,MAGUIRE BROTHERS,80150500,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
93,2024-05-30 00:00:00,0041324973,INV,2250,MJ FIRE SAFETY LTD,14294300,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
94,2024-05-16 00:00:00,0041328329,INV,2823.53,FAITHORN FARRELL TIMMS LLP,02128300,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C0400,Design Fees External (New)
95,2024-05-20 00:00:00,0041327664,INV,2609,MEDWAY NORSE LTD,03759400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C0500,BldgWorks-Main
96,2024-05-20 00:00:00,0041327605,INV,2300,LLOYD BORE LTD,02891600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C2500,Survey&Consult
97,2024-05-13 00:00:00,0030274321,INV,260,REDACTED PERSONAL DATA,02700100,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
98,2024-05-02 00:00:00,0041327512,INV,851,REDACTED PERSONAL DATA,03968100,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
99,2024-05-07 00:00:00,0041327944,INV,851,REDACTED PERSONAL DATA,03968100,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
100,2024-05-16 00:00:00,0041328672,INV,874,REDACTED PERSONAL DATA,03968100,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
101,2024-05-16 00:00:00,0016954150,INV,11.25,REDACTED PERSONAL DATA,00556000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
102,2024-05-16 00:00:00,0016954150,INV,11.25,REDACTED PERSONAL DATA,00556000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
103,2024-05-21 00:00:00,0041328994,INV,590,REDACTED PERSONAL DATA,70050400,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
104,2024-05-14 00:00:00,0041328477,INV,14120,REDACTED PERSONAL DATA,70050400,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
105,2024-05-21 00:00:00,0041328990,INV,900,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
106,2024-05-30 00:00:00,0041329635,INV,4000,REDACTED PERSONAL DATA,70092700,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
107,2024-05-23 00:00:00,0041329090,INV,17310,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
108,2024-05-28 00:00:00,0041329091,INV,1405,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
109,2024-05-21 00:00:00,0041328992,INV,1100,REDACTED PERSONAL DATA,70091000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
110,2024-05-21 00:00:00,0041328992,INV,10,REDACTED PERSONAL DATA,70091000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
111,2024-05-16 00:00:00,0041328711,INV,15477,REDACTED PERSONAL DATA,70040400,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
112,2024-05-16 00:00:00,0041328613,INV,11385,REDACTED PERSONAL DATA,70023700,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
113,2024-05-30 00:00:00,0041329428,INV,350,REDACTED PERSONAL DATA,70050400,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
114,2024-05-28 00:00:00,0041329169,INV,13050,REDACTED PERSONAL DATA,14461600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
115,2024-05-14 00:00:00,0041328468,INV,11570,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
116,2024-05-20 00:00:00,0041328799,INV,575,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
117,2024-05-28 00:00:00,0041329168,INV,1040,REDACTED PERSONAL DATA,14461600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
118,2024-05-28 00:00:00,0041329175,INV,17387,REDACTED PERSONAL DATA,70091200,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
119,2024-05-28 00:00:00,0041329370,INV,8031,REDACTED PERSONAL DATA,70091000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
120,2024-05-28 00:00:00,0041329371,INV,1960,REDACTED PERSONAL DATA,70091000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
121,2024-05-28 00:00:00,0041329162,INV,6480,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
122,2024-05-28 00:00:00,0041329163,INV,1200,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
123,2024-05-28 00:00:00,0041329164,INV,580,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
124,2024-05-02 00:00:00,0041327675,INV,2968,REDACTED PERSONAL DATA,70023700,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
125,2024-05-23 00:00:00,0041329070,INV,7760,REDACTED PERSONAL DATA,70050500,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
126,2024-05-28 00:00:00,0041329372,INV,2718,REDACTED PERSONAL DATA,70023700,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
127,2024-05-16 00:00:00,0041328714,INV,20360,REDACTED PERSONAL DATA,70092300,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
128,2024-05-14 00:00:00,0041328471,INV,6458,REDACTED PERSONAL DATA,70092300,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
129,2024-05-14 00:00:00,0041328473,INV,338,REDACTED PERSONAL DATA,70092300,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
130,2024-05-02 00:00:00,0041327672,INV,3300,REDACTED PERSONAL DATA,70035800,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
131,2024-05-02 00:00:00,0041327676,INV,3000,REDACTED PERSONAL DATA,70035800,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
132,2024-05-28 00:00:00,0041329373,INV,8460,REDACTED PERSONAL DATA,14461600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
133,2024-05-28 00:00:00,0041329375,INV,1065,REDACTED PERSONAL DATA,14461600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
134,2024-05-16 00:00:00,0041328712,INV,13140,REDACTED PERSONAL DATA,70014900,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
135,2024-05-13 00:00:00,0041328334,INV,550,SIBLEY PARES LLP,03992100,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C2600,Legal Fees
136,2024-05-28 00:00:00,0041315082,INV,48732.2,MEDWAY NORSE LTD,03759400,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C1500,Building Works
137,2024-05-28 00:00:00,0041322260,INV,18000,MEDWAY NORSE LTD,03759400,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C1500,Building Works
