Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description,,
25,2025-02-27 00:00:00,0041348248,INV,315103.01,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,BldngWrksSigns,9X588C1500000000,VICTORYACADEMY Building Wks
26,2025-02-27 00:00:00,0041348248,INV,188005.91,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,BldngWrksSigns,9X588C1500000000,VICTORYACADEMY Building Wks
27,2025-02-06 00:00:00,0041346534,INV,2163.3,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,DsFeesExtSigns,9X589C1400000000,RIVERMEAD Desgn Fees Ext
28,2025-02-10 00:00:00,0041346569,INV,1960,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,BldngWrksSigns,9X591C1500000000,GREENACRE ACAD Building Wks
29,2025-02-10 00:00:00,0041346869,INV,307367.54,NEILCOTT CONSTRUCTION LTD,80147400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,BldngWrksSigns,9X591C1500000000,GREENACRE ACAD Building Wks
30,2025-02-10 00:00:00,0041346692,INV,1292.5,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,DsFeesExtSigns,9X603C1400000000,DANE CT SEND Desgn Fees Ext
31,2025-02-04 00:00:00,0041346219,INV,38081.4,G A HARPER LTD,80047200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,BldngWrksSigns,9X603C1500000000,DANE CT SEND Building Wks
32,2025-02-04 00:00:00,0041346147,INV,795,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,DsFeesExtSigns,9X604C1400000000,ROWANS SEND Desgn Fees Ext
33,2025-02-10 00:00:00,0041346872,INV,7866.8,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,BldngWrksSigns,9X604C1500000000,ROWANS SEND Building Wks
34,2025-02-10 00:00:00,0041346873,INV,14967.53,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,BldngWrksSigns,9X604C1500000000,ROWANS SEND Building Wks
35,2025-02-04 00:00:00,0041346180,INV,877.38,ROWANS AP ACADEMY,04158000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1600,BldngWkOtSigns,9X604C1600000000,ROWANS SEND Buildng Wks Oth
36,2025-02-04 00:00:00,0041346182,INV,5797.5,ROWANS AP ACADEMY,04158000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1600,BldngWkOtSigns,9X604C1600000000,ROWANS SEND Buildng Wks Oth
37,2025-02-11 00:00:00,0016969212,INV,459357.54,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050102,EnergyEfficiencyContributionWorks
38,2025-02-24 00:00:00,0016970603,INV,188.68,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050105,AsbestosRemoval/Encapsulation
39,2025-02-27 00:00:00,0014903087,INV,90360.39,TOPCOAT CONSTRUCTION LTD T/A TCL GROUP,80848400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050132,Private/CommunalBalconyImprovementWorks
40,2025-02-13 00:00:00,0030276361,INV,3394.14,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050151,CapitalVoidWorks Contribution
41,2025-02-26 00:00:00,0030276471,INV,12937.4,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050157,SmokeDetection(upgrading&replacement)
42,2025-02-27 00:00:00,0014903086,INV,12937.4,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050157,SmokeDetection(upgrading&replacement)
43,2025-02-13 00:00:00,0030276361,INV,207.88,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050158,DomesticElectricalTesting
44,2025-02-26 00:00:00,0030276471,INV,4992,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050158,DomesticElectricalTesting
45,2025-02-17 00:00:00,0041345319,INV,1105,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050158,DomesticElectricalTesting
46,2025-02-27 00:00:00,0014903086,INV,4992,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050158,DomesticElectricalTesting
47,2025-02-26 00:00:00,0030276471,INV,1262.68,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050159,DomesticElectricalRemedialWorks
48,2025-02-27 00:00:00,0014903086,INV,1262.68,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050159,DomesticElectricalRemedialWorks
49,2025-02-26 00:00:00,0030276471,INV,6840.01,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050170,CommunalElectricalTesting
50,2025-02-27 00:00:00,0014903086,INV,6840.01,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050170,CommunalElectricalTesting
51,2025-02-04 00:00:00,0016968664,INV,550,SWALE HEATING LTD,14555600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050174,CO2 Detectors(Replacement Prog)
52,2025-02-27 00:00:00,0014903086,INV,641.48,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050174,CO2 Detectors(Replacement Prog)
53,2025-02-27 00:00:00,0014903081,INV,250,SWALE HEATING LTD,14555600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050174,CO2 Detectors(Replacement Prog)
54,2025-02-27 00:00:00,0014903082,INV,600,SWALE HEATING LTD,14555600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050174,CO2 Detectors(Replacement Prog)
55,2025-02-26 00:00:00,0030276471,INV,641.48,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050174,CO2 Detectors(Replacement Prog)
56,2025-02-04 00:00:00,0030276296,INV,9285.12,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050178,Bathroom Replacement
57,2025-02-13 00:00:00,0030276361,INV,3187.46,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050178,Bathroom Replacement
58,2025-02-04 00:00:00,0030276296,INV,6250.83,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050179,Kitchen Replacement(Incl Common)
59,2025-02-13 00:00:00,0030276361,INV,2482.11,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050182,DomesticBoiler&HeatingReplementProg
60,2025-02-04 00:00:00,0016968672,INV,33871,SWALE HEATING LTD,14555600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050182,DomesticBoiler&HeatingReplementProg
61,2025-02-13 00:00:00,0041344501,INV,240,DUNSFOLD ASSOCIATES LTD,03782800,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050188,IMP HSG STOCK BldgWkPrjctMgr
62,2025-02-26 00:00:00,0030276471,INV,720,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050199,CommunalElectricalRemedialWorks
63,2025-02-26 00:00:00,0030276471,INV,2080,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050199,CommunalElectricalRemedialWorks
64,2025-02-27 00:00:00,0014903086,INV,2080,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050199,CommunalElectricalRemedialWorks
65,2025-02-27 00:00:00,0014903086,INV,720,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050199,CommunalElectricalRemedialWorks
66,2025-02-06 00:00:00,0016968731,INV,5505.92,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050204,EnergyEfficiencyContributionWorkSurveys
67,2025-02-24 00:00:00,0016970603,INV,4537.11,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050208,FRA Passive Fire Stopping Works
68,2025-02-04 00:00:00,0016968672,INV,1770,SWALE HEATING LTD,14555600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050218,IMP HSG STOCK BldWorks Radia
69,2025-02-26 00:00:00,0030276471,INV,12884.43,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050219,IMP HSG STOCK BldWorks AicoG
70,2025-02-27 00:00:00,0014903086,INV,12884.43,RGE SERVICES LIMITED,80847900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H100C1500050219,IMP HSG STOCK BldWorks AicoG
71,2025-02-03 00:00:00,0041345939,INV,2445,AJMADAPTATIONS LTD,14461600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H112C1500000000,DISABLED ADAPT Building Wks
72,2025-02-03 00:00:00,0041346087,INV,340,LIFESTYLE (KENT) LTD,70014900,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,BldngWrksSigns,9H112C1500000000,DISABLED ADAPT Building Wks
73,2025-02-03 00:00:00,0041345379,INV,2823.53,FAITHORN FARRELL TIMMS LLP,02128300,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C0400,Design Fees External (New),9H205C0400000000,HRA PHASE 5 Des Fee Ext Nw
74,2025-02-27 00:00:00,0041348105,INV,126.5,DATA AND WIRELESS INSTALLATIONS,13794500,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C3200,ComputerH'ware,9C081C3200000000,IT MAE Comp Hardware
75,2025-02-27 00:00:00,0041348105,INV,912.8,DATA AND WIRELESS INSTALLATIONS,13794500,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C3200,ComputerH'ware,9C081C3200000000,IT MAE Comp Hardware
76,2025-02-27 00:00:00,0041348105,INV,1037.4,DATA AND WIRELESS INSTALLATIONS,13794500,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C3200,ComputerH'ware,9C081C3200000000,IT MAE Comp Hardware
77,2025-02-27 00:00:00,0041348105,INV,1142.16,DATA AND WIRELESS INSTALLATIONS,13794500,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C3200,ComputerH'ware,9C081C3200000000,IT MAE Comp Hardware
78,2025-02-04 00:00:00,0041346146,INV,780,JRS BUILDING SERVICES & COMPLIANCE MGT,13660800,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C0400,Design Fees External (New),9C723C0400000000,GW BUILD WORKS Des Fee Ext Nw
79,2025-02-04 00:00:00,0041346165,INV,126121.07,MEDWAY NORSE LTD,03759400,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C1500,BldngWrksSigns,9C723C1500000000,GW BUILD WORKS Building Wks
80,2025-02-06 00:00:00,0041341464,INV,6499,LSI ARCHITECTS DESIGN LTD,14331200,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C0400,Design Fees External (New),9C724C0400000000,HLC PENTAGON Des Fee Ext Nw
81,2025-02-20 00:00:00,0041347692,INV,6498,LSI ARCHITECTS DESIGN LTD,14331200,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C0400,Design Fees External (New),9C724C0400000000,HLC PENTAGON Des Fee Ext Nw
82,2025-02-20 00:00:00,0041347688,INV,2474.59,INGLETON WOOD LLP,14366100,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C1500,BldngWrksSigns,9C724C1500000000,HLC PENTAGON Building Wks
83,2025-02-20 00:00:00,0041347694,INV,12000,BLACK CAT BUILDING CONSULTANCY LIMITED,13787800,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C1500,BldngWrksSigns,9C724C1500000000,HLC PENTAGON Building Wks
84,2025-02-20 00:00:00,0041347693,INV,645286.94,BAUVILL LTD,80153900,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C1500,BldngWrksSigns,9C724C1500000000,HLC PENTAGON Building Wks
85,2025-02-03 00:00:00,0041346073,INV,126485,RAAC CONSULTING SOLUTIONS LIMITED,14509500,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C1400,DsFeesExtSigns,9C728C1400000000,GW IMPRVMNT WK Desgn Fees Ext
86,2025-02-10 00:00:00,0041346668,INV,11003.85,BAILEY PARTNERSHIP (GROUP) LTD,02743600,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C1400,DsFeesExtSigns,9C728C1400000000,GW IMPRVMNT WK Desgn Fees Ext
87,2025-02-17 00:00:00,0041347214,INV,735,REDACTED PERSONAL DATA,70050400,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E200C7000600766,HSG REN GRNTS HSG REN GRNTS
88,2025-02-06 00:00:00,0041346464,INV,3810,REDACTED PERSONAL DATA,70092900,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E200C7000600767,HSG REN GRNTS HSG REN GRNTS
89,2025-02-03 00:00:00,0041346075,INV,7799.98,REDACTED PERSONAL DATA,02332200,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608241,DFG MANDATORY DFG Mandatory
90,2025-02-13 00:00:00,0041346921,INV,1008.9,REDACTED PERSONAL DATA,70093000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608314,DFG MANDATORY DFG Mandatory
91,2025-02-03 00:00:00,0041346077,INV,5253.1,REDACTED PERSONAL DATA,02332200,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608397,DFG MANDATORY DFG Mandatory
92,2025-02-20 00:00:00,0041347832,INV,20640,REDACTED PERSONAL DATA,70023700,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608424,DFG MANDATORY DFG Mandatory
93,2025-02-04 00:00:00,0041345735,INV,9838,REDACTED PERSONAL DATA,70060000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608425,DFG MANDATORY DFG Mandatory
94,2025-02-24 00:00:00,0041347899,INV,7885,REDACTED PERSONAL DATA,70092900,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608542,DFG MANDATORY DFG Mandarory DFG Mandatory
95,2025-02-03 00:00:00,0041345906,INV,230,REDACTED PERSONAL DATA,70014900,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608548,DFG MANDATORY DFG Mandatory
96,2025-02-03 00:00:00,0041345906,INV,1760,REDACTED PERSONAL DATA,70014900,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608548,DFG MANDATORY DFG Mandatory
97,2025-02-25 00:00:00,0041347477,INV,40,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608574,DFG MANDATORY DFG Mandatory
98,2025-02-18 00:00:00,0041347474,INV,11615,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608574,DFG MANDATORY DFG Mandatory
99,2025-02-18 00:00:00,0041347475,INV,1840,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608574,DFG MANDATORY DFG Mandatory
100,2025-02-18 00:00:00,0041347476,INV,1080,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608574,DFG MANDATORY DFG Mandatory
101,2025-02-25 00:00:00,0041347477,INV,320,REDACTED PERSONAL DATA,04025600,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608574,DFG MANDATORY DFG Mandatory
102,2025-02-10 00:00:00,0041346395,INV,6610,REDACTED PERSONAL DATA,70050400,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608592,DFG MANDATORY DFG Mandarory DFG Mandatory
103,2025-02-10 00:00:00,0041346715,INV,7816.32,REDACTED PERSONAL DATA,70092900,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608610,DFG MANDATORY DFG Mandatory
104,2025-02-10 00:00:00,0041346683,INV,12720,REDACTED PERSONAL DATA,70014900,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&,9E205C7000608618,DFG MANDATORY DFG Mandatory
