Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Mnk*wall2wall Carpets,12/09/2023,Equipment Furniture & Materials,600.00
Cs* Tesco Stores Gc,12/09/2023,Equipment Furniture & Materials,"1,560.00"
Holiday Inn Express Leigh,13/09/2023,Hospitality,"1,000.00"
Holiday Inn Express Leigh,13/09/2023,Hospitality,713.87
Residential Estates,13/09/2023,Hospitality,562.70
Residential Estates,13/09/2023,Hospitality,562.70
Sumup *sublime Embroider,13/09/2023,"Clothing, Uniform and Laundry","1,000.00"
Sumup *sublime Embroider,13/09/2023,"Clothing, Uniform and Laundry","1,000.00"
Custom Giftz,15/09/2023,Equipment Furniture & Materials,700.00
Sq *superslides Mancheste,21/09/2023,Equipment Furniture & Materials,"4,420.00"
Coordination Group Publications Ltd,21/09/2023,"Books, Publications and Resources",840.00
Bowker Lettings Ltd,25/09/2023,Payments to Private Contractors,866.67
Crowdfund* Crowdfunder,03/10/2023,Equipment Furniture & Materials,750.00
Sp Rbl Poppy Appeal,03/10/2023,Grants to External Bodies,975.00
Sp Rbl Poppy Appeal,03/10/2023,Equipment Furniture & Materials,700.00
Tahdah Verified,04/10/2023,"Education, Training, Exam Fees",510.00
Www.Nottinghamshire.Go,04/10/2023,Equipment Furniture & Materials,"1,000.00"
Residential Estates,04/10/2023,Hospitality,825.44
Residential Estates,04/10/2023,Hospitality,590.00
3b Training Ltd,04/10/2023,"Education, Training, Exam Fees","1,590.00"
Https://Www.Tlcstay.Co.U,04/10/2023,Payments to Private Contractors,848.16
Mount (Orrell),04/10/2023,Payments to Private Contractors,607.69
Mepro.Select2pay,05/10/2023,Equipment Furniture & Materials,688.30
Currys Online,05/10/2023,Equipment Furniture & Materials,749.17
Trainline,06/10/2023,Employee Transport Costs,711.00
Mesnes Street Carpet Ce,06/10/2023,Equipment Furniture & Materials,639.75
Www.Game.Co.Uk,06/10/2023,Equipment Furniture & Materials,574.98
Funeral Services,06/10/2023,Equipment Furniture & Materials,"1,324.00"
B2b Partnerships Ltd,06/10/2023,Equipment Furniture & Materials,840.00
B2b Partnerships Ltd,06/10/2023,Equipment Furniture & Materials,840.00
Go Outdoors Retail Limite,06/10/2023,Equipment Furniture & Materials,523.00
Www.Argos.Co.Uk,06/10/2023,Equipment Furniture & Materials,502.95
Mailchimp,06/10/2023,Subscriptions,"1,187.74"
Carpet Corner Atherton,06/10/2023,Equipment Furniture & Materials,690.00
Bkg*arcotel Cannes 4 M,09/10/2023,Hospitality,"4,251.79"
Bkg*hotel At Booking.C,09/10/2023,Hospitality,659.04
Facebk Cg5pvstpw2,09/10/2023,Advertising (Non Employee),516.39
Facebk *mmm2ws7sw2,09/10/2023,Advertising (Non Employee),500.00
Travelodge Gb0000,09/10/2023,Payments to Private Contractors,"1,396.13"
Gl-Assesment.Co.Uk,10/10/2023,"Books, Publications and Resources",776.85
Bkg*hotel At Booking.C,11/10/2023,Home To School,642.60
Bkg*hotel At Booking.C,11/10/2023,Home To School,609.00
Airbnb * Hmq94sk4hk,11/10/2023,Payments to Private Contractors,844.50
The Mercury Hotel,11/10/2023,Payments to Private Contractors,758.33
Paypal *argosdirect,13/10/2023,Grants to External Bodies,693.95
Paypal *argosdirect,16/10/2023,Grants to External Bodies,621.03
Paypal *argosdirect,16/10/2023,Grants to External Bodies,612.95
Paypal *argosdirect,16/10/2023,Grants to External Bodies,588.95
Ikea Ltd 140 Warrington M,16/10/2023,Equipment Furniture & Materials,819.17
Facebk Eensatxjv2,23/10/2023,Advertising (Non Employee),500.00
Asda Stores Ltd,24/10/2023,"Clothing, Uniform and Laundry",760.00
Www.Argos.Co.Uk,03/11/2023,Equipment Furniture & Materials,"1,001.95"
Bkg*hotel At Booking.C,03/11/2023,Payments to Private Contractors,780.00
The Letting Rooms @ The C,03/11/2023,Payments to Private Contractors,750.00
The Letting Rooms @ The C,03/11/2023,Payments to Private Contractors,750.00
Ensign Flag Co Ltd,06/11/2023,Equipment Furniture & Materials,683.00
Hoo*hootsuite Inc,06/11/2023,Equipment Furniture & Materials,854.40
Wall2wallcarpets.Co.Uk,06/11/2023,Equipment Furniture & Materials,583.33
Rpc Lettings,06/11/2023,Professional Fees,575.00
Wall2wallcarpets.Co.Uk,06/11/2023,Equipment Furniture & Materials,700.00
Mnk*wall2wall Carpets,06/11/2023,Equipment Furniture & Materials,650.00
Fw3 Group,06/11/2023,Repairs & Maintenance (Non CPMF),640.82
Sp Medisave.Co.Uk,06/11/2023,Equipment Furniture & Materials,745.99
Ashby Trade Signs,07/11/2023,Direct Materials,757.76
Ashby Trade Signs,07/11/2023,Direct Materials,735.70
Sense Sensory Ltd,07/11/2023,Equipment Furniture & Materials,601.70
Enviroment Agency,07/11/2023,Waste and Recycling,"3,960.55"
Certsure Llp Portal,07/11/2023,"Education, Training, Exam Fees",750.00
Www.Screwfix.Com,07/11/2023,Direct Materials,666.33
Dri*maxon Computer,07/11/2023,Computer Software (Licences & Maintenance),551.00
Mount (Orrell),07/11/2023,Payments to Private Contractors,545.72
Mount (Orrell),07/11/2023,Payments to Private Contractors,500.00
Mailchimp,07/11/2023,Marketing & Publicity,"1,224.73"
Msft * E0100p8jfb,07/11/2023,Computer Equipment,953.28
Premier Inn,07/11/2023,Equipment Furniture & Materials,680.96
Www.Johnlewis.Com,07/11/2023,Equipment Furniture & Materials,619.99
Amznmktplace,07/11/2023,Equipment Furniture & Materials,515.83
Pearson Education Ltd.,07/11/2023,"Books, Publications and Resources",522.75
Ao Retail Limited,07/11/2023,Equipment Furniture & Materials,780.83
Bowker Lettings Ltd,09/11/2023,Equipment Furniture & Materials,"1,000.00"
Bkg*hotel At Booking.C,09/11/2023,Employee Transport Costs,667.33
Paypal *lgcomms2018,09/11/2023,"Education, Training, Exam Fees",500.00
Paypal *lgcomms2018,09/11/2023,"Education, Training, Exam Fees",500.00
Facebk *t5mvqtbsw2,09/11/2023,Advertising (Non Employee),500.00
Bkg*hotel At Booking.C,09/11/2023,Hospitality,"1,293.04"
Residential Estates,09/11/2023,Hospitality,985.00
Residential Estates,09/11/2023,Hospitality,943.36
Residential Estates,09/11/2023,Hospitality,940.00
High Street Vouchers,09/11/2023,Equipment Furniture & Materials,596.25
Facebk 72tv2v7jv2,13/11/2023,Advertising (Non Employee),500.00
Amznmktplace,14/11/2023,Grants to External Bodies,911.37
Www.Argos.Co.Uk,14/11/2023,Grants to External Bodies,774.45
Paypal *argosdirect,14/11/2023,Grants to External Bodies,630.50
Www.Argos.Co.Uk,22/11/2023,Grants to External Bodies,684.95
Sp Meglio,22/11/2023,Equipment Furniture & Materials,825.80
Bowker Lettings Ltd,22/11/2023,Payments to Private Contractors,"1,250.00"
Crowdfund* Crowdfunder,01/12/2023,Equipment Furniture & Materials,"1,500.00"
Hough Green Garage,04/12/2023,Equipment Furniture & Materials,728.00
Paypal *muteaudioli,05/12/2023,Equipment Furniture & Materials,"1,680.00"
Sumup *vm Family Law Ltd,05/12/2023,Professional Fees,600.00
Sumup *vm Family Law Ltd,05/12/2023,Professional Fees,600.00
Facebk *yfullu7sw2,05/12/2023,Advertising (Non Employee),500.00
Sp Electric Mania,05/12/2023,Equipment Furniture & Materials,"1,836.00"
Sp Electric Mania,05/12/2023,Equipment Furniture & Materials,"1,836.00"
Amznmktplace,05/12/2023,Equipment Furniture & Materials,758.46
Trainline,06/12/2023,Employee Transport Costs,"2,413.49"
The Wellbeing Farm,06/12/2023,Provisions - Food and Drink,526.50
B&q Ltd,06/12/2023,Equipment Furniture & Materials,800.00
Amznmktplace,06/12/2023,Grants to External Bodies,823.96
Paypal *argosdirect,06/12/2023,Grants to External Bodies,701.95
Paypal *argosdirect,06/12/2023,Grants to External Bodies,578.95
Paypal *argosdirect,06/12/2023,Grants to External Bodies,548.49
Paypal *argosdirect,06/12/2023,Grants to External Bodies,509.95
Msft * E0100pv0xy,07/12/2023,Computer Equipment,"1,310.40"
Allpay *your Housing Grou,07/12/2023,Payments to Private Contractors,600.00
Mailchimp,08/12/2023,Subscriptions,"1,014.32"
Eb *basic Archive Skil,08/12/2023,Equipment Furniture & Materials,502.68
Facebk R788hutjv2,08/12/2023,Advertising (Non Employee),500.00
ESPipelines,08/12/2023,HRA Repairs to Void Properties,892.80
"Mandasa, Wigan",08/12/2023,Payments to Private Contractors,"1,000.00"
"Mandasa, Wigan",08/12/2023,Payments to Private Contractors,"1,000.00"
Paypal *old Courts,11/12/2023,Equipment Furniture & Materials,540.00
Mnk*wall2wall Carpets,12/12/2023,Equipment Furniture & Materials,"1,200.00"
Residential Estates,12/12/2023,Hospitality,988.00
Residential Estates,12/12/2023,Hospitality,975.00
Www.Westminster-Briefi,14/12/2023,Equipment Furniture & Materials,708.00
Premier Inn,21/12/2023,Conferences,686.62
Premier Inn,21/12/2023,Conferences,673.30
Avanti West Coast,21/12/2023,Home To School,537.85
Avanti West Coast,21/12/2023,Home To School,537.85
"Mandasa, Wigan",22/12/2023,Professional Fees,"1,000.00"
Paypal *argosdirect,22/12/2023,Grants to External Bodies,549.19
Www.Britishgas.Co.,03/01/2024,Electricity,934.06
Tahdah Verified,04/01/2024,"Education, Training, Exam Fees",708.00
Www.Cpag.Org.Uk,04/01/2024,"Education, Training, Exam Fees",587.50
Laterlifetraining,04/01/2024,"Education, Training, Exam Fees",690.00
Laterlifetraining,04/01/2024,"Education, Training, Exam Fees",690.00
Total Locker Service,04/01/2024,Equipment Furniture & Materials,764.00
Justgiving Alzheimerssoci,04/01/2024,Other MiscellaneousExpenses,"1,631.80"
Dhll 3,05/01/2024,Payments to Private Contractors,"1,100.00"
Regal Estate & Letting,05/01/2024,Payments to Private Contractors,"1,000.00"
The Paddock,05/01/2024,Grants to External Bodies,"1,000.00"
The Paddock,05/01/2024,Grants to External Bodies,950.00
Pearson Education Ltd.,08/01/2024,Equipment Furniture & Materials,616.44
Screwfix Dir Ltd,08/01/2024,Equipment Furniture & Materials,"1,033.76"
Screwfix Dir Ltd,08/01/2024,Equipment Furniture & Materials,"1,018.59"
Screwfix Dir Ltd,08/01/2024,Equipment Furniture & Materials,794.28
Crowdfund* Crowdfunder,08/01/2024,Equipment Furniture & Materials,"2,000.00"
Chorley Group - Bolton,08/01/2024,Equipment Furniture & Materials,"1,595.00"
Www.Argos.Co.Uk,08/01/2024,Equipment Furniture & Materials,954.95
Currys Online,09/01/2024,Direct Materials,820.00
Mailchimp,09/01/2024,Subscriptions,"1,270.87"
Facebk *qbpb4wksw2,09/01/2024,Advertising (Non Employee),500.00
Hedera Wigan Ltd,09/01/2024,Employee Subsistence,500.00
The Fox Roby Mill,09/01/2024,Employee Subsistence,500.00
Jp Oils Ltd,09/01/2024,Other Fuel,516.00
Way Church,09/01/2024,Equipment Furniture & Materials,"1,310.00"
Atgtickets.Com,09/01/2024,Equipment Furniture & Materials,"1,010.42"
Mim*mimeo Ltd,09/01/2024,Learning and Development,643.72
Paypal *argosdirect,10/01/2024,Grants to External Bodies,561.95
The Mercury Hotel,10/01/2024,Payments to Private Contractors,"1,050.00"
The Mercury Hotel,10/01/2024,Payments to Private Contractors,910.00
The Mercury Hotel,10/01/2024,Payments to Private Contractors,910.00
The Mercury Hotel,10/01/2024,Payments to Private Contractors,910.00
The Mercury Hotel,10/01/2024,Payments to Private Contractors,650.00
St3ike.Com I-Laps Ltd,10/01/2024,Equipment Furniture & Materials,"1,049.00"
Land Of Beds,10/01/2024,Equipment Furniture & Materials,944.00
Www.Argos.Co.Uk,11/01/2024,Equipment Furniture & Materials,843.95
Paypal *argosdirect,11/01/2024,Grants to External Bodies,816.95
Paypal *argosdirect,11/01/2024,Grants to External Bodies,721.95
Wall2wallcarpets.Co.Uk,11/01/2024,Equipment Furniture & Materials,700.00
Paypal *argosdirect,11/01/2024,Grants to External Bodies,596.95
Paypal *argosdirect,11/01/2024,Grants to External Bodies,570.95
The Mercury Hotel,18/01/2024,Payments to Private Contractors,910.00
Hg Premier Lettings,25/01/2024,Payments to Private Contractors,"1,081.73"
Www.Argos.Co.Uk,05/02/2024,Grants to External Bodies,879.95
Www.Screwfix.Com,05/02/2024,Equipment Furniture & Materials,544.97
Amznmktplace,05/02/2024,Equipment Furniture & Materials,520.62
Holiday Inn Express Wi,06/02/2024,Hospitality,"1,385.00"
Www.Planning.Co,06/02/2024,Equipment Furniture & Materials,642.00
Www.Planning.Co,06/02/2024,Equipment Furniture & Materials,642.00
Paintwell,06/02/2024,Direct Materials,543.41
Residential Estates,06/02/2024,Hospitality,980.00
Residential Estates,06/02/2024,Hospitality,980.00
Residential Estates,06/02/2024,Hospitality,959.00
Trainline,06/02/2024,Employee Transport Costs,730.49
Holiday Inn Express Wi,06/02/2024,Hospitality,668.00
Paypal *argosdirect,06/02/2024,Grants to External Bodies,647.99
Furniture Village,06/02/2024,Equipment Furniture & Materials,"3,061.67"
Tahdah Verified,06/02/2024,"Education, Training, Exam Fees",732.00
Trade Survey,07/02/2024,Equipment Furniture & Materials,"1,142.40"
Trade Survey,07/02/2024,Equipment Furniture & Materials,"1,142.40"
Holiday Inn Express Wi,07/02/2024,Hospitality,668.00
Www.Argos.Co.Uk,07/02/2024,Equipment Furniture & Materials,522.46
Www.Irrv.Org.Uk,08/02/2024,Equipment Furniture & Materials,"2,160.00"
Rics Com Gbp Cybs,08/02/2024,Equipment Furniture & Materials,960.00
Wrexham Self Storage Ltd,08/02/2024,Equipment Furniture & Materials,686.40
Rics Subs UK Cybs,08/02/2024,Equipment Furniture & Materials,539.00
The Mercury Hotel,08/02/2024,Payments to Private Contractors,715.00
The Mercury Hotel,08/02/2024,Payments to Private Contractors,585.00
The Mercury Hotel,08/02/2024,Payments to Private Contractors,585.00
Rics Subs UK Cybs,09/02/2024,Professional Fees,539.00
Bkg*crowne Plaza Leeds,09/02/2024,Employee Subsistence,623.60
Bigartandbanners.Com,12/02/2024,Direct Materials,"1,024.10"
Premier Inn,12/02/2024,Equipment Furniture & Materials,573.00
Mailchimp,12/02/2024,Subscriptions,"1,267.44"
Facebk *x4fwuwbsw2,12/02/2024,Advertising (Non Employee),500.00
Www.Therange.Co.Uk,13/02/2024,Equipment Furniture & Materials,899.91
Www.Therange.Co.Uk,13/02/2024,Equipment Furniture & Materials,729.92
Enviro Technology,13/02/2024,Equipment Furniture & Materials,704.40
Paypal *argosdirect,13/02/2024,Grants to External Bodies,619.15
Cnbc Civil Application Fe,14/02/2024,Equipment Furniture & Materials,"1,328.00"
Facebk *wd4xgxtpv2,14/02/2024,Advertising (Non Employee),700.00
Center Parcs,16/02/2024,Hospitality,758.00
