Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098215,1,202305,Barclaycard - Global Commercial Payments,145.48 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098216,1,202305,Barclaycard - Global Commercial Payments,23.97 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098426,1,202305,Barclaycard - Global Commercial Payments,17.80 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098427,1,202305,Barclaycard - Global Commercial Payments,145.70 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098520,1,202305,Barclaycard - Global Commercial Payments,4.99 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098596,1,202305,Barclaycard - Global Commercial Payments,32.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098599,1,202305,Barclaycard - Global Commercial Payments,23.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098600,1,202305,Barclaycard - Global Commercial Payments,1.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098603,1,202305,Barclaycard - Global Commercial Payments,3.49 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099614,1,202305,Barclaycard - Global Commercial Payments,25.50 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099816,1,202305,Barclaycard - Global Commercial Payments,23.50 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100028,1,202305,Barclaycard - Global Commercial Payments,178.37 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100030,1,202305,Barclaycard - Global Commercial Payments,24.50 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100124,1,202305,Barclaycard - Global Commercial Payments,160.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100328,1,202305,Barclaycard - Global Commercial Payments,51.18 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100430,1,202305,Barclaycard - Global Commercial Payments,60.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100761,1,202305,Barclaycard - Global Commercial Payments,489.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200093886,1,202305,Barclaycard - Global Commercial Payments,49.99 ,01/08/2023
