Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Housing, Environment and Healthy Communities",Premises,Energy,200094004,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200072685,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200075587,1,202301,Barclaycard - Global Commercial Payments,50.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200075821,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076117,1,202301,Barclaycard - Global Commercial Payments,35.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076591,1,202301,Barclaycard - Global Commercial Payments,50.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076592,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076662,1,202301,Barclaycard - Global Commercial Payments,50.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200077118,1,202301,Barclaycard - Global Commercial Payments,10.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200077222,1,202301,Barclaycard - Global Commercial Payments,10.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200077223,1,202301,Barclaycard - Global Commercial Payments,50.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200077317,1,202301,Barclaycard - Global Commercial Payments,50.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200077438,1,202301,Barclaycard - Global Commercial Payments,50.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200078080,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200078306,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200078721,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079319,1,202301,Barclaycard - Global Commercial Payments,45.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079432,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079599,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079652,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079998,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200080278,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200080327,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200086402,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200088138,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200092870,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200092871,1,202301,Barclaycard - Global Commercial Payments,25.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093104,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093289,1,202301,Barclaycard - Global Commercial Payments,32.07 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093643,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093644,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093645,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093880,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093881,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200090773,1,202301,Barclaycard - Global Commercial Payments,5.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200090774,1,202301,Barclaycard - Global Commercial Payments,41.67 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200091667,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Fixtures & Fittings,200080193,1,202301,Barclaycard - Global Commercial Payments,55.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Fixtures & Fittings,200093577,1,202301,Barclaycard - Global Commercial Payments,432.50 ,26/04/2023
Schools,Premises,Fixtures & Fittings,200093410,1,202301,Barclaycard - Global Commercial Payments,46.62 ,26/04/2023
Schools,Premises,Fixtures & Fittings,200094063,1,202301,Barclaycard - Global Commercial Payments,124.60 ,26/04/2023
Schools,Premises,Fixtures & Fittings,200093670,1,202301,Barclaycard - Global Commercial Payments,264.97 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Fixtures & Fittings,200083624,1,202301,Barclaycard - Global Commercial Payments,49.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Fixtures & Fittings,200083898,1,202301,Barclaycard - Global Commercial Payments,56.00 ,26/04/2023
Schools,Premises,Miscellaneous Premises,200094298,1,202301,Barclaycard - Global Commercial Payments,7.69 ,26/04/2023
Schools,Transport,Vehicles and Plant,200091502,1,202301,Barclaycard - Global Commercial Payments,28.74 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093646,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093647,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093648,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093649,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093650,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093651,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093652,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093653,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093769,1,202301,Barclaycard - Global Commercial Payments,362.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093770,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093771,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093772,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093773,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093774,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093775,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094080,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094081,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094082,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094083,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094084,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094085,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094086,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094087,1,202301,Barclaycard - Global Commercial Payments,167.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094088,1,202301,Barclaycard - Global Commercial Payments,302.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094172,1,202301,Barclaycard - Global Commercial Payments,302.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094173,1,202301,Barclaycard - Global Commercial Payments,302.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094174,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094175,1,202301,Barclaycard - Global Commercial Payments,302.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094176,1,202301,Barclaycard - Global Commercial Payments,302.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094177,1,202301,Barclaycard - Global Commercial Payments,302.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200094362,1,202301,Barclaycard - Global Commercial Payments,292.50 ,26/04/2023
Schools,Transport,Contract Hire,200090970,1,202301,Barclaycard - Global Commercial Payments,7.20 ,26/04/2023
Schools,Transport,Contract Hire,200093552,1,202301,Barclaycard - Global Commercial Payments,72.00 ,26/04/2023
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,200092954,1,202301,Barclaycard - Global Commercial Payments,2.80 ,26/04/2023
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,200092955,1,202301,Barclaycard - Global Commercial Payments,15.75 ,26/04/2023
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,200092956,1,202301,Barclaycard - Global Commercial Payments,3.90 ,26/04/2023
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,200093055,1,202301,Barclaycard - Global Commercial Payments,2.70 ,26/04/2023
Corporate Services & Governance,Transport,Public Transport and Taxi Fares,200093056,1,202301,Barclaycard - Global Commercial Payments,7.21 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Public Transport and Taxi Fares,200085149,1,202301,Barclaycard - Global Commercial Payments,136.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Public Transport and Taxi Fares,200085286,1,202301,Barclaycard - Global Commercial Payments,18.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Public Transport and Taxi Fares,200087821,1,202301,Barclaycard - Global Commercial Payments,116.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Public Transport and Taxi Fares,200091665,1,202301,Barclaycard - Global Commercial Payments,104.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Transport,Public Transport and Taxi Fares,200091666,1,202301,Barclaycard - Global Commercial Payments,104.50 ,26/04/2023
Integrated Adults & Social Care Services,Transport,Public Transport and Taxi Fares,200083664,1,202301,Barclaycard - Global Commercial Payments,4.20 ,26/04/2023
Integrated Adults & Social Care Services,Transport,Public Transport and Taxi Fares,200084439,1,202301,Barclaycard - Global Commercial Payments,4.20 ,26/04/2023
Integrated Adults & Social Care Services,Transport,Public Transport and Taxi Fares,200091829,1,202301,Barclaycard - Global Commercial Payments,7.60 ,26/04/2023
Schools,Transport,Public Transport and Taxi Fares,200093376,1,202301,Barclaycard - Global Commercial Payments,61.55 ,26/04/2023
Schools,Transport,Public Transport and Taxi Fares,200093517,1,202301,Barclaycard - Global Commercial Payments,-102.10 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200057795,1,202301,Barclaycard - Global Commercial Payments,14.92 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200058090,1,202301,Barclaycard - Global Commercial Payments,42.28 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200058145,1,202301,Barclaycard - Global Commercial Payments,101.92 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200094353,1,202301,Barclaycard - Global Commercial Payments,22.46 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200094444,1,202301,Barclaycard - Global Commercial Payments,24.98 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200083715,1,202301,Barclaycard - Global Commercial Payments,50.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084741,1,202301,Barclaycard - Global Commercial Payments,-50.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200078722,1,202301,Barclaycard - Global Commercial Payments,36.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087248,1,202301,Barclaycard - Global Commercial Payments,193.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200089320,1,202301,Barclaycard - Global Commercial Payments,285.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200091518,1,202301,Barclaycard - Global Commercial Payments,49.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090149,1,202301,Barclaycard - Global Commercial Payments,23.50 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200091539,1,202301,Barclaycard - Global Commercial Payments,205.42 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090641,1,202301,Barclaycard - Global Commercial Payments,128.33 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090642,1,202301,Barclaycard - Global Commercial Payments,701.63 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090644,1,202301,Barclaycard - Global Commercial Payments,730.79 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090645,1,202301,Barclaycard - Global Commercial Payments,239.96 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090646,1,202301,Barclaycard - Global Commercial Payments,300.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090738,1,202301,Barclaycard - Global Commercial Payments,154.17 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090739,1,202301,Barclaycard - Global Commercial Payments,-300.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200090740,1,202301,Barclaycard - Global Commercial Payments,-100.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200091901,1,202301,Barclaycard - Global Commercial Payments,336.63 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200092881,1,202301,Barclaycard - Global Commercial Payments,580.79 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200092882,1,202301,Barclaycard - Global Commercial Payments,79.17 ,26/04/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200093264,1,202301,Barclaycard - Global Commercial Payments,111.63 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200093114,1,202301,Barclaycard - Global Commercial Payments,16.39 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200093115,1,202301,Barclaycard - Global Commercial Payments,16.99 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200093226,1,202301,Barclaycard - Global Commercial Payments,20.63 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200093227,1,202301,Barclaycard - Global Commercial Payments,20.78 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200093228,1,202301,Barclaycard - Global Commercial Payments,6.58 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200093474,1,202301,Barclaycard - Global Commercial Payments,5.25 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200093621,1,202301,Barclaycard - Global Commercial Payments,9.50 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200057614,1,202301,Barclaycard - Global Commercial Payments,1.00 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200057615,1,202301,Barclaycard - Global Commercial Payments,1.00 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200057685,1,202301,Barclaycard - Global Commercial Payments,0.95 ,26/04/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200057798,1,202301,Barclaycard - Global Commercial Payments,120.00 ,26/04/2023
