Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Schools,Employees,Indirect Employee Expenses,200100175,1,202306,Barclaycard - Global Commercial Payments,179.23 ,04/09/2023
Schools,Employees,Indirect Employee Expenses,200100287,1,202306,Barclaycard - Global Commercial Payments,400.00 ,25/09/2023
Schools,Employees,Indirect Employee Expenses,200100321,1,202306,Barclaycard - Global Commercial Payments,47.00 ,25/09/2023
Schools,Employees,Indirect Employee Expenses,200081648,1,202306,Barclaycard - Global Commercial Payments,196.00 ,04/09/2023
Schools,Employees,Indirect Employee Expenses,200101603,1,202306,Barclaycard - Global Commercial Payments,14.34 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200101604,1,202306,Barclaycard - Global Commercial Payments,14.34 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200101711,1,202306,Barclaycard - Global Commercial Payments,13.14 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200101712,1,202306,Barclaycard - Global Commercial Payments,13.14 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200101713,1,202306,Barclaycard - Global Commercial Payments,14.34 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200096754,1,202306,Barclaycard - Global Commercial Payments,33.33 ,19/09/2023
Schools,Employees,Indirect Employee Expenses,200102274,1,202306,Barclaycard - Global Commercial Payments,26.00 ,19/09/2023
Schools,Employees,Indirect Employee Expenses,200096504,1,202306,Barclaycard - Global Commercial Payments,131.96 ,13/09/2023
Schools,Employees,Indirect Employee Expenses,200101125,1,202306,Barclaycard - Global Commercial Payments,236.88 ,21/09/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200093758,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100728,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200094771,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200095843,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100679,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100675,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200096636,1,202306,Barclaycard - Global Commercial Payments,250.00 ,15/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200097494,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100676,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100181,1,202306,Barclaycard - Global Commercial Payments,500.00 ,25/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100183,1,202306,Barclaycard - Global Commercial Payments,500.00 ,25/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100184,1,202306,Barclaycard - Global Commercial Payments,500.00 ,25/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100187,1,202306,Barclaycard - Global Commercial Payments,500.00 ,25/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200102833,1,202306,Barclaycard - Global Commercial Payments,146.00 ,19/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200102834,1,202306,Barclaycard - Global Commercial Payments,90.00 ,19/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100731,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Integrated Adults & Social Care Services,Employees,Indirect Employee Expenses,200100882,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Integrated Adults & Social Care Services,Employees,Indirect Employee Expenses,200098034,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200096830,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200094265,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200100677,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Resources and Digital,Employees,Indirect Employee Expenses,200096635,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Resources and Digital,Employees,Indirect Employee Expenses,200098028,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Schools,Employees,Indirect Employee Expenses,200083819,1,202306,Barclaycard - Global Commercial Payments,250.00 ,04/09/2023
Schools,Employees,Indirect Employee Expenses,200100678,1,202306,Barclaycard - Global Commercial Payments,250.00 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200096831,1,202306,Barclaycard - Global Commercial Payments,250.00 ,13/09/2023
Schools,Employees,Indirect Employee Expenses,200096637,1,202306,Barclaycard - Global Commercial Payments,250.00 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200102066,1,202306,Barclaycard - Global Commercial Payments,148.77 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200096829,1,202306,Barclaycard - Global Commercial Payments,250.00 ,13/09/2023
Schools,Employees,Indirect Employee Expenses,200098036,1,202306,Barclaycard - Global Commercial Payments,230.00 ,13/09/2023
Schools,Employees,Indirect Employee Expenses,200093755,1,202306,Barclaycard - Global Commercial Payments,250.00 ,13/09/2023
Schools,Employees,Indirect Employee Expenses,200100730,1,202306,Barclaycard - Global Commercial Payments,250.00 ,13/09/2023
Schools,Employees,Indirect Employee Expenses,200098033,1,202306,Barclaycard - Global Commercial Payments,20.00 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200099282,1,202306,Barclaycard - Global Commercial Payments,121.63 ,19/09/2023
Schools,Employees,Indirect Employee Expenses,200100201,1,202306,Barclaycard - Global Commercial Payments,248.73 ,19/09/2023
Schools,Employees,Indirect Employee Expenses,200101299,1,202306,Barclaycard - Global Commercial Payments,-79.03 ,19/09/2023
Schools,Premises,Rep & Maint,200098559,1,202306,Barclaycard - Global Commercial Payments,4.17 ,04/09/2023
Schools,Premises,Rep & Maint,200098855,1,202306,Barclaycard - Global Commercial Payments,167.01 ,04/09/2023
Schools,Premises,Rep & Maint,200100376,1,202306,Barclaycard - Global Commercial Payments,51.94 ,13/09/2023
Schools,Premises,Rep & Maint,200101659,1,202306,Barclaycard - Global Commercial Payments,416.67 ,21/09/2023
Schools,Premises,Rep & Maint,200101544,1,202306,Barclaycard - Global Commercial Payments,3.90 ,19/09/2023
Schools,Premises,Rep & Maint,200102458,1,202306,Barclaycard - Global Commercial Payments,109.39 ,15/09/2023
Schools,Premises,Rep & Maint,200102829,1,202306,Barclaycard - Global Commercial Payments,39.14 ,15/09/2023
Schools,Premises,Rep & Maint,200103028,1,202306,Barclaycard - Global Commercial Payments,56.67 ,15/09/2023
Public Health and Wellbeing,Premises,Rep & Maint,200103787,1,202306,Barclaycard - Global Commercial Payments,178.24 ,13/09/2023
Public Health and Wellbeing,Premises,Rep & Maint,200103795,1,202306,Barclaycard - Global Commercial Payments,3.99 ,25/09/2023
Schools,Premises,Rep & Maint,200101484,1,202306,Barclaycard - Global Commercial Payments,44.99 ,13/09/2023
Schools,Premises,Rep & Maint,200101616,1,202306,Barclaycard - Global Commercial Payments,93.13 ,13/09/2023
Schools,Premises,Rep & Maint,200103824,1,202306,Barclaycard - Global Commercial Payments,16.65 ,13/09/2023
Schools,Premises,Rep & Maint,200100153,1,202306,Barclaycard - Global Commercial Payments,151.73 ,13/09/2023
Schools,Premises,Rep & Maint,200100270,1,202306,Barclaycard - Global Commercial Payments,16.29 ,13/09/2023
Schools,Premises,Rep & Maint,200102272,1,202306,Barclaycard - Global Commercial Payments,49.58 ,13/09/2023
Schools,Premises,Rep & Maint,200103031,1,202306,Barclaycard - Global Commercial Payments,68.68 ,15/09/2023
Schools,Premises,Rep & Maint,200103241,1,202306,Barclaycard - Global Commercial Payments,132.89 ,15/09/2023
Schools,Premises,Rep & Maint,200101249,1,202306,Barclaycard - Global Commercial Payments,61.85 ,13/09/2023
Schools,Premises,Rep & Maint,200103213,1,202306,Barclaycard - Global Commercial Payments,28.00 ,25/09/2023
Schools,Premises,Rep & Maint,200103851,1,202306,Barclaycard - Global Commercial Payments,55.84 ,25/09/2023
Schools,Premises,Rep & Maint,200098361,1,202306,Barclaycard - Global Commercial Payments,60.83 ,04/09/2023
Schools,Premises,Rep & Maint,200101692,1,202306,Barclaycard - Global Commercial Payments,3.54 ,04/09/2023
Schools,Premises,Rep & Maint,200101784,1,202306,Barclaycard - Global Commercial Payments,44.00 ,04/09/2023
Schools,Premises,Rep & Maint,200103651,1,202306,Barclaycard - Global Commercial Payments,28.33 ,13/09/2023
Schools,Premises,Rep & Maint,200103396,1,202306,Barclaycard - Global Commercial Payments,1.66 ,15/09/2023
Schools,Premises,Rep & Maint,200100624,1,202306,Barclaycard - Global Commercial Payments,240.60 ,13/09/2023
Schools,Premises,Rep & Maint,200100625,1,202306,Barclaycard - Global Commercial Payments,335.60 ,13/09/2023
Schools,Premises,Rep & Maint,200101894,1,202306,Barclaycard - Global Commercial Payments,161.91 ,13/09/2023
Schools,Premises,Rep & Maint,200101895,1,202306,Barclaycard - Global Commercial Payments,52.20 ,13/09/2023
Schools,Premises,Rep & Maint,200101888,1,202306,Barclaycard - Global Commercial Payments,14.07 ,25/09/2023
Schools,Premises,Rep & Maint,200102993,1,202306,Barclaycard - Global Commercial Payments,17.99 ,25/09/2023
Schools,Premises,Rep & Maint,200100940,1,202306,Barclaycard - Global Commercial Payments,43.71 ,04/09/2023
Schools,Premises,Rep & Maint,200100237,1,202306,Barclaycard - Global Commercial Payments,47.00 ,13/09/2023
Schools,Premises,Rep & Maint,200100211,1,202306,Barclaycard - Global Commercial Payments,147.04 ,13/09/2023
Schools,Premises,Rep & Maint,200102622,1,202306,Barclaycard - Global Commercial Payments,11.79 ,13/09/2023
Schools,Premises,Rep & Maint,200102685,1,202306,Barclaycard - Global Commercial Payments,22.41 ,13/09/2023
Schools,Premises,Rep & Maint,200102263,1,202306,Barclaycard - Global Commercial Payments,29.98 ,21/09/2023
Schools,Premises,Rep & Maint,200103852,1,202306,Barclaycard - Global Commercial Payments,52.92 ,21/09/2023
Schools,Premises,Ground Maint,200101976,1,202306,Barclaycard - Global Commercial Payments,285.80 ,25/09/2023
Schools,Premises,Ground Maint,200102115,1,202306,Barclaycard - Global Commercial Payments,-138.96 ,21/09/2023
Public Health and Wellbeing,Premises,Cleaning,200103101,1,202306,Barclaycard - Global Commercial Payments,291.67 ,13/09/2023
Schools,Premises,Fixtures & Fittings,200100169,1,202306,Barclaycard - Global Commercial Payments,7.54 ,13/09/2023
Schools,Premises,Fixtures & Fittings,200100170,1,202306,Barclaycard - Global Commercial Payments,33.33 ,13/09/2023
Schools,Premises,Fixtures & Fittings,200100284,1,202306,Barclaycard - Global Commercial Payments,491.67 ,13/09/2023
Schools,Premises,Fixtures & Fittings,200091460,1,202306,Barclaycard - Global Commercial Payments,23.79 ,25/09/2023
Schools,Premises,Fixtures & Fittings,200092454,1,202306,Barclaycard - Global Commercial Payments,24.99 ,25/09/2023
Schools,Premises,Fixtures & Fittings,200100721,1,202306,Barclaycard - Global Commercial Payments,23.95 ,25/09/2023
Schools,Premises,Fixtures & Fittings,200096290,1,202306,Barclaycard - Global Commercial Payments,75.92 ,04/09/2023
Schools,Premises,Fixtures & Fittings,200099669,1,202306,Barclaycard - Global Commercial Payments,50.83 ,04/09/2023
Schools,Premises,Fixtures & Fittings,200100810,1,202306,Barclaycard - Global Commercial Payments,75.00 ,15/09/2023
Schools,Premises,Fixtures & Fittings,200103235,1,202306,Barclaycard - Global Commercial Payments,141.67 ,15/09/2023
Schools,Premises,Fixtures & Fittings,200098637,1,202306,Barclaycard - Global Commercial Payments,16.45 ,04/09/2023
Schools,Premises,Fixtures & Fittings,200100638,1,202306,Barclaycard - Global Commercial Payments,116.58 ,04/09/2023
Schools,Premises,Fixtures & Fittings,200103804,1,202306,Barclaycard - Global Commercial Payments,80.93 ,19/09/2023
Schools,Premises,Fixtures & Fittings,200097453,1,202306,Barclaycard - Global Commercial Payments,51.12 ,13/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200087587,1,202306,Barclaycard - Global Commercial Payments,53.33 ,13/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200091526,1,202306,Barclaycard - Global Commercial Payments,50.00 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200091591,1,202306,Barclaycard - Global Commercial Payments,33.33 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200093602,1,202306,Barclaycard - Global Commercial Payments,82.50 ,15/09/2023
Schools,Transport,Vehicles and Plant,200100462,1,202306,Barclaycard - Global Commercial Payments,29.24 ,15/09/2023
Schools,Transport,Vehicles and Plant,200100463,1,202306,Barclaycard - Global Commercial Payments,35.83 ,15/09/2023
Schools,Transport,Vehicles and Plant,200101752,1,202306,Barclaycard - Global Commercial Payments,111.43 ,15/09/2023
Schools,Transport,Vehicles and Plant,200100535,1,202306,Barclaycard - Global Commercial Payments,21.78 ,13/09/2023
Schools,Transport,Vehicles and Plant,200101617,1,202306,Barclaycard - Global Commercial Payments,100.00 ,13/09/2023
Schools,Transport,Vehicles and Plant,200101618,1,202306,Barclaycard - Global Commercial Payments,34.40 ,13/09/2023
Schools,Transport,Vehicles and Plant,200101619,1,202306,Barclaycard - Global Commercial Payments,34.40 ,13/09/2023
Schools,Transport,Vehicles and Plant,200100311,1,202306,Barclaycard - Global Commercial Payments,12.50 ,04/09/2023
Schools,Transport,Vehicles and Plant,200100639,1,202306,Barclaycard - Global Commercial Payments,12.50 ,04/09/2023
Schools,Transport,Vehicles and Plant,200100640,1,202306,Barclaycard - Global Commercial Payments,12.50 ,04/09/2023
Schools,Transport,Vehicles and Plant,200101703,1,202306,Barclaycard - Global Commercial Payments,12.50 ,04/09/2023
Schools,Transport,Vehicles and Plant,200101704,1,202306,Barclaycard - Global Commercial Payments,12.50 ,04/09/2023
Schools,Transport,Vehicles and Plant,200100590,1,202306,Barclaycard - Global Commercial Payments,109.00 ,21/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200101908,1,202306,Barclaycard - Global Commercial Payments,322.50 ,04/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200101909,1,202306,Barclaycard - Global Commercial Payments,327.50 ,04/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200101910,1,202306,Barclaycard - Global Commercial Payments,167.50 ,04/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200101911,1,202306,Barclaycard - Global Commercial Payments,202.50 ,04/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200101912,1,202306,Barclaycard - Global Commercial Payments,202.50 ,04/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200103519,1,202306,Barclaycard - Global Commercial Payments,167.50 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200103520,1,202306,Barclaycard - Global Commercial Payments,322.50 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200103521,1,202306,Barclaycard - Global Commercial Payments,322.50 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200103522,1,202306,Barclaycard - Global Commercial Payments,167.50 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200103523,1,202306,Barclaycard - Global Commercial Payments,202.50 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200103524,1,202306,Barclaycard - Global Commercial Payments,202.50 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200103525,1,202306,Barclaycard - Global Commercial Payments,322.50 ,15/09/2023
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200103526,1,202306,Barclaycard - Global Commercial Payments,167.50 ,15/09/2023
Schools,Transport,Vehicles and Plant,200100591,1,202306,Barclaycard - Global Commercial Payments,167.50 ,21/09/2023
Schools,Transport,Vehicles and Plant,200102719,1,202306,Barclaycard - Global Commercial Payments,11.00 ,21/09/2023
Schools,Transport,Contract Hire,200100834,1,202306,Barclaycard - Global Commercial Payments,4.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Transport,Public Transport and Taxi Fares,200101582,1,202306,Barclaycard - Global Commercial Payments,70.83 ,04/09/2023
"Economy, Innovation and Growth",Transport,Public Transport and Taxi Fares,200102762,1,202306,Barclaycard - Global Commercial Payments,12.50 ,21/09/2023
Schools,Supplies and Services,"Furn, Equip & Mats",200080884,1,202306,Barclaycard - Global Commercial Payments,99.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100243,1,202306,Barclaycard - Global Commercial Payments,508.80 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100244,1,202306,Barclaycard - Global Commercial Payments,763.20 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100407,1,202306,Barclaycard - Global Commercial Payments,26.50 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100515,1,202306,Barclaycard - Global Commercial Payments,-39.95 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100523,1,202306,Barclaycard - Global Commercial Payments,8.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100524,1,202306,Barclaycard - Global Commercial Payments,187.25 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100525,1,202306,Barclaycard - Global Commercial Payments,56.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100684,1,202306,Barclaycard - Global Commercial Payments,7.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100809,1,202306,Barclaycard - Global Commercial Payments,6.85 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100831,1,202306,Barclaycard - Global Commercial Payments,46.10 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100832,1,202306,Barclaycard - Global Commercial Payments,13.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100946,1,202306,Barclaycard - Global Commercial Payments,41.89 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101033,1,202306,Barclaycard - Global Commercial Payments,6.67 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101034,1,202306,Barclaycard - Global Commercial Payments,10.02 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101089,1,202306,Barclaycard - Global Commercial Payments,21.98 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101139,1,202306,Barclaycard - Global Commercial Payments,16.98 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101222,1,202306,Barclaycard - Global Commercial Payments,8.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101234,1,202306,Barclaycard - Global Commercial Payments,9.28 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101340,1,202306,Barclaycard - Global Commercial Payments,34.95 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101341,1,202306,Barclaycard - Global Commercial Payments,123.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101342,1,202306,Barclaycard - Global Commercial Payments,9.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101343,1,202306,Barclaycard - Global Commercial Payments,42.49 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101420,1,202306,Barclaycard - Global Commercial Payments,56.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101686,1,202306,Barclaycard - Global Commercial Payments,19.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101687,1,202306,Barclaycard - Global Commercial Payments,119.25 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101708,1,202306,Barclaycard - Global Commercial Payments,8.36 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101761,1,202306,Barclaycard - Global Commercial Payments,12.75 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101781,1,202306,Barclaycard - Global Commercial Payments,14.95 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101885,1,202306,Barclaycard - Global Commercial Payments,24.66 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101886,1,202306,Barclaycard - Global Commercial Payments,4.74 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101986,1,202306,Barclaycard - Global Commercial Payments,18.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101987,1,202306,Barclaycard - Global Commercial Payments,5.53 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102049,1,202306,Barclaycard - Global Commercial Payments,4.50 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102101,1,202306,Barclaycard - Global Commercial Payments,16.50 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102126,1,202306,Barclaycard - Global Commercial Payments,4.99 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102206,1,202306,Barclaycard - Global Commercial Payments,2.00 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102428,1,202306,Barclaycard - Global Commercial Payments,31.68 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102462,1,202306,Barclaycard - Global Commercial Payments,39.40 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102463,1,202306,Barclaycard - Global Commercial Payments,75.44 ,04/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100796,1,202306,Barclaycard - Global Commercial Payments,31.48 ,13/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101014,1,202306,Barclaycard - Global Commercial Payments,161.55 ,13/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100698,1,202306,Barclaycard - Global Commercial Payments,14.00 ,13/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101012,1,202306,Barclaycard - Global Commercial Payments,15.98 ,13/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101117,1,202306,Barclaycard - Global Commercial Payments,72.98 ,13/09/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101258,1,202306,Barclaycard - Global Commercial Payments,12.00 ,13/09/2023
