Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,01/09/2023,4830494,373938,KCARE NURSING AGENCY LTD,Social Support,2631.95,Purchased Care,Third Party Supplier,STANDARD,5790,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4830495,373938,KCARE NURSING AGENCY LTD,Mental Health Community Services,1242.96,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4830496,373938,KCARE NURSING AGENCY LTD,PS Acquired Community Services,883.71,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4830497,373938,KCARE NURSING AGENCY LTD,PS Acquired Community Services,3581.76,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4826887,373940,DEELAND LTD T/A SERVICEMASTER,Void Property Management,260.36,Office Cleaning,Third Party Supplier,STANDARD,5921,HAAA-Housing Revenue Account
RBC Legal Entity,01/09/2023,4826887,373940,DEELAND LTD T/A SERVICEMASTER,Void Property Management,284.2,Office Cleaning,Third Party Supplier,STANDARD,5921,HAAA-Housing Revenue Account
RBC Legal Entity,01/09/2023,4826887,373940,DEELAND LTD T/A SERVICEMASTER,Void Property Management,359,Office Cleaning,Third Party Supplier,STANDARD,5921,HAAA-Housing Revenue Account
RBC Legal Entity,01/09/2023,4832918,373941,THE GRUMPY GOAT LTD,South Street Operations,1426.09,Professional Fees,Third Party Supplier,STANDARD,1220,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4826712,373942,F M CONWAY LTD,Highways and Drainage,612.37,Materials Direct,SUB-CONTRACTOR,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4826748,373942,F M CONWAY LTD,Highways and Drainage,586.42,Materials Direct,SUB-CONTRACTOR,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4826749,373942,F M CONWAY LTD,Highways and Drainage,512.95,Materials Direct,SUB-CONTRACTOR,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4830736,373943,MODUS CONSTRUCTION LTD,Corporate FM - Community Buildings,488.5,Reactive Maintenance,SUB-CONTRACTOR,STANDARD,3739,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4830737,373943,MODUS CONSTRUCTION LTD,Corporate FM - Community Buildings,1120,Reactive Maintenance,SUB-CONTRACTOR,STANDARD,3739,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4831848,373943,MODUS CONSTRUCTION LTD,Corporate Maintenance Services,456.22,Agency + Contracted Serv  Mng,SUB-CONTRACTOR,STANDARD,4080,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4828599,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2642.12,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828600,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,4749.92,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828601,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2842.39,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828602,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,LD Community Services,4599.56,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828603,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,11977.7,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828604,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,4924.97,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828605,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Social Support,7235.72,Purchased Care,Third Party Supplier,STANDARD,5790,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828606,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,4761.82,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828607,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,PS Acquired Community Services,2920.6,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828608,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,1882.16,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828609,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2456.09,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828610,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2443.11,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828611,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,3079.89,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828612,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2537.16,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828613,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,3273.02,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828614,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2852.28,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828615,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,1880.64,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828616,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2721.64,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828617,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,LD Community Services,4403.4,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4828685,373944,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,LD Community Services,4474.96,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832756,373945,MY HOMECARE (READING AND BRACKNELL) LTD,PS Acquired Community Services,665,Purchased Care,Direct Payments,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832757,373945,MY HOMECARE (READING AND BRACKNELL) LTD,PS Acquired Community Services,665,Purchased Care,Direct Payments,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832761,373945,MY HOMECARE (READING AND BRACKNELL) LTD,PS Acquired Community Services,1035.3,Purchased Care,Direct Payments,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4830104,373946,VINYL GRAPHICS LTD,Corporate FM - Office Buildings,232,Equipment Purchase & Repair,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4830104,373946,VINYL GRAPHICS LTD,Corporate FM - Office Buildings,245,Equipment Purchase & Repair,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825482,373947,WESTWORKS PROCUREMENT LTD,Asset Management Unit,3000,Miscellaneous Expenses,Third Party Supplier,STANDARD,3677,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4830195,373950,CELADOR APARTMENTS LTD,Bed and Breakfast,8692,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4821997,373952,AGILISYS LTD,Future ICT operating model,19975,Other  Capitalisation,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,01/09/2023,4832958,373954,LMG SOCIAL WORK SERVICES LTD,JLT Disbursements,147.6,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/09/2023,4832958,373954,LMG SOCIAL WORK SERVICES LTD,JLT Disbursements,6000,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/09/2023,4825387,373955,TRASH UK LTD,Fleet Management,3400,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825496,373955,TRASH UK LTD,Fleet Management,400,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825496,373955,TRASH UK LTD,Fleet Management,720,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4828322,373956,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Coroner,3347.8,Medical Fees,GOVERNMENT,STANDARD,4605,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4826731,373957,MARTIN REYNOLDS CONSTRUCTION,Asset Management Unit,7473,Building Maintenance,SUB-CONTRACTOR,STANDARD,3677,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4832937,373958,REALCARE+ LTD,PS Acquired Community Services,560.28,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832938,373958,REALCARE+ LTD,PS Acquired Community Services,-560.28,Purchased Care,Third Party Supplier,CREDIT,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832940,373958,REALCARE+ LTD,PS Acquired Community Services,560.28,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832941,373958,REALCARE+ LTD,PS Acquired Community Services,-560.28,Purchased Care,Third Party Supplier,CREDIT,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832942,373958,REALCARE+ LTD,PS Acquired Community Services,1120.56,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832943,373958,REALCARE+ LTD,PS Acquired Community Services,-1120.56,Purchased Care,Third Party Supplier,CREDIT,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832948,373958,REALCARE+ LTD,PS Acquired Community Services,1120.56,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832949,373958,REALCARE+ LTD,PS Acquired Community Services,-1120.56,Purchased Care,Third Party Supplier,CREDIT,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832950,373958,REALCARE+ LTD,PS Acquired Community Services,1120.56,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832951,373958,REALCARE+ LTD,PS Acquired Community Services,-1120.56,Purchased Care,Third Party Supplier,CREDIT,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832952,373958,REALCARE+ LTD,PS Acquired Community Services,1120.56,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832953,373958,REALCARE+ LTD,PS Acquired Community Services,-1120.56,Purchased Care,Third Party Supplier,CREDIT,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4825543,373959,MEDILINK CONSULTING LTD,Coroner,1400,Medical Fees,Third Party Supplier,STANDARD,4605,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825469,373960,MITIE PROPERTY SERVICES,Repairs,5132.14,OAP Decorations,SUB-CONTRACTOR,STANDARD,5970,HAAA-Housing Revenue Account
RBC Legal Entity,01/09/2023,4825470,373960,MITIE PROPERTY SERVICES,Repairs,35918.46,OAP Decorations,SUB-CONTRACTOR,STANDARD,5970,HAAA-Housing Revenue Account
RBC Legal Entity,01/09/2023,4826734,373962,ORESTONE CONTROLS LTD,MRA Account,26488.29,Feasibility Studies,SUB-CONTRACTOR,STANDARD,5975,HAAA-Housing Revenue Account
RBC Legal Entity,01/09/2023,4832972,373964,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),Berkshire West Public Health Hub,1479.65,Software Licences,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832972,373964,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),Berkshire West Public Health Hub,1479.65,Software Licences,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832972,373964,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),Berkshire West Public Health Hub,1479.65,Software Licences,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4825415,373965,PANORAMIC ASSOCIATES,Berkshire West Public Health Hub,5175,Agency Staff,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,04/09/2023,4833136,373966,GTM WOODLEY,DLO Kitchen & Bathroom Trades,150,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4833136,373966,GTM WOODLEY,DLO Kitchen & Bathroom Trades,150,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4833136,373966,GTM WOODLEY,DLO Kitchen & Bathroom Trades,150,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4833136,373966,GTM WOODLEY,DLO Kitchen & Bathroom Trades,200,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4833136,373966,GTM WOODLEY,DLO Kitchen & Bathroom Trades,400,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4833136,373966,GTM WOODLEY,DLO Kitchen & Bathroom Trades,828.32,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4042,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4826740,373969,IN CONTROL,ASC Senior Management Team,2300,Subscriptions,Direct Payments,STANDARD,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,04/09/2023,4827061,373970,EARLEY ROOFING LTD,DLO Day to Day Trades,400,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4827061,373970,EARLEY ROOFING LTD,DLO Day to Day Trades,550,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4832603,373972,COLLIERS INTERNATIONAL PROPERTY CONSULTANT LTD,Valuation,4000,Professional Fees,Third Party Supplier,STANDARD,2100,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4826935,373975,THE LODGE DAY NURSERY,New Directions,233.28,Day Nurseries,Third Party Supplier,STANDARD,3340,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4826935,373975,THE LODGE DAY NURSERY,New Directions,758.16,Day Nurseries,Third Party Supplier,STANDARD,3340,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4825957,373977,FITTED HOME ALARMS LTD T/A FHA SECURITY,Parking & Enforcement,954.8,EquiptMaintenanceContract,Third Party Supplier,STANDARD,4725,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4833044,373978,EMILY VERITY,JLT Disbursements,1600,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,04/09/2023,4828681,373979,ACTIVE ASSISTANCE,PS Acquired Community Services,751.71,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,04/09/2023,4828682,373979,ACTIVE ASSISTANCE,PS Acquired Community Services,1044,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,04/09/2023,4825971,373980,HOBART UK,Corporate Maintenance Services,1608.5,TPP  Contract,Third Party Supplier,STANDARD,4080,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4827011,373980,HOBART UK,Corporate Maintenance Services,1003.05,TPP  Contract,Third Party Supplier,STANDARD,4080,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4827012,373980,HOBART UK,Corporate Maintenance Services,1203.72,TPP  Contract,Third Party Supplier,STANDARD,4080,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4830196,373981,CELADOR APARTMENTS LTD,Bed and Breakfast,3052,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4830198,373981,CELADOR APARTMENTS LTD,Bed and Breakfast,3332,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4830199,373981,CELADOR APARTMENTS LTD,Bed and Breakfast,1199,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4833011,373981,CELADOR APARTMENTS LTD,Bed and Breakfast,4592,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4833020,373981,CELADOR APARTMENTS LTD,Bed and Breakfast,3052,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,04/09/2023,4829022,373982,BERKSHIRE ROOMS,Bed and Breakfast,133,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
