Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Regeneration Economy and Growth,Planning & Housing,Third Party Payments,440999,Other third party payments E440,02/09/2024,4309589-DHP0179,"£1,602.47",BERNICIA GROUP LTD.*,,,,,,
Regeneration Economy and Growth,Business Durham,Supplies and Services,338099,Services,02/09/2024,4309594-INV-20711,"£4,000.00",BUILT ENVIRONMENT NETWORKING LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/09/2024,4309600-913,"£7,918.47",CEILINGS DIRECT LTD.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,324500,Provisions E324,02/09/2024,4309605-26032,"£24,164.56",CREATIVE MANAGEMENT SERVICES LTD.,,,,,,
Resources BK0010,Digital Services,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309611-7403029884,£582.50,DELL COMPUTER CORPORATION LTD.,,,,,,
Resources BK0010,Digital Services,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309611-7403029982,£568.90,DELL COMPUTER CORPORATION LTD.,,,,,,
Resources BK0010,Digital Services,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309611-7403029984,"£1,780.00",DELL COMPUTER CORPORATION LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,02/09/2024,4309613-INV-1917,"£6,475.00",DINSDALE MOORLAND SPECIALISTS.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,02/09/2024,4309613-INV-1918,"£23,182.16",DINSDALE MOORLAND SPECIALISTS.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,02/09/2024,4309613-INV-1919,"£3,594.60",DINSDALE MOORLAND SPECIALISTS.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,02/09/2024,4309613-INV-1920,"£1,350.00",DINSDALE MOORLAND SPECIALISTS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,304516,Equipment and Materials,02/09/2024,4309615-INV-170891,£800.00,DIVERSITY & ABILITY LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Premises,108099,Service Repairs and Maintenance,02/09/2024,4309622-TC/PH/11485REPROVIDE,"£1,080.00",DUNNINGHAM DECORATORS LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Premises,108099,Service Repairs and Maintenance,02/09/2024,4309622-TC/PH/11495REPROVIDE,"£1,263.00",DUNNINGHAM DECORATORS LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Premises,108099,Service Repairs and Maintenance,02/09/2024,4309622-TC/PH/11504REPROVIDE,"£1,046.00",DUNNINGHAM DECORATORS LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,02/09/2024,4309624-337,"£50,000.00",DURHAM ACTION ON SINGLE HOUSING LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430120,Rendered by Private Contractors,02/09/2024,4309629-CTIN06768349,"£10,413.92",FINNING (UK) LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430120,Rendered by Private Contractors,02/09/2024,4309629-CTIN06768352,"£9,949.76",FINNING (UK) LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430120,Rendered by Private Contractors,02/09/2024,4309629-CTIN06768444,"£3,246.90",FINNING (UK) LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338045,Services,02/09/2024,4309631-125979/KD/29-31072024,"£3,200.00",FOUNTAIN CHAMBERS.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309632-129000,"£2,970.00",FR SHARROCK LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,02/09/2024,4309635-300424854,£670.00,FREIGHT TRANSPORT ASSOCIATION LTD T/A LOGISTICS UK.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304252,Equipment and Materials,02/09/2024,4309636-007150409,"£3,300.00",GAP GROUP LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304252,Equipment and Materials,02/09/2024,4309636-007150477,"£1,189.76",GAP GROUP LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304252,Equipment and Materials,02/09/2024,4309636-007150545,£701.68,GAP GROUP LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304252,Equipment and Materials,02/09/2024,4309636-007150972,"£1,856.77",GAP GROUP LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430106,Rendered by Private Contractors,02/09/2024,4309638-324069,"£291,946.94",GO GATESHEAD LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309639-000213,£540.00,GRAEME HOPPER LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309639-000214,£540.00,GRAEME HOPPER LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,02/09/2024,4309640-06/281074,£656.07,GREENHAM TRADING LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,02/09/2024,4309640-06/283327,"£1,000.48",GREENHAM TRADING LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,02/09/2024,4309640-06/283328,£986.74,GREENHAM TRADING LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,145023,Cleaning and Domestic Supplies,02/09/2024,4309640-06/283612,£566.33,GREENHAM TRADING LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309641-8516,"£1,023.00",GROVE REED JOINERY LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304252,Equipment and Materials,02/09/2024,4309642-INV-5902,"£1,007.16",GYM TECH NORTH EAST.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,02/09/2024,4309643-097626,£694.42,HAGS-SMP LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309646-4808491,"£2,848.54",HEADLAM (FLOORCOVERING DISTRIBUTORS) LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/09/2024,4309647-4387,"£4,924.92",INDEPENDENT RESTORATION LTD.,,,,,,
Resources BK0010,Digital Services,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309649-2100965537,"£2,902.24",INSIGHT DIRECT (UK) LTD.,,,,,,
Resources BK0010,Digital Services,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309649-2100965538,"£1,046.50",INSIGHT DIRECT (UK) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309650-953164,"£2,788.80",INSTARMAC GROUP PLC.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,02/09/2024,4309653-5307177,"£1,106.00",JA GILSON (AGRICULTURAL CONTRACTORS) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,02/09/2024,4309653-5307304,"£2,080.65",JA GILSON (AGRICULTURAL CONTRACTORS) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,02/09/2024,4309653-5307305,"£2,058.32",JA GILSON (AGRICULTURAL CONTRACTORS) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,02/09/2024,4309653-5307324,"£1,946.67",JA GILSON (AGRICULTURAL CONTRACTORS) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430127,Rendered by Private Contractors,02/09/2024,4309653-5307325,£882.50,JA GILSON (AGRICULTURAL CONTRACTORS) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,02/09/2024,4309654-29562,"£26,525.95",JACK COUPE & SONS LTD T/A COUPE LINE.,,,,,,
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,02/09/2024,4309654-29566,£611.52,JACK COUPE & SONS LTD T/A COUPE LINE.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309657-0104/00036218,£502.83,JT DOVE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309657-0113/00065607,"£1,217.10",JT DOVE LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309657-0113/00065610,£602.65,JT DOVE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309657-0303/01355509,£500.00,JT DOVE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309657-0303/01355510,£840.98,JT DOVE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309657-0303/01356673,£594.40,JT DOVE LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,02/09/2024,4309669-ROTHIN/00002004,"£10,800.00",LIVIN HOUSING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309674-6901879032,£633.00,LYRECO UK LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309676-Z001951730,"£4,202.88",MARSHALLS MONO LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,384999,Miscellaneous Expenses,02/09/2024,4309677-P292058,"£3,995.37",MAX RECYCLE T/A THE DURHAM COMPANY (TDC).,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,460503,Contract Payments,02/09/2024,4309684-1340223,"£1,167.40",NETWORK RAIL.,,,,,,
Adult and Health Services,Central/Other,Supplies and Services,336005,Advertising E336,02/09/2024,4309686-45653934,"£2,600.00",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,336005,Advertising E336,02/09/2024,4309686-45661356,"£1,452.90",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,02/09/2024,4309690-DI20431419,"£3,967.92",NORTHERN POWERGRID (NORTHEAST) LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Cap Exp on Grants & Other Financial Assistance (REFCUS),918501,Exp assets not owned by authority (REFCUS),02/09/2024,4309690-DI20431574,"£3,500.73",NORTHERN POWERGRID (NORTHEAST) LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,02/09/2024,4309695-1519,"£3,432.22",ORANGEBOX TRAINING SOLUTIONS UK LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,02/09/2024,4309703-DL13,"£14,411.73",PENSHAW VIEW TRAINING LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,312009,Newspapers books and periodicals E312,02/09/2024,4309705-2092092,"£1,130.35",PETERS LTD.,,,,,,
Resources BK0010,Digital Services,Supplies and Services,304303,Equipment and Materials,02/09/2024,4309707-14965,"£3,459.00",PIONEER DIGITAL SOLUTIONS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309725-20241000011405,£870.72,SCARAB SWEEPERS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230720,Contract Hire,02/09/2024,4309729-001/24/1724123,£730.00,SIEMENS FINANCIAL SERVICES LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230720,Contract Hire,02/09/2024,4309732-105/24/13589,"£1,416.00",SOCIETE GENERALE EQUIPMENT FINANCE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230720,Contract Hire,02/09/2024,4309732-105/24/13590,"£2,466.00",SOCIETE GENERALE EQUIPMENT FINANCE LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/09/2024,4309738-9378,"£1,850.00",ST ASTIER LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/09/2024,4309738-9392,"£7,314.00",ST ASTIER LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309739-51434,"£1,464.00",STONEGRAVE AGGREGATES LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304337,Equipment and Materials,02/09/2024,4309741-SWINV114437,£689.03,SWIM ENGLAND TRADING LTD.*,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309744-9048704697,"£2,900.48",TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309744-9048729594,"£2,600.63",TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309744-9048734403,£874.43,TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309744-9048739742,£512.58,TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309744-9048744883,£797.79,TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309744-9048750003,£637.74,TARMAC TRADING LTD.,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,352001,Conference Expenses,02/09/2024,4309747-36697,"£1,750.00",THE ASSOCIATION OF ELECTORAL ADMINISTRATORS (AEA).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,328041,Clothing uniforms and laundry E328,02/09/2024,4309750-NSIN00118269,"£1,343.36",THOMAS OWEN & SONS (NEWCASTLE) LTD.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,352001,Conference Expenses,02/09/2024,4309752-2958,"£3,500.00",TOUCH-LEARN INTERNATIONAL LTD.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,352001,Conference Expenses,02/09/2024,4309752-2959,"£7,700.00",TOUCH-LEARN INTERNATIONAL LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,384500,Miscellaneous Expenses,02/09/2024,4309756-SI-5331,"£1,232.00",TREE TOPS OCCUPATIONAL THERAPY LTD.,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338042,Services,02/09/2024,4309757-315193/INVKW821,"£1,250.00",TRINITY CHAMBERS.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264655,£823.03,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264658,"£1,355.88",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264659,"£1,362.25",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264660,"£1,352.05",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264662,"£1,368.63",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264663,"£1,362.25",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264677,"£1,031.40",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264683,"£1,085.65",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264690,£846.69,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264691,£863.59,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264692,£855.14,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264693,"£1,413.64",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264694,"£1,410.97",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264698,"£1,428.33",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264711,"£1,462.30",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309758-264713,"£1,387.90",TYNEDALE ROADSTONE LTD.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,344033,Telephones,02/09/2024,4309759-210603,£572.70,UNIFY BUSINESS SOLUTIONS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,02/09/2024,4309763-392,"£4,925.00",WEAR RIVERS TRUST.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Supplies and Services,384199,Miscellaneous Expenses,02/09/2024,4309764-RES-08-2024-231,"£10,000.00",WHEELS TO WORK CIO.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,460160,Contract Payments,02/09/2024,4309766-785251,£658.10,WILLIAM SMITH GROUP 1832.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,02/09/2024,4309768-1215733,£738.73,YOUR NRG LTD.,,,,,,
Non-Service Specific,Insurances,Expenditure 8INSEX,810001,Insurance Expenditure,02/09/2024,4309770-033916,"£368,494.16",ZURICH MUNICIPAL.,,,,,,
Non-Service Specific,Insurances,Expenditure 8INSEX,810001,Insurance Expenditure,02/09/2024,4309770-407000210,"£33,235.00",ZURICH MUNICIPAL.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,03/09/2024,4310327-INV-2446,£900.00,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,03/09/2024,4310351-RES-09-2024-012,"£4,870.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Adult and Health Services,Head of Adults,Supplies and Services,338066,Services,03/09/2024,4310391-485/HBA,£900.00,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310347-I/ETL/SSO011892,"£2,136.05",EARLSWOOD TRADING LTD T/A STRUCTURAL SUPPLIES ONLINE.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,03/09/2024,4310392-RES-09-2024-011,"£3,015.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338099,Services,03/09/2024,4310394-SI-77,"£5,000.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,03/09/2024,4310409-01219,£864.00,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Premises,106080,Centrally Controlled Rep and Maint,03/09/2024,4310323-55286704,"£47,523.15",ADT FIRE & SECURITY PLC.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Premises,108099,Service Repairs and Maintenance,03/09/2024,4310323-55286705,"£88,675.04",ADT FIRE & SECURITY PLC.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,03/09/2024,4310325-INV-1587,£750.00,AIM STRAIGHT ALIGNMENTS LTD.,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,03/09/2024,4310326-VOUCHER24NB-DCTY006,"£4,000.00",ALINGTON HOUSE COMMUNITY ASSOCIATION.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310329-0000040655,"£2,437.50",AQUAJET DRAIN CLEANING LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310329-0000040684,"£2,228.50",AQUAJET DRAIN CLEANING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,03/09/2024,4310329-0000040693,"£1,950.00",AQUAJET DRAIN CLEANING LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,03/09/2024,4310333-RES-09-2024-013,"£3,286.00",BELIEVE HOUSING LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,03/09/2024,4310333-RINV/00005135,"£3,286.00",BELIEVE HOUSING LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,03/09/2024,4310335-263063,£605.51,BOLINDA DIGITAL LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,03/09/2024,4310335-263279,£599.80,BOLINDA DIGITAL LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,03/09/2024,4310335-263661,£598.86,BOLINDA DIGITAL LTD.,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,03/09/2024,4310336-VOUCHER24NB-SPEN014,"£2,500.00",BYERS GREEN COMMUNITY LEEK & HORTICULTURAL CLUB.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310348-059-340447,£995.61,EDMUNDSON ELECTRICAL LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310348-059-340485,£600.00,EDMUNDSON ELECTRICAL LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310348-059-340589,£519.37,EDMUNDSON ELECTRICAL LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310348-059-340651,£578.86,EDMUNDSON ELECTRICAL LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,03/09/2024,4310350-2407\028,"£1,300.16",EPPLETON QUARRY PRODUCTS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Construction work A908,908105,Construction work,03/09/2024,4310352-182778,"£644,620.53",ESH CONSTRUCTION LTD FORMERLY LUMSDEN & CARROLL CONSTRUCTION LTD.,,,,,,
