Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Regeneration Economy and Growth,Culture Sport and Tourism,030712,VCD - Project Delivery,Supplies and Services,384199,Miscellaneous Expenses,02-Dec-2024,000010303172546,Intuit Ltd Mailchimp,5968,Other hired and contracted services,325.38,0.00,325.38
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030689,Inward Investment and Aftercare,Supplies and Services,304403,Equipment and Materials,02-Dec-2024,000010309314726,ADOBE SYSTEMS SOFTWARE,5734,Other consumables,56.98,0.00,56.98
Children and Young Peoples Services,Head of Childrens Social Care,085317,Children in Care Team 6,Supplies and Services,338045,Services,02-Dec-2024,000010309314754,HM PASSPORT OFFICE,9399,Legal expenses 338045,57.50,0.00,57.50
Children and Young Peoples Services,Head of Childrens Social Care,085366,Children in Care Team 3,Supplies and Services,338045,Services,02-Dec-2024,000010309314766,GEN REGISTER OFFICE,9399,Legal expenses 338045,37.50,0.00,37.50
Children and Young Peoples Services,Head of Childrens Social Care,085366,Children in Care Team 3,Supplies and Services,338045,Services,02-Dec-2024,000010309314776,GEN REGISTER OFFICE,9399,Legal expenses 338045,12.50,0.00,12.50
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309314796,HOME BARGAINS DURHAM 2,5399,Catering costs - provisions,28.60,0.00,28.60
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309314810,TESCO STORES 2278,5411,Catering costs - provisions,21.00,0.00,21.00
Dedicated Schools Grant BG0015,DSG Schools Block,110003,The Woodlands 1100 - The Maples,Supplies and Services,304335,Equipment and Materials,02-Dec-2024,000010309314948,CURRYS ONLINE,5732,ICT supplies etc,"1,149.00",0.00,"1,149.00"
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309314988,HARDWICK ARMS HOTEL,7011,Conferencesseminars fees etc,444.50,0.00,444.50
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309314996,Hotel 52,7011,Conferencesseminars fees etc,490.00,0.00,490.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315008,Hotel 52,7011,Conferencesseminars fees etc,595.00,0.00,595.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315016,Hotel 52,7011,Conferencesseminars fees etc,595.00,0.00,595.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315026,Hotel 52,7011,Conferencesseminars fees etc,875.00,0.00,875.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315040,Hotel 52,7011,Conferencesseminars fees etc,745.00,0.00,745.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315054,Hotel 52,7011,Conferencesseminars fees etc,525.00,0.00,525.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315064,Hotel 52,7011,Conferencesseminars fees etc,590.00,0.00,590.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315074,Hotel 52,7011,Conferencesseminars fees etc,700.00,0.00,700.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315084,Hotel 52,7011,Conferencesseminars fees etc,700.00,0.00,700.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315092,Hotel 52,7011,Conferencesseminars fees etc,900.00,0.00,900.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315102,Hotel 52,7011,Conferencesseminars fees etc,595.00,0.00,595.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315110,Hotel 52,7011,Conferencesseminars fees etc,875.00,0.00,875.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315118,Hotel 52,7011,Conferencesseminars fees etc,595.00,0.00,595.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315128,Hotel 52,7011,Conferencesseminars fees etc,100.00,0.00,100.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315132,Hotel 52,7011,Conferencesseminars fees etc,500.00,0.00,500.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315142,Hotel 52,7011,Conferencesseminars fees etc,595.00,0.00,595.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,02-Dec-2024,000010309315150,UBER TRIP,4121,Staff travelling,34.93,0.00,34.93
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315160,TRAVELODGE,3615,Conferencesseminars fees etc,942.51,0.00,942.51
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315172,TRAVELODGE,3615,Conferencesseminars fees etc,557.87,0.00,557.87
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315176,TRAVELODGE,3615,Conferencesseminars fees etc,667.86,0.00,667.86
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315190,TRAVELODGE,3615,Conferencesseminars fees etc,809.20,0.00,809.20
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315198,TRAVELODGE,3615,Conferencesseminars fees etc,890.70,0.00,890.70
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315206,HARROWGATE HILL LODGE,7011,Conferencesseminars fees etc,"1,000.00",0.00,"1,000.00"
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315214,HARROWGATE HILL LODGE,7011,Conferencesseminars fees etc,350.00,0.00,350.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315226,HARROWGATE HILL LODGE,7011,Conferencesseminars fees etc,100.00,0.00,100.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315234,Hotel 52,7011,Conferencesseminars fees etc,160.00,0.00,160.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309315242,TRAVELODGE,3615,Conferencesseminars fees etc,-220.94,0.00,-220.94
Regeneration Economy and Growth,Planning & Housing,060472,P&H-Strat & Del-Humanitarian Support programme,Supplies and Services,328041,Clothing uniforms and laundry E328,02-Dec-2024,000010309315278,WWW.ARGOS.CO.UK,5311,Clothing uniforms and laundry,12.00,2.00,10.00
Neighbourhoods and Climate Change,Environmental Services,010367,C&G - South Grounds Maintenance,Supplies and Services,304221,Equipment and Materials,02-Dec-2024,000010309315342,GUSTHARTS,5261,Direct materials,500.00,83.33,416.67
Neighbourhoods and Climate Change,Environmental Services,010367,C&G - South Grounds Maintenance,Supplies and Services,304221,Equipment and Materials,02-Dec-2024,000010309315350,GUSTHARTS,5261,Direct materials,144.24,24.04,120.20
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,071447,Peterlee CYPS,Supplies and Services,328041,Clothing uniforms and laundry E328,02-Dec-2024,000010309315428,WWW.THEWORKS.CO.UK,5310,Clothing uniforms and laundry,23.99,0.00,23.99
Regeneration Economy and Growth,Planning & Housing,031623,P&H-Homeless Prevention-Rough Sleeping,Transport,235073,Public Transport,02-Dec-2024,000010309315450,ARRIVA DURHAM COUNTY L,4131,Travel-clients/students/children,22.70,0.00,22.70
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309315492,HOME BARGAINS,5399,Catering costs - provisions,26.08,0.00,26.08
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304999,Equipment and Materials,02-Dec-2024,000010309315502,HOME BARGAINS,5399,Misc equipment tools and materials,19.99,0.00,19.99
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304999,Equipment and Materials,02-Dec-2024,000010309315508,ASDA STORES,5411,Misc equipment tools and materials,40.00,0.00,40.00
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309315518,TESCO STORES 2371,5411,Catering costs - provisions,83.63,0.00,83.63
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309315528,ASDA STORES,5411,Catering costs - provisions,75.48,0.00,75.48
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304999,Equipment and Materials,02-Dec-2024,000010309315534,THE RANGE,5719,Misc equipment tools and materials,4.99,0.00,4.99
Regeneration Economy and Growth,Planning & Housing,031641,P&H-Hsg Acc-Ind Liv-DCC Permanent Homes,Premises,120037,Energy Costs,02-Dec-2024,000010309315626,SCOTTISH POWER,4900,Other fuels,37.33,0.00,37.33
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,02-Dec-2024,000010309315630,OCTOPUS ENERGY LTD,4900,Other fuels,61.79,0.00,61.79
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309315830,TESCO STORES 2916,5411,Catering costs - provisions,111.89,0.00,111.89
Neighbourhoods and Climate Change,Environmental Services,026591,C&G - Hardwick Park,Supplies and Services,304337,Equipment and Materials,02-Dec-2024,000010309315986,Angel Wholesale,5999,Consumables/items for resale,156.36,0.00,156.36
Neighbourhoods and Climate Change,Environmental Services,026591,C&G - Hardwick Park,Supplies and Services,304337,Equipment and Materials,02-Dec-2024,000010309316004,KEYCRAFT GLOBAL,5199,Consumables/items for resale,583.10,0.00,583.10
Neighbourhoods and Climate Change,Environmental Services,026591,C&G - Hardwick Park,Supplies and Services,332047,Printing Stationery and Gen Off Exps,02-Dec-2024,000010309316016,AMAZON 990ZE5TB5,5399,Stationery,31.44,5.24,26.20
Neighbourhoods and Climate Change,Environmental Services,026591,C&G - Hardwick Park,Supplies and Services,304259,Equipment and Materials,02-Dec-2024,000010309316026,PAYPAL PORTERWOOD POR,5947,Equipment-purchase and rental,167.95,0.00,167.95
Children and Young Peoples Services,Head of Education and Skills,071733,Shildon Childcare,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316148,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,127.00,0.00,127.00
Children and Young Peoples Services,Head of Education and Skills,071733,Shildon Childcare,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316158,WM MORRISONS STORE,5411,Catering costs - provisions,2.35,0.00,2.35
Children and Young Peoples Services,Head of Education and Skills,071733,Shildon Childcare,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316164,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,-0.55,0.00,-0.55
Children and Young Peoples Services,Head of Education and Skills,071733,Shildon Childcare,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316176,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,-2.50,0.00,-2.50
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,328041,Clothing uniforms and laundry E328,02-Dec-2024,000010309316326,WWW.THEWORKS.CO.UK,5310,Clothing uniforms and laundry,54.00,0.00,54.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,328041,Clothing uniforms and laundry E328,02-Dec-2024,000010309316334,WWW.THEWORKS.CO.UK,5310,Clothing uniforms and laundry,63.00,0.00,63.00
Neighbourhoods and Climate Change,Environmental Services,011193,E&D - Play Area Maintenance,Supplies and Services,304999,Equipment and Materials,02-Dec-2024,000010309316356,SCREWFIX DIR. LTD,5211,Misc equipment tools and materials,70.95,11.83,59.12
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,332047,Printing Stationery and Gen Off Exps,02-Dec-2024,000010309316414,Vue Entertainment Ltd,7832,Stationery,26.97,0.00,26.97
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316422,B&M 681 - DURHAM,5399,Catering costs - provisions,10.49,0.00,10.49
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316430,ICELAND,5411,Catering costs - provisions,30.65,0.00,30.65
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316438,TESCO STORES 2371,5411,Catering costs - provisions,63.90,0.00,63.90
Adult and Health Services,Head of Adults,055302,Durham Pathways,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316496,HOME BARGAINS DURHAM 2,5399,Catering costs - provisions,13.53,0.00,13.53
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030620,Crook Workshops 030620,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316532,HOME BARGAINS DURHAM 2,5399,Catering costs - provisions,22.42,0.00,22.42
Chief Executives Office,Legal & Democratic Services,067910,L&D - Democratic Representation,Supplies and Services,384965,Miscellaneous Expenses,02-Dec-2024,000010309316600,Argos Durham Arnis,5310,Civic Functions,11.00,0.00,11.00
Adult and Health Services,Head of Adults,055807,Newton Aycliffe Pathways,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309316854,TESCO STORES 2916,5411,Catering costs - provisions,12.20,0.00,12.20
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,304259,Equipment and Materials,02-Dec-2024,000010309317014,GEN REGISTER OFFICE,9399,Equipment-purchase and rental,42.00,0.00,42.00
Children and Young Peoples Services,Head of Education and Skills,070169,Durham SSP,Third Party Payments,430100,Rendered by Private Contractors,02-Dec-2024,000010309317086,SITEGROUND HOSTING,7399,Payments to sub-contractors,363.45,60.58,302.87
Children and Young Peoples Services,Head of Education and Skills,070169,Durham SSP,Supplies and Services,342053,Computers and Communications,02-Dec-2024,000010309317098,THEEVENTSCAL PLUGINS,5045,Computer software,141.13,0.00,141.13
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309317148,TESCO STORES 2371,5411,Catering costs - provisions,182.29,0.00,182.29
Regeneration Economy and Growth,Culture Sport and Tourism,054399,Local Delivery-Libraries,Supplies and Services,304403,Equipment and Materials,02-Dec-2024,000010309317172,AMZNMktplace NI4489WC5,5999,Other consumables,16.06,2.68,13.38
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309317198,ASDA SUPERSTORE,5411,Catering costs - provisions,131.15,0.00,131.15
Regeneration Economy and Growth,Planning & Housing,031040,P&H-Bldg Safety & Stds-Building Control,Supplies and Services,304259,Equipment and Materials,02-Dec-2024,000010309317514,HSE - BSR,9399,Equipment-purchase and rental,336.00,0.00,336.00
Children and Young Peoples Services,Head of Education and Skills,078441,UK Shared Prosperity - People,Supplies and Services,364301,Grants to Voluntary Organisations,02-Dec-2024,000010309317568,HIGH SPEED TRAINING,8299,Hardship,85.20,14.20,71.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317624,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317632,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,10.00,0.00,10.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317646,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,2.00,0.00,2.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317654,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317664,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317670,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317676,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317684,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317686,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,2.00,0.00,2.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317694,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,20.00,0.00,20.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317698,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,2.00,0.00,2.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317710,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317720,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317730,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,10.00,0.00,10.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317740,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,2.00,0.00,2.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317752,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,2.00,0.00,2.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317758,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,2.00,0.00,2.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317764,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317770,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317782,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
