Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,03/02/2023,4095905-0499,"œ1,951.40",GILMAR LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,03/02/2023,4095922-RES-02-2023-039,"œ2,125.00",HIGH ROWANTREE LTD.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,03/02/2023,4095978-A83051/QTR222-23/ALCOHOL,"œ1,320.90",MARLBOROUGH SURGERY.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,336005,Advertising E336,03/02/2023,4096040-IR0038735,œ951.62,RIGHTMOVE GROUP LTD.
Resources BK0010,HR & Employee Services,Supplies and Services,352001,Conference Expenses,03/02/2023,4096049-4124,œ500.00,SAFETY4BUSINESS LTD.
Resources BK0010,HR & Employee Services,Supplies and Services,352001,Conference Expenses,03/02/2023,4096049-4131,œ500.00,SAFETY4BUSINESS LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,03/02/2023,4096069-VOUCHERABLM02-22,œ999.00,SPENNYMOOR YOUTH THEATRE GROUP.
Neighbourhoods and Climate Change,Highways,Fees,901002,Consultants fees 901002,03/02/2023,4096070-0214999,"œ2,000.00",STANTEC UK LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,03/02/2023,4096073-402376,"œ2,500.00",STOKVIS INDUSTRIAL BOILERS (INTERNATIONAL) LTD T/A STOKVIS ENERGY SYSTEMS.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,03/02/2023,4096100-11998,œ608.34,VISITWILTSHIRE LTD.
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,03/02/2023,4096112-PSI019932,œ551.00,WILO (UK) LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,06/02/2023,4096194-RES-02-2023-062,"œ1,852.82",CHURCHLANDS FARM.
Regeneration Economy and Growth,Business Durham CL0850,Supplies and Services,384899,Miscellaneous Expenses,06/02/2023,4096241-RES-02-2023-072,"œ1,187.67",ELEC-TECH NORTH EAST LTD.
Neighbourhoods and Climate Change,Community Protection,Supplies and Services,304999,Equipment and Materials,06/02/2023,4096244-29960,"œ2,310.00",ENVIRO TECHNOLOGY SERVICES PLC.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,06/02/2023,4096275-233,œ533.00,HAMSTEELS COMMUNITY ASSOCIATION.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,06/02/2023,4096395-VOUCHER22NB-DCTY040,"œ1,150.00",PITTINGTON COMMUNITY ASSOCIATION.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,06/02/2023,4096418-60327746,"œ1,882.28",S JENNINGS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,06/02/2023,4096433-DCC2222023,œ875.00,SHILDON ALIVE.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,07/02/2023,4097157-31STJAN2023,"œ1,625.00",DAVE'S PRIVATE HIRE.
Resources BK0010,Legal & Democratic Services,Supplies and Services,328041,Clothing uniforms and laundry E328,07/02/2023,4097168-5066,"œ2,421.92",DURHAM BUSINESSWEAR LTD.
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,07/02/2023,4097207-JANUARY2023TOPUP,œ552.00,GATESHEAD COLLEGE.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,364501,Grants to Voluntary Organisations,07/02/2023,4097260-K4L,"œ1,000.00",KEY4LETS LTD.
Neighbourhoods and Climate Change,Environmental Services,Stock A926,926004,Stock,07/02/2023,4097269-6304,œ520.00,LINDEN FLUID POWER LTD.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,07/02/2023,4097383-V4I05576,œ929.04,STANNERS EQUIPMENT LTD.
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,440080,Other third party payments E440,07/02/2023,4097402-JANUARY2023TOPUP,"œ1,967.00",EDUCATION TRAINING COLLECTIVE.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,372009,Subscriptions E372,08/02/2023,4097460-INV-0104,"œ20,400.00",ASPIRECRM LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,08/02/2023,4097476-46772,"œ2,763.00",BRITISH PEST CONTROL ASSOCIATION.
Dedicated Schools Grant BG0015,DSG Schools Block,Supplies and Services,312075,Newspapers books and periodicals E312,08/02/2023,4097505-3637407,"œ1,606.50",COORDINATION GROUP PUBLICATIONS (CGP).
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,08/02/2023,4097524-2744,œ800.00,DEVCLEVER LTD.
Regeneration Economy and Growth,Business Durham CL0850,Supplies and Services,338094,Services,08/02/2023,4097543-101011238,œ572.92,EDUCATION DEVELOPMENT TRUST
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384899,Miscellaneous Expenses,09/02/2023,4097893-RES-02-2023-132,"œ2,992.00",ANTHONY NIXON FURNITURE LTD.
Dedicated Schools Grant BG0015,DSG High Needs Block,Supplies and Services,304259,Equipment and Materials,09/02/2023,4097905-136638,"œ3,538.00",BENNETT WORKPLACE.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,304083,Equipment and Materials,09/02/2023,4097937-9009,"œ1,596.29",CATERTECH (NORTH EAST) LTD.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,09/02/2023,4097945-CLAPPSPRING2223,"œ3,000.00",TOGETHER LEARNING PARTNERSHIP (ROSA STREET PRIMARY SCHOOL).
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,09/02/2023,4098084-68517,"œ23,135.00",MARIAN DOOR SERVICES.
Regeneration Economy and Growth,Corporate Property and Land,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,09/02/2023,4098096-RES-02-2023-121,"œ4,669.00",MIDDLETON PLUS DEVELOPMENT TRUST.
Neighbourhoods and Climate Change,Highways,Supplies and Services,338027,Services,09/02/2023,4098098-29882,"œ3,575.00",MONAGHANS LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,338027,Services,09/02/2023,4098098-29883,"œ3,950.00",MONAGHANS LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,338066,Services,09/02/2023,4098098-30307,œ875.00,MONAGHANS LTD.
Resources BK0010,Digital Services,Supplies and Services,332029,Printing Stationery and Gen Off Exps,09/02/2023,4098208-147084,"œ1,146.00",STATEX PRESS (NORTHERN) LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,09/02/2023,4098270-1-170123,"œ1,000.00",YIELDWISE LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,10/02/2023,4098406-498,"œ3,750.00",LJB DESIGNS.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,10/02/2023,4098422-INV-1223,œ900.00,MYCLEARTEXT LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,10/02/2023,4098446-011,"œ5,200.00",PONS AELIUS DESIGN.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,372009,Subscriptions E372,10/02/2023,4098455-RA1436,œ750.00,RAMBLERS ASSOCIATION..
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,10/02/2023,4098503-059753,œ761.00,THORPE TREES LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,372009,Subscriptions E372,10/02/2023,4098505-INV-1984,œ974.00,TOOTOOT LTD.
Dedicated Schools Grant BG0015,DSG High Needs Block,Supplies and Services,304259,Equipment and Materials,10/02/2023,4098516-OP/I197020,œ543.00,VIDA GLOBAL T/A JAMES LECKEY DESIGN LTD.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098551-OOCSPRINGTERM/22-23/3,œ600.00,ANNANHILL PRIMARY SCHOOL FUND.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098551-OOCSPRINGTERM/22-23/94,œ600.00,ANNANHILL PRIMARY SCHOOL FUND.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098567-OOCSPRINGTERM/22-23/6,"œ3,000.00",BATTLE HILL PRIMARY SCHOOL.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098567-OOCSPRINGTERM/22-23/96,"œ1,200.00",BATTLE HILL PRIMARY SCHOOL.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098600-OOCSPRINGTERM/22-23/78,œ600.00,CHANGING LIVES LEARNING TRUST.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098638-OOCSPRINGTERM/22-23/97,œ600.00,DISHFORTH AIRFIELD PRIMARY SCHOOL.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,342051,Computers and Communications,13/02/2023,4098672-INV-3196,œ950.00,FLASH ACADEMY.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098687-OOCSPRINGTERM/22-23/22,œ600.00,GIBSIDE SCHOOL (NE16 5AT).
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098711-OOCSPRINGTERM/22-23/32,"œ1,200.00",HILLSIDE HIGH SCHOOL.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,13/02/2023,4098719-150615,œ674.30,HORNE ENGINEERING LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,304259,Equipment and Materials,13/02/2023,4098755-LPAS142,œ500.00,LAKESIDE PRIMARY ACADEMY.
Resources - C A C,Resources - C A C- Level C,Supplies and Services,372009,Subscriptions E372,13/02/2023,4098769-306191,"œ16,906.00",LOCAL GOVERNMENT INFORMATION UNIT (LGIU).
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Premises,150005,Apportioned Exps of Operational Blds,13/02/2023,4098776-1724,œ515.84,MANOR HOUSE (1707) LTD.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098795-OOCSPRINGTERM/22-23/100,"œ1,200.00",MOUNT VERNON PRIMARY SCHOOL.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098795-OOCSPRINGTERM/22-23/40,"œ2,400.00",MOUNT VERNON PRIMARY SCHOOL.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098828-OOCSPRINGTERM/22-23/4,"œ1,200.00",NORTH AYRSHIRE COUNCIL.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098828-OOCSPRINGTERM/22-23/95,œ600.00,NORTH AYRSHIRE COUNCIL.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384956,Miscellaneous Expenses,13/02/2023,4098841-5073509,"œ2,880.07",NSF CERTIFICATION UK LTD.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098911-OOCSPRINGTERM/22-23/101,œ600.00,SOUTH & CITY COLLEGE BIRMINGHAM.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098911-OOCSPRINGTERM/22-23/50,œ600.00,SOUTH & CITY COLLEGE BIRMINGHAM.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098925-OOCSPRINGTERM/22-23/66,"œ1,200.00",ST THOMAS MORE RC COLLEGE.
Resources BK0010,Corporate Policy Planning & Performance,Supplies and Services,372009,Subscriptions E372,13/02/2023,4098935-67365,"œ2,000.00",STONEWALL EQUALITY LTD.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098940-OOCSPRINGTERM/22-23/37,"œ1,200.00",SYNERGY MULTI ACADEMY TRUST.
Children and Young Peoples Services,Head of Education and Skills,Transfer Payments,510034,School Children,13/02/2023,4098940-OOCSPRINGTERM/22-23/98,"œ1,200.00",SYNERGY MULTI ACADEMY TRUST.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,13/02/2023,4098958-059820,"œ3,546.05",THORPE TREES LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,352001,Conference Expenses,13/02/2023,4098999-ED201372-2572,œ520.00,WESTMINSTER FORUM PROJECTS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,14/02/2023,4099556-1-JAN23,œ737.50,ASTRAL CONTROL SERVICES LTD.
Regeneration Economy and Growth,Business Durham CL0850,Supplies and Services,338066,Services,14/02/2023,4099716-1392,œ800.00,ROGERS & ROGERS DIGITAL MARKETING LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,486020,Service level agreements E486,14/02/2023,4099741-7608,œ735.00,THE WINDMILL SPECIAL NEEDS COMPANY LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,15/02/2023,4099790-0000005577,"œ1,944.00",BALANCEABILITY LTD.
Adult and Health Services,Adults Excluded,Supplies and Services,338066,Services,15/02/2023,4099909-DCC/JS/01/2022,œ562.50,IMPACT CHANGE SOLUTIONS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,324117,Provisions E324,15/02/2023,4099988-68291,œ522.00,NORTHWEST RADIO COMMUNICATIONS LTD.
Neighbourhoods and Climate Change,Environmental Services,Construction work A908,908105,Construction work,15/02/2023,4099991-NH20224730840,œ500.00,NU-HEAT UK LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,15/02/2023,4099999-SI-35902,"œ2,920.00",PAKATAK LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,15/02/2023,4100001-1222969,œ575.83,PARK CIRCUS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,15/02/2023,4100001-1222976,œ664.25,PARK CIRCUS LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338045,Services,15/02/2023,4100080-1178970,"œ3,276.24",UNIVERSITY COLLEGE LONDON (UCL).
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,15/02/2023,4100529-I-23-6325461,"œ11,201.26",CRAMLINGTON HOUSE LTD.
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,15/02/2023,4100594-I-23-6325639,"œ2,317.71",EDEN COTTAGE CARE HOME LTD.
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,15/02/2023,4100676-I-23-6329168,"œ4,178.57",GALANOS HOUSE CARE HOME.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,425021,Rendered by Voluntary Organisations,15/02/2023,4101103-PIG_153598,"œ18,000.00",PARK BLUE HOMES LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,16/02/2023,4101392-VOUCHER22NB-GAMP009,"œ2,590.00",1ST AYCLIFFE BADEN POWELL SCOUT GROUP.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,336005,Advertising E336,16/02/2023,4101447-INV-1291,"œ3,630.00",BEYOND DIGITAL SOLUTIONS LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384906,Miscellaneous Expenses,16/02/2023,4101517-RES-02-2023-305,œ800.00,TOGETHER LEARNING PARTNERSHIP (CLEVES CROSS PRIMARY SCHOOL).
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384906,Miscellaneous Expenses,16/02/2023,4101518-RES-02-2023-283,œ800.00,TOGETHER LEARNING PARTNERSHIP (ROSA STREET PRIMARY SCHOOL).
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384237,Miscellaneous Expenses,16/02/2023,4101522-1016480,œ875.00,CONCEPT 2 LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384237,Miscellaneous Expenses,16/02/2023,4101522-1016481,œ875.00,CONCEPT 2 LTD.
Regeneration Economy and Growth,Transport and Contracted Services,Supplies and Services,332029,Printing Stationery and Gen Off Exps,16/02/2023,4101552-64,œ600.00,DURHAM POINTERS.
Resources BK0010,Digital Services,Supplies and Services,342033,Computers and Communications,16/02/2023,4101586-790851,œ648.00,GETECH LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,16/02/2023,4101621-2023-I1,"œ1,174.40",JEZ LOWE & THE BAD PENNIES (THEATRE SUPPLIER).
Neighbourhoods and Climate Change,Environmental Services,Construction work A908,908105,Construction work,16/02/2023,4101683-156406,œ570.00,NATURAL ENGLAND.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,16/02/2023,4101733-VOUCHER20AB-CHES014,"œ5,780.00",RED SKY FOUNDATION.
Neighbourhoods and Climate Change,Community Protection,Supplies and Services,304999,Equipment and Materials,16/02/2023,4101747-9113057935,"œ1,148.60",SARTORIUS UK LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,16/02/2023,4101817-RES-02-2023-356,"œ4,125.60",VIV LEWIS T/A ASHBANK FARM.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,372009,Subscriptions E372,16/02/2023,4101821-E187711384,"œ2,579.12",WARRINGTONFIRE TESTING & CERTIFICATION LTD T/A BM TRADA.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,17/02/2023,4101862-313-101-541,œ577.51,AYMAN HOSPITALITY LTD T/A HAYAT EXPRESS HOTEL.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,17/02/2023,4101862-595-935-012,œ577.51,AYMAN HOSPITALITY LTD T/A HAYAT EXPRESS HOTEL.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,17/02/2023,4101862-600-948-644,œ577.50,AYMAN HOSPITALITY LTD T/A HAYAT EXPRESS HOTEL.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,17/02/2023,4101862-929-541-982,œ742.46,AYMAN HOSPITALITY LTD T/A HAYAT EXPRESS HOTEL.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384237,Miscellaneous Expenses,17/02/2023,4101930-1016482,œ875.00,CONCEPT 2 LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,364501,Grants to Voluntary Organisations,17/02/2023,4101967-IR4558,"œ1,000.00",FRAMPTON & ROEBUCK LTD.
Resources BK0010,Digital Services,Supplies and Services,344132,Telephones,17/02/2023,4102000-00004606054,œ683.56,HYTEK GB LTD.
