Body Name,Service Area Categorisation,,,,,,Category,Narrative
Police and Crime Commissioner for Derbyshire ,Police Services,Barclaycard,9036656,45604,41646.68,Misc Expenditure,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Home Office Accounting Officer,7179228,45608,41170.85,Fees - Provision of Telecommunications Data,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,7179213,45608,40309.43,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7179352,45614,37920.62,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7178926,45600,8527.15,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7178926,45600,16420,Vehicle Recovery - Scrapped,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7178926,45600,9896.5,Vehicle Recovery - Auctioned,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derby City Council,7179095,45608,34128.28,Consultants Fees,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,7179223,45608,33064.68,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7179088,45608,30507,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7178908,45597,4852.63,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7178908,45597,16279,Vehicle Recovery - Scrapped,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7178908,45597,8631,Vehicle Recovery - Auctioned,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Ignite Consulting Ltd,7179496,45621,28758.62,Consultants Fees,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Europa Electrical Limited,7179318,45610,28421.95,Repairs & Maintenance - Electrical,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Dams Furniture LTD,7178649,45601,27883.99,Equipment General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derby City Mission,7178903,45600,26981.13,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7179830,45624,26782.47,Infrastructure Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire Fire and Rescue Service,7179392,45617,25584,Rents General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Eagle Security Systems Ltd,7179623,45622,24960,Payments to Main Contractor,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Honeycomb Charitable Services T/A GLOW,7178877,45600,24879.75,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7179833,45624,22664.100000000002,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Honeycomb Charitable Services T/A GLOW,7179031,45608,22419.5,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Softcat Ltd,7179162,45610,22143.36,Medical Statements,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Heanor Parish Salcare,7178808,45600,21999.75,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Honeycomb Charitable Services T/A GLOW,7179374,45610,21872.55,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Goodyear Dunlop Tyres Ltd,7179142,45607,21742.15,Tyres,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,TET Ltd,7179443,45611,21278.97,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7179087,45608,21000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7175182,45607,20887,Partnerships,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7174512,45611,19295.5,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Heanor Parish Salcare,7178807,45600,19214.5,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Brake,7179371,45610,19039,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,ViaSat UK Limited,7176189,45600,18747,Hardware - Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Essex,7178863,45597,17964.52,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,HMRC,9036654,45604,17935.68,Scheme Pays Tax Charges - 1987 Scheme,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AJ Engineering Services Ltd,7178961,45603,17483.77,Commissioning / De Commissioning,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AJ Engineering Services Ltd,7179291,45609,17483.77,Commissioning / De Commissioning,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AJ Engineering Services Ltd,7179293,45609,17483.77,Commissioning / De Commissioning,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Victim Support,7179379,45610,17192,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7178915,45600,16351.4,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,LA International Computer Consultants Ltd,7179429,45618,15425.54,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cintra Limited,7179017,45603,14256.56,Interpreters,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Chesterfield Borough Council,7178057,45602,14233.93,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SoftwareONE UK Ltd,7178859,45602,14156.26,Productivity Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SoftwareONE UK Ltd,7179844,45624,12981.44,Productivity Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,PS Administration Limited T/A XPS Administration,7179305,45624,12922.83,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,BT Payment Services Ltd,7179269,45610,12512.52,Circuits,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Supporting Victims of Sexual Violence Ltd,7178995,45607,12500,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Link Treasury Services Ltd T/A Link Asset Services,7179217,45623,12450,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Clarity Travel Limited,7178883,45601,12313.05,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,HMCTS-East Midlands Regional Confiscation Unit,3068835,45611,12214,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,HMCTS-East Midlands Regional Confiscation Unit,3068804,45604,11914,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Castle Water Limited,7178109,45623,11431.98,Water Charges,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Telefonica O2 UK Limited,7179422,45614,11415.22,Mobile Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,High Peak Borough Council,7178710,45608,11236.67,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Castle Water Limited,7179077,45623,10900.78,Water Charges,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Erewash Borough Council,7179280,45610,10748.24,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7179587,45617,10659.42,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Clarity Travel Limited,7179606,45618,9682.54,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7178960,45600,9660,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7179860,45624,9493.13,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Europa Electrical Limited,7179384,45615,9430.92,Payments to Main Contractor,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7179588,45617,9247.64,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Landscapes Ltd,7178735,45617,9105.36,Grounds - Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7179304,45609,9018.35,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire Fire and Rescue Service,7178799,45602,8501.88,Rents General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7178981,45608,8482.88,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Supporting Victims of Sexual Violence Ltd,7178996,45607,8325.58,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Bolsover District Council,7179378,45610,8268.29,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7179448,45615,8121.349999999999,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Eagle Security Systems Ltd,7178691,45615,8082,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Indeed Ireland Operations Ltd,7178625,45597,8000,Recruitment & Selection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,7179739,45622,7780.67,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Overton Electrical Services Limited,7178397,45608,7750.24,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottingham Pest Control Ltd,7179518,45615,7740.82,Pest Control,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Stobuild Limited,7179252,45611,7709.73,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7179171,45608,7706.14,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Experian Limited,7178931,45602,7585.23,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,HMCTS-East Midlands Regional Confiscation Unit,3068803,45604,7474,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Specialist Fraud Investigation Training & Consultancy Ltd,7179340,45611,7453.42,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Eagle Security Systems Ltd,7179561,45617,7210,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Europa Electrical Limited,7179727,45622,6936.82,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,DYSE Ltd,7179054,45611,6773.44,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Attenborough Doors Ltd,7179655,45618,6687,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cintra Limited,7179033,45603,6587.04,Interpreters,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Rapid Secure Limited,7178551,45607,6215,Boarding-Up Premises,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Attenborough Doors Ltd,7179656,45622,6136,Payments to Main Contractor,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Power Control Ltd (PCL),7178930,45601,5793,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7179627,45621,5594.18,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,ACS Business Supplies Ltd,7179110,45607,5530.07,Printing and Stationery - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Europa Electrical Limited,7179386,45615,5525.69,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Criterion A Psychology Services Ltd,7179086,45603,5400,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7179166,45608,5388.99,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7179645,45622,5309.99,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Engineering Services Design Limited,7178873,45597,5125,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,ACS Business Supplies Ltd,7177744,45624,362.28,Equipment - General,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,ACS Business Supplies Ltd,7177744,45624,129.2,Materials - Consumable,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,ACS Business Supplies Ltd,7177744,45624,4617.65,Printing and Stationery - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7179427,45617,5090,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Hollington Parish Council,7179372,45610,5000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Quadient Finance UK Limited,3068806,45607,5000,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Quadient Finance UK Limited,3068865,45621,5000,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,NHS England,7177858,45610,5000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cubic Transportation Systems (ITMS) Limited,7178662,45615,4995,Equipment - Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SAS Water Ltd,7179441,45617,4933.5,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Durham Police and Crime Commissioner,7179149,45616,4840,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
