Body Name,Service Area Categorisation,Supplier Name,Transaction Number,Date,Amount,Expenses Type,Category,Narrative
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Northumbria,7173284,45442,162691.69,Equipment - General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Northumbria,7173284,45442,1100,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mayor's Office for Policing and Crime,7172991,45432,225658.59,Borrowed Officers,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Mayor's Office for Policing and Crime,7172991,45432,5970,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Merseyside,7172607,45426,142038.2,Borrowed Officers,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Merseyside,7172607,45426,18187.15,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Merseyside,7172607,45426,11145.7,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7172380,45419,132197.77,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derby City Council,7173205,45436,129575,Child Protection Contribution (DCC),C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Shared Services Connected Limited,7172190,45419,119023.82,National Police IT Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,The Elm Foundation,7172630,45422,118637.25,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Avon and Somerset,7172691,45426,100104.36,Borrowed Officers,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Avon and Somerset,7172691,45426,9395.58,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Allstar Business Solutions Ltd,7172339,45421,102359.53,Police Vehicle Fuel,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Allstar Business Solutions Ltd,7172339,45421,7.16,"Travel Misc (Car parking,Taxis etc)",A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Bluelight Commercial Limited,7172862,45428,95812.13,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,SocialSignLn Ltd,7173050,45435,84452,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Care and Custody Limited,7172296,45419,80949.01,Medical Care of Prisoners,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Government Security Group Cabinet Office,7170610,45427,79027.9,Equipment - General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7172792,45432,66709,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7172633,45421,65214,Recovery of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7172781,45425,60690.54,Vehicle Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,MILITEC Ltd,7172318,45415,57592,Equipment General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7172606,45421,56528,Recovery of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Softcat Ltd,7171717,45413,55410.73,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Bluelight Commercial Limited,7172302,45413,55080.54,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Colliers International,7172872,45428,51732.75,Rents General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7171945,45426,46084.62,Consultants Fees,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,LexisNexis Butterworths,7172277,45415,45400,Subscriptions General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Nutwell Logistics Limited,7172953,45429,37950,Equipment - General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7173335,45443,37662.62,Misc Expenditure,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7173269,45442,36495.79,Repairs & Maintenance - Mechanical,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Colliers International,7172942,45440,35142.53,Electricity,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police Service of Northern Ireland,7172316,45414,34025,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7173045,45441,33733.75,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7173084,45435,33480,Hardware Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7172382,45419,32353.14,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire Neighbourhood Watch Trust Association,7172374,45419,30450,Partnerships,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Thames Valley,7172394,45419,29324.25,Borrowed Officers,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Virgin Media Business,7172533,45419,29146.84,Circuits,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Barclay Card,9034730,45420,29107.63,Misc Expenditure,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7173268,45441,24560.51,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067809,45433,23885.63,Purchase of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067809,45433,55,VEL / Veh Registration Fee,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067807,45433,23885.63,Purchase of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067807,45433,55,VEL / Veh Registration Fee,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067810,45433,23885.63,Purchase of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067810,45433,55,VEL / Veh Registration Fee,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067811,45433,23885.63,Purchase of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067811,45433,55,VEL / Veh Registration Fee,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067812,45433,23885.63,Purchase of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067812,45433,55,VEL / Veh Registration Fee,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067808,45433,23885.63,Purchase of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067808,45433,55,VEL / Veh Registration Fee,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067806,45433,23885.63,Purchase of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Motus Group t/a Pentagon Derby,3067806,45433,55,VEL / Veh Registration Fee,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Honeycomb Charitable Services T/A GLOW,7172217,45422,23597.5,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,JML Software Soluitions Limited,7172473,45419,22580,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cubic Transportation Systems (ITMS) Limited,7172206,45413,21607.73,Equipment - Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7172346,45415,9932,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7172346,45415,11223,Vehicle Recovery - Scrapped,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Borer Data Systems Ltd,7173162,45442,20895,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,West Yorkshire Police,7172702,45426,20629.05,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Rural Action Derbyshire,7172803,45426,20000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Pidcock and Beastall Ltd,7172931,45429,19697.72,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Truvelo (UK) Limited,7172049,45435,17990,Misc Expenditure,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7172766,45426,17950.219999999998,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Victim Support,7172791,45426,17192,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Bluelight Commercial Limited,7172332,45421,16492.18,Infrastructure Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7172388,45415,2983.75,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7172388,45415,9762,Vehicle Recovery - Scrapped,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7172388,45415,3370,Vehicle Recovery - Auctioned,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7173034,45433,15351,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Clarity Travel Limited,7172883,45429,15326.82,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police Superintendents Association Ltd,7172830,45441,14889,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AJ Engineering Services Ltd,7173310,45442,14825.15,Commissioning / De Commissioning,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Goodyear Dunlop Tyres Ltd,7172349,45413,14656.25,Tyres,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,7173141,45443,14621.099999999999,Recruitment & Selection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,LA International Computer Consultants Ltd,7172930,45428,14361.72,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Hallamshire Heating & Air Conditioning Co Ltd,7173252,45442,14345,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Konica Minolta Business Solutions,7173093,45435,14326.02,Photocopiers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cintra Limited,7172459,45419,13713.19,Interpreters,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,QA Limited,7173111,45435,13570,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7172570,45420,13470,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Stobuild Limited,7173081,45436,13271.81,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Solon Security Ltd,7171160,45427,13050,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cintra Limited,7172456,45419,12874.55,Interpreters,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Supporting Victims of Sexual Violence Ltd,7172401,45421,12500,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7172352,45413,12367.57,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Colliers International,7172749,45425,12000,Rents General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Hallamshire Heating & Air Conditioning Co Ltd,7172358,45419,11803.79,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7173046,45441,11662.58,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Telefonica O2 UK Limited,7172885,45427,11271.89,Mobile Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Tour Construction Ltd,7172500,45421,11057.94,Payments to Main Contractor,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,United Kingdom Accreditation Service,7172790,45429,11028.75,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SoftwareONE UK Ltd,7172927,45429,10869.19,Productivity Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Europa Electrical Limited,7172722,45426,10474.54,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Clarity Travel Limited,7172408,45419,10076.15,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Heating & Process Engineering Services Ltd,7172622,45426,10053.76,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7173175,45436,9450.91,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,7172403,45421,9372.5,Recruitment & Selection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7172834,45426,9133.23,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7172351,45413,9042.65,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7172903,45433,8802.39,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Overton Electrical Services Limited,7172604,45428,8762.24,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7173258,45442,8482.36,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Supporting Victims of Sexual Violence Ltd,7172400,45421,8325.58,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7172762,45426,8186.84,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Sanber Ltd,3067790,45429,8138.2,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Make Consulting Limited,7172797,45426,7794.4,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire Fire and Rescue Service,7172435,45419,7695.37,Rents General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Eagle Security Systems Ltd,7172733,45427,7551,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,7172631,45426,6994.83,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Rapid Secure Limited,7172997,45435,6850,Boarding-Up Premises,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,7173072,45434,6752.31,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7172799,45425,6422.42,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Hallamshire Heating & Air Conditioning Co Ltd,7173198,45442,6271.52,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7172822,45427,6185.57,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7173117,45435,5985.42,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
