BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Fred Camm Recovery Ltd,Transport Operations And Logistics,11753338,45296,295
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Fred Camm Recovery Ltd,Transport Operations And Logistics,11755440,45296,88.2
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Fred Camm Recovery Ltd,Transport Operations And Logistics,11755448,45296,275
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11755453,45296,265.2
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Leeds Commercial Limited,Fleet Hire And Purchase Financing,11756576,45310,306.73
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Leeds Commercial Limited,Fleet Hire And Purchase Financing,11756576,45310,-68.95
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11756577,45321,206.51
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11756579,45316,32
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11756581,45295,1410
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11756582,45308,384.83
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Fred Camm Recovery Ltd,Transport Operations And Logistics,11756612,45296,295
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Insight Direct (Uk) Ltd,Technology,11756653,45307,131.99
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Road Tech Computer Systems Ltd,Transport Operations And Logistics,11756680,45321,385.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Road Tech Computer Systems Ltd,Transport Operations And Logistics,11756768,45321,8
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Classic Lifts Ltd,Repair And Maintenance,11756773,45309,25
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Classic Lifts Ltd,Repair And Maintenance,11756776,45309,37.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",British Gas,Energy,11757982,45300,183.07
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11758063,45302,1784.52
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Lyndhurst Cooling & Heating Services Ltd,Repair And Maintenance,11758726,45295,3330
