BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Da Languages Ltd,Translation & Interpretation,11658091,45188,54.45
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Da Languages Ltd,Translation & Interpretation,11658097,45194,1242.45
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11658365,45184,243.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11658595,45181,52.43
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11658596,45181,290.94
Rotherham Metropolitan Borough Council,Regeneration & Environment,Mobile Hose Services Ltd,Property Repair Materials,11658606,45181,135
Rotherham Metropolitan Borough Council,Regeneration & Environment,Mobile Hose Services Ltd,Property Repair Materials,11658607,45181,142
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11658844,45181,63.15
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Sheffield Royal Society For The Blind,Supporting Minorities & Communities,11658886,45175,10416.67
Rotherham Metropolitan Borough Council,Finance & Customer Services,Softcat Ltd,Technology,11658901,45180,552
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Grant And Anne Kangley,Hotel Accommodation & Conferencing,11658936,45203,2755
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11659440,45177,3463.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,Morrison Fs Ltd (Facilities Management),Repair And Maintenance,11659447,45188,441.52
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Hsl Compliance Ltd,Repair And Maintenance,11659640,45183,119
Rotherham Metropolitan Borough Council,Regeneration & Environment,Mobile Hose Services Ltd,Property Repair Materials,11659659,45181,290
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Insight Direct (Uk) Ltd,Technology,11659683,45188,182.14
Rotherham Metropolitan Borough Council,Finance & Customer Services,Insight Direct (Uk) Ltd,Technology,11659686,45201,48258.32
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Community Accord,Supporting People - Mediation,11659810,45175,5600
Rotherham Metropolitan Borough Council,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11664486,45181,1775.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11664487,45181,1597.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Q-Free (Bristol) Uk Ltd,Street Lighting Materials,11664640,45182,2094
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Insight Direct (Uk) Ltd,Technology,11664641,45180,117975.07
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Hopwells Ltd,Food And Drink,11664648,45183,631.63
Rotherham Metropolitan Borough Council,Finance & Customer Services,Dna Legal,Legal Services,11664694,45180,294.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Culligan (Uk) Ltd,Food And Drink,11664775,45198,15.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11664840,45180,7288.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11664841,45175,4662.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11664843,45175,6760.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11664911,45181,70.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11664912,45181,14.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11664913,45181,41.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,Srcl Ltd,Waste Disposal Inc Skip Hire,11665542,45194,18
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11665545,45184,1350.53
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11665551,45180,123
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11665552,45180,209.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11665553,45180,113.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11665554,45180,127.11
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11665555,45180,190.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11665556,45180,133.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11665557,45180,92.53
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667449,45180,113.54
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667450,45180,177.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667454,45180,79.72
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667455,45180,86.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667456,45180,195.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667457,45180,225.03
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667458,45180,76.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667459,45180,105.62
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667460,45180,141.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667461,45180,106.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667462,45180,522.95
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aws Landscapes Ltd T/A Pte,Repair And Maintenance,11667463,45180,944.08
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Prism Medical Uk Ltd,Lifts And Adaptation,11667507,45177,20473.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Armstrong Priestley,Security,11667578,45202,297.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11667617,45184,47
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11667620,45187,77.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11667622,45187,49.28
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11667623,45187,45.59
Rotherham Metropolitan Borough Council,Regeneration & Environment,Stag Security,Security,11668315,45180,864
Rotherham Metropolitan Borough Council,Regeneration & Environment,Armstrong Priestley,Security,11668392,45202,325
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cid Trading Ltd,Road Markings And Traffic Management,11668394,45190,400
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11668404,45181,58.2
