BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,VALUE
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Yorkshire Purchasing Organisation,Stationery Furniture & It Consumables,11641551,45261,349.5
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Insight Direct (Uk) Ltd,Technology,11641742,45236,-1348.5
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Insight Direct (Uk) Ltd,Technology,11641743,45250,-42041.34
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Insight Direct (Uk) Ltd,Technology,11641744,45236,48841.82
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",British Gas,Energy,11647344,45254,81.43
Rotherham Metropolitan Borough Council,Regeneration & Environment,Health Management Ltd,Training Services,11649188,45239,1950
Rotherham Metropolitan Borough Council,Regeneration & Environment,Health Management Ltd,Training Services,11649191,45239,550
Rotherham Metropolitan Borough Council,Regeneration & Environment,Health Management Ltd,Training Services,11649193,45239,3250
Rotherham Metropolitan Borough Council,Regeneration & Environment,Health Management Ltd,Training Services,11649194,45239,1100
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J North Ltd,Road Markings And Traffic Management,11653569,45245,6230.73
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Wrixon Security Services Ltd,Taxi Mini Bus Coach Operations,11653652,45243,1471.5
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654712,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654714,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654716,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654718,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654719,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654720,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654721,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654722,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654723,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654724,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654725,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654726,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654728,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654729,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654730,45244,-173.84
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Tusker Direct,Fleet Hire And Purchase Financing,11654732,45244,-173.84
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Da Languages Ltd,Translation & Interpretation,11658098,45253,1424.61
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Da Languages Ltd,Translation & Interpretation,11658104,45253,463.32
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Cygnet (Nw) Ltd,Supporting People - Mental Health,11658377,45243,2353
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Yorkshire Purchasing Organisation,Stationery Furniture & It Consumables,11658921,45243,38.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Insight Direct (Uk) Ltd,Technology,11659671,45252,171.72
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Insight Direct (Uk) Ltd,Technology,11659672,45252,159.38
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Insight Direct (Uk) Ltd,Technology,11659674,45252,214.49
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Insight Direct (Uk) Ltd,Technology,11659689,45250,52.41
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Insight Direct (Uk) Ltd,Technology,11659695,45252,217.09
Rotherham Metropolitan Borough Council,Finance & Customer Services,Insight Direct (Uk) Ltd,Technology,11659712,45250,315.97
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Insight Direct (Uk) Ltd,Technology,11659732,45265,315.97
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Insight Direct (Uk) Ltd,Technology,11659737,45250,539.13
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Insight Direct (Uk) Ltd,Technology,11659740,45250,67.59
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11668916,45265,712
Rotherham Metropolitan Borough Council,Regeneration & Environment,Apse,Licence & Professional Fees,11668950,45246,8680
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Providence Maintenance & Electrical,Repair And Maintenance,11669297,45237,408
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Gwb Harthills Llp,Legal Services,11676915,45257,502.18
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11677130,45257,458.83
Rotherham Metropolitan Borough Council,Finance & Customer Services,Cae Technology Services,Technology,11677941,45236,2209.78
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Housing Partners Limited,Licence & Professional Fees,11677948,45239,11995
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11678751,45244,180
Rotherham Metropolitan Borough Council,Finance & Customer Services,Idaq Ltd,Telecoms,11683824,45240,250
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11684196,45250,236
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11684203,45250,167
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11684216,45236,27.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Brytone Ltd,Catering Equipment,11684797,45243,111
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Da Languages Ltd,Translation & Interpretation,11684963,45253,1424.61
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Da Languages Ltd,Translation & Interpretation,11684964,45253,955.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,Liberty Church,Funding Contributions Or Grant,11685400,45238,643.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ian Routledge Consultancy Ltd,Traffic Management Services,11692622,45265,7970
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Oxford Diocesan Council For,Supporting People - Childcare Fees,11692888,45236,297.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11693263,45260,70
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Emergency Lighting And Accessories,11693461,45237,61.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Fire Alarm Maintenance Or Monitoring,11693461,45237,139.38
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Thriiver Limited,Training Services,11695104,45261,1490
Rotherham Metropolitan Borough Council,Central Services,Cae Technology Services,Technology,11695199,45245,25948.88
Rotherham Metropolitan Borough Council,Central Services,Stopford Information Systems Ltd,Technology,11698442,45264,-1650
Rotherham Metropolitan Borough Council,Regeneration & Environment,Insight Direct (Uk) Ltd,Technology,11699177,45265,5067.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Tms Consultancy,Training Services,11699309,45265,4800
Rotherham Metropolitan Borough Council,Regeneration & Environment,Terberg Matec U.K. Ltd,Vehicle Recovery Maintenance Repair,11699909,45261,186.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11700343,45238,637.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11700347,45238,958.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11700387,45240,2495.76
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Nec Software Solutions Uk Limited,Technology,11700958,45243,-67.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11701918,45238,35
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ng Bailey Facilities Services Limited,Repair And Maintenance,11701957,45236,459
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ng Bailey Facilities Services Limited,Repair And Maintenance,11701958,45244,1479.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ng Bailey Facilities Services Limited,Repair And Maintenance,11701959,45236,1935.36
Rotherham Metropolitan Borough Council,Regeneration & Environment,Terberg Matec U.K. Ltd,Vehicle Recovery Maintenance Repair,11702080,45261,167.45
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Insight Direct (Uk) Ltd,Technology,11703997,45250,54.81
Rotherham Metropolitan Borough Council,Finance & Customer Services,Ricoh Uk Ltd,"Printing , Photographic, Av Equipment & Supplies",11704013,45240,8900
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rightmove,Rent Lease & Property Management,11704030,45265,570
Rotherham Metropolitan Borough Council,Regeneration & Environment,Certas Energy Uk Limited,Fuel/Heating Oil,11704082,45237,-6401.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11705057,45236,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Peters Ltd,Books Periodicals And Journals,11705106,45236,1177.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,Peters Ltd,Books Periodicals And Journals,11705107,45238,1367.24
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11705227,45253,595
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11705228,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11705229,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11705230,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11705231,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11705232,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Hugh Steeper Ltd,New Build & Major Refurb Trades,11705241,45236,4529.41
Rotherham Metropolitan Borough Council,Regeneration & Environment,Health Management Ltd,Training Services,11705266,45239,535
Rotherham Metropolitan Borough Council,Regeneration & Environment,Fueltek Ltd,Repair And Maintenance,11705280,45247,684.03
Rotherham Metropolitan Borough Council,Regeneration & Environment,Brytone Ltd,Catering Equipment,11705583,45236,154
Rotherham Metropolitan Borough Council,Regeneration & Environment,Brytone Ltd,Catering Equipment,11705585,45236,120
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Hsl Compliance Ltd,Repair And Maintenance,11705588,45236,250
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Hsl Compliance Ltd,Repair And Maintenance,11705589,45237,250
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Hsl Compliance Ltd,Repair And Maintenance,11705590,45236,250
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11705845,45252,318
Rotherham Metropolitan Borough Council,Regeneration & Environment,Askews And Holts Library Services Ltd,Books Periodicals And Journals,11705956,45236,757.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11706190,45265,265.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11706191,45240,265.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11706200,45240,23396.3
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Together Emotional Wellbeing And,Supporting People - Adoptions,11706250,45236,750
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Together Emotional Wellbeing And,Supporting People - Adoptions,11706251,45236,550
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Together Emotional Wellbeing And,Supporting People - Adoptions,11706252,45236,425
Rotherham Metropolitan Borough Council,Regeneration & Environment,Peters Ltd,Books Periodicals And Journals,11706258,45238,107.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Peters Ltd,Books Periodicals And Journals,11706259,45238,32.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,Peters Ltd,Books Periodicals And Journals,11706260,45238,1176.27
Rotherham Metropolitan Borough Council,Regeneration & Environment,Askews And Holts Library Services Ltd,Books Periodicals And Journals,11706283,45236,901.91
Rotherham Metropolitan Borough Council,Regeneration & Environment,Askews And Holts Library Services Ltd,Books Periodicals And Journals,11706284,45237,672.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,Brytone Ltd,Catering Equipment,11706288,45243,89
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Hsl Compliance Ltd,Repair And Maintenance,11707963,45236,250
Rotherham Metropolitan Borough Council,Regeneration & Environment,1St Security Solutions Ltd,Security,11708034,45237,1130
Rotherham Metropolitan Borough Council,Regeneration & Environment,Askews And Holts Library Services Ltd,Books Periodicals And Journals,11708048,45237,12.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11708092,45265,2887.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11708094,45236,343.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11708096,45236,637.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11708098,45237,293.05
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11708099,45238,605.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11708103,45246,-4.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11708107,45246,-13.82
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11708108,45246,-7.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11708118,45246,-9.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11708121,45246,-65.34
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Advocacy For All,Comprehensive Health Services,11708135,45258,187.65
Rotherham Metropolitan Borough Council,Central Services,Cae Technology Services,Technology,11708137,45245,78836.17
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Prism Medical Uk Ltd,Lifts And Adaptation,11711330,45250,285
Rotherham Metropolitan Borough Council,Regeneration & Environment,Terberg Matec U.K. Ltd,Vehicle Recovery Maintenance Repair,11711452,45261,200.52
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711546,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711547,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711548,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711549,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711550,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711551,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711552,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711553,45257,180
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neil Hutton,Removal Services,11711554,45244,180
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ace Janitorial Supplies Ltd,Ppe Tools And Janitorial Supplies,11711802,45238,448.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ace Janitorial Supplies Ltd,Ppe Tools And Janitorial Supplies,11711803,45238,775.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11711804,45236,320.91
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11711805,45236,293
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11711806,45236,548.56
Rotherham Metropolitan Borough Council,Finance & Customer Services,Idaq Ltd,Telecoms,11711826,45240,250
Rotherham Metropolitan Borough Council,Finance & Customer Services,Vodafone Ltd,Telecoms,11711845,45239,122.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,Peters Ltd,Books Periodicals And Journals,11711862,45238,50.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,Pulse First Aid Training Solutions Ltd,Training Services,11711863,45257,785
Rotherham Metropolitan Borough Council,Finance & Customer Services,Vodafone Ltd,Telecoms,11711923,45239,2413.53
Rotherham Metropolitan Borough Council,Central Services,Ics Ai Ltd,Technology,11712026,45239,2826.5
Rotherham Metropolitan Borough Council,Central Services,Allpay Ltd,Technology,11712104,45243,63
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Allpay Ltd,Technology,11712104,45243,2611.11
Rotherham Metropolitan Borough Council,Finance & Customer Services,Allpay Ltd,Technology,11712104,45243,3268.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11712918,45240,22.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,B & B Press (Parkgate) Ltd,Printing Services,11713229,45252,62
Rotherham Metropolitan Borough Council,Regeneration & Environment,Questech Recruitment Ltd,Agency Staff Services,11713234,45258,954
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11713324,45252,400
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11713325,45238,96
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11713329,45247,195.06
Rotherham Metropolitan Borough Council,Central Services,31Ten Consulting Ltd,Consultancy,11713344,45238,13191.66
Rotherham Metropolitan Borough Council,Finance & Customer Services,Vodafone Ltd,Telecoms,11713345,45239,-6582.95
Rotherham Metropolitan Borough Council,Finance & Customer Services,Vodafone Ltd,Telecoms,11713351,45239,-3718.71
Rotherham Metropolitan Borough Council,Finance & Customer Services,Vodafone Ltd,Telecoms,11713352,45239,-6840.59
Rotherham Metropolitan Borough Council,Regeneration & Environment,Findlays Electrical Ltd,Repair And Maintenance,11713605,45236,525
Rotherham Metropolitan Borough Council,Finance & Customer Services,Vodafone Ltd,Telecoms,11713627,45239,7868.65
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Grant And Anne Kangley,Hotel Accommodation & Conferencing,11713642,45253,840
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Grant And Anne Kangley,Hotel Accommodation & Conferencing,11713643,45253,3900
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11713777,45246,343.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11713784,45252,982.28
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11713785,45265,2887.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11713787,45246,343.85
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Sheffield Royal Society For The Blind,Supporting Minorities & Communities,11713878,45236,10416.67
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11718118,45240,5600
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ajp Logistics Ltd,Traffic Management Services,11718183,45240,1280
Rotherham Metropolitan Borough Council,Regeneration & Environment,Billingley Christmas Trees Limited,Landscaping,11718203,45239,175
Rotherham Metropolitan Borough Council,Regeneration & Environment,Billingley Christmas Trees Limited,Landscaping,11718203,45239,5875
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Da Languages Ltd,Translation & Interpretation,11718242,45244,628.23
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Da Languages Ltd,Translation & Interpretation,11718253,45253,3157.19
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Neater Solutions Ltd,Catering Equipment,11718308,45237,3167
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ace Janitorial Supplies Ltd,Ppe Tools And Janitorial Supplies,11718412,45238,169.5
Rotherham Metropolitan Borough Council,Finance & Customer Services,Cae Technology Services,Technology,11718429,45251,2103.53
Rotherham Metropolitan Borough Council,Finance & Customer Services,Cae Technology Services,Technology,11718430,45251,746.56
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Arden Winch & Co Ltd,Ppe Tools And Janitorial Supplies,11718435,45240,13.46
Rotherham Metropolitan Borough Council,Finance & Customer Services,Ricoh Uk Ltd,"Printing , Photographic, Av Equipment & Supplies",11720191,45247,214.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Permiserv Ltd,Stationery Furniture & It Consumables,11720239,45243,533.17
Rotherham Metropolitan Borough Council,Regeneration & Environment,Bloom Procurement Services Ltd,New Build & Major Refurb Trades,11720243,45236,40736.84
Rotherham Metropolitan Borough Council,Regeneration & Environment,Permiserv Ltd,Stationery Furniture & It Consumables,11720244,45243,113.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,Greenhalgh Kerr,Licence & Professional Fees,11720245,45245,140
Rotherham Metropolitan Borough Council,Regeneration & Environment,Greenhalgh Kerr,Licence & Professional Fees,11720246,45245,367.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,South Yorkshire Mayoral,Levy Charges Or Fees,11720247,45236,17603.95
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720326,45236,351.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720327,45236,4.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720328,45236,6.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720329,45236,261.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720330,45236,598.56
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720331,45236,4.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720333,45236,6.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720338,45236,458.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720340,45236,652.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720342,45236,4.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720344,45236,6.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720346,45236,459.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720347,45236,209.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720349,45236,4.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720351,45236,6.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11720357,45252,467.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720359,45236,599.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720360,45236,4.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,Veolia Es (Uk) Limited,Waste Disposal Inc Skip Hire,11720362,45236,6.33
