Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Limited,45274,345705.9
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45258,331851.16
People,Community Health and Adult Social Care,Director Adult Social Care,Director Adult Social Care,Payments To Carers/Volunteers/Providers,Northern Care Alliance NHS Foundation Trust,45225,300000
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Action Together CIO,45282,300000
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Oldham Care & Support Ltd,45217,297577
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45208,290910.3
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45238,290785.7
People,Children´s Services,Preventative Services,Early Help,Services - Professional Fees,Positive Steps Oldham,45231,283630.1
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45282,279266.69
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45210,275246.59
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45282,263034.83
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45231,255076.82
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45280,253764.86
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45258,253164.22
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45237,252330.2
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45268,252330.2
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45203,252295.24
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45258,251326.69
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45274,243911.78
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45244,243711.21
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45258,243497.04
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45217,238649.54
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45274,237404.26
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45280,237295
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45229,233874.23
People,Children´s Services,Preventative Services,Targeted Youth,Grants,Positive Steps Oldham,45216,233500
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Imagine Act & Succeed,45209,216163.2
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45258,208483.14
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45281,207358.2
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45217,207113.68
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45258,204187.3
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45267,199355.39
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,TNP Ltd,45257,196369.66
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Tarmac Trading Ltd,45252,191040.82
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45217,188611.8
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45244,185355.54
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45267,184487.21
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45236,179576.94
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45274,173000.62
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45217,170317.77
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45272,169351.23
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45229,161979.91
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45267,159801.44
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,CarePoint HC Limited,45251,155153.5
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,CarePoint HC Limited,45274,154844
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45258,150950.24
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45230,150000
Place,Economy,Economy,Strategic Housing,PRS Advance Payment,CarePoint HC Limited,45216,149840.5
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Early Break,45219,149803.75
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45231,149342.19
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Action Together CIO,45209,146659.75
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Possibilities CIC,45217,145675.2
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Comfort Call Limited,45210,144108.8
Place,Strategic Highways,Capital - Transport,Capital - Trans - Fleet Management,Acquisition Of Vehicles,Aebi Schmidt UK Ltd,45236,142520
Place,Strategic Highways,Capital - Transport,Capital - Trans - Fleet Management,Acquisition Of Vehicles,Aebi Schmidt UK Ltd,45236,142520
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45282,136358.59
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Future Directions CIC,45267,135927.5
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45225,135500
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45257,135500
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45279,135500
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45260,132525
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45202,132200
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45224,132200
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Cromwood Housing Ltd,45252,132137.07
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45282,131678.12
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45233,129671.75
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45205,128673.95
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45267,128673.95
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Cromwood Housing Ltd,45229,127936.07
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Cromwood Housing Ltd,45232,124998.71
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45205,124523.18
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45268,124523.18
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45266,123940
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45246,121505.82
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45236,121376.41
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,MioCare Services Ltd,45229,121223.56
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45274,119016.15
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45275,117482.56
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45257,114556.71
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45244,113946.95
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45275,113946.95
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45211,113946.93
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45250,112530
Place,Strategic Highways,Capital - Transport,Capital - Trans - Miscellaneous,Construction - Main Contractor,Rowan Ashworth Ltd,45210,111624.67
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45231,111555.84
People,Children´s Services,Preventative Services,Targeted Youth,Services - Professional Fees,Positive Steps Oldham,45216,108250
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45230,107638.89
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45260,107638.89
People,Children´s Services,Children´s Social Care,Children in Care,Payments To Other Local Authorities,Bolton MBC,45236,105502.24
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45216,104210.55
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45252,102309.99
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45204,102120
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45258,97091.91
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45231,96835.23
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Services - Professional Fees,Govtech Solutions Ltd,45229,96184
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45231,95955
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Citizens Advice SORT Group,45271,94550
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Citizens Advice SORT Group,45275,94550
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45250,94450.18
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,Hopwood Hall College,45267,90946.35
Place,Economy,Economy,Property Management,Services - Professional Fees,Savills UK Limited,45237,89023.09
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45210,88490.65
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45260,87983.58
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,ICS Operations Limited,45275,86742.72
Place,Economy,Economy,Estates,Chief Rents,Tunstall Ream Propco Series 1 Limited (Vine Property Management LLP),45279,84844.5
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Other,Bloom Procurement Services Ltd,45215,82451
Place,Strategic Highways,Capital - Transport,Capital - Trans - Miscellaneous,Construction - Main Contractor,Rowan Ashworth Ltd,45282,82367.85
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Bloom Procurement Services Ltd,45236,81360
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45201,80833.35
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45231,80833.35
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45261,80833.35
Place,Strategic Highways,Capital - Transport,Capital - Trans - Miscellaneous,Construction - Main Contractor,Rowan Ashworth Ltd,45232,79666.43
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45231,79620.42
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Depaul Trust,45202,75060
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Depaul Trust,45203,75060
Place,Youth & Communities,Youth Services Client,Youth Services Client,Services - Payments To Contractors,Oldham Youth Zone T/A Mahdlo,45211,75000
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Zurich Insurance Co PLC,45225,75000
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,S Lord ta Kidz Matter Ltd,45278,73336.73
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45237,72140.48
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Future Directions CIC,45267,71271.2
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,The Hub Consulting Limited,45274,70617.07
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,Insight Direct (UK) Ltd,45258,70352.13
People,Children´s Services,Preventative Services,Early Help,Services - Professional Fees,Talk Listen Change (TLC),45231,70125
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Nugent Care,45257,69600
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Other,Bloom Procurement Services Ltd,45202,69333.62
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45233,68793.6
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45261,68793.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,ICS Operations Limited,45258,67612.04
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Swan Meadow Cottage Private Day Nursery,45278,65489.49
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Depaul UK,45260,65000
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Giggle And Grow Ltd Glodwick,45278,62351.85
People,Children´s Services,Capital - Schools,Capital - Schools New Build,Fees - Agency,Rowan Ashworth Ltd,45210,60577.91
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Tulip Community Care,45268,60059.4
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45209,59913.04
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd (105503),45267,57964.5
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Starfish Day Nursery Ltd,45278,56081.03
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45231,54763.5
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45231,54763.5
Place,Economy,Economy,Property Management,Services - Professional Fees,Savills UK Limited,45211,54293.77
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Giggle And Grow Ltd Glodwick,45278,54232.2
Place,Economy,Economy,Estates,Electricity,Community 1st Oldham (Chadderton) Ltd,45205,53632.44
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Oak Trust - Fir Bank Primary School,45278,53514.34
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45223,53513.97
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Nustart,45237,52907.7
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Our Childrens Generation,45264,52000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Nustart,45266,51201
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Oldham,45278,50974
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd (105503),45230,50874.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45233,50432.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45261,50432.8
Place,Economy,Economy,Estates,Electricity,Community 1st Oldham (Chadderton) Ltd,45209,50086.98
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Parenting Support,Home Start Oldham Ltd,45238,50000
Place,Economy,Economy,Facilities Management,Catering - Food,Ralph Livesey Ltd,45261,49475.98
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,IDOX Software Ltd,45265,49000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Esland Care,45257,48542.7
Place,Economy,Economy,Facilities Management,Catering - Food,Ralph Livesey Ltd,45203,46501.3
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Giggle & Grow Day Nursery Limited,45278,46373.52
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Swan Meadow Private Day Nursery Ltd,45278,45974.12
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Crawford & Company Adjusters (UK) Limited,45215,45000
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Crawford & Company Adjusters (UK) Limited,45253,45000
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Crawford & Company Adjusters (UK) Limited,45279,45000
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd (105503),45243,44936
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Buro Happold Ltd,45236,44925
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45246,44457.2
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Moorside Stars Nursery Ltd,45278,44174.6
Place,Economy,Economy,Estates,Water Services,Anglian Water Business (National) t/a Wave,45260,43877.06
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Education Premises,Construction - Main Contractor,GTM Electrical Services Ltd,45217,43761.77
Place,Economy,Economy,Estates,Water Services,Anglian Water Business (National) t/a Wave,45210,43662.84
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Play Grow and Learn Ltd t/a Buttercup Corner Day Nursery,45278,43344.68
Place,Strategic Highways,Capital - Transport,Capital - Trans - Accident Reduction,Construction - Main Contractor,Swarco UK & Ireland Ltd,45233,43133.26
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kibble Education and Care Centre,45237,42904
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Oldham Community Leisure Ltd,45223,42833.4
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45231,42330.51
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45231,42330.51
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kibble Education and Care Centre,45237,42299.5
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,S Lord ta Kidz Matter Ltd,45231,42178.3
