Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45133,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45134,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45139,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45148,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45152,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45155,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45155,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45161,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45161,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45173,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45180,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45183,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45194,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45194,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45196,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45196,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45196,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45197,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45197,1894.05
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Leaders in Care Recruitment Limited,45128,1892.67
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,CWD Community Independent Care,Optima Health and Social Care Ltd,45125,1892
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45183,1888.7
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45159,1888.42
Place,Economy,Economy,Estates,Corporate Security,Capricorn Media Protection Ltd,45136,1888
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,Taranto Systems Ltd,45131,1885.8
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45128,1885.71
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Platinum Stairlifts Ltd,45124,1885
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45110,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45141,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45147,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45147,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45162,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45162,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45182,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45190,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45195,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45196,1880.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Leaders in Care Recruitment Limited,45128,1879.23
People,Children´s Services,"Education, Skills & Early Years",Community / Adult Learning,Examination Expenses,Ascentis,45190,1876
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Consumables,Millgate Computer Systems Ltd,45145,1875.92
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45118,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45126,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45135,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45139,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45141,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45147,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45155,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45156,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45162,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45173,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45182,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45187,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45190,1875.19
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45196,1875.19
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Wray Communications Limited,45131,1875
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45119,1875
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45184,1875
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45184,1875
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45184,1875
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45195,1875
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45184,1875
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45184,1875
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45184,1875
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Services - Professional Fees,Prometheus Safe & Secure Ltd,45125,1875
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Timberplay Ltd,45160,1872.46
Place,Economy,Economy,Strategic Housing,HSF Payments - Homelessness,First Choice Homes Ltd (FCHO),45173,1868.96
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,JLA HVAC Ltd,45184,1867.43
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45110,1866.7
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Platinum Stairlifts Ltd,45148,1866.25
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Interpreter/Translation Services,D A Languages Ltd,45183,1862.1
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Platinum Stairlifts Ltd,45110,1861.25
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Platinum Stairlifts Ltd,45120,1861.25
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Home Learning Environment,This Creative Ltd,45188,1861
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,UPS Building and Maintenance Limited,45142,1860.4
Corporate Services,Corporate Services,Communications and Research,Communications and Research,Services - Professional Fees,New Image (Public Relations) Ltd,45147,1860
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Panoramic Associates Ltd,45134,1860
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Panoramic Associates Ltd,45177,1860
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45119,1859.17
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45135,1859.17
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45138,1859.17
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45173,1859.17
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45173,1858.42
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45124,1854.41
