Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45187,2606612.67
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45159,2326352.27
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45127,1974223.46
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45154,1405375.63
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45187,1402387.97
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45139,1399433.72
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45111,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45140,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45173,1050990
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45197,1038274.7
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45180,842155.16
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45112,813895.36
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45168,810022.36
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45176,785057.34
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Insight Direct (UK) Ltd,45173,779218.64
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45111,750279.25
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45174,749946.55
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45146,747146.96
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45196,600431.19
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45147,581027.74
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45159,550726.95
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45112,533664.5
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45169,498124.51
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45110,458881.06
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Ltd,45128,457979.97
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45167,450138.25
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45126,447316.49
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Ltd,45163,432084.07
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,ForHousing Ltd,45169,412435.69
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45134,411766.81
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45190,400877.98
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45113,366666.67
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45154,366666.67
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45177,366666.67
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45169,359748.22
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45142,336941.15
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45119,332195.08
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45195,330295.91
People,Community Health and Adult Social Care,Director Adult Social Care,Director Adult Social Care,Computing - Licences,Access UK Ltd,45188,306595.62
Place,Economy,Economy,Property Management,Premises Service Charges,Savills UK Limited,45170,303035.12
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45160,300442.58
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45167,299289.72
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Oldham Care & Support Ltd,45114,297577
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45169,285634.08
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45169,283904.27
People,Children´s Services,Preventative Services,Early Help,Services - Professional Fees,Positive Steps Oldham,45168,283630.1
People,Children´s Services,Preventative Services,Early Help,Services - Professional Fees,Positive Steps Oldham,45168,283630.1
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45169,279323.62
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45194,273022.97
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45145,269473.75
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45112,252330.2
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45159,252330.2
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Information Resources (Oldham) Ltd,45169,251739.7
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45112,249999
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45170,244581.49
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45160,242591.3
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45194,242417.54
People,Children´s Services,Preventative Services,Targeted Youth,Grants,Positive Steps Oldham,45174,233500
People,Children´s Services,Preventative Services,Targeted Youth,Grants,Positive Steps Oldham,45174,233500
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45197,226473.27
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45134,225900.88
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45125,222879.44
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Imagine Act & Succeed,45138,216163.2
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45135,215907.6
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Maintenance Agreements,Responsiv Solutions Ltd,45156,210000
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45126,205890.98
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45126,202749.48
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45170,200607.84
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45152,200237.65
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Kingfisher Learning Trust,45195,198144.38
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Limited,45189,194725.59
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45110,180669.31
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45195,180417.52
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45182,178881.38
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Infant Feeding Support,Home Start Oldham Ltd,45148,178000
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Leesbrook,45161,174942.14
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Harmony Trust Ltd T/A Greenhill Academy,45128,171877.72
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45125,171091.51
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45168,169778.2
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45183,163667.38
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Arthur J. Gallagher Insurance Brokers Limited,45181,162977.92
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45127,162619
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45170,161301.08
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45153,160864.13
People,Children´s Services,Capital - Schools,Capital - Schools - Secondary,Fees - Agency,Rowan Ashworth Ltd,45168,157561.29
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45112,152986.46
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45195,152725.41
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45190,150430.79
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45112,150000
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Early Break,45168,149803.75
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Early Break,45132,149803.75
Place,"Economic Development, Enterprise and Skills",Capital - Housing,Capital - Private Housing - Non-HMRF,Green Homes Grant (GHG),The Greater Manchester Combined Authority,45140,148419.66
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Action Together CIO,45139,146659.75
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45181,144193.96
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Comfort Call Limited,45134,144108.8
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Possibilities CIC,45146,142542.4
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,CarePoint HC Limited,45176,142484.5
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45140,140729.71
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45138,140600
People,Children´s Services,Preventative Services,Early Help,Services - Professional Fees,Talk Listen Change (TLC),45128,140250
Place,Environmental Services,Environmental Services,Street Lighting,Services - Payments To Contractors,E.ON Energy Solutions Ltd,45170,139399.41
People,Community Health and Adult Social Care,Commissioning,Commissioning,Aids And Appliances,Millbrook Healthcare Ltd,45149,139325.59
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Future Directions CIC,45133,137927.5
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45195,136663.38
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Future Directions CIC,45188,135927.5
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45133,135500
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45166,135500
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Payments to Greater Manchester Pension Fund re Added Years Benefit,Greater Manchester Pension Fund Tameside MBC,45195,135500
Place,Economy,Economy,Property Management,Premises Service Charges,Savills UK Limited,45170,134803.03
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45163,132400
People,Community Health and Adult Social Care,Learning Disability,Learning Disability,External Supported Living,Great Minds Together Limited,45181,132200
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust t/a Coppice Primary Academy,45135,129429.82
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Limeside,45128,128862.61
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45159,128673.95
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Cromwood Housing Ltd,45173,127868.07
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45169,126680.87
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Crompton House School,45126,126596
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,CarePoint HC Limited,45139,126382.5
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,Oldham College,45176,126000
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45111,125600
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Community 1st Oldham (Chadderton) Ltd,45180,124841.74
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,MioCare Services Ltd,45155,121223.56
People,Community Health and Adult Social Care,Director Adult Social Care,Director Adult Social Care,Services - Payments To Contractors,Carnall Farrar Limited,45140,121000
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Colas Ltd,45168,119704.46
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45126,118379.71
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Cromwood Housing Ltd,45124,116233.21
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Hathershaw College,45161,116228.83
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Cromwood Housing Ltd,45126,115726
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45126,113946.95
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45147,113946.95
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45168,113946.95
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45194,113946.95
People,Children´s Services,Capital - Schools,Capital - Schools - Secondary,Fees - Agency,Kier Construction Limited t/a Kier Construction – North & Scotland,45131,111585.12
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45195,111555.84
People,Children´s Services,Preventative Services,Targeted Youth,Services - Professional Fees,Positive Steps Oldham,45145,108250
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45148,107638.89
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45174,107638.89
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45196,107638.89
People,Community Health and Adult Social Care,Community Health & Social Care,Community Health & Social Care,External Supported Living,Keyring Living Support Networks,45187,103776.75
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,CarePoint HC Limited,45110,102861.5
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Broadfield Primary School,45128,100976.78
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Colas Ltd,45160,99213.08
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Clarksfield,45128,98416.65
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45195,96835.23
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45152,96401.35
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45126,95164.82
People,Children´s Services,Capital - Schools,Capital - Schools - Secondary,Fees - Agency,Rowan Ashworth Ltd,45197,94940.74
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45175,94751.28
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Citizens Advice SORT Group,45110,94550
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Nobilis Care West Limited,45154,93446.91
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,The Regenda Group,45198,92670
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Cranmer Education Trust TA Mayfield Primary School,45128,92395.82
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Werneth Primary (Academy),45128,90519.07
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Richmond Academy (The Harmony Trust),45128,87953.61
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45140,86830
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Services - Professional Fees,PA Consulting Services Ltd,45190,85627.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kibble Education and Care Centre,45152,85203.5
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust UK Ltd TA Freehold Community Primary Academy,45128,84870.17
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45126,83799.3
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Services - Professional Fees,PA Consulting Services Ltd,45141,83677.5
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Construction - Main Contractor,Tilbury Douglas Construction Ltd,45110,83024.04
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45188,82959.67
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Greenacres Primary Academy,45128,82810
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45162,82775.14
People,Community Health and Adult Social Care,Community Health & Social Care,Community Health & Social Care,External Supported Living,Keyring Living Support Networks,45187,82555
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45110,80833.35
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45141,80833.35
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45170,80833.35
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45132,78694.82
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Hathershaw College,45128,77931
Corporate Services,Corporate Services,Chief Executive,Partnership Support (Borough and GM),AGMA Services - OMBC Contribution,The Greater Manchester Combined Authority,45191,76468
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kedleston (High Peak School) Limited,45175,75966.67
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kedleston (Wood Grove Childcare) Limited,45145,75966.67
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45169,75636.39
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45154,75020
Place,Youth & Communities,Youth Services Client,Youth Services Client,Services - Payments To Contractors,Oldham Youth Zone T/A Mahdlo,45112,75000
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Public Liability Insurance,Crawford & Company Adjusters (UK) Limited,45152,75000
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Giggle And Grow Ltd Glodwick,45161,74865
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,The Regenda Group,45198,74197
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45167,72704.4
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Future Directions CIC,45133,72054.4
People,Community Health and Adult Social Care,Commissioning,Commissioning,External Supported Living,Future Directions CIC,45188,72054.4
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,ICS Operations Limited,45194,70146.31
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45131,69502.44
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45126,68592.31
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Action Together CIO,45110,67625
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Action Together CIO,45188,67625
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Giggle & Grow Day Nursery Limited,45161,67378.5
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Depaul UK,45152,65000
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust t/a Roundthorn Primary Academy,45128,64866
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45194,64090.08
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45195,62954.42
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Woodlands Primary Academy,45128,62663.02
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Swan Meadow Cottage Private Day Nursery,45161,61388.46
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Education Premises,Construction - Main Contractor,W H Good Ltd,45174,61374.17
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Age UK Oldham Ltd,45155,61282
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Starfish Day Nursery Ltd,45161,61179.3
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Ambrose Nursery Ltd,45161,60301.5
People,Community Health and Adult Social Care,Director Adult Social Care,Director Adult Social Care,Services - Professional Fees,Tameside MBC,45180,60000
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Education Premises,Construction - Main Contractor,W H Good Ltd,45174,59751
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45159,59478.6
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Northmoor Academy (The Harmony Trust Ltd),45128,59352.7
Place,Economy,Economy,Estates,Water Services,Anglian Water Business (National) t/a Wave,45132,59231.1
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45140,59229.92
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45177,59229.92
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Blue Coat School Fund,45128,57613
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd,45153,57585
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Littlemoor Primary School,45128,57435.14
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Leesbrook,45128,57401
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,NHS Greater Manchester Integrated Care,45174,56763
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Oak Trust - Fir Bank Primary School,45128,56570.02
Corporate Services,Corporate Services,Capital - IT,Capital - IT,Computer Software,MioCare Services Ltd,45110,56000
Place,Economy,Economy,Facilities Management,Catering - Food,Brake Bros Foodservice Limited,45112,55826.96
Place,Environmental Services,Capital - Environment,Capital - Env - Parks,Construction - Main Contractor,Rowan Ashworth Ltd,45174,53841.63
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd,45133,53108.5
Place,Environmental Services,Capital - Environment,Capital - Env - Parks,Construction - Main Contractor,Rowan Ashworth Ltd,45160,52319.78
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,S Lord ta Kidz Matter Ltd,45161,51767.1
Place,Economy,Economy,Estates,Electricity,Community 1st Oldham (Chadderton) Ltd,45152,49645.77
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Softcat Limited,45125,49637.88
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Consumables,Insight Direct (UK) Ltd,45138,48872
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Cameo Ltd,45133,48384
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,E-ACT Royton & Crompton Academy,45128,47377
Place,Economy,Economy,Estates,Electricity,Community 1st Oldham (Chadderton) Ltd,45136,46621.06
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,EACT (Edutrust Academies Charitable Trust),45128,46456
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Swan Meadow Private Day Nursery Ltd,45161,46328.94
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust (UK) Ltd TA Lyndhurst Primary School,45126,46048
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Waterhead Academy,45140,45436
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,The Oak Trust - Thorp Primary School,45140,45318.32
