Payment Date,Description,Gross Amount,Supplier Name
09-Feb-23,Services and Legal Expenses,"£4,135.20",Redacted
 02-Feb-23,Uniform and Clothing,"£4,074.34",Cooneen Defence Limited
 23-Feb-23,Forensic Fees - General,"£4,012.80",Redacted
 16-Feb-23,Purchase of Police Dogs,"£4,000.00",Redacted
 16-Feb-23,S/W Licences,"£3,970.12",Oracle Corporation Uk Ltd
 28-Feb-23,Services and Legal Expenses,"£3,953.55",Commercial Card
 16-Feb-23,S/W Licences,"£3,878.62",Oracle Corporation Uk Ltd
 13-Feb-23,Services and Legal Expenses,"£3,870.08",Bank Charges
 02-Feb-23,Vehicle Repairs,"£3,848.09",Halliwell Jones Ltd
 23-Feb-23,Payment for Services,"£3,840.00",Redacted
23-Feb-23, Capital Asset Clearing A/C Plant & Equipment ,"£3,836.98",Stone Computers Ltd
 02-Feb-23,Call Charges,"£3,718.62",Gamma Telecom Ltd
09-Feb-23,Vehicle Repairs,"£3,715.58",Halliwell Jones Ltd
 02-Feb-23,Mechanical Reactive Maintenance,"£3,706.43",BAM FM Ltd
23-Feb-23,Postages,"£3,703.15", Royal Mail 
 16-Feb-23,Technical Equipment,"£3,671.86",Redacted
09-Feb-23,Forensic Fees - General,"£3,652.80",Redacted
09-Feb-23,Building Reactive Maintenance,"£3,637.20",J.G. Eckersall
 02-Feb-23,Consultants Fees,"£3,630.96",Redacted
 02-Feb-23,Forensic Fees - General,"£3,624.00",Redacted
 16-Feb-23,Vehicle Modifications,"£3,622.94",Redacted
 23-Feb-23,Payments to Other Police Authorities,"£3,599.57",Redacted
 23-Feb-23,Data Network,"£3,591.55",Vodafone Ltd 70649252 (Formerly Cable & Wireless)
09-Feb-23,Vehicle Repairs,"£3,568.54",Halliwell Jones Ltd
 23-Feb-23,Building Reactive Maintenance,"£3,559.86",Graham Asset Management Ltd
 23-Feb-23,Consultants Fees,"£3,528.32",Redacted
09-Feb-23,H/W Purchases,"£3,501.71",Redacted
16-Feb-23, Payment for Services ,"£3,500.00",Liverpool City Council
 16-Feb-23,Payment for Services,"£3,500.00",Liverpool City Council
 16-Feb-23,Payment for Services,"£3,487.50",Planning Express Limited
 02-Feb-23,Tyres & Tubes,"£3,462.67",ATS Euromaster Ltd
 16-Feb-23,Service Charges,"£3,450.00",Boing Rapid Secure Ltd
09-Feb-23,Vehicle Repairs,"£3,433.76",Halliwell Jones Ltd
 16-Feb-23,S/W Licences,"£3,418.28",Oracle Corporation Uk Ltd
 23-Feb-23,General Subscriptions,"£3,412.46",Police Federation of England & Wales
 16-Feb-23,Mechanical Reactive Maintenance,"£3,411.65",BAM FM Ltd
09-Feb-23,Medical Equipment,"£3,388.80",Kays Medical Limited
 23-Feb-23,Building Reactive Maintenance,"£3,365.28",Graham Asset Management Ltd
 16-Feb-23,Vehicle Repairs,"£3,356.38",Halliwell Jones Ltd
 02-Feb-23,Uniform and Clothing,"£3,346.65",Michael Lupton Associates Limited
 16-Feb-23,Training Course Fees,"£3,321.38",College of Policing Limited
 16-Feb-23,S/W Licences,"£3,304.62",Oracle Corporation Uk Ltd
 02-Feb-23,Services and Legal Expenses,"£3,300.00",Redacted
 16-Feb-23,Services and Legal Expenses,"£3,272.00",HM Courts & Tribunals Service
 16-Feb-23,Payments to Local Authorities,"£3,265.19",Cooneen At Work Limited
 23-Feb-23,Payment for Services,"£3,240.00",GB Group Plc
 16-Feb-23,Technical Equipment,"£3,235.50",Redacted
 02-Feb-23,Uniform and Clothing,"£3,192.60",Yaffy Protective Clothing (Part of Mi Hub Ltd)
 23-Feb-23,Services and Legal Expenses,"£3,166.67",Collaborate Digital Ltd
23-Feb-23,Payments to Other Police Authorities,"£3,156.34", Redacted 
 23-Feb-23,Tyres & Tubes,"£3,148.08",ATS Euromaster Ltd
 23-Feb-23,Waste Disposal,"£3,137.76",Suez Recycling and Recovery UK Ltd
 16-Feb-23,Electrical Reactive Maintenance,"£3,137.52",BAM FM Ltd
09-Feb-23,Services and Legal Expenses,"£3,100.00",Redacted
09-Feb-23,Forensic Fees - General,"£3,072.00",Redacted
09-Feb-23,Comp. Operations,"£3,042.68",Redacted
09-Feb-23,Comp. Operations,"£3,025.80",Redacted
 23-Feb-23,H/W Purchases,"£3,024.06",Dell Corporation Ltd
 23-Feb-23,H/W Purchases,"£3,024.06",Dell Corporation Ltd
09-Feb-23,Training Course Fees,"£3,018.00",College of Policing Limited
23-Feb-23,Building Reactive Maintenance,"£3,006.18", Graham Asset Management Ltd 
09-Feb-23,Postages,"£3,003.01",Royal Mail
 16-Feb-23,Payment for Services,"£3,000.00",Kaalmo Youth Development Limited
 23-Feb-23,Services and Legal Expenses,"£3,000.00",Tiber Community Building
 02-Feb-23,Diesel,"£2,998.60",Standard Fuel Oils Limited
 02-Feb-23,Services and Legal Expenses,"£2,980.80",Redacted
09-Feb-23,Forensic Fees - General,"£2,966.40",Redacted
 16-Feb-23,Postages,"£2,949.35",Royal Mail
 23-Feb-23,Vehicle Repairs,"£2,904.00",Halliwell Jones Ltd
 02-Feb-23,Forensic Fees - General,"£2,902.80",Redacted
09-Feb-23,Training Course Fees,"£2,890.90",College of Policing Limited
 02-Feb-23,Training Course Fees,"£2,880.00",Redacted
 23-Feb-23,Training Course Fees,"£2,872.80",The Knowledge Academy
23-Feb-23,Building Customer Spend,"£2,870.99", Graham Asset Management Ltd 
 23-Feb-23,Training Course Fees,"£2,856.00",Hills Salvage & Recycling Ltd
 23-Feb-23,Medical Counselling,"£2,850.00",Redacted
09-Feb-23,Payment for Services,"£2,825.54",Redacted
 16-Feb-23,Uniform and Clothing,"£2,808.24",Michael Lupton Associates Limited
 23-Feb-23,Forensic Fees - General,"£2,798.40",Redacted
 16-Feb-23,Uniform and Clothing,"£2,772.36",Redacted
 02-Feb-23,Consumables,"£2,751.50",Colourtone Limited
09-Feb-23, Consumables ,"£2,736.00",Standard Fuel Oils Limited
 23-Feb-23,Mobiles-rental,"£2,736.00",Redacted
 23-Feb-23,Call Charges,"£2,726.40",Vodafone Ltd 70649252 (Formerly Cable & Wireless)
 23-Feb-23,Technical Equipment,"£2,700.00",Redacted
09-Feb-23,H/W Purchases,"£2,680.18",Dell Corporation Ltd
02-Feb-23,Diesel,"£2,665.60", Standard Fuel Oils Limited 
 02-Feb-23,Maintenance of Dogs,"£2,638.25",Crown Pet Foods
09-Feb-23,Forensic Fees - General,"£2,622.66",Redacted
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,610.72",Reed Specialist Recruitment Ltd
 02-Feb-23, Support Staff-Temporary Staff Wages ,"£2,610.72",Reed Specialist Recruitment Ltd
09-Feb-23,Mechanical Reactive Maintenance,"£2,602.80",Graham Asset Management Ltd
09-Feb-23,Consultants Fees,"£2,579.40",Softcat Ltd
09-Feb-23,Training Course Fees,"£2,573.34",The Investigator
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Redacted
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Redacted
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Reed Specialist Recruitment Ltd
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Reed Specialist Recruitment Ltd
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Reed Specialist Recruitment Ltd
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Redacted
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Reed Specialist Recruitment Ltd
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Reed Specialist Recruitment Ltd
 16-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32",Reed Specialist Recruitment Ltd
23-Feb-23,Support Staff-Temporary Staff Wages,"£2,572.32", Reed Specialist Recruitment Ltd 
 02-Feb-23,Support Staff-Temporary Staff Wages,"£2,558.52",Reed Specialist Recruitment Ltd
 16-Feb-23,Uniform and Clothing,"£2,538.10",Redacted
 02-Feb-23,Uniform and Clothing,"£2,529.60",Bennett Safetywear Limited
09-Feb-23,Forensic Fees - General,"£2,525.71",Redacted
 16-Feb-23,Payments to Local Authorities,"£2,520.73",Cooneen At Work Limited
 02-Feb-23,Training Course Fees,"£2,520.00",Redacted
 02-Feb-23,Miscellaneous Contributions,"£2,500.00",Care Of Police Survivors
 02-Feb-23,Training Course Fees,"£2,500.00",PCC for Norfolk
09-Feb-23,Services and Legal Expenses,"£2,500.00",Redacted
 16-Feb-23,Training Course Fees,"£2,500.00",Liverpool John Moores University
 02-Feb-23,Forensic Fees - General,"£2,473.60",Redacted
 16-Feb-23,Forensic Fees - General,"£2,452.32",Redacted
 02-Feb-23,Printing Stationery & Office Exps.,"£2,451.60",PSL Print Management Ltd
 02-Feb-23,Services and Legal Expenses,"£2,400.00",Redacted
09-Feb-23,Purchase of Police Dogs,"£2,400.00",GMCA (PCC for Greater Manchester)
 16-Feb-23,Comp. Operations,"£2,400.00",Redacted
 16-Feb-23,Services and Legal Expenses,"£2,398.80",Leasowe Play Youth and Community Association
 16-Feb-23,Vehicle Parts,"£2,397.08",Hyundai Motor UK Ltd
 23-Feb-23,Vehicle Police Equipment,"£2,394.18",Liverpool Power Boats Limited
 02-Feb-23,Capital Asset Clearing A/c Building,"£2,394.00",Redacted
 02-Feb-23,Support Staff Training,"£2,364.00",Jaama Ltd
 02-Feb-23,Training Course Fees,"£2,348.40",College of Policing Limited
 16-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£2,340.90",Scan Computers International
 16-Feb-23,Uniform and Clothing,"£2,334.32",Redacted
 02-Feb-23,Vehicle Crash Repairs,"£2,328.50",BMC Mechanical LTD
09-Feb-23,Services and Legal Expenses,"£2,300.00",Redacted
23-Feb-23,Building Reactive Maintenance,"£2,298.44", Graham Asset Management Ltd 
 02-Feb-23,Services and Legal Expenses,"£2,289.60",Redacted
