Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,22-May-23,51400304987,"£4,235.00",22-May-23,Upton Meadows Primary Academy,EDUCATION,21MONTHLYTRANSFERSMAY23 CFR I03,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Upton Meadows Primary Academy,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,22-May-23,51400302714,"£4,239.38",19-May-23,HOPPING HILL PRIMARY SCHOOL,EDUCATION,1140000991-190523-HC Ext ID-12234-175,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],EY 30 hours entitlement,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
West Northamptonshire Council,24-May-23,51400307028,"£4,249.48",23-May-23,ST MATTHEWS LIMITED,CARE ESTABLISHMENT,N1024827 P134619-00005,E7145,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health RES LT [NCC],Mental Health Support Res Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Residential Care
West Northamptonshire Council,19-May-23,51400300552,"£4,255.20",17-May-23,Allied Health Services Ltd,COMPANY,DS901894 P134288-00002,E7150,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People CCP LT [NCC],Physical Support CCP Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,22-May-23,51400302670,"£4,256.54",19-May-23,LITTLE HOUGHTON DAY NURSERY,NURSERY,1140001930-190523-HC Ext ID-11146-131,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],EY 30 hours entitlement,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
West Northamptonshire Council,26-May-23,51400307731,"£4,260.00",12-May-23,KAJIMA PARTNERSHIPS,TRADE SUPPLIER,WPL-23-06a,D1115,SPV,AP VAT Spreadsheet Import - Payments,,Wooldale Centre - CCS (DSG),Wooldale PFI Contract,Assets and Environment,A&E Works,School Meals
West Northamptonshire Council,31-May-23,51400308004,"£4,264.00",30-May-23,MAPLYN CARE SERVICES,TRADE SUPPLIER,N0830165 P134851-00001,E7170,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Suppported Living
West Northamptonshire Council,24-May-23,51400306625,"£4,268.00",23-May-23,MENTAUR LTD,CARE ESTABLISHMENT,N0529528 P134597-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health RES LT [NCC],Mental Health Support Res Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Residential Care
West Northamptonshire Council,22-May-23,51400302268,"£4,271.82",19-May-23,STONEWELL COTTAGE DAY NURSERY,NURSERY,1140001657-190523-HC FE 3 ID-3259-53,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],Early Years 3 & 4 Year Old,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
West Northamptonshire Council,24-May-23,51400306633,"£4,272.56",23-May-23,Salutem Shared Services Limited,CARE ESTABLISHMENT,N0322808 P134773-00006,E7145,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health RES LT [NCC],Mental Health Support Res Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Residential Care
West Northamptonshire Council,22-May-23,51400303638,"£4,277.00",19-May-23,Redacted Personal Data,SERVICE USER,N0622719 P134361-00141,F1100,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Direct Payments
