Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement Category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount,Purpose
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,16/05/2023,209966,2769.33,TIME SHEET 20.2.23-26.2.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Commercial Services,Agency Staff,VIVID RESOURCING,VIV001,16/05/2023,209840,1600.00,TIME SHEET WE 31.03.23 ND
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,C W COX & SONS (KENDAL)  LTD,COX001,16/05/2023,209170,8012.00,FIN PAYMENT GRANT REF 220077
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,TOP NOTCH CONTRACTORS LTD,TOP003,16/05/2023,209922,8898.00,GRANTREF 220055 FINAL PAYMENT
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Mechanical & electrical maintenance,TESGL LTD,NOB001,16/05/2023,209969,655.00,MAINTENANCE TH AND MH
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,BRITISH GAS TRADING LIMITED,BRI005,22/05/2023,209973,713.46,CORNEY SQUARE 1.4.23-02.05.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Electricity,OPUS ENERGY,OPU001,22/05/2023,209974,631.02,APLEBY GOODS SHED 11.4.23-10.05.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Electricity,OPUS ENERGY,OPU001,22/05/2023,209975,652.31,APPLEBY GOODS SHED 11.3.23-10.04.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Eden Leisure Centre & Appleby Swimming P,Additional covid costs provision,GREENWICH LEISURE LTD,NCL001,22/05/2023,210023,96058.27,COVID RELIEF PAYMENT AS PER 19.8.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Pollution Control,Equipment – maintenance,ACOUSTIC CALIBRATION LABORATORY,ACO002,22/05/2023,209054,946.00,equipment calibration
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Software – maintenance,PENTEST PEOPLE LTD,PEN088,26/05/2023,209921,9750.00,ITHC 2023
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,26/05/2023,209971,3358.33,TIME SHEET 24.4.23-07.5.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Gas,SEFE ENERGY,GAZ001,26/05/2023,210045,1623.67,MH APR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Gas,SEFE ENERGY,GAZ001,26/05/2023,210046,2285.77,TH APR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Professional fees,MAZARS LLP,MAZ001,26/05/2023,210022,8080.00,H/B SUBSIDY HBAP 21-22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Legal Services,Professional fees,FREETHS LLP,FRE006,26/05/2023,209959,1874.00,FAC1 FRAMEWORK FEES
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Supplies general,CUMBRIA WASTE RECYCLING LTD,CUM022,26/05/2023,210039,2231.00,RECHARGE VEHICLE LIVERY REBRANDING
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Legal Services,Professional fees,FREETHS LLP,FRE006,26/05/2023,210058,962.50,pro fees hug2 granting %dsa
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,MBSP CONSULTANCY LTD,MBS001,26/05/2023,210060,7800.00,VOREDA HOUSE/ SINGLE SITE APRIL23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Appleby Fair,Street Cleaning Contract,URBASER LIMITED,URB002,26/05/2023,210061,20206.07,CERT M-SC131FEB23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Appleby Fair,Street Cleaning Contract,URBASER LIMITED,URB002,26/05/2023,210062,20206.07,CERT M-SC 132 MAR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,IT Contracts & Maintenance,MLL TELECOM LTD,MLL001,26/05/2023,210063,1274.75,MANSION HOUSE 1.4.23-30.6.23
