"Invoices Paid for Direct Payments, Foster/Adoption/Pathway Payments for Westmorland & Furness Council",,,,,,,,,
company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure ,Line Number,Line Amount
WF,FP1845075,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195986,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1847883,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195989,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1847883,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195990,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1884387,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195997,RELATIVES AS APPROVED CARERS,Revenue,1,178.71
WF,FP1884387,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195997,F & R SUMM/XMAS/BDAY,Revenue,2,204.61
WF,FP1901235,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196001,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1930719,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196006,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1964415,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196009,STD FOSTERING ALLOWANCES,Revenue,1,161.98
WF,FP1964415,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196009,STD FOSTERING ALLOWANCES,Revenue,2,92.56
WF,FP1964415,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196010,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1964415,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196011,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1964415,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196011,FOST PROFESSIONAL FEES ADD,Revenue,2,176.24
WF,FP2006535,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196019,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2017767,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196020,STD FOSTERING ALLOWANCES,Revenue,1,161.98
WF,FP2017767,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196020,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,161.98
WF,FP2017767,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196021,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2034615,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196027,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2061291,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196035,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2061291,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196036,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2073927,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196041,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2107623,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196048,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2107623,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196049,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2107623,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196050,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2137107,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196057,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2137107,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196058,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2285931,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196079,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2285931,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196080,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2333667,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196089,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2333667,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196090,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2356131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196098,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2356131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196099,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2356131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196100,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2368767,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196102,RELATIVES AS APPROVED CARERS,Revenue,1,248.71
WF,FP2368767,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196102,F & R SUMM/XMAS/BDAY,Revenue,2,248.71
WF,FP2406675,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196112,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP2461431,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,196124,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
