element level code 02 + description,version,nominal,nominal description,group,group description,category,category description
COUNCIL  CUMBERLAND COUNCIL,4,71708,INCOME REQUESTS (LIBRARIES) FE,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,71710,HIRE PC,K,income (excluding grants),31,misc hire
COUNCIL  CUMBERLAND COUNCIL,2,71710,HIRE PC,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,71710,HIRE PC,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,71710,HIRE PC,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,72000,DONATIONS,K,income (excluding grants),34,donations/awards
COUNCIL  CUMBERLAND COUNCIL,2,72000,DONATIONS,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,72000,DONATIONS,N,income,46,donations & vol funds revenue
COUNCIL  CUMBERLAND COUNCIL,4,72000,DONATIONS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,72100,INSURANCE CLAIMS RECEIVED,K,income (excluding grants),35,insurance related income
COUNCIL  CUMBERLAND COUNCIL,2,72100,INSURANCE CLAIMS RECEIVED,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,72100,INSURANCE CLAIMS RECEIVED,N,income,42,insurance claims other
COUNCIL  CUMBERLAND COUNCIL,4,72100,INSURANCE CLAIMS RECEIVED,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,72101,INSURANCE RECOVERIES-STFF,K,income (excluding grants),35,insurance related income
COUNCIL  CUMBERLAND COUNCIL,2,72101,INSURANCE RECOVERIES-STFF,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,72101,INSURANCE RECOVERIES-STFF,N,income,40,insurance claims supply teachs
COUNCIL  CUMBERLAND COUNCIL,4,72101,INSURANCE RECOVERIES-STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,72102,INSURANCE REC-BUILDING CONTENT,K,income (excluding grants),35,insurance related income
COUNCIL  CUMBERLAND COUNCIL,2,72102,INSURANCE REC-BUILDING CONTENT,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,72102,INSURANCE REC-BUILDING CONTENT,N,income,42,insurance claims other
COUNCIL  CUMBERLAND COUNCIL,4,72102,INSURANCE REC-BUILDING CONTENT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,72103,INSURANCE PREMIUM RECHARGED,G,support services,99,internal income
COUNCIL  CUMBERLAND COUNCIL,2,72103,INSURANCE PREMIUM RECHARGED,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,72103,INSURANCE PREMIUM RECHARGED,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,72103,INSURANCE PREMIUM RECHARGED,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,72104,INSURANCE PREM RECHARGED STAFF,K,income (excluding grants),35,insurance related income
COUNCIL  CUMBERLAND COUNCIL,2,72104,INSURANCE PREM RECHARGED STAFF,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,72104,INSURANCE PREM RECHARGED STAFF,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,72104,INSURANCE PREM RECHARGED STAFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,72500,NRSWA INCOME,K,income (excluding grants),36,nrswa/capita
COUNCIL  CUMBERLAND COUNCIL,2,72500,NRSWA INCOME,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,72500,NRSWA INCOME,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,72500,NRSWA INCOME,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,74000,INVESTMENT INCOME,N,financing & investment income,4,interest & investment income
COUNCIL  CUMBERLAND COUNCIL,2,74000,INVESTMENT INCOME,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,74000,INVESTMENT INCOME,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,74000,INVESTMENT INCOME,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,74002,INTERNAL INTEREST RECEIVABLE,N,financing & investment income,4,interest & investment income
COUNCIL  CUMBERLAND COUNCIL,2,74002,INTERNAL INTEREST RECEIVABLE,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,74002,INTERNAL INTEREST RECEIVABLE,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,74002,INTERNAL INTEREST RECEIVABLE,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,74004,EXTERNAL INTEREST RECEIVABLE,N,financing & investment income,4,interest & investment income
COUNCIL  CUMBERLAND COUNCIL,2,74004,EXTERNAL INTEREST RECEIVABLE,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,74004,EXTERNAL INTEREST RECEIVABLE,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,74004,EXTERNAL INTEREST RECEIVABLE,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,74005,DIVIDEND RECEIVABLE,N,financing & investment income,4,interest & investment income
COUNCIL  CUMBERLAND COUNCIL,2,74005,DIVIDEND RECEIVABLE,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,74005,DIVIDEND RECEIVABLE,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,74005,DIVIDEND RECEIVABLE,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,75410,RESIDENTIAL CHARGES,K,income (excluding grants),50,asc income
COUNCIL  CUMBERLAND COUNCIL,2,75410,RESIDENTIAL CHARGES,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,75410,RESIDENTIAL CHARGES,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,75410,RESIDENTIAL CHARGES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,75420,NURSING CHARGES,K,income (excluding grants),50,asc income
COUNCIL  CUMBERLAND COUNCIL,2,75420,NURSING CHARGES,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,75420,NURSING CHARGES,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,75420,NURSING CHARGES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,75440,RESIDENTIAL RESPITE CHARGES,K,income (excluding grants),50,asc income
COUNCIL  CUMBERLAND COUNCIL,2,75440,RESIDENTIAL RESPITE CHARGES,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,75440,RESIDENTIAL RESPITE CHARGES,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,75440,RESIDENTIAL RESPITE CHARGES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,75570,FAIRER CHARGING,K,income (excluding grants),50,asc income
COUNCIL  CUMBERLAND COUNCIL,2,75570,FAIRER CHARGING,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,75570,FAIRER CHARGING,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,75570,FAIRER CHARGING,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,75580,DAY CARE MEAL CHARGES,K,income (excluding grants),50,asc income
COUNCIL  CUMBERLAND COUNCIL,2,75580,DAY CARE MEAL CHARGES,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,75580,DAY CARE MEAL CHARGES,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,75580,DAY CARE MEAL CHARGES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,75630,DIRECT PAYMENT INCOME,K,income (excluding grants),50,asc income
COUNCIL  CUMBERLAND COUNCIL,2,75630,DIRECT PAYMENT INCOME,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,75630,DIRECT PAYMENT INCOME,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,75630,DIRECT PAYMENT INCOME,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77001,RECHARGES,K,income (excluding grants),70,recharges/recoveries
COUNCIL  CUMBERLAND COUNCIL,2,77001,RECHARGES,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77001,RECHARGES,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,77001,RECHARGES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77003,COMPENSATION,K,income (excluding grants),70,recharges/recoveries
COUNCIL  CUMBERLAND COUNCIL,2,77003,COMPENSATION,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77003,COMPENSATION,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,77003,COMPENSATION,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77005,STORES OVERHEAD RECOVERY,K,income (excluding grants),70,recharges/recoveries
COUNCIL  CUMBERLAND COUNCIL,2,77005,STORES OVERHEAD RECOVERY,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77005,STORES OVERHEAD RECOVERY,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77005,STORES OVERHEAD RECOVERY,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77021,COSTS RECOVERED (COURT COSTS),K,income (excluding grants),70,recharges/recoveries
COUNCIL  CUMBERLAND COUNCIL,2,77021,COSTS RECOVERED (COURT COSTS),X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77021,COSTS RECOVERED (COURT COSTS),N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,77021,COSTS RECOVERED (COURT COSTS),A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77050,MISCELLANEOUS INCOME,K,income (excluding grants),70,recharges/recoveries
COUNCIL  CUMBERLAND COUNCIL,2,77050,MISCELLANEOUS INCOME,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77050,MISCELLANEOUS INCOME,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,77050,MISCELLANEOUS INCOME,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77201,EMPLOYERS CONTRIBUTIONS,K,income (excluding grants),72,pension contributions - intrnl
COUNCIL  CUMBERLAND COUNCIL,2,77201,EMPLOYERS CONTRIBUTIONS,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77201,EMPLOYERS CONTRIBUTIONS,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77201,EMPLOYERS CONTRIBUTIONS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77202,EMPLOYEES BASIC CONTRIBNS,K,income (excluding grants),72,pension contributions - intrnl
COUNCIL  CUMBERLAND COUNCIL,2,77202,EMPLOYEES BASIC CONTRIBNS,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77202,EMPLOYEES BASIC CONTRIBNS,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77202,EMPLOYEES BASIC CONTRIBNS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77203,EMPLOYEES ADDITIONAL CONTRIBNS,K,income (excluding grants),72,pension contributions - intrnl
COUNCIL  CUMBERLAND COUNCIL,2,77203,EMPLOYEES ADDITIONAL CONTRIBNS,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77203,EMPLOYEES ADDITIONAL CONTRIBNS,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77203,EMPLOYEES ADDITIONAL CONTRIBNS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77601,CONTRIBUTIONS BY OTHR LA'S,K,income (excluding grants),77,contribtns frm extrnl agencies
COUNCIL  CUMBERLAND COUNCIL,2,77601,CONTRIBUTIONS BY OTHR LA'S,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77601,CONTRIBUTIONS BY OTHR LA'S,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77601,CONTRIBUTIONS BY OTHR LA'S,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77602,NHS CONTRIBUTIONS,K,income (excluding grants),77,contribtns frm extrnl agencies
COUNCIL  CUMBERLAND COUNCIL,2,77602,NHS CONTRIBUTIONS,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77602,NHS CONTRIBUTIONS,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77602,NHS CONTRIBUTIONS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77603,CENTRAL GOVT REIMBURSEMENT,K,income (excluding grants),77,contribtns frm extrnl agencies
COUNCIL  CUMBERLAND COUNCIL,2,77603,CENTRAL GOVT REIMBURSEMENT,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77603,CENTRAL GOVT REIMBURSEMENT,N,income,24,other govt grants
COUNCIL  CUMBERLAND COUNCIL,4,77603,CENTRAL GOVT REIMBURSEMENT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77605,CONTRIBS BY OTHER ORGANISATION,K,income (excluding grants),77,contribtns frm extrnl agencies
COUNCIL  CUMBERLAND COUNCIL,2,77605,CONTRIBS BY OTHER ORGANISATION,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77605,CONTRIBS BY OTHER ORGANISATION,N,income,28,other grants
COUNCIL  CUMBERLAND COUNCIL,4,77605,CONTRIBS BY OTHER ORGANISATION,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77700,INTER AUTHORITY AGREEMENT INC,K,income (excluding grants),76,inter authority agreement inc
COUNCIL  CUMBERLAND COUNCIL,2,77700,INTER AUTHORITY AGREEMENT INC,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77700,INTER AUTHORITY AGREEMENT INC,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77700,INTER AUTHORITY AGREEMENT INC,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77701,S113 AGREEMENT INC,K,income (excluding grants),76,inter authority agreement inc
COUNCIL  CUMBERLAND COUNCIL,2,77701,S113 AGREEMENT INC,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77701,S113 AGREEMENT INC,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77701,S113 AGREEMENT INC,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77900,MISC INCOME,K,income (excluding grants),90,miscellaneous
COUNCIL  CUMBERLAND COUNCIL,2,77900,MISC INCOME,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77900,MISC INCOME,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,77900,MISC INCOME,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77905,INVOICED INC-CONTROL USE ONLY,K,income (excluding grants),90,miscellaneous
COUNCIL  CUMBERLAND COUNCIL,2,77905,INVOICED INC-CONTROL USE ONLY,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77905,INVOICED INC-CONTROL USE ONLY,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,77905,INVOICED INC-CONTROL USE ONLY,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,77999,INTERNAL INCOME,G,support services,99,internal income
COUNCIL  CUMBERLAND COUNCIL,2,77999,INTERNAL INCOME,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,77999,INTERNAL INCOME,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,77999,INTERNAL INCOME,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,78003,DEDICATED SCHOOLS GRANT,L,income grants,75,dedicated schools grant
COUNCIL  CUMBERLAND COUNCIL,2,78003,DEDICATED SCHOOLS GRANT,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,78003,DEDICATED SCHOOLS GRANT,N,income,28,other grants
COUNCIL  CUMBERLAND COUNCIL,4,78003,DEDICATED SCHOOLS GRANT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,78005,GRANTS SPECIFIC EXCL DSG,L,income grants,78,grants excl dsg
COUNCIL  CUMBERLAND COUNCIL,2,78005,GRANTS SPECIFIC EXCL DSG,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,78005,GRANTS SPECIFIC EXCL DSG,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,78005,GRANTS SPECIFIC EXCL DSG,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,78007,GRANTS DFE DIRECT TO SCHOOLS,L,income grants,78,grants excl dsg
COUNCIL  CUMBERLAND COUNCIL,2,78007,GRANTS DFE DIRECT TO SCHOOLS,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,78007,GRANTS DFE DIRECT TO SCHOOLS,N,income,3,additional grants
COUNCIL  CUMBERLAND COUNCIL,4,78007,GRANTS DFE DIRECT TO SCHOOLS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,78008,GRANTS SEN SCHOOLS,L,income grants,78,grants excl dsg
COUNCIL  CUMBERLAND COUNCIL,2,78008,GRANTS SEN SCHOOLS,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,78008,GRANTS SEN SCHOOLS,N,income,12,sen funding
COUNCIL  CUMBERLAND COUNCIL,4,78008,GRANTS SEN SCHOOLS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,78601,OTHR INCOME-PROV OF TRANSPORT,K,income (excluding grants),79,other income
COUNCIL  CUMBERLAND COUNCIL,2,78601,OTHR INCOME-PROV OF TRANSPORT,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,78601,OTHR INCOME-PROV OF TRANSPORT,N,income,32,facilities and services income
COUNCIL  CUMBERLAND COUNCIL,4,78601,OTHR INCOME-PROV OF TRANSPORT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,78602,OTHR INCOME JOINT USER AGREEME,K,income (excluding grants),79,other income
COUNCIL  CUMBERLAND COUNCIL,2,78602,OTHR INCOME JOINT USER AGREEME,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,78602,OTHR INCOME JOINT USER AGREEME,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,78602,OTHR INCOME JOINT USER AGREEME,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79151,REFCUS EXPENDITURE - GENERAL,I,capital related items,40,refcus
COUNCIL  CUMBERLAND COUNCIL,2,79151,REFCUS EXPENDITURE - GENERAL,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79151,REFCUS EXPENDITURE - GENERAL,Q,schools in year capital,30,direct revenue funding
COUNCIL  CUMBERLAND COUNCIL,4,79151,REFCUS EXPENDITURE - GENERAL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79180,SCHOOLS ONLY VEHICLES CAPITAL,P,movement in reserves statement,99,schools in year capital exp
COUNCIL  CUMBERLAND COUNCIL,2,79180,SCHOOLS ONLY VEHICLES CAPITAL,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79180,SCHOOLS ONLY VEHICLES CAPITAL,Q,schools in year capital,18,vehicles plant & machinery
COUNCIL  CUMBERLAND COUNCIL,4,79180,SCHOOLS ONLY VEHICLES CAPITAL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79181,SCHOOLS ONLY COMPUTERS CAPITAL,P,movement in reserves statement,99,schools in year capital exp
COUNCIL  CUMBERLAND COUNCIL,2,79181,SCHOOLS ONLY COMPUTERS CAPITAL,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79181,SCHOOLS ONLY COMPUTERS CAPITAL,Q,schools in year capital,28,ict capital expenditure
COUNCIL  CUMBERLAND COUNCIL,4,79181,SCHOOLS ONLY COMPUTERS CAPITAL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79182,SCHOOLS ONLY BLDING WK CAPITAL,P,movement in reserves statement,99,schools in year capital exp
COUNCIL  CUMBERLAND COUNCIL,2,79182,SCHOOLS ONLY BLDING WK CAPITAL,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79182,SCHOOLS ONLY BLDING WK CAPITAL,Q,schools in year capital,10,construction & renovation
COUNCIL  CUMBERLAND COUNCIL,4,79182,SCHOOLS ONLY BLDING WK CAPITAL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79188,ACC BODY LOANS INTEREST,K,income (excluding grants),90,miscellaneous
COUNCIL  CUMBERLAND COUNCIL,2,79188,ACC BODY LOANS INTEREST,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79188,ACC BODY LOANS INTEREST,Q,schools in year capital,10,construction & renovation
COUNCIL  CUMBERLAND COUNCIL,4,79188,ACC BODY LOANS INTEREST,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79520,MIRS RCCO-DIRECTORATE CHG,P,movement in reserves statement,32,mirs-cap exp chg to gf (rcco)
COUNCIL  CUMBERLAND COUNCIL,2,79520,MIRS RCCO-DIRECTORATE CHG,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79520,MIRS RCCO-DIRECTORATE CHG,L,other non-cfr costs,36,non cfr financing
COUNCIL  CUMBERLAND COUNCIL,4,79520,MIRS RCCO-DIRECTORATE CHG,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79531,DEMINIMIS CAPITAL RECEIPTS,M,other operating expenditure,4,deminimis capital receipts
COUNCIL  CUMBERLAND COUNCIL,2,79531,DEMINIMIS CAPITAL RECEIPTS,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79531,DEMINIMIS CAPITAL RECEIPTS,L,other non-cfr costs,36,non cfr financing
COUNCIL  CUMBERLAND COUNCIL,4,79531,DEMINIMIS CAPITAL RECEIPTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79532,NON CURR ASSETS SALE PROCEEDS,M,other operating expenditure,5,p&l on disposal of fa
COUNCIL  CUMBERLAND COUNCIL,2,79532,NON CURR ASSETS SALE PROCEEDS,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79532,NON CURR ASSETS SALE PROCEEDS,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,79532,NON CURR ASSETS SALE PROCEEDS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79558,MIRS MINIMUM REV PROVISION,P,movement in reserves statement,30,mirs-minimum revenue provn
COUNCIL  CUMBERLAND COUNCIL,2,79558,MIRS MINIMUM REV PROVISION,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79558,MIRS MINIMUM REV PROVISION,L,other non-cfr costs,36,non cfr financing
COUNCIL  CUMBERLAND COUNCIL,4,79558,MIRS MINIMUM REV PROVISION,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,79567,MIRS ACCUM ABSENCES ACC,P,movement in reserves statement,58,mirs-accum absences acc
COUNCIL  CUMBERLAND COUNCIL,2,79567,MIRS ACCUM ABSENCES ACC,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79567,MIRS ACCUM ABSENCES ACC,L,other non-cfr costs,36,non cfr financing
COUNCIL  CUMBERLAND COUNCIL,4,79567,MIRS ACCUM ABSENCES ACC,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,79601,COUNCIL TAX PRECEPTS,O,tax&non specific grant income,2,council tax
COUNCIL  CUMBERLAND COUNCIL,2,79601,COUNCIL TAX PRECEPTS,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79601,COUNCIL TAX PRECEPTS,L,other non-cfr costs,36,non cfr financing
COUNCIL  CUMBERLAND COUNCIL,4,79601,COUNCIL TAX PRECEPTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79603,RETAINED BUSINESS RATES INCOME,O,tax&non specific grant income,3,nndr
COUNCIL  CUMBERLAND COUNCIL,2,79603,RETAINED BUSINESS RATES INCOME,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79603,RETAINED BUSINESS RATES INCOME,L,other non-cfr costs,36,non cfr financing
COUNCIL  CUMBERLAND COUNCIL,4,79603,RETAINED BUSINESS RATES INCOME,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79604,GEN GRANTS inc PFI/RSG/TOPUP,O,tax&non specific grant income,4,rsg&non specific grant income
COUNCIL  CUMBERLAND COUNCIL,2,79604,GEN GRANTS inc PFI/RSG/TOPUP,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79604,GEN GRANTS inc PFI/RSG/TOPUP,L,other non-cfr costs,36,non cfr financing
COUNCIL  CUMBERLAND COUNCIL,4,79604,GEN GRANTS inc PFI/RSG/TOPUP,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79620,RECOGNISED CAPITAL GRANTS,O,tax&non specific grant income,6,recognised capital income
COUNCIL  CUMBERLAND COUNCIL,2,79620,RECOGNISED CAPITAL GRANTS,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79620,RECOGNISED CAPITAL GRANTS,L,other non-cfr costs,36,non cfr financing
COUNCIL  CUMBERLAND COUNCIL,4,79620,RECOGNISED CAPITAL GRANTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,79750,TFR TO EARMARKED RESERVES,P,movement in reserves statement,18,tfrs to earmarked reserves
COUNCIL  CUMBERLAND COUNCIL,2,79750,TFR TO EARMARKED RESERVES,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79750,TFR TO EARMARKED RESERVES,P,surplus/deficit for the year,2,surplus / deficit for the year
COUNCIL  CUMBERLAND COUNCIL,4,79750,TFR TO EARMARKED RESERVES,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,79751,TFR FROM EARMARKED RESERVES,P,movement in reserves statement,19,tfrs from earmarked reserves
COUNCIL  CUMBERLAND COUNCIL,2,79751,TFR FROM EARMARKED RESERVES,X,revenue,90,financing
COUNCIL  CUMBERLAND COUNCIL,3,79751,TFR FROM EARMARKED RESERVES,P,surplus/deficit for the year,2,surplus / deficit for the year
COUNCIL  CUMBERLAND COUNCIL,4,79751,TFR FROM EARMARKED RESERVES,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,79752,TFRS TO GENERAL FUND,P,movement in reserves statement,20,tfrs to general fund
COUNCIL  CUMBERLAND COUNCIL,2,79752,TFRS TO GENERAL FUND,X,revenue,90,financing
