element level code 02 + description,version,nominal,nominal description,group,group description,category,category description
COUNCIL  CUMBERLAND COUNCIL,1,10141,STD PAY FIREFIGHTERS F/T,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10141,STD PAY FIREFIGHTERS F/T,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10141,STD PAY FIREFIGHTERS F/T,A,employee costs,56,non cfr direct empee costs
COUNCIL  CUMBERLAND COUNCIL,4,10141,STD PAY FIREFIGHTERS F/T,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10142,STD PAY FIREFIGHTERS RETAINED,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10142,STD PAY FIREFIGHTERS RETAINED,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10142,STD PAY FIREFIGHTERS RETAINED,A,employee costs,56,non cfr direct empee costs
COUNCIL  CUMBERLAND COUNCIL,4,10142,STD PAY FIREFIGHTERS RETAINED,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10148,STD PAY CASUAL STAFF,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10148,STD PAY CASUAL STAFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10148,STD PAY CASUAL STAFF,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,10148,STD PAY CASUAL STAFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10156,STD PAY MID-DAY SUPERVISOR,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10156,STD PAY MID-DAY SUPERVISOR,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10156,STD PAY MID-DAY SUPERVISOR,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10156,STD PAY MID-DAY SUPERVISOR,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10160,STD PAY PREMISES STFF,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10160,STD PAY PREMISES STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10160,STD PAY PREMISES STFF,A,employee costs,24,premises staff
COUNCIL  CUMBERLAND COUNCIL,4,10160,STD PAY PREMISES STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10161,STD PAY CATERING STFF,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10161,STD PAY CATERING STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10161,STD PAY CATERING STFF,A,employee costs,42,catering staff
COUNCIL  CUMBERLAND COUNCIL,4,10161,STD PAY CATERING STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10162,STD PAY CATERING STFF ASSISTNT,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10162,STD PAY CATERING STFF ASSISTNT,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10162,STD PAY CATERING STFF ASSISTNT,A,employee costs,42,catering staff
COUNCIL  CUMBERLAND COUNCIL,4,10162,STD PAY CATERING STFF ASSISTNT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10163,STD PAY DRIVERS AND ESCORTS,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10163,STD PAY DRIVERS AND ESCORTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10163,STD PAY DRIVERS AND ESCORTS,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10163,STD PAY DRIVERS AND ESCORTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10164,STD PAY OPERATIONAL STFF GENER,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10164,STD PAY OPERATIONAL STFF GENER,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10164,STD PAY OPERATIONAL STFF GENER,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10164,STD PAY OPERATIONAL STFF GENER,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10165,STD PAY KEY WORKERS,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10165,STD PAY KEY WORKERS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10165,STD PAY KEY WORKERS,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10165,STD PAY KEY WORKERS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10198,STD PAY ADULT ED STAFF,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10198,STD PAY ADULT ED STAFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10198,STD PAY ADULT ED STAFF,A,employee costs,48,community focussed staff
COUNCIL  CUMBERLAND COUNCIL,4,10198,STD PAY ADULT ED STAFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10201,OVERTIME SENIOR MNGMNT,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10201,OVERTIME SENIOR MNGMNT,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10201,OVERTIME SENIOR MNGMNT,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,10201,OVERTIME SENIOR MNGMNT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10202,OVERTIME MANAGERS,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10202,OVERTIME MANAGERS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10202,OVERTIME MANAGERS,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,10202,OVERTIME MANAGERS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10204,OVERTIME ADMIN & CLERCL,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10204,OVERTIME ADMIN & CLERCL,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10204,OVERTIME ADMIN & CLERCL,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,10204,OVERTIME ADMIN & CLERCL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10210,OVERTIME TEACHERS F/T,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10210,OVERTIME TEACHERS F/T,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10210,OVERTIME TEACHERS F/T,A,employee costs,2,teaching staff - full time
COUNCIL  CUMBERLAND COUNCIL,4,10210,OVERTIME TEACHERS F/T,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10211,OVERTIME TEACHERS P/T,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10211,OVERTIME TEACHERS P/T,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10211,OVERTIME TEACHERS P/T,A,employee costs,6,teaching staff - part time
COUNCIL  CUMBERLAND COUNCIL,4,10211,OVERTIME TEACHERS P/T,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10213,OVERTIME SUPPLY TEACHERS,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10213,OVERTIME SUPPLY TEACHERS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10213,OVERTIME SUPPLY TEACHERS,A,employee costs,12,supply teaching staff
COUNCIL  CUMBERLAND COUNCIL,4,10213,OVERTIME SUPPLY TEACHERS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10214,OVERTIME EDUCATION WELFARE OFF,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10214,OVERTIME EDUCATION WELFARE OFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10214,OVERTIME EDUCATION WELFARE OFF,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10214,OVERTIME EDUCATION WELFARE OFF,A,revenue,2,revenue income and expenditure
