"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Company,Supplier Number,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,6,"3,098.51",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00036,BA00 Sports development and co,BBC Grass pitches,Revenue,7,296.02,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GROUNDS MAINTENANCE,Revenue,8,927.73,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00040,BA00 Playground               ,GROUNDS MAINTENANCE,Revenue,9,227.15,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GAS (INCL LPG),Revenue,10,606.25,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,ELECTRICITY,Revenue,11,264.40,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GROUNDS MAINTENANCE,Revenue,12,-133.00,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149190,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00040,BA00 Playground               ,GROUNDS MAINTENANCE,Revenue,1,"19,353.85",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149190,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00040,BA00 Playground               ,GROUNDS MAINTENANCE,Revenue,2,"2,836.56",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,12/09/2023,149555,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00046,BA00 Cemeteries               ,GROUNDS MAINTENANCE,Revenue,1,"16,440.25",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,12/09/2023,149555,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00046,BA00 Cemeteries               ,GROUNDS MAINTENANCE,Revenue,2,"2,987.91",
