OrganisationNameLabel,OrganisationURI,EffectiveDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,SupplierRegisteredCompany Number,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfSpend,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Delivery Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Kinto Uk Limited,837940,04/04/2023,189053,501.77,0,Hire 2 x vans maintenance 2022-23,381000,Vehicle Mgt Commercial
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Support Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Geldards LLP,,18/04/2023,189110,618,0,EV charge points,280000,Legal Services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Support Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,The Landscape Partnership Ltd,,12/04/2023,189111,768.5,0,Landscape Partnership Fees for HRA,152200,Consultancy Technical & Feasibility
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Support Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,The Oyster Partnership,5020374,12/04/2023,189112,1500,0,13wks @£1500 upto end of March 2023,261300,HR Recruitment & Assessment
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management Account Mgmt,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,BEMROSE BOOTH PARAGON LTD,4891375,25/04/2023,189113,379.98,0,"4 packs, or 1000 GREEN permits for",191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,EDEN DISTRICT COUNCIL,,12/04/2023,189114,22500,0,GIS annual cost covers 1/8/21 to 31/7/22,908000,Public Bodies Council support services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,EDEN DISTRICT COUNCIL,,12/04/2023,189115,2559.73,0,Image hardening,908000,Public Bodies Council support services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Delivery Commercial Services,Culture and Related Serv,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Bloom Procurement Services Ltd,,12/04/2023,189116,21368.42,0,Grange Lido - R.G Parkins PD Role,151900,Consultancy Management
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Initial,1298292,12/04/2023,189117,28,0,Clinical waste collections 2022/23,131011,Cleaning & Janitorial Cleaning Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management Account Mgmt,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Ashberry Recruitment,7202591,25/04/2023,189119,211.4,0,Agency Staff at TVF,261300,HR Recruitment & Assessment
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management Account Mgmt,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,ADECCO UK LIMITED,593232,12/04/2023,189120,697.88,0,Temporary staff to support in Case,261400,HR Temporary & Agency Staff
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management Account Mgmt,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,ADECCO UK LIMITED,593232,18/04/2023,189121,697.88,0,Temporary staff to support in Case,261400,HR Temporary & Agency Staff
