Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191449,624.80,0.00,Electricity,371000,Utilities Electricity,
Offices,Central Services,NPOWER LTD (NCR),,01-03-2024,0000191450,270.96,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191453,581.65,0.00,Electricity,371000,Utilities Electricity,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-03-2024,0000191469,"3,384.14",0.00,Credit Card Commission,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-03-2024,0000191470,"4,112.38",0.00,Credit Card Commission,201200,Financial Services Banking,
Lake Windermere,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191471,"2,698.34",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191475,917.96,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191476,"8,024.01",0.00,Electricity,371000,Utilities Electricity,
Offices,Central Services,NPOWER LTD (NCR),,01-03-2024,0000191479,"13,656.12",0.00,Electricity,371000,Utilities Electricity,
SLDC Depots,Transport Planning Policy,NPOWER LTD (NCR),,01-03-2024,0000191480,"7,437.96",0.00,Electricity,371000,Utilities Electricity,
Town View Field Hostel,Housing Services,NPOWER LTD (NCR),,01-03-2024,0000191481,909.87,0.00,Electricity,371000,Utilities Electricity,
Car Parks,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191482,"5,771.41",0.00,Electricity,371000,Utilities Electricity,
Markets,External Trading Accounts,NPOWER LTD (NCR),,01-03-2024,0000191483,"1,171.29",0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191491,422.28,0.00,Electricity,371000,Utilities Electricity,
Car Parks,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191493,280.70,0.00,Electricity,371000,Utilities Electricity,
Town View Field Hostel,Housing Services,NPOWER LTD (NCR),,01-03-2024,0000191495,616.93,0.00,Electricity,371000,Utilities Electricity,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191497,886.78,0.00,Electricity,371000,Utilities Electricity,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191498,780.07,0.00,Electricity,371000,Utilities Electricity,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191499,"1,022.91",0.00,Electricity,371000,Utilities Electricity,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191500,"1,045.09",0.00,Electricity,371000,Utilities Electricity,
Delivery Commercial Services,Central Services,LAND REGISTRY (DD),,01-03-2024,0000191528,840.00,0.00,Land Search Fees,908999,Public Bodies Not Elsewhere Classified,
Case Management,Central Services,LAND REGISTRY (DD),,01-03-2024,0000191528,"1,275.00",0.00,Land Search Fees,908999,Public Bodies Not Elsewhere Classified,
Legal Governance Democracy,Central Services,LAND REGISTRY (DD),,01-03-2024,0000191528,"3,290.00",0.00,Land Search Fees,908999,Public Bodies Not Elsewhere Classified,
Disabled Facilities Grants,Housing,LAND REGISTRY (DD),,01-03-2024,0000191528,384.00,0.00,Land Search Fees,908999,Public Bodies Not Elsewhere Classified,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-03-2024,0000191530,"1,064.85",0.00,Credit Card Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,ACCESS PAYSUITE LTD,,01-03-2024,0000191530,"2,567.40",0.00,Commission,261500,HR Training & Conferences,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-03-2024,0000191533,"148,191.82",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-03-2024,0000191533,"53,992.17",0.00,General,908000,Public Bodies Council support services,
Human Resources,Central Services,HMRC (CHAPS),,01-03-2024,0000191534,"3,059.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-03-2024,0000191534,"93,389.63",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-03-2024,0000191534,"131,657.32",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-03-2024,0000191534,"2,779.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191535,"1,182.03",0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191536,338.73,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191537,618.43,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191538,329.00,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191539,362.69,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191540,398.78,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191541,361.81,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191542,405.16,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191543,358.09,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191544,556.26,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191545,572.25,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191546,427.80,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191547,433.16,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191548,379.18,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191549,453.22,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191550,588.51,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191551,486.20,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191552,459.89,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191553,517.92,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191554,423.07,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191555,415.91,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191556,352.16,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191557,290.49,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191558,444.79,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191559,584.90,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191560,670.25,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191561,649.66,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191563,"5,922.99",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191563,"2,344.26",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191565,939.46,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191566,535.05,0.00,Electricity,371000,Utilities Electricity,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191640,"1,116.08",0.00,Electricity,371000,Utilities Electricity,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191641,"1,419.39",0.00,Electricity,371000,Utilities Electricity,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-03-2024,0000191650,"144,541.31",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-03-2024,0000191650,"52,598.02",0.00,General,908000,Public Bodies Council support services,
Human Resources,Central Services,HMRC (CHAPS),,01-03-2024,0000191651,"2,960.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-03-2024,0000191651,"89,282.48",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-03-2024,0000191651,"127,320.35",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-03-2024,0000191651,"2,738.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
