Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £,,,,
96965233,Senior Management Team,"Children, Families and Community Health Services",Senior Management Team - Non Staffing,Supplies and Services,Consultants,REDACTED PERSONAL DATA,NE30,28/07/2023,"6,142.90",,,,
96744362,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,ADVANCE HOUSING & SUPPORT LTD,OX28,26/07/2023,"1,074.00",,,,
93538234,Other Repairs,Repairs,Unallocated job costs from OPEN system,Premises Costs,Maintenance - Buildings,AEGIR TECHNICAL SERVICES LTD,BA14,05/07/2023,150.00,,,,
96457233,NEV,"Economy, Growth and Place",Package 2 - Nythe Road Junction and Piccadilly Roundabout,Capital,"Equipment, Fixtures & Fittings",AFFLECK ELECTRICAL LTD,SN3 ,24/07/2023,"1,568.00",,,,
96454234,NEV,"Economy, Growth and Place",Package 2 - Nythe Road Junction and Piccadilly Roundabout,Capital,"Equipment, Fixtures & Fittings",AFFLECK ELECTRICAL LTD,SN3 ,24/07/2023,"1,668.60",,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,14/07/2023,"10,293.92",,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,Income,Client Contribution - Supported Living,AGINCARE ENABLE LTD,DT5 ,14/07/2023,"-1,872.36",,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,Income,Client Contribution - Supported Living,AGINCARE ENABLE LTD,DT5 ,14/07/2023,-595.75,,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,14/07/2023,"-23,340.00",,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,Income,Client Contribution - Supported Living,AGINCARE ENABLE LTD,DT5 ,14/07/2023,85.11,,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,14/07/2023,"7,623.75",,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,14/07/2023,"24,396.00",,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,Income,Client Contribution - Supported Living,AGINCARE ENABLE LTD,DT5 ,14/07/2023,34.04,,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,14/07/2023,"3,216.85",,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,Income,Client Contribution - Supported Living,AGINCARE ENABLE LTD,DT5 ,14/07/2023,-119.15,,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,14/07/2023,-175.90,,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,Income,Client Contribution - Supported Living,AGINCARE ENABLE LTD,DT5 ,14/07/2023,"1,991.51",,,,
95347265,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,14/07/2023,"-9,674.50",,,,
95308233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Residential Care,AGINCARE LTD,DT5 ,14/07/2023,"4,500.00",,,,
95308233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,AGINCARE LTD,DT5 ,14/07/2023,"-1,538.90",,,,
Corporate Card Transaction,Early Help,"Children, Families and Community Health Services",Integrated Adolescents Service,Supplies and Services,Materials,Airbnb * Hmmddrjxrx,,19/07/2023,"1,040.43",,,,
Corporate Card Transaction,Social Care,"Children, Families and Community Health Services",Placement - Care Leaver Team,Supplies and Services,Materials,Airbnb * Hmyccher43,,06/07/2023,"3,995.88",,,,
95385233,Travel,Highways & Transport,Concessionary Travel,3rd Party Payments,Concessionary Travel Subsidy,AKCESS CIC,SN2 ,14/07/2023,614.91,,,,
94002234,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Transport Costs,Home to School Transport,AKCESS CIC,SN2 ,07/07/2023,"2,565.00",,,,
94653233,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Transport Costs,Home to School Transport,AKCESS CIC,SN2 ,12/07/2023,"64,598.21",,,,
