Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £,,,,
97349366,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SP11,31/07/2023,"1,291.81",,,,
97349239,Physical Support,Adults,Physical Support 65 and over,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN1 ,31/07/2023,"3,356.64",,,,
97349446,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SP11,31/07/2023,565.89,,,,
93853233,Social Care,"Children, Families and Community Health Services",Placement - Care Leaver Team,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),MISTER SHIFTER UK LTD,GL7 ,07/07/2023,540.00,,,,
96744330,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,MLETTINGS,SN6 ,26/07/2023,775.00,,,,
96744346,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,MLETTINGS,SN6 ,26/07/2023,775.00,,,,
96744336,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,MLETTINGS,SN6 ,26/07/2023,675.00,,,,
96744328,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,MLETTINGS,SN6 ,26/07/2023,725.00,,,,
96744388,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,MLETTINGS,SN6 ,26/07/2023,795.00,,,,
95347251,Memory & Cognition,Adults,Support for Memory and Cognition 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"3,584.15",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"4,088.15",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"3,736.20",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"3,584.15",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-709.05,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,156.95,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"8,954.05",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-855.70,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-784.75,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-864.00,,,,
95347251,Mental Health,Adults,Mental Health 18-64,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-424.50,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"-3,623.68",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"6,190.52",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,55.24,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-815.20,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,620.19,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,000.60",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,048.45",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"-1,945.68",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"3,700.15",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"3,337.65",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"6,500.00",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,690.54,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,135.70",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,65.28,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-2,852.90",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"1,838.56",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"7,296.25",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"7,239.90",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,374.25,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,156.50",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-785.25,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,336.35",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"8,610.00",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"6,848.55",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-800.90,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,035.87",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,217.70",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-962.50,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"8,610.00",,,,
95347251,Mental Health,Adults,Mental Health 18-64,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"3,584.15",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"-3,703.07",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"1,163.47",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,688.80",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,253.50",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,243.70",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-313.09,,,,
95347251,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"3,584.15",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"8,736.00",,,,
95347251,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,470.85,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"9,848.55",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"4,549.45",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MMCG (2) LIMITED,LS12,14/07/2023,"5,500.00",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-2,012.35",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-882.30,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-809.15,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,"-1,279.23",,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-896.60,,,,
95347251,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MMCG (2) LIMITED,LS12,14/07/2023,-762.50,,,,
96283233,Other Repairs,Repairs,Cyclical Maintenance,Employees,SBC Staff Terms - Basic,MMP CONSULTANCY LTD,CM20,21/07/2023,"2,250.00",,,,
96431233,Other Repairs,Repairs,Cyclical Maintenance,Employees,SBC Staff Terms - Basic,MMP CONSULTANCY LTD,CM20,24/07/2023,"2,250.00",,,,
96282233,Other Repairs,Repairs,Cyclical Maintenance,Employees,SBC Staff Terms - Basic,MMP CONSULTANCY LTD,CM20,21/07/2023,"2,250.00",,,,
96941233,Other Repairs,Repairs,Cyclical Maintenance,Employees,SBC Staff Terms - Basic,MMP CONSULTANCY LTD,CM20,28/07/2023,"2,250.00",,,,
94972370,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN3 ,12/07/2023,"1,069.38",,,,
94895233,Routes to Employment,"Education, Inclusion and Skills",Adult Learning,Supplies and Services,Materials,MONTERPOINT,W1U ,12/07/2023,"22,100.00",,,,
96344233,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),3rd Party Payments,Semi Independent,MONTROSE LIVING LTD,M40 ,21/07/2023,"3,102.86",,,,
96343233,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),3rd Party Payments,Semi Independent,MONTROSE LIVING LTD,M40 ,21/07/2023,"3,102.86",,,,
95267233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,"4,634.70",,,,
95267233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,-761.00,,,,
95267233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,"5,598.55",,,,
95267233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,"-1,284.60",,,,
95267233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,"-1,414.95",,,,
95267233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,"3,337.65",,,,
95267233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,"-5,347.25",,,,
95267233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,"3,584.15",,,,
95267233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,MOORMEAD HOUSE  NURSING HOME,SN4 ,14/07/2023,-784.75,,,,
96744322,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,600.00,,,,
96744314,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,600.00,,,,
96744311,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,625.00,,,,
96744310,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,625.00,,,,
96744305,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,600.00,,,,
96744317,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,550.00,,,,
96744315,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,600.00,,,,
96744307,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,625.00,,,,
96744251,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,625.00,,,,
96744319,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,625.00,,,,
96744313,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,600.00,,,,
96744303,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,700.00,,,,
96744302,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,550.00,,,,
96744301,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,550.00,,,,
96744323,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,654.93,,,,
96744304,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,550.00,,,,
96744308,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,600.00,,,,
96744321,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,600.00,,,,
96744300,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,550.00,,,,
96744306,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,625.00,,,,
96744312,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,550.00,,,,
96744320,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,675.00,,,,
96744309,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,550.00,,,,
96744299,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,560.00,,,,
96744252,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN25,26/07/2023,800.00,,,,
93362233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN4 ,03/07/2023,216.00,,,,
97442233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN4 ,31/07/2023,361.43,,,,
95467257,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN4 ,17/07/2023,506.00,,,,
97442233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN4 ,31/07/2023,171.43,,,,
97442233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN4 ,31/07/2023,216.00,,,,
95467257,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN4 ,17/07/2023,216.00,,,,
93362233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN4 ,03/07/2023,506.00,,,,
93371233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN3 ,03/07/2023,506.00,,,,
97451233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Birthday Payment,REDACTED PERSONAL DATA,SN3 ,31/07/2023,300.00,,,,
95467268,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Qualified,REDACTED PERSONAL DATA,SN3 ,17/07/2023,260.00,,,,
95467268,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN3 ,17/07/2023,506.00,,,,
97451233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Qualified,REDACTED PERSONAL DATA,SN3 ,31/07/2023,260.00,,,,
97451233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Birthday Payment,REDACTED PERSONAL DATA,SN3 ,31/07/2023,-253.00,,,,
97451233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN3 ,31/07/2023,171.43,,,,
95467268,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Birthday Payment,REDACTED PERSONAL DATA,SN3 ,17/07/2023,253.00,,,,
97451233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN3 ,31/07/2023,361.43,,,,
93371233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Qualified,REDACTED PERSONAL DATA,SN3 ,03/07/2023,260.00,,,,
93371233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Holiday Payment,REDACTED PERSONAL DATA,SN3 ,03/07/2023,506.00,,,,
96744385,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,LN11,26/07/2023,"1,875.00",,,,
96744368,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,LN11,26/07/2023,"1,500.00",,,,
96744367,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,LN11,26/07/2023,"3,000.00",,,,
97450233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN3 ,31/07/2023,382.86,,,,
97450233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN3 ,31/07/2023,171.43,,,,
93370233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN3 ,03/07/2023,536.00,,,,
93370233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN3 ,03/07/2023,216.00,,,,
95467267,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN3 ,17/07/2023,216.00,,,,
97450233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN3 ,31/07/2023,216.00,,,,
95467267,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN3 ,17/07/2023,536.00,,,,
96744296,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN6 ,26/07/2023,"1,457.53",,,,
97449233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN6 ,31/07/2023,171.43,,,,
93369233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN6 ,03/07/2023,536.00,,,,
97449233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN6 ,31/07/2023,216.00,,,,
97449233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN6 ,31/07/2023,382.86,,,,
95467266,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN6 ,17/07/2023,216.00,,,,
93369233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN6 ,03/07/2023,216.00,,,,
95467266,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN6 ,17/07/2023,536.00,,,,
95857233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN2 ,21/07/2023,"2,031.04",,,,
95842234,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN25,21/07/2023,"2,666.00",,,,
95467272,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Qualified,REDACTED PERSONAL DATA,SN25,17/07/2023,260.00,,,,
93375233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Qualified,REDACTED PERSONAL DATA,SN25,03/07/2023,260.00,,,,
93375233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,03/07/2023,352.00,,,,
95467272,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,17/07/2023,352.00,,,,
97607391,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,GL7 ,31/07/2023,719.40,,,,
93406460,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,GL7 ,03/07/2023,719.40,,,,
95559382,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,GL7 ,17/07/2023,719.40,,,,
97349684,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SP11,31/07/2023,"1,037.46",,,,
97349252,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SP11,31/07/2023,"1,327.70",,,,
97349466,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SP11,31/07/2023,"6,620.69",,,,
96744270,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN5 ,26/07/2023,680.00,,,,
97460233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,31/07/2023,171.43,,,,
95467277,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN25,17/07/2023,216.00,,,,
95467277,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,17/07/2023,328.00,,,,
97460233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN25,31/07/2023,216.00,,,,
93380233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,03/07/2023,328.00,,,,
93380233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Core,REDACTED PERSONAL DATA,SN25,03/07/2023,216.00,,,,
97460233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,31/07/2023,234.29,,,,
95467271,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,RG20,17/07/2023,536.00,,,,
