Body Name,Organisation Code,Service Label,Service Code,Organisation Unit,Expenditure Category,Expenditure Code,Narrative,Date,Transaction No,Net Amount,Supplier ID,Amended Supplier Name
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,ADVERTISING,2690,,22/06/2023,41074194,698,17782,ELITE CATERING WEST LONDON LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,31/07/2023,41077421,1469.45,200134,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,06/07/2023,41073305,1469.45,200134,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,06/07/2023,41073306,1912.13,16941,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,06/07/2023,41073308,1469.45,20075,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,31/07/2023,41077422,1469.45,20075,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,31/07/2023,41077423,1912.13,16941,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,31/07/2023,41077434,322.84,29826,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,17/07/2023,41074946,602.81,10000063,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,06/07/2023,41073307,4045.71,22385,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,31/07/2023,41077424,4045.71,22385,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,"PLANNING, COMMISSIONING & PARTNERSHIPS",ACTIVITIES,4196,,07/06/2023,41071646,296.94,10000020,VIBE TEACHER RECRUITMENT LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - SM,Services Contracts Agency Interim Consultants,2970,,28/06/2023,41075082,7480,23024,VENN GROUP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - SM,Services Contracts Agency Interim Consultants,2970,,13/07/2023,41076383,8580,23024,VENN GROUP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41074573,4575,28986,PREMIER MINI CAB SERVICES (UK) LTD T/A PREMIER CARS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/05/2023,41072699,3800,28986,PREMIER MINI CAB SERVICES (UK) LTD T/A PREMIER CARS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,01/04/2023,41074207,405,15687,WHEEL GET YOU THERE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/05/2023,41072534,624,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/05/2023,41072535,264,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41073698,1856,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41073698,464,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41073699,2080,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41073699,520,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41073708,576,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,01/07/2023,41075267,405,15687,WHEEL GET YOU THERE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,04/07/2023,41077345,3562,29032,CITY CARE AGENCY LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41073780,1400,13223,MANOR WHEELS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41073781,960,13223,MANOR WHEELS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,02/07/2023,41074659,4430,11737,EMBASSY CAR & COURIER SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,21/07/2023,41076442,1110,15643,WEST EALING CAR HIRE
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,30/06/2023,41073206,1390,15643,WEST EALING CAR HIRE
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,02/07/2023,41075387,8940,28985,AIRPORT ONTIME LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,SPECIALIST TECHNICAL CONTRACTORS,4050,,05/02/2023,41073541,550,23440,ADULT DYSLEXIA CENTRE (THAMES VALLEY)
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,STRATEGIC COMMISSIONING,PAYMENTS TO CONTRACTORS,4000,,01/06/2023,41069348,25000,27052,YOUR VOICE IN HEALTH AND SOCIAL CARE
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIN,DATA ARCHIVING,3840,,31/05/2023,41074502,470.76,23976,RESTORE PLC
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,CHILD PROTECTION & EDT,TRAINING EXPENSES,80,,21/07/2023,41076878,650,27625,"TRAINING, CONSULTANCY AND PRACTICE LTD"
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,CHILD PROTECTION & EDT,TRAINING EXPENSES,80,,27/06/2023,41074000,650,27625,"TRAINING, CONSULTANCY AND PRACTICE LTD"
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIN,SECTION 17 NRPF,4297,,30/06/2023,41074931,900,12426,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,05/07/2023,41075222,3900,30226,SERCO LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,08/06/2023,41071227,3900,30226,SERCO LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,08/06/2023,41071228,4030,30226,SERCO LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,03/07/2023,41072514,4243.75,30226,SERCO LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,CIS REPAIRS AND MAINTENANCE,1411,,15/07/2023,41076333,565,11930,FISCOL ENGINEERING
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,CIS REPAIRS AND MAINTENANCE,1411,,15/07/2023,41075026,380,11930,FISCOL ENGINEERING
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,15/07/2023,41075029,565,11930,FISCOL ENGINEERING
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,CIS REPAIRS AND MAINTENANCE,1411,,14/06/2023,41072563,6240,11930,FISCOL ENGINEERING
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,25/04/2023,41072593,5577.6,15456,TYCO INTEGRATED SYSTEMS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,01/07/2023,41075069,12502.62,17695,RINGGO LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,01/05/2023,41065494,10068.59,17695,RINGGO LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,01/06/2023,41070824,13116.18,17695,RINGGO LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,13/06/2023,41072186,40491,10415,LONDON COUNCILS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PARKING,PAYMENTS TO CONTRACTORS,4000,,07/07/2023,41075167,35973,10415,LONDON COUNCILS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,TRANSPORT PLANNING,PAYMENTS TO CONTRACTORS,4000,,24/07/2023,41076452,5000,13593,MURRILL CONSTRUCTION LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,ECONOMIC GROWTH,PAYMENTS TO CONTRACTORS,4000,,17/07/2023,41076428,74957,15650,WEST LONDON BUSINESS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,ECONOMIC GROWTH,PAYMENTS TO CONTRACTORS,4000,,07/04/2023,41074976,250,29968,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING AND ENVIRONMENTAL ENFORCEMENT,PAYMENTS TO CONTRACTORS,4000,,02/06/2023,41076375,1000,25552,SKYGUARD LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING AND ENVIRONMENTAL ENFORCEMENT,COMP OUTSOURCED SERVICES,3220,,14/06/2023,41073808,308.39,25827,IDOX SOFTWARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING AND ENVIRONMENTAL ENFORCEMENT,AGENCY,70,,12/07/2023,41074325,1575,16396,THE OYSTER PARTNERSHIP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING AND ENVIRONMENTAL ENFORCEMENT,AGENCY,70,,05/07/2023,41073006,1507.5,16396,THE OYSTER PARTNERSHIP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PROPERTY REGULATION,COMP OUTSOURCED SERVICES,3220,,14/06/2023,41073808,2312.92,25827,IDOX SOFTWARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PROPERTY REGULATION,PAYMENTS TO CONTRACTORS,4000,,02/06/2023,41076375,2104,25552,SKYGUARD LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,PAYMENTS TO CONTRACTORS,4000,,06/06/2023,41074924,10104.3,23178,AGILE APPLICATIONS LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,PLANNING VIABILITY ASSESSMENTS,4051,,23/06/2023,41074162,8000,27547,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,COMP OUTSOURCED SERVICES,3220,,14/06/2023,41073808,4471.65,25827,IDOX SOFTWARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,PLANNING VIABILITY ASSESSMENTS,4051,,26/05/2023,41073754,5000,27569,VALUATION OFFICE AGENCY T/A/ DVS PROPERTY SERVICES
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,PLANNING VIABILITY ASSESSMENTS,4051,,30/05/2023,41072572,1470,27569,VALUATION OFFICE AGENCY T/A/ DVS PROPERTY SERVICES
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,PLANNING VIABILITY ASSESSMENTS,4051,,26/05/2023,41072574,3900,27569,VALUATION OFFICE AGENCY T/A/ DVS PROPERTY SERVICES
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,PAYMENTS TO CONTRACTORS,4000,,10/07/2023,41075612,10132.5,17829,SOLACE IN BUSINESS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,SUBSCRIPTIONS,3600,,04/07/2023,41075761,9000,13057,LONDON BOROUGH OF HOUNSLOW
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,ADVERTISING,2690,,09/07/2023,41073766,288,15415,REACH PUBLISHING SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,ADVERTISING,2690,,23/07/2023,41076529,345.6,15415,REACH PUBLISHING SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,SUBSCRIPTIONS,3600,,01/07/2023,41074926,400,23435,PLANNING OFFICERS SOCIETY
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,PLANNING SERVICES,SUBSCRIPTIONS,3600,,26/07/2023,41076830,13200,28307,VU.CITY
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HOUSING BUSINESS PLANNING,CLEANING CONTRACT,1300,,31/05/2023,41071786,1631.5,23187,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HOUSING BUSINESS PLANNING,CLEANING CONTRACT,1300,,30/06/2023,41075554,1482.5,23187,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CONCIERGE,2763,,24/07/2023,41076918,1281,14166,PREVENTION & DETECTION (HOLDINGS) LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CONCIERGE,2763,,24/07/2023,41076920,1281,14166,PREVENTION & DETECTION (HOLDINGS) LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CONCIERGE,2763,,10/07/2023,41073732,1281,14166,PREVENTION & DETECTION (HOLDINGS) LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CONCIERGE,2763,,17/07/2023,41076304,1281,14166,PREVENTION & DETECTION (HOLDINGS) LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CONCIERGE,2763,,17/07/2023,41076305,1281,14166,PREVENTION & DETECTION (HOLDINGS) LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CONCIERGE,2763,,10/07/2023,41073733,1281,14166,PREVENTION & DETECTION (HOLDINGS) LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CONCIERGE,2763,,03/07/2023,41074496,1281,14166,PREVENTION & DETECTION (HOLDINGS) LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CONCIERGE,2763,,03/07/2023,41074497,1281,14166,PREVENTION & DETECTION (HOLDINGS) LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,12/07/2023,41074208,1134.4,16396,THE OYSTER PARTNERSHIP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,12/07/2023,41074260,1213.14,26039,GREENACRE RECRUITMENT LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,12/07/2023,41074269,794.25,26039,GREENACRE RECRUITMENT LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,CLEANING CONTRACT,1300,,26/07/2023,41077437,342,28202,LONDON BIN CLEANING LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,26/07/2023,41076893,819.2,26039,GREENACRE RECRUITMENT LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,19/07/2023,41075523,1213.14,26039,GREENACRE RECRUITMENT LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,19/07/2023,41075581,1136.65,16396,THE OYSTER PARTNERSHIP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,19/07/2023,41075597,839.72,26039,GREENACRE RECRUITMENT LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,05/07/2023,41073013,1085,16396,THE OYSTER PARTNERSHIP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,05/07/2023,41073016,1085,16396,THE OYSTER PARTNERSHIP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,05/07/2023,41072932,1282.46,26039,GREENACRE RECRUITMENT LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,26/07/2023,41076992,1121.8,16396,THE OYSTER PARTNERSHIP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,RESIDENT SERVICES,PAYMENTS TO CONTRACTORS,4000,,05/07/2023,41072976,1123.15,16396,THE OYSTER PARTNERSHIP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,30/06/2023,41075003,325.7,14514,WERNICK HIRE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS,4000,,30/06/2023,41076793,14751,25875,SPORTS & LEISURE MANAGEMENT LTD T/A EVERYONE ACTIVE
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,08/07/2023,41072264,425121.83,28826,GREENER EALING LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,01/06/2023,41076881,2394,25559,WEST LONDON WASTE AUTHORITY
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,16/06/2023,41076883,698.25,25559,WEST LONDON WASTE AUTHORITY
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,14/07/2023,41076392,1396.5,25559,WEST LONDON WASTE AUTHORITY
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,CONTRACT PAYMENTS -CLEAN & GREEN,4010,,30/06/2023,41074987,2829.96,16351,M.P.M SPECIALIST SOLUTIONS LIMITED T/A MPM GRAFFITI-SOLUTIONS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,CONTRACT PAYMENTS -CLEAN & GREEN,4010,,20/02/2023,41076111,1679.12,12525,INITIAL WASHROOM SOLUTIONS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,REPAIR AND MAINTENANCE,1410,,22/06/2023,41073815,560,28160,CONTRACT & PERSONNEL SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS,4000,,30/06/2023,41072737,750,29406,PROFESSIONAL SPORTSTURF DESIGN (NORTH WEST) LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS,4000,,28/06/2023,41074158,24121.69,10000213,WHITE HORSE CONTRACTORS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/07/2023,41077360,310,11187,COMPLETE TREE CARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/07/2023,41077362,250,11187,COMPLETE TREE CARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,13/06/2023,41072388,18071.06,25486,BARBER ENVIRONMENTAL LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/07/2023,41077333,1135,11187,COMPLETE TREE CARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/07/2023,41077335,264,11187,COMPLETE TREE CARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/07/2023,41077337,5285,11187,COMPLETE TREE CARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/07/2023,41077339,350,11187,COMPLETE TREE CARE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/06/2023,41077352,1350,11187,COMPLETE TREE CARE LTD
