Authority,Service Area,Description,Payment,Amount,Supplier
Bolton BMC,Adult Services,Clients Aids & Adaptations,27-Jun-23,£570.00,Drive Devilbiss Healthcare Limited
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£1,150.60",Eden Care Support Services Ltd
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£1,004.16",Eden Care Support Services Ltd
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£899.57,Eden Care Support Services Ltd
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£899.56,Eden Care Support Services Ltd
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£557.86,Eden Care Support Services Ltd
Bolton BMC,Adult Services,Contracted Services,12-Jun-23,"£1,004.16",Eden Care Support Services Ltd
Bolton BMC,Adult Services,Contracted Services,12-Jun-23,£899.57,Eden Care Support Services Ltd
Bolton BMC,Adult Services,Contracted Services,12-Jun-23,£899.56,Eden Care Support Services Ltd
Bolton BMC,Adult Services,Contracted Services,12-Jun-23,£599.70,Eden Care Support Services Ltd
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,084.80",Elizabeth House#1
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£11,797.15",Ellershaw House Ltd
Bolton BMC,Adult Services,Contracted Services,05-Jun-23,£672.00,Enhancing Lives Community Care Limited
Bolton BMC,Adult Services,Contracted Services,12-Jun-23,"£1,008.00",Enhancing Lives Community Care Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,163.50",Epworth Grange
Bolton BMC,Adult Services,Contracted Services,23-Jun-23,"£3,353.88",Equilibrium Healthcare Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£6,617.30",Fosse Bank
Bolton BMC,Adult Services,Other Recruitment Expenditure,01-Jun-23,"£6,770.00",GatenbySanderson
Bolton BMC,Adult Services,Other Recruitment Expenditure,01-Jun-23,"£1,000.00",GatenbySanderson
Bolton BMC,Adult Services,Other Recruitment Expenditure,01-Jun-23,"£3,250.00",GatenbySanderson
Bolton BMC,Adult Services,Other Recruitment Expenditure,01-Jun-23,"£1,550.00",GatenbySanderson
Bolton BMC,Adult Services,Other Recruitment Expenditure,01-Jun-23,£920.00,GatenbySanderson
Bolton BMC,Adult Services,Other Recruitment Expenditure,09-Jun-23,"£4,062.00",GatenbySanderson
Bolton BMC,Adult Services,Other Recruitment Expenditure,09-Jun-23,£650.00,GatenbySanderson
Bolton BMC,Adult Services,Other Recruitment Expenditure,22-Jun-23,"£2,708.00",GatenbySanderson
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,£509.10,Gillibrand Hall Nursing Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,265.00",Glenbank Care Home Ltd
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,265.00",Grange Lea Residential Care Home Limited
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£1,412.56",Greater Manchester Mental Health NHS Foundation Trust
Bolton BMC,Adult Services,Contracted Services,23-Jun-23,£773.83,Greater Manchester Mental Health NHS Foundation Trust
Bolton BMC,Adult Services,Contracted Services,23-Jun-23,"£1,842.22",Greater Manchester Mental Health NHS Foundation Trust
Bolton BMC,Adult Services,Contracted Services,23-Jun-23,"£2,133.74",Greater Manchester Mental Health NHS Foundation Trust
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£2,238.86",Greenlands Residential Home Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£2,985.14",Greenlands Residential Home Limited
Bolton BMC,Adult Services,Contracted Services,22-Jun-23,"£5,345.83",Guardian Homecare UK Limited
Bolton BMC,Adult Services,Contracted Services,22-Jun-23,"£2,581.96",Guardian Homecare UK Limited
Bolton BMC,Adult Services,Contracted Services,22-Jun-23,"£35,374.13",Guardian Homecare UK Limited
