Authority,Service Area,Description,Payment,Invoice Line Amount,Supplier
Bolton MBC,Children's Services,Agency Staff - Other,25-Mar-24,"£1,670.76",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,25-Mar-24,"£1,665.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,25-Mar-24,"£1,665.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,25-Mar-24,"£1,685.25",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,25-Mar-24,"£1,719.90",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,050.00",Precision Resource Group Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Precision Resource Group Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,050.00",Precision Resource Group Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Precision Resource Group Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,£875.00,Precision Resource Group Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,225.00",Precision Resource Group Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,"£1,725.50",Proactive Personnel Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,"£1,812.50",Proactive Personnel Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,20-Mar-24,"£1,073.00",Proactive Personnel Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£2,170.00",Propelo Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,595.44",Quickline Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,11-Mar-24,"£1,595.44",Quickline Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,18-Mar-24,"£1,595.44",Quickline Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,25-Mar-24,"£1,595.44",Quickline Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,605.34",Quickline Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,914.75",Quickline Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,595.44",Quickline Recruitment Limited
