Authority,Service Area,Description,Payment,Invoice Line Amount,Supplier
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£600.00,ECM Education Consultants Ltd
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£1,200.00",ECM Education Consultants Ltd
Bolton MBC,Children's Services,Contracted Services,04-Mar-24,£977.00,ECM Education Consultants Ltd
Bolton MBC,Adult Services,Contracted Services,04-Mar-24,"£1,840.96",Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,04-Mar-24,£976.28,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,04-Mar-24,£526.48,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,04-Mar-24,£815.89,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,18-Mar-24,"£1,840.96",Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,18-Mar-24,£976.28,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,18-Mar-24,£502.08,Eden Care Support Services Ltd
Bolton MBC,Environmental Services ,Contracted Services,11-Mar-24,£658.00,Elmes Joinery
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£1,008.00",Enhancing Lives Community Care Limited
Bolton MBC,Adult Services,Contracted Services,17-Mar-24,"£1,008.00",Enhancing Lives Community Care Limited
Bolton MBC,Adult Services,Contracted Services,17-Mar-24,"£1,078.00",Enhancing Lives Community Care Limited
Bolton MBC,Children's Services,Contracted Services,11-Mar-24,"£1,040.00",First Kick Management Limited
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£7,201.25",Fortalice Limited
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,"£3,500.00",GEM Arboricultural Services
Bolton MBC,Environmental Services ,Contracted Services,20-Mar-24,"£6,000.00",GEM Arboricultural Services
Bolton MBC,Adult Services,Contracted Services,06-Mar-24,"£12,580.00",Great Places Housing Association
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,"£5,984.59",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,"£2,553.79",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,"£1,939.24",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,"£3,437.65",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,£823.31,Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,£875.59,Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,"£2,245.18",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Children's Services,Contracted Services,11-Mar-24,"£4,000.00",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Public Health ,Contracted Services,22-Mar-24,"£23,750.00",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Public Health ,Contracted Services,22-Mar-24,"£41,240.00",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Public Health ,Contracted Services,28-Mar-24,"£180,161.00",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Environmental Services ,Contracted Services,11-Mar-24,"£1,600.00",Greenwood Tree Services Limited
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,"£1,600.00",Greenwood Tree Services Limited
Bolton MBC,Environmental Services ,Contracted Services,07-Mar-24,"£3,700.00",Greenwood Tree Services Limited
Bolton MBC,Environmental Services ,Contracted Services,07-Mar-24,"£1,600.00",Greenwood Tree Services Limited
Bolton MBC,Environmental Services ,Contracted Services,07-Mar-24,£750.00,Greenwood Tree Services Limited
Bolton MBC,Environmental Services ,Contracted Services,07-Mar-24,£800.00,Greenwood Tree Services Limited
Bolton MBC,Environmental Services ,Contracted Services,16-Mar-24,"£1,250.00",Greenwood Tree Services Limited
Bolton MBC,Environmental Services ,Contracted Services,20-Mar-24,£850.00,Greenwood Tree Services Limited
Bolton MBC,Environmental Services ,Contracted Services,20-Mar-24,"£25,000.00",Greenwood Tree Services Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,800.00",Griffin Care Limited T/A Griffin Care Training Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£3,858.78",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,043.62",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£2,806.27",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,160.43",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,134.63",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,739.42",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£34,864.74",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,027.39",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£3,531.10",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£2,153.40",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£2,600.00",HASCA Limited
Bolton MBC,Adult Services,Contracted Services,06-Mar-24,"£4,724.84",Hearten House
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£9,389.43",Homecare For You Ltd#BLACKBURN
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£1,226.65",Homecare For You Ltd#BLACKBURN
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£6,108.59",Homecare For You Ltd#BLACKBURN
Bolton MBC,Adult Services,Contracted Services,05-Mar-24,"£1,124.45",Homecare Team Limited
Bolton MBC,Adult Services,Contracted Services,05-Mar-24,"£7,636.08",Homecare Team Limited
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,£840.10,J Dickinson & Sons (Horwich) Limited
Bolton MBC,Children's Services,Contracted Services,21-Mar-24,"£3,510.00",JEP Youth Engagement Limited
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£32,137.37",Jewel Home Support Ltd
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,£861.61,Jewel Home Support Ltd
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£13,105.67",Jewel Home Support Ltd
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£625.00,JSA Psychotherapy Limited
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£625.00,JSA Psychotherapy Limited
Bolton MBC,Environmental Services ,Contracted Services,11-Mar-24,"£3,575.00",Keith Olive Decorators Limited
Bolton MBC,Children's Services,Contracted Services,08-Mar-24,£990.00,Kickstart Education
Bolton MBC,Children's Services,Contracted Services,14-Mar-24,£840.00,Kidzone Out Of School Clubs Limited
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£4,613.00",Lever Edge Primary Academy
Bolton MBC,Children's Services,Contracted Services,26-Mar-24,"£1,384.00",Little Angels
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,£844.80,Making Space
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£788.81,Manchester Occupational Therapy Services#Limited
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£819.59,Manchester Occupational Therapy Services#Limited
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£811.60,Manchester Occupational Therapy Services#Limited
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£808.90,Manchester Occupational Therapy Services#Limited
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£29,252.21",Mayday Nursing Bureau
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£1,704.74",Mayday Nursing Bureau
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£4,237.22",Mayday Nursing Bureau
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£1,875.00",Mercure Hotels#Mercure Bolton West
Bolton MBC,Children's Services,Contracted Services,26-Mar-24,"£1,834.00",Morris Green OOSC
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,"£5,600.00",Mosaic Disability Association
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,"£1,536.55",Motorsave Ltd
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,"£1,626.15",Motorsave Ltd
Bolton MBC,Environmental Services ,Contracted Services,11-Mar-24,"£2,618.63",Motorsave Ltd
Bolton MBC,Environmental Services ,Contracted Services,18-Mar-24,"£1,306.48",Motorsave Ltd
Bolton MBC,Environmental Services ,Contracted Services,18-Mar-24,"£1,482.74",Motorsave Ltd
Bolton MBC,Adult Services,Contracted Services,04-Mar-24,"£7,097.60",Oakdale Supported Living
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£43,465.00",Oldham Council
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£1,743.46",P & R Health Care Solutions
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£1,862.00",P & R Health Care Solutions
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£2,510.55",P & R Health Care Solutions
Bolton MBC,Chief Executives ,Contracted Services,01-Mar-24,"£1,550.00",Peak Fabrications (Bolton) Limited
Bolton MBC,Children's Services,Contracted Services,15-Mar-24,"£3,995.00",Pot Gang Limited
Bolton MBC,Adult Services,Contracted Services,19-Mar-24,"£28,346.60",Precedo Healthcare Limited
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£13,291.82",Premier Care Limited
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,055.50",Premier Care Limited
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£9,352.76",Premier Care Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,600.00",Project 17
Bolton MBC,Children's Services,Contracted Services,14-Mar-24,"£6,185.00",Quality Sport Holiday Clubs Limited
Bolton MBC,Children's Services,Contracted Services,14-Mar-24,"£5,160.00",Quality Sport Holiday Clubs Limited
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£2,723.16",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£2,908.83",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£618.90,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£783.94,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,588.51",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,712.29",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,14-Mar-24,£783.94,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£2,063.00",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,£536.38,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,114.02",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£783.94,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£2,063.00",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£536.38,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£701.42,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£660.16,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£639.53,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£887.09,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,732.92",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£522.63,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£634.37,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£990.24,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,279.06",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£660.16,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£691.11,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£3,260.23",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£866.46,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,650.40",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£577.64,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£577.64,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£660.16,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,£825.20,Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,072.76",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,803.41",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£14,215.79",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,732.92",Recovery Support Ltd
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£4,112.88",Red Lion Appartments
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£4,112.88",Red Lion Appartments
Bolton MBC,Adult Services,Contracted Services,17-Mar-24,"£4,112.88",Red Lion Appartments
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£1,484.08",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,25-Mar-24,"£1,263.75",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£738.21,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,28-Mar-24,£530.00,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£561.00,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,21-Mar-24,£561.00,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£1,015.83",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£1,137.25",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,25-Mar-24,£980.50,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,25-Mar-24,"£1,283.00",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£589.10,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,22-Mar-24,£668.60,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,12-Mar-24,£954.00,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,26-Mar-24,"£1,152.75",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,17-Mar-24,£799.42,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,25-Mar-24,£516.00,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£2,546.61",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£3,050.98",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£877.00,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,26-Mar-24,"£1,005.93",Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£741.74,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,28-Mar-24,£918.23,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£646.75,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£879.50,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£1,152.88",Redacted - Personal Data
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,£530.40,Redacted - Personal Data
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,£795.60,Redacted - Personal Data
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,"£2,611.82",Redacted - Personal Data
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,£894.00,Redacted - Personal Data
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,"£1,237.60",Redacted - Personal Data
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,"£1,200.00",Redacted - Personal Data
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,£707.20,Redacted - Personal Data
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£9,000.00",Rees Sports Limited
Bolton MBC,Adult Services,Contracted Services,20-Mar-24,"£1,650.00",Relphs Funeral Service#Funeralcare
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£1,650.00",Relphs Funeral Service#Funeralcare
Bolton MBC,Adult Services,Contracted Services,21-Mar-24,"£1,650.00",Relphs Funeral Service#Funeralcare
Bolton MBC,Adult Services,Contracted Services,20-Mar-24,"£1,650.00",Relphs Funeral Service#Funeralcare
Bolton MBC,Children's Services,Contracted Services,04-Mar-24,"£7,500.00",Remedi-Restorative Services#Remedi
Bolton MBC,Adult Services,Contracted Services,19-Mar-24,£602.87,Right Care (NW) Limited
Bolton MBC,Adult Services,Contracted Services,19-Mar-24,"£4,074.87",Right Care (NW) Limited
Bolton MBC,Adult Services,Contracted Services,19-Mar-24,"£1,190.65",Right Care (NW) Limited
Bolton MBC,Adult Services,Contracted Services,18-Mar-24,"£2,907.88",Rings Homecare Service Limited
Bolton MBC,Adult Services,Contracted Services,18-Mar-24,"£1,840.96",Rings Homecare Service Limited
Bolton MBC,Adult Services,Contracted Services,18-Mar-24,£993.70,Rings Homecare Service Limited
Bolton MBC,Environmental Services ,Contracted Services,19-Mar-24,£637.87,Riverside Truck Rental Limited
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,£587.50,Riverside Truck Rental Limited
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,£670.00,Riverside Truck Rental Limited
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,£505.00,Riverside Truck Rental Limited
Bolton MBC,Environmental Services ,Contracted Services,19-Mar-24,£546.25,Riverside Truck Rental Limited
Bolton MBC,Environmental Services ,Contracted Services,19-Mar-24,£875.63,Riverside Truck Rental Limited
Bolton MBC,Environmental Services ,Contracted Services,19-Mar-24,£608.13,Riverside Truck Rental Limited
Bolton MBC,Environmental Services ,Contracted Services,19-Mar-24,"£1,156.16",Riverside Truck Rental Limited
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£6,637.71",RNHS Ltd
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,£841.73,RNHS Ltd
Bolton MBC,Adult Services,Contracted Services,15-Mar-24,£508.57,Robertson Facilities Management Limited
Bolton MBC,Chief Executives ,Contracted Services,18-Mar-24,"£258,456.76",Robertson Facilities Management Limited
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£36,694.00",Rochdale MBC#Rochdale Borough Council
Bolton MBC,Adult Services,Contracted Services,18-Mar-24,"£30,823.68",Rosewood Court
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£36,203.00",Salford City Council
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£15,040.39",Seva Line
Bolton MBC,Adult Services,Contracted Services,12-Mar-24,"£1,129.54",Seva Line
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£2,816.00",SignHealth#The Deaf Health Charity
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£40,003.00",Stockport MBC
Bolton MBC,Chief Executives ,Contracted Services,01-Mar-24,"£5,000.00",Stoneclough Football Club
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,243.07",Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,08-Mar-24,"£1,300.60",Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,15-Mar-24,"£1,321.18",Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,"£1,243.77",Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,£564.88,Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,08-Mar-24,£564.88,Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,15-Mar-24,£575.34,Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,668.48",Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,08-Mar-24,"£1,649.30",Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,15-Mar-24,"£1,450.55",Supported Steps CIC
Bolton MBC,Adult Services,Contracted Services,25-Mar-24,"£1,286.66",Supported Steps CIC
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£36,714.00",Tameside MBC
Bolton MBC,Children's Services,Contracted Services,07-Mar-24,"£3,360.00",The Bolton Impact Trust
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,"£4,900.00",The Bolton Impact Trust
Bolton MBC,Children's Services,Contracted Services,01-Mar-24,£630.03,The Hub At Westhoughton
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£17,399.77",The Local Care Company (Bolton) Limited
Bolton MBC,Adult Services,Contracted Services,13-Mar-24,"£5,368.01",The Local Care Company (Bolton) Limited
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£5,928.00",The Lucy Faithfull Foundation
Bolton MBC,Chief Executives ,Contracted Services,19-Mar-24,£521.96,The Midcounties Co-operative
Bolton MBC,Adult Services,Contracted Services,26-Mar-24,"£61,000.00",The Riverside Group Limited
Bolton MBC,Adult Services,Contracted Services,20-Mar-24,"£10,200.00",The Stroke Association
Bolton MBC,Adult Services,Contracted Services,22-Mar-24,"£4,475.40",The Withins
Bolton MBC,Children's Services,Contracted Services,15-Mar-24,"£2,880.00",Tom Luke Tennis/Teddy Tennis Bolton - Preston
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£37,679.00",Trafford MBC#Trafford Borough Council
Bolton MBC,Public Health ,Contracted Services,01-Mar-24,"£1,326.00",Training 4 Kidz Play
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,"£1,863.20",W & S C Jobson
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,£944.45,W & S C Jobson
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,£871.68,W & S C Jobson
Bolton MBC,Environmental Services ,Contracted Services,01-Mar-24,"£2,794.93",W & S C Jobson
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£14,168.96",Westwood Homecare (North West) Limited
Bolton MBC,Adult Services,Contracted Services,11-Mar-24,"£2,656.68",Westwood Homecare (North West) Limited
Bolton MBC,Environmental Services ,Contracted Services,21-Mar-24,£749.57,Whale Tankers Ltd
Bolton MBC,Children's Services,Contracted Services,18-Mar-24,"£46,362.00",Wigan Council
Bolton MBC,Adult Services,Contracted Services,22-Mar-24,"£4,085.87",Woodlea Supported Accommodation
Bolton MBC,Adult Services,Contracted Services,04-Mar-24,"£13,840.29",Wyresdale House
Bolton MBC,Adult Services,Contracted Services,05-Mar-24,"£2,663.20",Yasnad Ltd t/a Bluebird Care Bury
Bolton MBC,Adult Services,Contracted Services,19-Mar-24,"£2,663.20",Yasnad Ltd t/a Bluebird Care Bury
Bolton MBC,Adult Services,Contracted Services,01-Mar-24,"£1,166.34",Your Care Solutions Limited
Bolton MBC,Adult Services,Contracted Services,20-Mar-24,"£1,094.58",Your Care Solutions Limited
Bolton MBC,Environmental Services ,Corporate Training,01-Mar-24,£804.00,Alliance Learning Training Limited
Bolton MBC,Chief Executives ,Corporate Training,01-Mar-24,£600.00,Bolton Hospice
Bolton MBC,Chief Executives ,Corporate Training,21-Mar-24,£934.35,Informed Assessment Limited
Bolton MBC,Chief Executives ,Corporate Training,19-Mar-24,"£29,935.00",Me Learning Limited
Bolton MBC,Chief Executives ,Corporate Training,21-Mar-24,"£1,200.00",The Carbon Literacy Trust
Bolton MBC,Chief Executives ,Corporate Training,07-Mar-24,£620.00,TLC Learning Academy#Limited
Bolton MBC,Chief Executives ,Crompton Place,22-Mar-24,"£41,617.13",AMAS Limited
Bolton MBC,Environmental Services ,Day To Day Maintenance,12-Mar-24,"£3,430.00",Bolton Stone Restoration Ltd
Bolton MBC,Environmental Services ,Day To Day Maintenance,22-Mar-24,"£2,184.00",Bolton Stone Restoration Ltd
Bolton MBC,Environmental Services ,Day To Day Maintenance,01-Mar-24,"£1,564.20",C Horrocks & Sons Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,£685.73,Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,£968.06,Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,£968.06,Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,£968.06,Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,"£1,011.63",Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,"£1,011.63",Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,"£1,011.63",Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,"£1,011.63",Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,"£1,011.63",Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,"£1,011.63",Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,"£1,011.63",Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,"£1,011.63",Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,£832.73,Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,01-Mar-24,£832.73,Eric Wright Group Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,12-Mar-24,£640.00,GB Seating Limited
Bolton MBC,Development & Regeneration ,Day To Day Maintenance,21-Mar-24,"£3,900.00",J & M Demolition & Recycled Aggregates Limited
Bolton MBC,Development & Regeneration ,Day To Day Maintenance,21-Mar-24,"£29,560.00",J & M Demolition & Recycled Aggregates Limited
Bolton MBC,Housing GRF,Day To Day Maintenance,01-Mar-24,"£4,527.63",J G Redford Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,14-Mar-24,"£3,979.35",Robertson Facilities Management Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,15-Mar-24,"£1,574.37",Robertson Facilities Management Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,15-Mar-24,"£4,705.43",Robertson Facilities Management Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,15-Mar-24,"£2,615.96",Robertson Facilities Management Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance,15-Mar-24,"£1,316.80",Robertson Facilities Management Limited
Bolton MBC,Chief Executives ,Day To Day Maintenance Structural,15-Mar-24,"£9,732.50",Robertson Facilities Management Limited
Bolton MBC,Environmental Services ,Day To Day Maintenance Structural,19-Mar-24,"£3,400.00",TDH Construction
Bolton MBC,Environmental Services ,Day To Day Maintenance Structural,19-Mar-24,£905.80,TDH Construction
Bolton MBC,Environmental Services ,Day To Day Maintenance Structural,18-Mar-24,"£2,550.00",TDH Construction
Bolton MBC,Environmental Services ,Day To Day Maintenance Structural,14-Mar-24,£633.19,TDH Construction
Bolton MBC,Environmental Services ,Day To Day Maintenance Structural,14-Mar-24,£905.80,TDH Construction
Bolton MBC,Environmental Services ,Direct Materials,20-Mar-24,£836.50,Aggregate Industries UK Limited
