Authority,Service Area,Description,Supplier,Payment,Amount
Bolton MBC,Adult Services,Residential Provision,BH Residential Care Home,03-Jul-23,"£2,891.86"
Bolton MBC,Adult Services,Residential Provision,Blackrod House Limited,03-Jul-23,"£7,836.00"
Bolton MBC,Adult Services,Residential Provision,Bluebell Cottage Veedale,03-Jul-23,"£6,217.20"
Bolton MBC,Adult Services,Contracted Services,Bolton New Care Limited T/A Home Instead Senior Care,01-Jul-23,"£1,096.50"
Bolton MBC,Adult Services,Contracted Services,Bolton New Care Limited T/A Home Instead Senior Care,01-Jul-23,"£1,058.50"
Bolton MBC,Adult Services,Contracted Services,Bolton New Care Limited T/A Home Instead Senior Care,03-Jul-23,"£1,023.52"
Bolton MBC,Adult Services,Contracted Services,Bolton New Care Limited T/A Home Instead Senior Care,24-Jul-23,£936.70
Bolton MBC,Adult Services,Partnership Staff,Bolton NHS Foundation Trust#1,24-Jul-23,"£2,934.01"
Bolton MBC,Adult Services,Partnerships - Other,Bolton NHS Foundation Trust#1,27-Jul-23,"£291,065.00"
Bolton MBC,Adult Services,Nursing Provision,Bright Meadows Care Home,03-Jul-23,"£12,624.00"
Bolton MBC,Adult Services,Residential Provision,Bright Meadows Care Home,03-Jul-23,"£2,612.00"
Bolton MBC,Adult Services,Residential Provision,Brookfield Residential Care Home Ltd,03-Jul-23,"£5,721.40"
Bolton MBC,Adult Services,Residential Provision,Brookvale,03-Jul-23,"£13,711.24"
Bolton MBC,Adult Services,Residential Provision,Browfield Residential Home,03-Jul-23,"£2,530.80"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Buddi Ltd,04-Jul-23,"£3,120.00"
Bolton MBC,Adult Services,Nursing Provision,Burrswood House,03-Jul-23,"£5,804.00"
Bolton MBC,Adult Services,Nursing Provision,Carders Court Care Home,03-Jul-23,"£3,622.00"
Bolton MBC,Adult Services,Contracted Services,Caring Alternatives Limited,28-Jul-23,"£1,211.01"
Bolton MBC,Adult Services,Contracted Services,Caring Alternatives Limited,28-Jul-23,"£12,379.91"
Bolton MBC,Adult Services,Residential Provision,Carr Bank House,03-Jul-23,"£2,530.80"
Bolton MBC,Adult Services,Residential Provision,Chatterton Hey,03-Jul-23,"£7,533.20"
Bolton MBC,Adult Services,Residential Provision,Chorley House,03-Jul-23,"£18,874.56"
Bolton MBC,Adult Services,Residential Provision,Chorley House,03-Jul-23,"£9,437.28"
Bolton MBC,Adult Services,Residential Provision,Church View,03-Jul-23,"£6,212.56"
Bolton MBC,Adult Services,Nursing Provision,Church Walk Health Care Limited,03-Jul-23,"£16,291.60"
Bolton MBC,Adult Services,Residential Provision,Clarence House,03-Jul-23,"£11,171.94"
Bolton MBC,Adult Services,Staff Hotel Expenses,Click Travel Limited,05-Jul-23,£541.98
Bolton MBC,Adult Services,Residential Provision,Comer Wall Way,03-Jul-23,"£29,340.00"
Bolton MBC,Adult Services,Contracted Services,Community Care Options#3,26-Jul-23,£711.28
Bolton MBC,Adult Services,Contracted Services,Companion Support Services Limited,01-Jul-23,"£12,962.88"
Bolton MBC,Adult Services,Contracted Services,Complete Care 4 U Limited,03-Jul-23,£899.56
Bolton MBC,Adult Services,Contracted Services,Complete Care 4 U Limited,31-Jul-23,£899.56
Bolton MBC,Adult Services,Contracted Services,Complete Care 4 U Limited,03-Jul-23,£585.76
Bolton MBC,Adult Services,Contracted Services,Complete Care 4 U Limited,31-Jul-23,£589.25
Bolton MBC,Adult Services,Contracted Services,Copperbeech Dog Kennels and Cattery,21-Jul-23,£666.67
Bolton MBC,Adult Services,Contracted Services,Copperbeech Dog Kennels and Cattery,01-Jul-23,£930.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Creative Care (Todmorden) Limited,12-Jul-23,"£4,661.65"
Bolton MBC,Adult Services,Nursing Provision,Crystal Hall Care Home,03-Jul-23,"£4,135.80"
Bolton MBC,Adult Services,Contracted Services,D C S Cleaning Services#D C S Extreme Cleaning Services Limited,01-Jul-23,£722.00
Bolton MBC,Adult Services,Contracted Services,D C S Cleaning Services#D C S Extreme Cleaning Services Limited,01-Jul-23,£505.00
Bolton MBC,Adult Services,Residential Provision,Daisy Fieldz Care Services Limited,03-Jul-23,"£15,243.82"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,£519.51
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,£837.85
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,"£1,329.12"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,"£2,343.04"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,"£2,583.62"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,"£1,349.34"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,"£3,483.18"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,£690.36
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,"£1,387.00"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,£674.67
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,"£1,334.00"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,£978.36
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,£582.27
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,01-Jul-23,£993.70
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,"£1,443.48"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,£557.87
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,"£1,548.08"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,"£3,635.20"
Bolton MBC,Adult Services,Contracted Services,Dignity in Life Ltd#DIL Foundation,06-Jul-23,£774.04
Bolton MBC,Adult Services,Residential Provision,DIL House,03-Jul-23,"£10,783.76"
Bolton MBC,Adult Services,Residential Provision,DIL Place,03-Jul-23,"£40,209.37"
Bolton MBC,Adult Services,Private Contracted Services,Disability Positive,01-Jul-23,"£11,978.40"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Disabled Living (Training Exhibitions) Limited,04-Jul-23,£800.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Disabled Living (Training Exhibitions) Limited,07-Jul-23,£800.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Doro Care (UK) Limited,07-Jul-23,"£3,800.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Doro Care (UK) Limited,21-Jul-23,"£2,150.00"
Bolton MBC,Adult Services,Operational Equipment Purchase,Doro Care (UK) Limited,07-Jul-23,"£1,200.00"
Bolton MBC,Adult Services,Operational Equipment Purchase,Doro Care (UK) Limited,07-Jul-23,"£3,270.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Drive Devilbiss Healthcare Limited,12-Jul-23,"£1,458.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Drive Devilbiss Healthcare Limited,19-Jul-23,"£1,400.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Drive DeVilbiss Sidhil Limited,11-Jul-23,"£1,925.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Easylink UK#Medpage Limited,06-Jul-23,£701.08
Bolton MBC,Adult Services,Clients Aids & Adaptations,Easylink UK#Medpage Limited,19-Jul-23,"£1,869.83"
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,01-Jul-23,£575.30
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,01-Jul-23,"£1,004.16"
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,01-Jul-23,£899.57
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,01-Jul-23,£899.56
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,01-Jul-23,£599.70
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,10-Jul-23,£617.14
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,10-Jul-23,"£1,004.16"
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,10-Jul-23,£899.57
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,10-Jul-23,£899.56
Bolton MBC,Adult Services,Contracted Services,Eden Care Support Services Ltd,10-Jul-23,£536.94
Bolton MBC,Adult Services,Residential Provision,Elizabeth House#1,03-Jul-23,"£2,467.84"
Bolton MBC,Adult Services,Residential Provision,Ellershaw House Ltd,03-Jul-23,"£10,428.64"
Bolton MBC,Adult Services,Contracted Services,Enhancing Lives Community Care Limited,01-Jul-23,"£1,008.00"
Bolton MBC,Adult Services,Contracted Services,Enhancing Lives Community Care Limited,10-Jul-23,"£1,008.00"
Bolton MBC,Adult Services,Contracted Services,Enhancing Lives Community Care Limited,10-Jul-23,£840.00
Bolton MBC,Adult Services,Contracted Services,Enhancing Lives Community Care Limited,10-Jul-23,"£1,008.00"
Bolton MBC,Adult Services,Residential Provision,Epworth Grange,03-Jul-23,"£2,530.80"
Bolton MBC,Adult Services,Contracted Services,Equilibrium Healthcare Limited,19-Jul-23,"£3,353.88"
Bolton MBC,Adult Services,Contracted Services,Fortalice Limited,25-Jul-23,"£48,960.00"
Bolton MBC,Adult Services,Residential Provision,Fosse Bank,03-Jul-23,"£7,517.18"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Frontier Therapeutics,25-Jul-23,"£3,225.96"
Bolton MBC,Adult Services,Residential Provision,Glenbank Care Home Ltd,03-Jul-23,"£2,612.00"
Bolton MBC,Adult Services,Specialist Advice,Glenesk,11-Jul-23,"£34,754.00"
Bolton MBC,Adult Services,Other Fees,GNS Inspire Limited,05-Jul-23,"£1,950.00"
Bolton MBC,Adult Services,Residential Provision,Grange Lea Residential Care Home Limited,03-Jul-23,"£2,612.00"
Bolton MBC,Adult Services,Contracted Services,Great Places Housing Association,17-Jul-23,"£12,580.00"
Bolton MBC,Adult Services,Contracted Services,Greater Manchester Mental Health NHS Foundation Trust,20-Jul-23,£998.23
Bolton MBC,Adult Services,Contracted Services,Greater Manchester Mental Health NHS Foundation Trust,20-Jul-23,"£2,520.30"
Bolton MBC,Adult Services,Contracted Services,Greater Manchester Mental Health NHS Foundation Trust,20-Jul-23,"£1,906.26"
Bolton MBC,Adult Services,Contracted Services,Greater Manchester Mental Health NHS Foundation Trust,20-Jul-23,"£2,089.05"
Bolton MBC,Adult Services,Contracted Services,Greater Manchester Mental Health NHS Foundation Trust,21-Jul-23,"£2,183.34"
Bolton MBC,Adult Services,Contracted Services,Greater Manchester Mental Health NHS Foundation Trust,21-Jul-23,"£3,155.05"
Bolton MBC,Adult Services,Contracted Services,Greater Manchester Mental Health NHS Foundation Trust,21-Jul-23,"£5,965.36"
Bolton MBC,Adult Services,Residential Provision,Greenlands Residential Home Limited,03-Jul-23,"£2,612.00"
Bolton MBC,Adult Services,Residential Provision,Greenlands Residential Home Limited,03-Jul-23,"£4,571.00"
Bolton MBC,Adult Services,Residential Provision,Hartington House,03-Jul-23,"£15,551.84"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Harvest Healthcare Limited,03-Jul-23,£931.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Harvest Healthcare Limited,03-Jul-23,"£3,556.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Harvest Healthcare Limited,19-Jul-23,"£2,148.60"
Bolton MBC,Adult Services,Clients - Taxi Fares,Hastings Cars NW Limited,01-Jul-23,£540.00
Bolton MBC,Adult Services,Residential Provision,Hazelbrook Christian Nursing Home,03-Jul-23,"£8,136.00"
Bolton MBC,Adult Services,Residential Provision,Heaton Vale,03-Jul-23,"£23,169.68"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Helping Hand Co (Ledbury) Ltd,01-Jul-23,£646.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Helping Hand Co (Ledbury) Ltd,01-Jul-23,£986.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Helping Hand Co (Ledbury) Ltd,11-Jul-23,"£1,215.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Helping Hand Co (Ledbury) Ltd,11-Jul-23,£783.00
Bolton MBC,Adult Services,Miscellaneous Grants,Henshaws Society For The Blind,25-Jul-23,"£10,875.24"
Bolton MBC,Adult Services,Residential Provision,HF Trust Limited Honeysuckle House,03-Jul-23,"£9,471.92"
Bolton MBC,Adult Services,Residential Provision,Hollands Nursing Home,03-Jul-23,"£2,399.97"
Bolton MBC,Adult Services,Residential Provision,Hollands Nursing Home,03-Jul-23,"£2,896.00"
Bolton MBC,Adult Services,Residential Provision,Hollands Nursing Home,03-Jul-23,"£23,168.00"
Bolton MBC,Adult Services,Contracted Services,Homecare For You Ltd#BLACKBURN,13-Jul-23,"£11,509.76"
Bolton MBC,Adult Services,Contracted Services,Homecare For You Ltd#BLACKBURN,13-Jul-23,"£1,400.66"
Bolton MBC,Adult Services,Contracted Services,Homecare For You Ltd#BLACKBURN,13-Jul-23,"£6,771.79"
Bolton MBC,Adult Services,Contracted Services,Homecare Haven Limited,03-Jul-23,"£2,175.68"
Bolton MBC,Adult Services,Contracted Services,Homecare Team Limited,19-Jul-23,"£6,475.41"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Hospital Direct (Marketing) Limited,27-Jul-23,£830.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Hospital Direct (Marketing) Limited,28-Jul-23,£830.00
Bolton MBC,Adult Services,Residential Provision,Hyde Lea,03-Jul-23,"£2,896.00"
Bolton MBC,Adult Services,Contracted Services,Independence Support Limited,01-Jul-23,"£2,049.55"
Bolton MBC,Adult Services,Contracted Services,Independence Support Limited,01-Jul-23,£680.20
Bolton MBC,Adult Services,Contracted Services,Independence Support Limited,25-Jul-23,£680.20
Bolton MBC,Adult Services,Contracted Services,Independence Support Limited,01-Jul-23,"£1,253.00"
Bolton MBC,Adult Services,Other Agency/Contracted Services,Interpreting & Translating Services,03-Jul-23,"£4,410.00"
Bolton MBC,Adult Services,Other Agency/Contracted Services,Interpreting & Translating Services,28-Jul-23,"£5,040.00"
Bolton MBC,Adult Services,Contracted Services,Jewel Home Support Ltd,11-Jul-23,"£35,913.49"
Bolton MBC,Adult Services,Contracted Services,Jewel Home Support Ltd,11-Jul-23,"£2,080.20"
Bolton MBC,Adult Services,Contracted Services,Jewel Home Support Ltd,11-Jul-23,"£11,554.24"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Just Checking Ltd,01-Jul-23,"£5,246.34"
Bolton MBC,Adult Services,Residential Provision,Kingarth#1,03-Jul-23,"£24,635.02"
Bolton MBC,Adult Services,Residential Provision,Knightswood Residential Home,03-Jul-23,"£3,236.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Langham,11-Jul-23,£551.70
Bolton MBC,Adult Services,Residential Provision,Lever Edge Care Home,03-Jul-23,"£13,628.00"
Bolton MBC,Adult Services,Residential Provision,Lyngate Residential Home#Lyngate Healthcare Ltd,03-Jul-23,"£2,612.00"
Bolton MBC,Adult Services,Residential Provision,Lyngate Residential Home#Lyngate Healthcare Ltd,03-Jul-23,"£8,120.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Mangar International Ltd,10-Jul-23,"£2,089.97"
Bolton MBC,Adult Services,Nursing Provision,Marion Lauder Care Home,03-Jul-23,"£2,599.32"
Bolton MBC,Adult Services,Residential Provision,Max Potential UK Limited,03-Jul-23,"£12,450.00"
Bolton MBC,Adult Services,Residential Provision,Max Potential UK Limited,03-Jul-23,"£15,041.12"
Bolton MBC,Adult Services,Residential Provision,Max Potential UK Limited,03-Jul-23,"£3,760.28"
Bolton MBC,Adult Services,Residential Provision,Max Potential UK Limited,03-Jul-23,"£7,960.28"
Bolton MBC,Adult Services,Residential Provision,Max Potential UK Limited,03-Jul-23,"£3,760.28"
Bolton MBC,Adult Services,Residential Provision,Max Potential UK Limited-Glen Avenue,03-Jul-23,"£7,520.56"
Bolton MBC,Adult Services,Nursing Provision,Meadowbank House,03-Jul-23,"£5,624.00"
Bolton MBC,Adult Services,Residential Provision,Meadowbank House,03-Jul-23,"£2,612.00"
Bolton MBC,Adult Services,Other Fees,Mental Capacity Cat,11-Jul-23,£675.00
Bolton MBC,Adult Services,Nursing Provision,Mill View Care Home#Advinia,03-Jul-23,"£10,234.43"
Bolton MBC,Adult Services,Residential Provision,Mill View Care Home#Advinia,03-Jul-23,"£15,333.71"
Bolton MBC,Adult Services,Residential Provision,Millbrook Way - Heathwaite,03-Jul-23,"£15,947.36"
Bolton MBC,Adult Services,Residential Provision,Morden Grange,03-Jul-23,"£110,065.02"
Bolton MBC,Adult Services,Residential Provision,Morgan Care Ltd,03-Jul-23,"£5,508.00"
Bolton MBC,Adult Services,Nursing Provision,Moston Grange Nursing Home,03-Jul-23,"£3,910.44"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Newlyn Healthcare Specialist Equipment Ltd,21-Jul-23,£680.00
Bolton MBC,Adult Services,Nursing Provision,Next Steps Levenshulme,03-Jul-23,"£16,440.00"
Bolton MBC,Adult Services,Residential Provision,Next Steps The Elms,03-Jul-23,"£15,985.96"
Bolton MBC,Adult Services,Clients Aids & Adaptations,NRS Healthcare#Nottingham Rehab Limited#Complete Care Shop,13-Jul-23,£872.70
Bolton MBC,Adult Services,Clients Aids & Adaptations,NYMAS#North Yorkshire Mobility & Safety#Barwood,03-Jul-23,£710.00
Bolton MBC,Adult Services,Contracted Services,Oakdale Supported Living,01-Jul-23,"£7,097.60"
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,"£2,083.96"
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,£681.54
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,£863.40
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,£825.72
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,"£1,926.65"
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,£899.45
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,"£2,431.27"
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,£629.12
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,£688.10
Bolton MBC,Adult Services,Contracted Services,Orchid Home Care Support,04-Jul-23,£766.74
Bolton MBC,Adult Services,Residential Provision,Orchid Woodlands Healthcare Limited,03-Jul-23,"£2,896.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Osprey Healthcare Ltd,01-Jul-23,£522.44
Bolton MBC,Adult Services,Contracted Services,P & R Health Care Solutions,04-Jul-23,"£2,754.66"
Bolton MBC,Adult Services,Contracted Services,P & R Health Care Solutions,31-Jul-23,"£1,743.46"
Bolton MBC,Adult Services,Contracted Services,P & R Health Care Solutions,04-Jul-23,£585.78
Bolton MBC,Adult Services,Contracted Services,P & R Health Care Solutions,04-Jul-23,"£1,867.23"
Bolton MBC,Adult Services,Contracted Services,P & R Health Care Solutions,31-Jul-23,£585.79
Bolton MBC,Adult Services,Contracted Services,P & R Health Care Solutions,31-Jul-23,"£2,510.55"
Bolton MBC,Adult Services,Contracted Services,P & R Health Care Solutions,04-Jul-23,£795.02
Bolton MBC,Adult Services,Residential Provision,Parkview Nursing & Residential Home,03-Jul-23,"£16,788.00"
Bolton MBC,Adult Services,Residential Provision,Passmonds House,03-Jul-23,"£2,184.00"
Bolton MBC,Adult Services,Contracted Services,Precedo Healthcare Limited,11-Jul-23,"£28,806.84"
Bolton MBC,Adult Services,Contracted Services,Premier Care Limited,13-Jul-23,"£18,224.07"
Bolton MBC,Adult Services,Contracted Services,Premier Care Limited,13-Jul-23,£817.07
Bolton MBC,Adult Services,Contracted Services,Premier Care Limited,13-Jul-23,£994.13
Bolton MBC,Adult Services,Contracted Services,Premier Care Limited,13-Jul-23,"£9,013.52"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,01-Jul-23,£860.38
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,01-Jul-23,"£1,049.85"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,01-Jul-23,"£1,560.83"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,01-Jul-23,"£1,587.68"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,01-Jul-23,"£1,363.29"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,12-Jul-23,"£1,274.28"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,12-Jul-23,"£1,634.16"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,14-Jul-23,"£1,051.09"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,17-Jul-23,£507.48
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,18-Jul-23,"£1,012.80"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,18-Jul-23,"£1,519.20"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,18-Jul-23,"£1,012.80"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,18-Jul-23,"£1,595.41"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,19-Jul-23,"£1,940.99"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Prism Medical UK,21-Jul-23,£762.33
Bolton MBC,Adult Services,Residential Provision,Queens Park View#Intelligent Care,03-Jul-23,"£11,072.16"
Bolton MBC,Adult Services,Nursing Provision,Randomlight Ltd#Heightside House,03-Jul-23,"£2,612.72"
Bolton MBC,Adult Services,Residential Provision,Raven,03-Jul-23,"£78,574.78"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£2,623.45"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£825.20
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£1,870.45"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£1,870.45"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£618.90
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£1,650.40"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£1,155.28"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£783.94
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£660.16
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£715.17
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£660.16
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£825.20
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£639.53
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£1,671.03"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£907.72
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£574.20
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£577.64
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£577.64
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£742.68
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£1,114.02"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£660.16
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£701.42
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£3,082.12"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,"£1,619.46"
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£575.92
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£577.64
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,01-Jul-23,£598.27
Bolton MBC,Adult Services,Contracted Services,Recovery Support Ltd,13-Jul-23,"£1,873.89"
