DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,The Networking People,295607,1002170,3/09/2024,"19,182.07","3,197.01",5G Reach Project,40277,63527,Communication Lines,Resources - 1,TRSTOT,FG1,Ict Services Division - 3,FG3,Ict Services Division - 5,SI115831,1002170295607SI115831
Blackpool Council,The Networking People,295610,1002170,3/09/2024,"4,593.59",765.60,Ict Recharge Account,40114,63527,Communication Lines,Resources - 1,TRSTOT,FGAA,Ict Corporate Services - 3,FGAAAA1,Ict Corporate Services FGAAAA1 - 5,SI115827,1002170295610SI115827
Blackpool Council,The Networking People,295611,1002170,3/09/2024,"2,813.33",468.89,5G Reach Project,40277,63527,Communication Lines,Resources - 1,TRSTOT,FG1,Ict Services Division - 3,FG3,Ict Services Division - 5,SI115826,1002170295611SI115826
Blackpool Council,The Networking People,295616,1002170,3/09/2024,355.80,59.30,Miscellaneous Sites,40153,64501,Private Contractors,Resources - 1,TRSTOT,AEV,Vacant & Under Used - 3,FMBAA,Vacant/Underused - 5,SI115837,1002170295616SI115837
Blackpool Council,PARENTASSESS LTD,295630,1141041,4/09/2024,"1,296.00",216.00,Supporting & Strengthening Families Management,10504,65588,"Education, training and support",Children's Services - 1,CHISER,CSCARE1,Children's social care,JAB1,JAB1,INV-5132,1141041295630INV-5132
Blackpool Council,The Networking People,295648,1002170,3/09/2024,"5,759.62",959.94,Electrical Infrastructure,50110,63401,General Services,Communication & Regeneration - 1,AMCPI,PJOP,Illuminations - Operations - 3,PJRA1,Electrical Infra - Places - 5,SI115839,1002170295648SI115839
Blackpool Council,Wrps Ltd,295665,1003665,2/09/2024,"1,395.07",232.51,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,16975,100366529566516975
Blackpool Council,Wrps Ltd,295666,1003665,2/09/2024,908.64,151.44,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,16974,100366529566616974
Blackpool Council,Sellick Partnership Limited,295695,1001076,6/09/2024,"1,696.32",282.72,"Prop, Comm & Litigation Gen",61002,60791,Agency Staff,Chief Executive - 1,CEXTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,INV573038,1001076295695INV573038
Blackpool Council,North Liverpool Construction Ltd (Fac067),295756,1003477,3/09/2024,936.00,156.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,131012,1003477295756131012
