FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference
LIST,Blackpool Council,Tmp (Uk) Ltd,197679,1000064,3/04/2024,488.74,81.46,Planning Development Management,50137,63806,Advertising General,Communication & Regeneration - 1,AMCPI,HP,Planning Services - 3,HP2,Planning Services - 5,357711
LIST,Blackpool Council,Tmp (Uk) Ltd,197681,1000064,3/04/2024,534.61,89.10,Licensing - Taxis,30004,63401,General Services,Community & Env Services - 1,BPLSER,PUBPRO,Public Protection - 3,PYLA1,Licencing - 5,357835
LIST,Blackpool Council,Stannah Lift Services Ltd,197711,1000811,19/04/2024,300.00,50.00,Csdp,20424,65401,Aids To Daily Living,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,1085643802
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),197746,1003477,3/04/2024,"1,674.00",279.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130809
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),197750,1003477,3/04/2024,864.00,144.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130800
LIST,Blackpool Council,Irrv Services,197762,1000304,2/04/2024,348.00,58.00,Income,40085,63605,Conferences and Short Courses,Resources - 1,TRSTOT,FBBE,"Income, Recovery & Debtors - 3",FBBE2,"Income, Recovery & Debtors - 5",A134443
LIST,Blackpool Council,Allied Publicity Services (Manchester) Ltd,197766,1003694,2/04/2024,"1,206.76",201.13,Blue Badge Reform,90000,63401,VAT ADJUSTMENT,Resources - 1,TRSTOT,NA,Not Applicable - 3,NA,Not Applicable - 5,C84408
LIST,Blackpool Council,Dh Mechatronic Uk Ltd,197793,1001097,3/04/2024,390.00,65.00,My Place (The Oracle),40034,61012,Maintenance Private Contractor,Resources - 1,TRSTOT,AEB,Buildings - 3,BDCH,Buildings -Childrens - 5,54354
LIST,Blackpool Council,Jb Roofing Ltd,197798,1006348,3/04/2024,"3,000.00",500.00,Miscellaneous Sites,40153,61012,Maintenance Private Contractor,Resources - 1,TRSTOT,AEV,Vacant & Under Used - 3,FMBAA,Vacant/Underused - 5,INV-1400
LIST,Blackpool Council,Jb Roofing Ltd,197799,1006348,3/04/2024,"1,020.00",170.00,Christ The King,40051,61012,Maintenance Private Contractor,Resources - 1,TRSTOT,AEB,Buildings - 3,BDCH,Buildings -Childrens - 5,INV-1409
LIST,Blackpool Council,Security Monitoring Centres Ltd,197813,1000539,3/04/2024,601.49,100.25,Grundy Art Gallery,50017,61171,Alarms,Resources - 1,TRSTOT,WASTE,Waste Management - 3,LB2,Library Service - 5,SI0970899
LIST,Blackpool Council,Marshall Leasing Ltd,197836,1004167,3/04/2024,564.00,94.00,Kincraig - General,10135,62201,Contract Hire,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED101,Kincraig Primary - 5,3296354
