Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Berwick House Rest Home,350156,1000470,01/11/2024,"1,086.68",0,Residential Placements,20181,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734005,1.00047E+18
Blackpool Council,SILVER TREE CARE LTD - KNOLL HOUSE CARE HOME,350157,1140882,01/11/2024,"1,628.08",0,Residential Placements,20418,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734006,1.14088E+18
Blackpool Council,Pro Care Homes (Bpool) Ltd - Bronswick House,350158,1007932,01/11/2024,"1,154.08",0,Residential Placements,20135,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734008,1.00793E+18
Blackpool Council,Pro Care Homes (Bpool) Ltd - The Sylvester,350160,1007933,01/11/2024,"1,031.38",0,Short Term Care,20429,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734179,1.00793E+18
Blackpool Council,Terebinth Limited,350162,1003029,01/11/2024,"1,407.38",0,Residential Placements,20135,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734181,1.00303E+18
Blackpool Council,Highcroft Care Blackpool Ltd,350163,1000184,01/11/2024,"1,149.58",0,Residential Placements,20135,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734182,1.00018E+18
Blackpool Council,Barchester Healthcare,350164,1000278,01/11/2024,"2,410.76",0,Residential Placements,20181,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734183,1.00028E+18
Blackpool Council,Merwood Residential Care Home,350165,1000215,01/11/2024,"1,031.38",0,Residential Placements,20391,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734184,1.00022E+18
Blackpool Council,Lillibet Healthcare 2 Ltd - Belgravia,350166,1004881,01/11/2024,"3,134.92",0,Residential Placements,20168,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734185,1.00488E+18
Blackpool Council,Annacliffe Residential Home,350168,1000488,01/11/2024,"1,968.88",0,Residential Placements,20435,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734186I,1000488350168734186I
Blackpool Council,Sheridan Care Ltd T/A Elmsdene N/Home,350169,1000051,01/11/2024,899.36,0,Short Term Care,20162,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734187,1.00005E+18
Blackpool Council,Haddon Court Rest Home,350170,1000489,01/11/2024,335.5,0,Residential Placements,20181,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734188,1.00049E+18
Blackpool Council,Majestic Care Home Ltd - Waterside,350171,1000071,01/11/2024,"4,834.39",0,Residential Placements,20232,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734189,1.00007E+18
Blackpool Council,Fylde Care 2004 Ltd,350173,1000388,01/11/2024,"1,620.00",0,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734191I,1000388350173734191I
Blackpool Council,Sheridan Care Ltd T/A Elmsdene N/Home,350174,1000051,01/11/2024,"1,031.38",0,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734192,1.00005E+18
Blackpool Council,Zion Care (St Albans) Ltd,350175,1000108,01/11/2024,"1,542.30",0,Nursing Placements,20167,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734194,1.00011E+18
Blackpool Council,Westlive Ltd,350177,1000035,01/11/2024,"1,407.38",0,Residential Placements,20391,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734195I,1000035350177734195I
Blackpool Council,Westlive Ltd,350179,1000035,01/11/2024,"1,407.38",0,Short Term Care,20465,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734197I,1000035350179734197I
Blackpool Council,FERROL LODGE CARE HOME LIMITED,350181,1143389,01/11/2024,935.4,0,Short Term Care,20093,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734200,1.14339E+18
Blackpool Council,ACKROYD HOUSE LTD,350182,1143428,01/11/2024,656.94,0,Residential Placements,20375,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734201,1.14343E+18
Blackpool Council,Golden Years Rest Home,350183,1000227,01/11/2024,392.96,0,Respite Care,20466,47582,Indep Sect Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734202,1.00023E+18
Blackpool Council,Westlive Ltd,350184,1000035,01/11/2024,725.15,0,Short Term Care,20356,47583,Indep Sect Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734203,1.00004E+18
Blackpool Council,Parkview Care Home,350186,1003955,01/11/2024,"1,623.92",0,Short Term Care,20382,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734204I,1003955350186734204I
Blackpool Council,Parkview Care Home,350188,1003955,01/11/2024,"1,623.92",0,Nursing Placements,20473,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734206I,1003955350188734206I
Blackpool Council,Acorn Nursing Home,350189,1000494,01/11/2024,989.14,0,Short Term Care,20448,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734207,1.00049E+18
Blackpool Council,Berwick House Rest Home,350190,1000470,01/11/2024,"1,407.38",0,Residential Placements,20168,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734208,1.00047E+18
Blackpool Council,WELFORD COURT LTD - WELFORD COURT CARE HOME,350191,1143351,01/11/2024,"1,700.00",0,Short Term Care,20215,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734209,1.14335E+18
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,350192,1000301,01/11/2024,"1,407.38",0,Residential Placements,20456,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734211,1.0003E+18
Blackpool Council,Glenholme Healthcare Ltd - Bispham Gardens,350193,1003867,01/11/2024,"1,365.14",0,Short Term Care,20202,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734212,1.00387E+18
Blackpool Council,Highgrove Rest Home (Blackpool) Ltd,350195,1007930,01/11/2024,"1,031.38",0,Residential Placements,20375,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734214,1.00793E+18
Blackpool Council,Glenholme Healthcare Ltd - Bispham Gardens,350196,1003867,01/11/2024,990,0,Nursing Placements,20417,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734215,1.00387E+18
Blackpool Council,Pro Care Homes (Blackpool) Ltd - Moor Villa,350199,1007934,01/11/2024,894.5,0,Residential Placements,20456,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734217,1.00793E+18
Blackpool Council,Majestic Care Home Ltd - Waterside,350204,1000071,01/11/2024,"1,031.38",0,Short Term Care,20227,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734222,1.00007E+18
Blackpool Council,HC-ONE NO1 LIMITED - DOVE COURT,350205,1143581,01/11/2024,"1,110.96",0,Nursing Placements,20374,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734223,1.14358E+18
Blackpool Council,Alexandra Nursing Home,350206,1000490,01/11/2024,"1,736.24",0,Nursing Placements,20231,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734225,1.00049E+18
Blackpool Council,Parkview Care Home,350209,1003955,01/11/2024,"1,031.38",0,Nursing Placements,20473,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734228,1.00396E+18
Blackpool Council,Ashbourne Lodge Jm Ltd,350212,1000288,01/11/2024,"1,617.38",0,Short Term Care,20215,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734230I,1000288350212734230I
Blackpool Council,Alexandra Nursing Home,350213,1000490,01/11/2024,"4,712.53",0,Nursing Placements,20167,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734231,1.00049E+18
Blackpool Council,Merwood Residential Care Home,350214,1000215,01/11/2024,"1,031.38",0,Short Term Care,20232,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734232,1.00022E+18
Blackpool Council,Ashbourne Lodge Jm Ltd,350215,1000288,01/11/2024,899.8,0,Residential Placements,20391,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734233,1.00029E+18
Blackpool Council,Glenholme Healthcare Ltd - Bispham Gardens,350216,1003867,01/11/2024,"1,365.14",0,Residential Placements,20135,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734234,1.00387E+18
Blackpool Council,Highgrove Rest Home (Blackpool) Ltd,350218,1007930,01/11/2024,"1,031.38",0,Residential Placements,20346,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734236,1.00793E+18
Blackpool Council,Sheridan Care Ltd T/A Elmsdene N/Home,350219,1000051,01/11/2024,"2,051.95",0,Residential Placements,20391,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734237,1.00005E+18
Blackpool Council,Annacliffe Residential Home,350220,1000488,01/11/2024,"1,031.38",0,Short Term Care,20467,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734238,1.00049E+18
Blackpool Council,Sheridan Care Ltd T/A Elmsdene N/Home,350221,1000051,01/11/2024,"1,080.97",0,Residential Placements,20232,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734239,1.00005E+18
Blackpool Council,Lytham Grange Care Home,350223,1005781,01/11/2024,"3,542.02",0,Short Term Care,20467,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734240I,1005781350223734240I
Blackpool Council,Haddon Court Rest Home,350225,1000489,01/11/2024,"3,317.39",0,Short Term Care,20450,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734241I,1000489350225734241I
Blackpool Council,Barchester Healthcare,350227,1000278,01/11/2024,"4,554.00",0,Short Term Care,20227,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734242I,1000278350227734242I
Blackpool Council,Westlive Ltd,350229,1000035,01/11/2024,"4,523.72",0,Nursing Placements,20434,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734243I,1000035350229734243I
Blackpool Council,Westlive Ltd,350231,1000035,01/11/2024,"5,931.10",0,Nursing Placements,20473,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734244I,1000035350231734244I
Blackpool Council,Nr & Vgp Care Home - Fleetwood Nursing Home,350232,1000358,01/11/2024,"6,933.52",0,Nursing Placements,20360,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734245,1.00036E+18
Blackpool Council,MMCG (CCH) (2) LTD - AMBER COURT CARE HOME,350234,1001492,01/11/2024,"5,363.05",0,Nursing Placements,20231,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734246I,1001492350234734246I
Blackpool Council,Pnp Care Homes Ltd,350235,1003031,01/11/2024,"2,216.09",0,Short Term Care,20450,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734247,1.00303E+18
Blackpool Council,Balmoral Care Home,350237,1000469,01/11/2024,"3,317.40",0,Short Term Care,20384,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734248I,1000469350237734248I
