"Service label","Service code","Organisational unit","Expenditure category","Expenditure code","Date","Transaction number","Amount","Supplier name",
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,16232.5,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,-8116.25,KEYS GROUP,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,-16232.5,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,24348.75,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,-11223.75,KEYS GROUP,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,19340,KEYS GROUP,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,16232.5,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,-8116.25,KEYS GROUP,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,-16232.5,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,24348.75,KEYS GROUP,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,19340,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,06/10/2023,,-11223.75,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,11/10/2023,,8116.25,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,18/10/2023,,-9600.5,KEYS GROUP,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,18/10/2023,,19340,KEYS GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,19/10/2023,,9739.5,KEYS GROUP,
11,11,CWD Agency Residential - SOUTH,Private Contractors & Other Agencies - Other,14063,05/10/2023,,3883.33,PRIORY GROUP,
11,11,CWD Agency Residential - EAST,Private Contractors & Other Agencies - Other,14063,05/10/2023,,14175.21,PRIORY GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,05/10/2023,,6840,PRIORY GROUP,
11,11,CWD Agency Residential - NORTH,Private Contractors & Other Agencies - Other,14063,12/10/2023,,5648.4,PRIORY GROUP,
11,11,Education Welfare - Schools,Chg - Schools - School Improvement Service,61370,27/10/2023,,11218,OUR LADY'S HIGH SCHOOL PRESTON,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,03/10/2023,,440.23,A FAMILY'S BEST FRIEND,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,24/10/2023,,278.04,A FAMILY'S BEST FRIEND,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,24/10/2023,,254.87,A FAMILY'S BEST FRIEND,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,24/10/2023,,741.44,A FAMILY'S BEST FRIEND,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,25/10/2023,,428.65,A FAMILY'S BEST FRIEND,
11,11,CWD Agency Family Support - NORTH,Private Contractors & Other Agencies - Other,14063,31/10/2023,,278.04,A FAMILY'S BEST FRIEND,
11,11,Add'nl Inclusion Support (AIS),Professional Services,13199,09/10/2023,,3993.66,PUDDLEDUCKS @ RISING BRIDGES LTD,
11,11,Agency Residential - North,Private Contractors & Other Agencies - Other,14063,10/10/2023,,15278.66,HORIZON CARE & EDUCATION GROUP LTD,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,994.48,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering Birthday,15037,23/10/2023,,233,REDACTED,
11,11,Family Support RO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,2680.34,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,1346.8,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,1346.8,REDACTED,
11,11,Family Support RO - Pendle,Allowances - RO's/SGO's,15033,11/10/2023,,800.59,REDACTED,
11,11,Family Support RO - Pendle,Allowances - RO's/SGO's,15033,11/10/2023,,2476.92,REDACTED,
11,11,Family Support SGO - Pendle,Allowances - RO's/SGO's,15033,11/10/2023,,704.59,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,790.4,REDACTED,
11,11,Family Support SGO - Chorley,Allowances - RO's/SGO's,15033,11/10/2023,,2933.06,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,790.4,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,431.96,REDACTED,
11,11,Adoption - General,Allowances - Adoption,15035,10/10/2023,,607.97,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,383.78,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,994.48,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,994.48,REDACTED,
11,11,Family Support SGO - Chorley,Allowances - RO's/SGO's,15033,11/10/2023,,347.9,REDACTED,
11,11,Reg Payments - Assist to Fam Chorley,Families Assistance,15021,11/10/2023,,611.14,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering Birthday,15037,09/10/2023,,159,REDACTED,
11,11,Burnley Fostering LCC,Travelling Expenses Refunded,12103,09/10/2023,,155.1,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,1516.8,REDACTED,
