Invoice Date,Transaction Number,Invoice Number,Amount,Supplier Name(T),Supplier Name,VAT Registration Number,Expense Area(T),Expense Code,Expense Code(T)
01/04/2023,60076273,472,2990,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/04/2023,60076333,096R00922,3035.25,Biffa Municipal Ltd,RC501347,537 9116 27,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60075154,P19255,3097.6,Recycle Force Ltd,RC302063,,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60076400,INV-1309,3102.7,Corby Star Cars Ltd,RC501949,307243038,Home to School Transport,R3207,Transport Contract
01/04/2023,60076351,230388,3146,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/04/2023,60076304,INV-4025,3171.73,Vectare,RC301856,GB264131821,Public Transport,R5017,TPP - Other
01/04/2023,60076274,473,3174,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/04/2023,60076423,INV-10300,3188.57,Safe Haven Accommodation Ltd,RC302376,310240768,Unaccompanied Asylum Seekers - Over 18,R4900,Accommodation Costs
01/04/2023,60076272,471,3220,Ace Cabs Stamford Ltd,RC500124,184 8594 53,Home to School Transport,R3207,Transport Contract
01/04/2023,60076349,230385,3234.5,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/04/2023,60076494,P20182,3297.6,Recycle Force Ltd,RC302063,,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60077182,440990,3329.84,Jay Fostering Limited,RC501901,,Placements,R5017,TPP - Other
01/04/2023,60076268,467,3335,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/04/2023,60076649,SI-K0000002494,3343.66,Horizon Supported Accommodation,RC506973,841 788494,UASC 16-17,R4900,Accommodation Costs
01/04/2023,60076350,230386,3381,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/04/2023,60076271,470,3427,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/04/2023,60076262,2155278,3451.5,Weightmans LLP,RC502198,974 8257 69,Legal Services,R4400,Professional Fees
01/04/2023,60076656,182259,3491.6,New Earth Solutions (West) Limited T/A Mid-UK Recycling Ltd,RC505938,246 2500 29,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60076809,INV-10188,3508.56,Safe Haven Accommodation Ltd,RC302376,310240768,Unaccompanied Asylum Seekers - Over 18,R4900,Accommodation Costs
01/04/2023,60077181,440989,3523.46,Jay Fostering Limited,RC501901,,Placements,R5017,TPP - Other
01/04/2023,60076992,33978,3557.1,Compass Fostering Central Limited,RC501320,153 1739 18,Placements,R5017,TPP - Other
01/04/2023,60076297,SI-119936,3568,Ian Bryers Car & Commercial Repairs,RC502875,550 9095 37,Transport Fleet,R3004,Vehicle Maintenance
01/04/2023,60076305,E2016867275,3615.57,Allstar Business Solutions Ltd,RC507815,747 8801 91,Transport Fleet,R3000,Fuel
01/04/2023,60077064,440971,3653.1,Jay Fostering Limited,RC501901,,UASC 16-17,R4900,Accommodation Costs
01/04/2023,60076976,440972,3690,Jay Fostering Limited,RC501901,,UASC Under 16,R4900,Accommodation Costs
01/04/2023,60076365,839165,3721.18,FCC Recycling (UK) Ltd,RC502258,637 8808 92,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60076399,INV-1308,3850,Corby Star Cars Ltd,RC501949,307243038,SEN Transport,R3207,Transport Contract
01/04/2023,60076403,INV-1311,3960,Corby Star Cars Ltd,RC501949,307243038,SEN Transport,R3207,Transport Contract
01/04/2023,60076209,7211,4020,Cross Media Print and Digital Solutions Limited,RC300906,195 6476 56,Green Waste Collections,R4300,Printing & Photocopying
01/04/2023,60076404,INV-1312,4180,Corby Star Cars Ltd,RC501949,307243038,SEN Transport,R3207,Transport Contract
01/04/2023,60076528,J078 / 130110 / 166,4208.36,Tarmac Trading Ltd,RC507911,143 7761 02,Public Rights of Way,R5000,TPP - Grounds Maintenance
01/04/2023,60076630,6418,4293,Resource Futures Ltd,RC301499,,Waste Management,R4400,Professional Fees
01/04/2023,60076560,32664,4670.32,Mason Infotech Ltd,RC300408,209 4874 85,IT Operational Support,R4537,Computing - Internet
01/04/2023,60076527,J078 / 130110 / 164,4708.58,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme Places - Highways,C1015,Engineering Works
01/04/2023,60076929,100174177,4782,Leicestershire County Council (Treasurers Dept),RC502058,115 3371 02,Structural Services - Bridges,R4400,Professional Fees
01/04/2023,60076584,J078 / 130115 / 1,4879.29,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme Places - Highways,C1010,Capital Fees & Charges
01/04/2023,60076242,S4F-2479,5159.99,S4 Facilities Management Limited,RC508550,205 863 902,Central Maintenance,R2700,Contract Cleaning
01/04/2023,60076495,P20184,5272.4,Recycle Force Ltd,RC302063,,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60076420,6744714,5310.5,Pinsent Masons,RC302354,125463034,Economic Development,R4400,Professional Fees
01/04/2023,60076312,3167634,5680,CIPFA Business Limited,RC501858,627 3907 25,Corporate Financial Expenses,R4701,Subscriptions
01/04/2023,60076617,INV-2175,5940,Johns Associates Ltd,RC302086,901 0054 93,Local Plan (Started 2021-22),R4400,Professional Fees
01/04/2023,60076806,CI0646,6002.35,Local Partnerships,RC302371,143774695,Development Control,R4400,Professional Fees
01/04/2023,60076613,182261,6153.37,New Earth Solutions (West) Limited T/A Mid-UK Recycling Ltd,RC505938,246 2500 29,Waste Management,R5003,TPP - Recycling Contract
01/04/2023,60078858,6801480599,6294.96,Thomson Reuters Professional,RC506803,900548743,Legal Services,R4401,Fees and Charges
01/04/2023,60076651,J078 / 130110 / 163,6389.99,Tarmac Trading Ltd,RC507911,143 7761 02,Parking,R5009,TPP - Highway`s
01/04/2023,60076493,INV-7974,6857.55,SDSA Ltd,RC500865,110 2306 90,SEN Operations,R4400,Professional Fees
01/04/2023,60076555,RUTCC082,7336,Enterprise Car Club,RC509499,215 5573 14,Pool Cars and Car Hire,R3207,Transport Contract
01/04/2023,60076208,7209,7428.72,Cross Media Print and Digital Solutions Limited,RC300906,195 6476 56,Green Waste Collections,R4300,Printing & Photocopying
01/04/2023,60076460,83675,7706.75,Age UK Leics & Rutland,RC503273,174 6643 83,BCF: Dementia Services,R5017,TPP - Other
01/04/2023,60076685,877,10000,Rose Regeneration,RC301905,939594855,Capital Programme Places - Economic Development,C1010,Capital Fees & Charges
01/04/2023,60076529,J078 / 130111 / 12,10255.93,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme Places - Highways,C1015,Engineering Works
01/04/2023,60077082,J078 / 130110 /167,10952.34,Tarmac Trading Ltd,RC507911,143 7761 02,Oakham Enterprise Park,R2004,R & M - Programmed
01/04/2023,60073361,22339,11439.28,Housing Partners Ltd,RC300542,834 8582 94,Housing Options Team,R5016,TPP - Private Contractors
01/04/2023,60076477,D0020764,11500,Harborough District Council,RC501755,121 5258 05,Environmental Maintenance,R2076,Grounds Maintenance - Non Contract
01/04/2023,60076524,J078 / 130110 /144,11773.32,Tarmac Trading Ltd,RC507911,143 7761 02,Street Lighting,R5016,TPP - Private Contractors
01/04/2023,60076345,13908,12432.08,George Walker Tree Care Ltd,RC501703,566 0980 16,Forestry Maintenance,R5009,TPP - Highway`s
01/04/2023,60076408,28151,12511.29,Centrebus Ltd,RC500615,834 8659 85,Public Transport,R5017,TPP - Other
01/04/2023,60076689,33619,12901.23,Casepak,RC507209,115128407,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60076520,J078 / 130110 / 140,13844.07,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme Places - Highways,C1015,Engineering Works
01/04/2023,60076743,2004,15457.3,The Caldecott Foundation,RC509064,,Placements,R5017,TPP - Other
01/04/2023,60076263,114,15625,Human Engine Limited,RC302223,301087350,Transformation,R4400,Professional Fees
01/04/2023,60076397,6072,15843.74,Nesbit Bros Ltd,RC500392,114 5625 90,Home to School Transport,R3207,Transport Contract
01/04/2023,60076424,CW025RCC,16164.02,TLC Youth Care Ltd,RC301746,,Placements,R5017,TPP - Other
01/04/2023,60076264,18126,17285,Topps Express Limited,RC501196,996 3909 51,SEN Transport,R3207,Transport Contract
01/04/2023,60076648,SI-H0000001239,17499,Horizon Care & Education Group Ltd,RC502356,284410509,Placements,R5017,TPP - Other
01/04/2023,60076727,INV-2469,18333.33,Wilds Lodge School,RC502223,,SEN Funding - Independent Special Schools,R5017,TPP - Other
01/04/2023,60076935,INV-0275,18443.45,Hope House School,RC300382,,SEN Funding - Independent Special Schools,R5017,TPP - Other
01/04/2023,60076687,1279,19863.02,Park House School,RC508254,,SEN Funding - Independent Special Schools,R5017,TPP - Other
01/04/2023,60076723,30000030776,20500,Melton Borough Council,RC502186,115 3945 76,Welland Procurement,R5011,TPP - Local Authorities
01/04/2023,60077631,2003,21721.07,The Caldecott Foundation,RC509064,,Placements,R5017,TPP - Other
01/04/2023,60076728,INV-2470,23333.33,Wilds Lodge School,RC502223,,SEN Funding - Independent Special Schools,R5017,TPP - Other
01/04/2023,60076521,J078 / 130110 / 141,24365.19,Tarmac Trading Ltd,RC507911,143 7761 02,Safety,R5009,TPP - Highway`s
01/04/2023,60076525,J078 / 130010 / 145,24500.19,Tarmac Trading Ltd,RC507911,143 7761 02,Minor Repairs,R5009,TPP - Highway`s
01/04/2023,60076013,INV-S015405,24948.56,P3,RC302032,,Homelessness,R5017,TPP - Other
01/04/2023,60076686,1278,29226.79,Park House School,RC508254,,SEN Funding - Independent Special Schools,R5017,TPP - Other
01/04/2023,60076532,J078 / 130257 / 16,34278.65,Tarmac Trading Ltd,RC507911,143 7761 02,Fixed Contract Costs,R5009,TPP - Highway`s
01/04/2023,60076522,J078 / 130110 / 142,35131.68,Tarmac Trading Ltd,RC507911,143 7761 02,Drainage and Jetting,R5009,TPP - Highway`s
01/04/2023,60076290,839160,38754.64,FCC Recycling (UK) Ltd,RC502258,637 8808 92,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60076476,D0020763,39824.02,Harborough District Council,RC501755,121 5258 05,Amenity Grass (Urban Grass & Public Open Spaces),R2075,Grounds Maintenance - Contract
01/04/2023,60076516,J078 / 130108 / 9,43673.9,Tarmac Trading Ltd,RC507911,143 7761 02,Winter Maintenance,R5009,TPP - Highway`s
01/04/2023,60076474,D0020761,47837.69,Harborough District Council,RC501755,121 5258 05,Amenity Grass (Urban Grass & Public Open Spaces),R2075,Grounds Maintenance - Contract
01/04/2023,60076519,J078 / 130109 / 29,166795.13,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme Places - Highways,C1015,Engineering Works
01/04/2023,60076531,J078 / 130112 / 21,238732.08,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme Places - Highways,C1015,Engineering Works
02/04/2023,60077390,WH001,793.94,Whiteheart Health Care Ltd,RC302392,,ASC S&R Homecare MH,R5029,TPP - Home Care
02/04/2023,60076599,04605-04607,1058.59,The Caring Company Rutland,RC508741,,ASC S&R Homecare OP,R5029,TPP - Home Care
02/04/2023,60076468,115442,1204.83,Macildowie Associates Limited,RC300706,694 2566 96,Finance,R1100,Agency Staff
02/04/2023,60076471,115443,1476,Macildowie Associates Limited,RC300706,694 2566 96,Finance,R1100,Agency Staff
02/04/2023,60076418,SIN0003262,1480,Seven Resourcing Ltd,RC301926,,ASC P&S Staffing,R1100,Agency Staff
02/04/2023,60076417,SIN0003263,1554,Seven Resourcing Ltd,RC301926,,ASC P&S Staffing,R1100,Agency Staff
02/04/2023,60076561,14698,1600,Voluntary Action Rutland,RC502550,,Community Vehicle,R5001,TPP - Grants
02/04/2023,60076315,ARG01357,13624.71,A & R Guardian Services Ltd,RC509277,,ASC S&R Homecare OP,R5029,TPP - Home Care
03/04/2023,03767917,49867/80,500,Roman Park Ltd (Day Care),RC300484,,ASC S&R Daycare LD,R5030,TPP - Daycare
03/04/2023,60076624,LT00024,500,Leicester Taiko Ltd,RC302397,,Section 31 Holiday Activities and Food,R4401,Fees and Charges
03/04/2023,03767938,49914/106,509.72,TML Care Solutions Ltd,RC300982,,ASC S&R Homecare MH,R5029,TPP - Home Care
03/04/2023,03767889,49872/52,650,Manton Hall (Foundation),RC502541,,Older People,R5028,TPP - Residental Care
03/04/2023,03767949,49911/117,696,Rutland House Community Trust Ltd,RC502287,,ASC S&R Homecare LD,R5029,TPP - Home Care
03/04/2023,60076388,RCC230331M,720,Rutland Cabs,RC500790,230 1201 87,SEN Transport,R3207,Transport Contract
03/04/2023,03767871,49912/34,754,Rutland House Community Trust Ltd,RC502287,,ASC S&R Homecare PD,R5029,TPP - Home Care
03/04/2023,03767906,49901/69,800,Peaker Park Care Village,RC507500,,Older People,R5034,TPP - Nursing Care
03/04/2023,03767852,49869/15,825,Alysia Caring,RC301932,,Older People,R5028,TPP - Residental Care
03/04/2023,03767907,49901/70,839.45,Peaker Park Care Village,RC507500,,Older People,R5028,TPP - Residental Care
03/04/2023,60076714,1011600,906.29,Askews and Holts Library Services Ltd,RC505812,153 4009 95,Libraries,R4309,Books
03/04/2023,60076637,1011603,965.14,Askews and Holts Library Services Ltd,RC505812,153 4009 95,Prison Library Service - Stocken,R4309,Books
03/04/2023,03767937,49914/105,1019.44,TML Care Solutions Ltd,RC300982,,ASC S&R Homecare MH,R5029,TPP - Home Care
03/04/2023,03767838,49868/1,1020,Aberdeen House Care Limited,RC506722,,Older People,R5028,TPP - Residental Care
03/04/2023,03767888,49899/51,1027.94,Longueville Court Care Home,RC509439,,Older People,R5034,TPP - Nursing Care
03/04/2023,03767936,49878/104,1036.29,Tixover House Care Home,RC502297,,ASC P&S Respite OP,R5018,TPP - Respite
03/04/2023,60076864,A00010419T,1053.55,Environment Agency,RC501563,662 4901 34,Waste Management,R4401,Fees and Charges
03/04/2023,60076865,A00010420T,1053.55,Environment Agency,RC501563,662 4901 34,Waste Management,R4401,Fees and Charges
03/04/2023,03767940,49913/108,1058.58,Rutland House Community Trust Ltd,RC502287,,ASC S&R Homecare LD,R5029,TPP - Home Care
